species.id,ct.v,metric.v,scaleContactByDist.TF,scaled.disc.cutoff
human,All;All,CII.cont.kmer.5;Cp,F,0
human,All;All,CII.disc.kmer.5;Cp,F,0
human,All;FC,CII.cont.kmer.5;Cs.norm,F,0
human,All;FC,CII.disc.kmer.5;Cs.norm,F,0
human,All;FC,CII.cont.kmer.5;Cs.norm,T,5
human,All;FC,CII.cont.kmer.5;Cs.norm,T,10
human,All;FC,CII.cont.kmer.5;Cs.norm,T,15
human,All;FC,CII.cont.kmer.5;Cs.norm,T,20
human,All;FC,CII.cont.kmer.5;Cs.norm,T,0
dme,All;BG3,CII.cont.kmer.5;Cs.norm,F,0
dme,All;BG3,CII.disc.kmer.5;Cs.norm,F,0
