species.id,ct.v,metric.v,scaleContactByDist.TF,scaled.disc.cutoff
human,All;ESCHiC,CII.cont.kmer.5;Cs.norm,F,0
human,All;ESCHiC,CII.disc.kmer.5;Cs.norm,F,0
human,All;HFFc6HiC,CII.cont.kmer.5;Cs.norm,F,0
human,All;HFFc6HiC,CII.disc.kmer.5;Cs.norm,F,0
human,All;LC,CII.cont.kmer.5;Cs.norm,F,0
human,All;LC,CII.disc.kmer.5;Cs.norm,F,0
dme,All;BG3,CII.cont.kmer.5;Cs.norm,F,0
dme,All;BG3,CII.disc.kmer.5;Cs.norm,F,0
dme,All;Kc167,CII.cont.kmer.5;Cs.norm,F,0
dme,All;Kc167,CII.disc.kmer.5;Cs.norm,F,0
