Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Disease mutation	382	12.737579193064356	9.101840934773349E-6	SMARCAL1, APP, MTRR, COL12A1, IKZF1, ABCA12, SMC3, SLC4A4, RXFP2, RPS6KA3, EDNRA, ZFYVE27, PNP, LIPC, LIPI, GJA5, PIEZO2, SOX9, GJA8, HMCN1, MYOZ2, EYS, SEC63, DYNC2H1, PRKCG, CPT1A, COG6, DDX11, MCCC1, ANK2, SCN10A, RBP4, SPATA16, RFX6, AGTR1, ZFPM2, ATF6, ALDH7A1, FREM2, CERKL, SLC22A5, CFH, FOXG1, PCDH15, PPP1R3A, GNS, PLA2G7, GIGYF2, LDHB, C7, ANKH, FLRT3, LARS, C9, SI, MYO6, NKX2-1, OTOG, PROM1, APOB, HCRT, C5ORF42, ABCA1, GRXCR1, STAT5B, DNAH11, JAG1, HACE1, CRADD, XRCC4, FZD4, TGDS, SLC10A2, LRBA, IL31RA, FN1, GDF3, NR2F2, GRIN2B, MED13L, EXT1, ICK, FERMT1, HAL, OCLN, TG, PDE3A, DCHS1, FAT4, GABRB3, IL21, ROBO2, PCSK1, RYR2, ITK, KCNC1, TENM4, PIGN, PTPRQ, GBE1, ADK, PCSK9, LRRC6, FARS2, IFIH1, ATIC, AUH, MECOM, NNT, TRIM2, KRT25, ANKRD1, BBS9, TIMP3, CTLA4, PHGDH, CD36, JAK2, CC2D2A, TEAD1, TMC1, MYOC, ELOVL4, KCND2, KCND3, CCDC115, NSUN2, NIPA1, PAX3, OSMR, ANO5, PAX2, SUMF1, ANO3, ZEB2, PLCB4, MMP13, ALDH5A1, GAN, BBS12, FSHR, AGPS, RARB, POT1, PPARG, ALDOB, ISPD, MOCS1, DDR2, OCA2, FH, NBAS, ASAH1, PRICKLE2, HSD17B4, ABCB11, EGFR, GLRA1, WRN, FRZB, CHN1, GCNT2, SLC17A5, ZSWIM6, SHOC2, CTNNA3, CD59, FPGT-TNNI3K, CCT5, WWOX, BCHE, TRMT10A, GABRA1, STAT1, NUBPL, TPK1, F11, KIAA0196, AKR1C2, MLH1, POU4F3, PDP1, CENPE, KITLG, LYRM4, SMOC1, TRMT5, RAB3GAP2, HYLS1, MSRB3, IL17F, PRDM8, KDM1A, IRS1, ZBTB24, HFE, CTNND2, CEP120, TNC, RORC, ZBTB20, F13A1, PLOD2, UBE3B, HNMT, PARK2, IGF1R, FGF5, SMCHD1, BMPER, HADH, GYG1, SLC25A46, KCNH1, KIRREL3, CD96, CASR, KCTD1, MITF, LIFR, TNNI3K, SDHB, PRLR, FOXP2, FOXP1, TBL1XR1, SLFN14, COL4A4, EOGT, COL4A3, CHMP4B, MASP1, ROR2, RAF1, GCM2, FBN2, ARL6, DLX5, CUL3, HTRA1, ITPR1, ITPR2, CACNA1D, TNFRSF11B, SPATA5, CYP19A1, NEUROD1, ATXN7, NPHP3, NPHP4, NDP, CPA6, IMPG1, GRIA3, IMPG2, TGFB2, SYT2, SYT1, BDNF, ZBTB16, DCDC2, QDPR, AHI1, FGF14, CDK6, CPS1, LRIT3, COL5A2, MYF6, MKRN3, TPP1, BMPR1B, IL7R, FGF12, ALK, SNAP25, THRB, MEGF10, MCM8, DOCK8, CHD7, CEP164, SLC40A1, SIX1, PTPN22, TREM2, TSPAN12, MTO1, SYNE2, CDC73, GHR, UNC80, SPRED1, OPA1, TRPS1, KYNU, HMGCS2, SCN5A, CEP290, LBR, TAPT1, FGB, FGA, TRPC6, TRPC3, COL25A1, GLRX5, PDE4D, ELAC2, PLA2G4A, DARS2, VPS13B, PEX2, BPGM, APOA5, TGFBR1, ETV6, TRDN, PIK3CA, RRM2B, SETBP1, RASA1, RBM20, CNGB3, DOCK2, DSG4, MET, SLC25A13, COLEC11, LAMA2, SEMA3A, DNAH5, ETFDH, PLG, LRP2, PTHLH, TTN, HSPD1, CDC42, SLC25A26, ACAN, CHSY1, ERBB4, IL21R, KCNJ1, SEC23B, FKTN, OPCML, SMARCE1, NTRK2, MGME1, KCNJ6, KCNJ10, IRX5, EYA1, TRPA1, MMAB, CEP152, SLC12A1, KCNJ18, NYX, TBX5, USH2A, TSHR, SUGCT, GALC, RPGRIP1, RPIA, GALE, CYP24A1, PDE10A, SUCLA2, GLRB, KIAA0586, ERCC8, ERCC5, KRAS, ERCC6, VPS45, SEC24D, MBTPS2, TAF2	2524	2550	20581	1.221519219415183	0.004984469511144951	3.133982374949764E-4	2.95130944963393E-4
UP_KEYWORDS	Cell projection	128	4.26808936312104	1.3643422761587178E-5	FRMPD4, CTNND2, WWC1, ITSN1, RAPH1, IFIT5, CCP110, SLC9C1, ARHGAP44, ZFYVE27, ALCAM, TBC1D32, TEKT3, NRCAM, RGS8, EPHB1, ANKS1B, DYNC2H1, PRKCG, SWAP70, SHISA9, TIAM2, CLIP1, RUFY3, NGEF, GRIA1, GPM6A, URI1, INTU, MAX, ARL6, ABHD2, SAMSN1, DPP4, SCIN, FLRT3, MYO6, SYNDIG1, NPHP3, NPHP4, SNX9, PLCG1, SRGAP2, PROM1, C5ORF42, SNX5, GRIA4, GRXCR1, GRXCR2, DNAH11, AFAP1L1, PLK2, OSBPL3, DNAH14, IL31RA, DCDC2, SYNJ2, KLHL20, ICK, ARHGAP32, AHI1, FERMT1, FER, DLG2, CDK6, LRIT3, DZIP1, ITGB1, SCYL3, CNTNAP2, SPAG17, C2CD5, TENM3, TENM4, WDR1, MEGF10, KCNC2, LRRC6, ROBO1, TRIM9, PCM1, HYDIN, BBS9, NOS1, CEP290, CC2D2A, TAPT1, MYOC, DST, KCND2, KCND3, TESC, BBS12, PALLD, SHANK2, ROCK1, DNAH8, DNAH5, DNAH6, ADAM22, NEDD9, PDC, IFT74, GLRA1, ANKMY2, FAM168B, GLRA2, GLRA3, RAB28, CCT8, CLASP2, SVIL, MYO10, KCNB2, KLHL2, USH2A, RPGRIP1, TTLL7, AGBL4, MKLN1, FAM179B, KITLG, FAP, GLRB, KIAA0586, PKN2, CEP41, SLC25A31	2524	721	20581	1.447610841607118	0.007462307878028596	4.4060229977125654E-4	4.1492056280826884E-4
GOTERM_CC_DIRECT	GO:0043235~receptor complex	33	1.1003667889296431	8.57558772569041E-5	ITGB1, APP, NRP1, VIPR1, FLT1, GPR63, ITPR2, LRP2, VLDLR, EGFR, IGF1R, GHR, ERBB4, NT5DC3, LEPR, SLITRK5, IMPG2, NTRK2, PTPRN2, GPR37, NTRK3, LIFR, TGFBR1, TSHR, ACVR2A, LRP1B, KCTD8, PEX5L, MTNR1A, CR1L, CAPRIN2, BMPR1B, KCTD16	2307	127	18224	2.0526094836324913	0.06670733100908455	0.01725837029795195	0.017194053390009272
GOTERM_BP_DIRECT	GO:0007399~nervous system development	57	1.9006335445148383	0.0010550308270599953	APP, NRSN1, MYT1L, GRIK1, VLDLR, FGF2, ROBO1, FGF5, INSC, DPF3, CER1, SRGAP2B, CSGALNACT1, RBFOX1, MEF2C, SEMA6A, RBFOX2, PAX3, ARID1B, ZEB2, DOK5, MPPED2, RAPGEF5, IGSF8, NLGN1, INTU, DLX5, FUT10, DLX6, EFNA5, BARX2, PCDH18, MOBP, ERBB4, FUT9, SPOCK1, NDP, APOB, PCDH1, FKTN, MBD5, JAG1, BDNF, CRIM1, SLC4A10, LSAMP, TSHR, TTLL7, DLG2, FGF14, GLRB, TPP1, CNTN3, CNTN4, RBM45, SIM1, FGF12	2179	287	16792	1.5305169874618827	0.9957308184786396	0.6299691465093216	0.6298472720371782
GOTERM_CC_DIRECT	GO:0032433~filopodium tip	7	0.23341113704568192	0.0019058196774453635	NLGN1, FZD3, MYO10, OSBPL3, MYO5A, AP2A1, EPHB1	2307	12	18224	4.608004623609306	0.7846840167580946	0.2324876477323355	0.23162123413830193
UP_KEYWORDS	Mental retardation	55	1.833944648216072	0.0021896825291988936	SETD5, SNAP25, MYT1L, DOCK8, ZBTB20, VLDLR, UBE3B, GRIK2, SMC3, SOBP, HNMT, AFF2, RPS6KA3, BBS9, CEP290, KCNH1, CDK5RAP2, KIRREL3, MEF2C, ELOVL4, COG6, NSUN2, FRMD4A, ARID1B, PRSS12, FOXP1, ZEB2, SETBP1, TBL1XR1, BBS12, ARL6, FOXG1, SPATA5, CDC42, CAMTA1, GRIA3, SMARCE1, TRMT10A, MBD5, KCNJ10, IRX5, CRADD, AUTS2, EYA1, ZBTB16, CEP152, KIAA0196, GRIN2B, MED13L, RAB3GAP2, KRAS, DCHS1, FAT4, ERCC6, TAF2	2524	299	20581	1.499921820754867	0.6998442525176807	0.03715904177973487	0.034993123133192944
UP_KEYWORDS	Coiled coil	422	14.071357119039678	0.0022528124693909192	ATF2, SCOC, CHIC2, TRIO, MYT1L, ZNF292, ITSN1, SMC3, PSMD6, TDO2, KIAA1468, CSPP1, WDR91, EPSTI1, BBX, CEP95, SMCO4, CEP97, NCKAP5, CDK5RAP2, DDX11, ANKHD1-EIF4EBP3, WDR78, EML4, KIAA1217, DAAM2, RUFY3, PARD3, HECW1, ATF6, URI1, WDR63, RNF219, IQGAP2, GIGYF2, NUGGC, SKA1, GRPEL2, MYO6, PROM1, C5ORF42, DNAH11, AFAP1L1, LRBA, DNAH14, PPFIBP1, GRIN3A, NOSTRIN, MRVI1, HNRNPC, DZIP1, DZIP3, SETD5, LRRC6, OSBPL10, LRRC1, EEA1, TRIM9, DLGAP1, ZNF365, JAK1, CEP68, MYOC, LRRC49, GCFC2, NCOR1, EXOC4, VAMP4, PLCB1, EXOC2, EXOC1, SERPINB13, TMF1, USO1, ADCY8, GRAMD3, APOL5, BCLAF1, SNX29, MFN1, STAT4, FPGT-TNNI3K, RUNX1T1, TRMT10A, STAT1, TCAIM, VWA3A, C6ORF163, SULF1, POU4F3, KTN1, TTLL7, CENPE, CENPH, RFWD3, CCDC6, CTNND2, CEP120, TNC, MAP3K7CL, FAM107A, CEP128, RIMS2, SMCHD1, ZUFSP, DACH1, TNR, POTEA, KCNH1, CSGALNACT1, SH3GLB1, TLE4, TLE1, KCNH7, SWAP70, STX7, MITF, FRMD4A, TNNI3K, FOXP2, CLIP1, OLFM3, TXLNB, DYDC1, UTRN, PHLDB2, KIAA0408, KANK4, ANKRD17, IQCA1, MAX, ITPR1, UBR3, RASAL2, AK7, NEUROD1, KIAA1524, STRA8, MED30, SRGAP3, SRGAP2, PLXNA4, CCDC15, PXDNL, NDC80, CNOT4, DAB2, LRCH1, BFSP1, OSBPL1A, MNAT1, EIF4G3, NFE2L2, SNAP25, ANKRD33B, CEP164, LRMP, SYNE2, FSD1L, OPA1, PHACTR3, HYDIN, TRIM68, CNGA4, ERC2, CEP290, BCAS2, CCDC50, TMCO5A, TRPC6, DST, SECISBP2L, APOA5, NOS1AP, BMP2K, TRIM58, CNGB3, TOP1, SEC22B, BDP1, PPP1R12B, LUZP1, ROCK1, LUZP2, KIAA1211, MFF, HDAC9, FYB, TTN, CCDC85A, CDC37L1, BEND4, VPS54, XIRP2, LINC01207, E2F3, ASCC3, CCDC70, CCDC73, SMARCE1, ANGPT1, MYO10, TRPA1, CEP152, CDC5L, TPD52L1, ENOX1, NELL2, RPGRIP1, KIAA0586, TRIM36, ESF1, CCDC60, SMAP1, TNRC6A, SMARCAL1, APP, TCERG1, THSD7B, CCP110, JMJD1C, SOGA3, SRGAP2C, DHX58, PIEZO2, BCAP29, THSD7A, TRIM27, SRGAP2B, SEC63, DYNC2H1, IMP4, TIAM2, UTS2B, INPP4B, THAP6, FAM76B, SPATA18, NECAB1, CWF19L2, TRANK1, PCDH15, TMTC1, XRRA1, MICAL1, HIVEP3, TRPM8, APOB, SCN3A, ARGLU1, TRPM3, ATP6V1C2, ZBED3, MSR1, RABGAP1L, XRCC4, SUCO, MYO5A, NMI, STAG1, OCLN, SPATS2L, MPHOSPH10, CCSER1, RYR2, SPAG17, NBPF20, MIA3, N4BP2L2, SIPA1L3, RYR3, PCM1, PCLO, RSRC1, KIF13A, KRT25, ANKRD1, EPG5, BBS9, CC2D2A, ANKRD6, NCOA2, NBPF8, LRRIQ3, CCDC115, NBPF9, LRRIQ1, NBPF7, BTN3A2, ANO4, ANKFN1, NCOA7, PDZRN3, MATN2, RABGAP1, TRAK1, TRAK2, FAM196B, HSF2, FAM196A, CTNNA3, DISC1, FILIP1L, DYNC1I1, MAP4K4, MPP4, MYO9A, PLEKHA7, NEK10, FAM171B, SPC25, GUCY1B3, KDM1A, WWC1, RASEF, CCDC168, MRFAP1, CWC27, ARHGAP42, CHCHD3, TBC1D31, TEKT3, FAM81B, AZI2, SH3GL2, PPFIA2, PUS3, GUCY1A3, MORC3, SYCE1L, CCDC158, ATP1B4, RUNDC3B, KIF16B, KIAA2026, GEMIN5, CHMP4B, CCDC152, CCDC148, ARHGEF28, CCDC146, CACNA1D, STK4, RASGRP1, STK3, ARHGAP22, ODF2L, NPHP3, UTP20, MORC1, PDZD8, CCDC140, CYP2J2, VTA1, NFXL1, CNOT10, AHI1, FER, RALYL, DIAPH3, PAN3, HOOK1, ATG16L1, DLG5, FAM175B, CAPRIN2, PHF14, TAF4B, GNB5, RNF103-CHMP3, TNFAIP8, CHD7, LAMC2, HMGB1, PPP1R9A, CHD1, FHAD1, IQCJ-SCHIP1, PLCZ1, LRRFIP2, SCN5A, YWHAH, MKL2, KRT222, FGB, FGA, USP49, RBM19, ATP5F1, YWHAZ, TRDN, TBC1D1, TBC1D4, NAV3, C14ORF37, COLEC12, COLEC11, LAMA2, DNAH8, DNAH5, DNAH6, ASAP2, STRN3, IFT74, LEKR1, REPS1, CLASP2, CCDC178, RWDD1, ATF7IP, LAMB4, CADPS, DTNBP1, ZNF180, ZFC3H1, PDE4DIP, LAMB1, DEK, RSPH3, TAF7, BUD13, CCDC171	2524	3036	20581	1.1334119984381819	0.7100913118618271	0.03715904177973487	0.034993123133192944
GOTERM_CC_DIRECT	GO:0042734~presynaptic membrane	17	0.5668556185395132	0.0036921171452279273	CADPS2, SNAP25, SYT1, KCNC2, NRXN1, DENND1A, IL31RA, GRIK4, GRIK2, GRM3, RIMS2, KCTD8, GRM8, KCTD12, ERC2, KCNH1, KCTD16	2307	62	18224	2.1659745235398575	0.9490878976015291	0.3471332435944064	0.34583957933256393
INTERPRO	IPR013320:Concanavalin A-like lectin/glucanase, subgroup	45	1.5005001667222408	0.00400550931205864	ALK, PTPRT, RYR2, NRP1, CNTNAP2, NRP2, LAMA2, TRIM16L, COL14A1, NRXN1, COL12A1, NRXN3, PTPRM, COL19A1, RYR3, GRIP1, TRIM9, FSD1L, EGFLAM, TRIM68, SLIT2, MALRD1, TRIM27, EYS, COL24A1, COL22A1, LRBA, RFPL2, MAMDC2, LGALS14, BTN3A3, NPNT, USH2A, TMPRSS15, NELL2, PAPPA, COL9A1, FAT1, FAT2, TRIM36, TRIM58, FAT3, LGALS17A, FAT4, MDGA2	2358	232	18559	1.5266352987628324	0.9999857346483848	0.34797862148509434	0.34597586682906506
GOTERM_BP_DIRECT	GO:0001502~cartilage condensation	9	0.3001000333444481	0.004678628166713465	ACAN, TGFB2, ALX1, SOX9, ROR2, BMPR1B, OTOR, BARX2, MYF5	2179	22	16792	3.152572072260003	0.999999999970321	1.0	1.0
