Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Developmental protein	162	5.401800600200066	9.901238052712119E-6	SEMA5A, KDM1A, KDM1B, WIPF3, RORC, IKZF1, RORB, SLC9C1, FGF2, DACH1, INSC, CREB3L2, KDR, ZNF568, SUPT20H, TP63, WLS, AGFG1, DYNC2H1, PDGFRA, NKX2-8, SEMA6A, MUSK, DDX11, IFRD1, THEMIS, EBF2, UNC5C, MITF, UNC5D, NPNT, DKK2, DISP1, KIAA1217, SPATA16, LMX1A, RUFY3, HECA, SPATA19, FREM1, FREM2, NGEF, GCM2, NOTCH2, DLX1, PKDCC, DDX4, FOXG1, TSHZ2, EFNA5, SPATA5, SPATA6, ARHGAP22, EFNB2, FLRT2, FLRT3, PDGFD, SOHLH2, PDGFC, ALX1, KIAA0319, NKX2-4, NTNG1, ZBTB18, AKIRIN2, FZD3, CADM1, FZD5, FZD4, SETDB2, SUCO, GDF3, TDRD6, ARHGAP24, HOPX, QKI, GADD45G, ICK, IGSF10, BMP3, DAB2, DAB1, HOOK1, LHX6, OSTN, DZIP1, MYF5, HMX3, PIWIL1, GSK3B, NRP1, NRP2, FLT1, TENM4, CITED2, HIST1H1T, SIX1, FMN2, PPP1R9A, ROBO1, PLCZ1, MECOM, SLC22A16, HEY1, CHL1, JARID2, TAPT1, MKL2, DCC, FIGLA, STRBP, MSGN1, RBM19, ZFR, SHROOM3, MLF1, PAX2, RHOB, GREM2, TMEM2, DPPA3, MYOD1, C14ORF39, AIDA, MCTP2, COLEC11, DDX25, SEMA3A, NOTCH2NL, SEMA3E, COL19A1, ERBB4, FRZB, C6ORF58, NOTO, RICTOR, LRIG3, FYN, SLIT2, CTNNA2, DISC1, FARP1, CHURC1, SEMA4D, ANGPT1, EYA1, NTRK3, VEGFC, WNT7A, TBX5, MEIS2, TTLL7, NLRP14, CENPE, KIF26B, SMOC1, AGGF1, ACKR3, SPRY1, RBM45, PTF1A, NEUROG2	2528	949	20581	1.389754871883795	0.005529377166933358	5.040630281380715E-4	4.707588637789489E-4
UP_KEYWORDS	Disease mutation	377	12.570856952317438	4.024989532812994E-5	DMGDH, SMARCAL1, APP, TRAF3IP2, GLDC, POP1, COL12A1, XYLT1, IKZF1, SMC3, SLC4A4, EDNRA, ZFYVE27, HERC2, PNP, EDNRB, LIPC, PIEZO2, SOX9, GJA8, EYS, TP63, TMPO, SEC63, DYNC2H1, PRKCG, MUSK, DDX11, SECISBP2, MCCC1, ANK2, BCS1L, RUNX1, SCN10A, RBP4, SPATA16, MTHFD1, AGTR1, ZFPM2, FREM1, ATF6, FREM2, TPH2, SLC22A5, FOXG1, MTTP, PCDH15, UMOD, GNS, PLA2G7, LDHB, C7, HLCS, FLRT3, LARS, TTPA, C9, SI, MYO6, OTOG, ARSB, GRXCR1, STAT5B, HACE1, CRADD, XRCC4, FZD4, TGDS, LRBA, POU6F2, EIF2AK3, IL31RA, FN1, GDF3, NR2F2, GRIN2B, SMARCA2, RPE65, MED13L, ICK, SLC6A5, EXT2, FERMT1, HAL, OCLN, TG, MYO5B, NDUFAF5, PDE3A, DCHS1, FAT4, SCN2A, GABRB3, IL21, PCSK1, ITK, MOCS2, KCNC1, TENM4, PIGN, CITED2, PTPRQ, GBE1, DPYS, ADK, KIAA1033, LRRC6, IKBKAP, FARS2, ATIC, AUH, MECOM, NNT, KRT25, ADAMTSL2, ANKRD1, BBS9, TIMP3, CTLA4, PHGDH, CD36, JAK2, TMC1, ACAD8, MYOC, ELOVL4, EDN3, SLC2A10, KCND3, CCDC115, NSUN2, NIPA1, AP3B1, BAAT, ANO5, PAX2, SUMF1, ANO3, ZEB2, PLCB4, MMP13, GAN, BBS12, FSHR, DPYD, AGPS, RARB, POT1, PPARG, ISPD, MOCS1, OCA2, CRB1, FH, ASAH1, PTH, COL11A1, PRICKLE2, HSD17B4, ABCB11, GLRA1, WRN, FRZB, CHN1, GCNT2, SLC17A5, ZSWIM6, SHOC2, CTNNA3, CD59, AGA, CCT5, WWOX, BCHE, TRMT10A, GABRA1, STAT1, NUBPL, TPK1, F11, KIAA0196, AKR1C2, WNT7A, MLH1, APTX, POU4F3, PDP1, CENPE, KITLG, LYRM4, SMOC1, LYRM7, RAB3GAP2, HYLS1, AGGF1, MSRB3, IL17F, PRDM8, KDM1A, IRS1, ZBTB24, CEP120, HP, TNC, RORC, ZBTB20, F13A1, PLOD2, HNMT, PARK2, IGF1R, FGF5, TGM1, SMCHD1, BMPER, HADH, GYG1, SLC25A46, KCNH1, KIRREL3, CD96, KCTD1, CASK, MITF, TNNI3K, SDHB, PRLR, FOXP2, FOXP1, CACNB2, COL4A2, POLG2, TBL1XR1, SLFN14, COL4A4, EOGT, COL4A3, CHMP4B, MASP1, RAF1, GCM2, NOTCH2, ARL6, CUL3, CHAT, HTRA1, ITPR1, ITPR2, CACNA1D, TNFRSF11B, SPATA5, CYP19A1, NALCN, DPP6, ATXN7, TTC21B, NPHP3, NPHP4, NDP, CPA6, IMPG1, GRIA3, IMPG2, UROS, TDRD7, ARHGAP26, QDPR, AHI1, FGF14, CDK6, CPS1, LRIT3, COL5A2, CHMP2B, MKRN3, TPP1, TCF4, BMPR1B, IL7R, FGF12, FBN1, SNAP25, THRB, MEGF10, DOCK8, CHD7, CEP164, SLC40A1, SIX1, ETFA, PTPN22, TSPAN12, MTO1, GPHN, SYNE2, GHR, SPRED1, OPA1, TRPS1, KYNU, HMGCS2, SCN5A, CA8, CEP290, LBR, TAPT1, PRKG1, POU1F1, TRPC3, GLRX5, PDE4D, ELAC2, BCKDHB, PLA2G4A, DARS2, VPS13B, PEX2, PEX1, BPGM, APOA5, TGFBR1, ETV6, LRTOMT, PIK3CA, RRM2B, SETBP1, ASPH, IMPAD1, RASA1, CNGB3, DSG4, SLC25A13, COLEC11, SEMA3A, DNAH5, LAMA4, ETFDH, PARN, PLG, LRP2, PTHLH, HSPD1, CDC42, SLC25A26, CHSY1, ERBB4, OXCT1, BMS1, IL21R, FKTN, OPCML, KCNJ6, KCNJ10, EYA1, HSD3B2, TRPA1, MMAB, CEP152, SLC12A1, KCNJ18, NYX, TBX5, SUGCT, GALC, PIKFYVE, CYP24A1, SUCLA2, KIAA0586, ERCC8, ERCC5, KRAS, ERCC6, VPS45, GPD1L, MBTPS2, TAF2, HCN1	2528	2550	20581	1.2036232625961776	0.02228825828099823	0.0016099958131251977	0.001503621089757997
GOTERM_CC_DIRECT	GO:0043235~receptor complex	29	0.9669889963321108	0.0021830192181835142	NOTCH2, APP, NRP1, VIPR1, FLT1, MTTP, ITPR2, LRP2, VLDLR, IGF1R, GHR, GRM7, ERBB4, NT5DC3, LEPR, SLITRK5, IMPG2, PTPRN2, GPR37, MUSK, NTRK3, TGFBR1, ACVR2A, LRP1B, KCTD8, CD200R1, CR1L, BMPR1B, KCTD16	2308	127	18224	1.8030267880293127	0.8270721111637569	0.4382411080503405	0.4382411080503405
UP_KEYWORDS	Mental retardation	55	1.833944648216072	0.0022663054421225353	SETD5, SNAP25, DOCK8, KIAA1033, ZBTB20, VLDLR, FMN2, GRIK2, SMC3, SOBP, HNMT, HERC2, BBS9, CA8, CEP290, KCNH1, CDK5RAP2, KIRREL3, ELOVL4, NSUN2, CASK, ARID1B, FOXP1, ZEB2, SETBP1, TBL1XR1, BBS12, MAGEL2, ARL6, FOXG1, SPATA5, CDC42, DPP6, TTC21B, GRIA3, ZBTB18, TRMT10A, MBD5, KCNJ10, CRADD, AUTS2, EYA1, CEP152, KIAA0196, SMARCA2, GRIN2B, MED13L, EXT2, RAB3GAP2, KRAS, TCF4, DCHS1, FAT4, ERCC6, TAF2	2528	299	20581	1.4975485267346853	0.7193287836876354	0.05076524190354479	0.047411109849203444
UP_KEYWORDS	Coiled coil	418	13.937979326442148	0.005011287513721269	SCOC, TRIO, ZNF292, ITSN1, STMN2, HNRNPU, MSANTD4, SMC3, SMC2, PSMD6, KIAA1468, WDR91, EPSTI1, BBX, CEP95, SMCO4, NCKAP5, CDK5RAP2, ADGB, DDX11, ANKHD1-EIF4EBP3, DDX10, WDR78, EML4, KIAA1217, DAAM2, HECW2, RUFY3, PARD3, HECW1, SRFBP1, MAML3, ATF6, URI1, HSPA4L, WDR63, RNF219, IQGAP2, NUGGC, SKA1, MTMR7, GRPEL2, MYO6, AFAP1L1, LRBA, DNAH14, POU6F2, NETO2, ELL2, ST18, PPFIBP1, GRIN3A, MRVI1, HNRNPC, DZIP1, DZIP3, SETD5, KIAA1033, LRRC6, FMN2, LRRC1, EEA1, NUF2, ZNF365, JAK1, IKBIP, CEP68, MYOC, LRRC49, BIVM-ERCC5, GCFC2, VAMP4, EXOC1, SERPINB13, TMF1, USO1, ADCY8, GRAMD3, TANK, APOL5, BCLAF1, RUNX1T1, TRMT10A, STAT1, TCAIM, VWA3A, STXBP5L, POU4F3, TTLL7, CENPE, RFWD3, CCDC6, NUCB2, OLFML2B, CEP120, TNC, FAM107A, RORB, CEP128, RIMS2, SMCHD1, ZUFSP, DACH1, TNR, ZNF326, POTEA, MAP3K5, KCNH1, CSGALNACT1, TLE4, TLE1, KCNH7, STX7, MITF, TNNI3K, FOXP2, OLFM3, DYDC1, UTRN, FKBP4, CLEC4F, PHLDB2, KANK4, ANKRD17, IQCA1, FAM114A2, ITPR1, HMMR, AK7, C1ORF50, KIAA0556, KIAA1524, STRA8, ZBBX, SRGAP3, SRGAP2, PLXNA4, BTN2A2, NDC80, CNOT4, DAB2, C6ORF118, MNAT1, NFE2L2, SNAP25, FAM47E-STBD1, SCHIP1, CEP164, SYNE2, FSD1L, OPA1, PHACTR3, HYDIN, TRIM68, CNGA4, CEP290, BCAS2, PRKG1, CCDC50, CTNNBL1, CCDC38, TMCO5A, DST, SECISBP2L, COBL, APOA5, PARD3B, NOS1AP, BMP2K, TRIM58, CNGB3, TOP1, SEC22B, PPP1R12B, SSX2IP, LUZP1, CCDC68, LUZP2, MFF, HDAC9, KIAA1328, CCDC85A, CDC37L1, VPS54, XIRP2, LINC01207, E2F3, ASCC3, CCDC70, CCDC73, RNF20, ANGPT1, MYO10, TRPA1, PLCL1, CEP152, CDC5L, TPD52L1, ENOX1, NELL2, KIAA0586, APLF, TRIM36, ESF1, CCDC60, SMAP1, TNRC6A, BET1, SMARCAL1, APP, TCERG1, THSD7B, ZAK, CCP110, JMJD1C, CCDC102B, SRGAP2C, GOLGA4, CCDC91, HERC2, RASSF3, PIEZO2, BCAP29, TRIM27, CCDC93, SRGAP2B, TMPO, SEC63, DYNC2H1, MTUS2, IMP4, RUNX1, TIAM2, UTS2B, INPP4B, SPATA18, NECAB1, PDE1C, TSHZ2, TRANK1, PCDH15, MICAL1, DHX36, SCN3A, ARGLU1, TRPM3, ATP6V1C2, ZBED3, RABGAP1L, XRCC4, SETDB1, BCL11A, SYNRG, SUCO, SMARCA2, STAG1, OCLN, MYO5B, SPATS2L, MPHOSPH10, CCSER1, SCN2A, SPAG16, SPAG17, NBPF20, MIA3, N4BP2L2, RYR3, PCM1, PCLO, OTUD6B, KIF13A, KRT25, ANKRD1, BBS9, ANKRD6, NCOA2, ZHX3, LRRIQ3, CCDC115, NBPF9, LRRIQ1, NBPF7, CACYBP, BTN3A2, ANO4, NCOA7, AIDA, KIF2B, EEF1E1, PDZRN3, PDZRN4, RABGAP1, STX18, TRAK1, FAM184B, FAM184A, HSF2, FAM196A, CTNNA3, FAM47E, DISC1, FILIP1L, DYNC1I1, MPP4, MYO9A, PLEKHA7, AGGF1, SPC25, GUCY1B3, KDM1A, WWC1, RASEF, CCDC168, MRFAP1, ARID4A, CWC27, ARHGAP42, CHCHD3, TBC1D31, TEKT3, FAM81B, AZI2, PUS3, GUCY1A3, MORC3, SYCE1L, APLP2, KAZN, LMO7, RUNDC3B, KIF16B, KIAA2026, GEMIN5, CHMP4B, ARHGEF28, CCDC146, CACNA1D, STK4, NALCN, RASGRP1, STK3, ARHGAP22, ODF2L, CALD1, NPHP3, UTP20, PDZD8, PIBF1, CCDC140, CNTLN, CYP2J2, CCDC138, NFXL1, CNOT10, ARHGAP25, ARHGAP24, ANKHD1, AHI1, RALYL, DIAPH3, HOOK1, ATG16L1, DLG5, FAM175B, CHMP2B, PHF14, TAF4B, GNB5, RBM27, TNFAIP8, DOCK4, CHD7, HMGB1, PPP1R9A, FHAD1, IQCJ-SCHIP1, PLCZ1, RB1CC1, LRRFIP2, SCN5A, YWHAH, MKL2, KRT222, MYOCD, USP49, RBM19, NAV2, ATP5F1, YWHAZ, TBC1D1, LMBRD2, TBC1D4, NAV3, C14ORF37, PFDN4, DOCK1, COLEC11, DNAH7, DNAH5, LAMA4, DNAH6, ATAD2B, REPS1, CCDC178, RWDD1, ATF7IP, CADPS, DTNBP1, ZNF180, ZFC3H1, PDE4DIP, LAMB1, DEK, FMNL2, TAF7, BUD13, PMFBP1	2528	3036	20581	1.120892382131719	0.9399979306843359	0.09052648411883583	0.08454526998955561
GOTERM_BP_DIRECT	GO:0048813~dendrite morphogenesis	12	0.40013337779259756	0.005922439779082745	PREX2, FARP1, RBFOX2, DSCAM, MAP2, SEMA3A, BTBD3, DTNBP1, SLITRK5, FYN, CTNNA2, VLDLR	2186	37	16792	2.4913330530896864	0.999999999999938	1.0	1.0
KEGG_PATHWAY	hsa04514:Cell adhesion molecules (CAMs)	30	1.0003334444814937	0.007613654924699553	CD274, NLGN1, NRXN3, PTPRM, CLDN1, GLG1, CLDN20, CDH4, ALCAM, CDH2, CTLA4, ITGB8, NRCAM, LRRC4C, NEO1, MPZL1, NTNG1, NLGN4X, CADM1, NEGR1, SELP, CLDN10, NFASC, OCLN, VCAN, CD8B, CD28, CLDN18, ITGA6, CD226	891	142	6879	1.6310997296912788	0.8876163721943947	0.1209725171368929	0.11378184304134333
UP_KEYWORDS	Asthma	6	0.20006668889629878	0.010442859762239314	DPP10, NPSR1, DENND1B, IRAK3, PLA2G7, PTGDR	2528	12	20581	4.07060917721519	0.9972017208968947	0.14263418211839063	0.13321013794271125
UP_KEYWORDS	Cell projection	110	3.667889296432144	0.012071903601368058	FRMPD4, WWC1, ITSN1, RAPH1, STMN2, IFIT5, CCP110, SLC9C1, LAMP5, ARHGAP44, ZFYVE27, ALCAM, TEKT3, NRCAM, EPHB1, ANKS1B, DYNC2H1, PRKCG, DSCAM, SHISA9, TIAM2, SNTN, RUFY3, FKBP4, NGEF, GRIA1, GPM6A, URI1, ARL6, UMOD, SPATA6, SAMSN1, DPP4, KIAA0556, SCIN, FLRT3, TTC21B, MYO6, NPHP3, NPHP4, SNX9, PLCG1, SRGAP2, GRIA4, GRXCR1, AFAP1L1, CADM2, PLK2, DNAH14, IL31RA, BBIP1, ARHGAP24, KLHL20, ICK, AHI1, FERMT1, DLG2, CDK6, LRIT3, DZIP1, SPAG16, SPAG17, DOCK4, C2CD5, TENM3, TENM4, WDR1, MEGF10, LRRC6, GPHN, ROBO1, PCM1, HYDIN, BBS9, NOS1, CEP290, TAPT1, MYOC, DST, KCND3, COBL, BBS12, PALLD, SSX2IP, DNAH7, DNAH5, DNAH6, ADAM22, NEDD9, PDC, GLRA1, ANKMY2, FAM168B, GLRA2, RAB28, CCT8, CTNNA2, FARP1, MYO10, KCNB2, KLHL2, TTLL7, AGBL4, MKLN1, FAM179B, KITLG, FAP, KIAA0586, CEP41, SLC25A31	2528	721	20581	1.2420721483874366	0.9988877853286117	0.16095871468490744	0.15032394246465464
GOTERM_BP_DIRECT	GO:0022409~positive regulation of cell-cell adhesion	6	0.20006668889629878	0.013319296104239145	MYO10, CITED2, KIF26B, LEF1, ITGA6, CD47	2186	12	16792	3.8408051235132663	1.0	1.0	1.0
