Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Disease mutation	375	12.5	9.585492278099109E-5	DMGDH, APP, TRAF3IP2, GLDC, POP1, XYLT1, IKZF1, ABCA12, SMC3, SLC4A4, RXFP2, RPS6KA3, EDNRA, ZFYVE27, PNP, EDNRB, LIPC, LIPI, GJA5, PIEZO2, SOX9, GJA8, HMCN1, MYOZ2, EYS, TP63, TMPO, SEC63, DYNC2H1, PRKCG, CPT1A, SECISBP2, ANK2, BCS1L, RUNX1, SCN10A, RBP4, SPATA16, RFX6, AGTR1, ZFPM2, FREM1, ATF6, ALDH7A1, CERKL, TPH2, SLC22A5, MAOA, MTTP, PCDH15, PPP1R3A, GNS, PLA2G7, LDHB, C7, ANKH, HLCS, FLRT3, LARS, TTPA, C9, SI, MYO6, NKX2-1, OTOG, PROM1, APOB, HCRT, C5ORF42, ABCA1, GRXCR1, STAT5B, JAG1, HACE1, CRADD, XRCC4, TGDS, SLC10A2, LRBA, POU6F2, EIF2AK3, IL31RA, FN1, GDF3, NR2F2, GRIN2B, MED13L, EXT1, ICK, EXT2, HAL, OCLN, TG, MYO5B, NDUFAF5, DCHS1, FAT4, SCN2A, GABRB3, IL21, ROBO2, PCSK1, RYR2, ITK, MOCS2, KCNC1, TENM4, CITED2, DPYS, ADK, KIAA1033, PCSK9, LRRC6, PYGL, IKBKAP, FARS2, AUH, MECOM, TRIM2, KRT25, ANKRD1, BBS9, TIMP3, CTLA4, CD36, JAK2, CC2D2A, TEAD1, KCND2, EDN3, KCND3, NSUN2, TCF12, PAX3, AP3B1, BAAT, OSMR, ANO5, SUMF1, ANO3, ZEB2, PLCB4, ALDH5A1, GAN, FSHR, DPYD, AGPS, RARB, POT1, ALDOB, MOCS1, DDR2, OCA2, CRB1, FH, PTH, COL11A1, ABCB11, EGFR, GLRA1, NT5E, FRZB, CHN1, GCNT2, ZSWIM6, SHOC2, CD59, FPGT-TNNI3K, WWOX, GABRA1, STAT1, NUBPL, TPK1, F11, AKR1C2, MLH1, APTX, POU4F3, CENPE, LYRM4, SMOC1, TRMT5, LYRM7, HYLS1, MSRB3, IL17F, CDKN3, PRDM8, KDM1A, ZBTB24, HFE, CEP120, HP, TNC, RORC, ZBTB20, PLOD2, UBE3B, PARK2, NR3C2, FGF5, TGM1, RIMS1, SMCHD1, KIF5C, MTPAP, HADH, GYG1, KCNH1, KIRREL3, CD96, COL27A1, KCTD1, MITF, LIFR, TNNI3K, SDHB, FOXP2, FOXP1, CACNB2, SLFN14, COL4A4, EOGT, COL4A3, ROR2, RAF1, GCM2, FTO, NOTCH2, ARL6, DLX5, CUL3, CHAT, HTRA1, ITPR2, SPATA5, CYP19A1, NALCN, GTF2E2, NEUROD1, DPP6, ATXN7, TTC21B, NPHP3, NPHP4, NDP, CPA6, IMPG1, GRIA3, IMPG2, TGFB2, SYT2, BDNF, TDRD7, ARHGAP26, GNAO1, QDPR, AHI1, CDK6, CPS1, LRIT3, COL5A2, CHMP2B, MYF6, MKRN3, BMPR1B, IL7R, FGF12, ALK, SNAP25, THRB, MEGF10, MCM8, CHD7, CEP164, SIX1, ETFA, TREM2, TSPAN12, SYNE2, CDC73, UNC80, SPRED1, KYNU, SCN5A, CA8, CEP290, LBR, TAPT1, PRKG1, FGB, FGA, POU1F1, TRPC6, TRPC3, COL25A1, PDE4D, ELAC2, BCKDHB, PLA2G4A, DARS2, PEX2, PEX1, TGFBR1, ETV6, LRTOMT, PIK3CA, RRM2B, SETBP1, ASPH, PCCA, IMPAD1, RASA1, RBM20, CNGB3, DOCK2, DSG4, MET, SLC25A13, LAMA2, SEMA3A, DNAH5, ETFDH, PARN, LRP2, TTN, HSPD1, CDC42, SLC25A26, ACAN, CHSY1, ERBB4, OXCT1, BMS1, IL21R, KCNJ1, SEC23B, OPCML, SMARCE1, NTRK2, MGME1, KCNJ6, KCNJ10, IRX5, EYA1, HSD3B2, TRPA1, LAMB3, MMAB, CEP152, SLC12A1, KCNJ18, NYX, TBX5, USH2A, TSHR, SUGCT, GALC, RPGRIP1, RPIA, MYO1E, GALE, PIKFYVE, CYP24A1, SUCLA2, GLRB, KIAA0586, KRAS, ERCC6, VPS45, GPD1L, SEC24D, MBTPS2, TAF2, HCN1	2540	2550	20581	1.1915817508105604	0.051538853429176856	0.0029395509652837266	0.0027425158462339116
GOTERM_BP_DIRECT	GO:0007399~nervous system development	59	1.9666666666666666	4.464510266384011E-4	PCSK2, SEMA5A, APP, NRSN1, GRIK1, VLDLR, ROBO1, FGF5, EDNRB, INSC, DPF3, CER1, SRGAP2B, CSGALNACT1, TRPC5, MEF2C, RBFOX2, DSCAM, APAF1, PAX3, NRG1, NAV2, ARID1B, ZEB2, DOK5, NINJ2, MPPED2, RAPGEF5, NOTCH2, IGSF8, NLGN1, INTU, DLX5, FUT10, DLX6, NR2C2, EFNA5, BARX2, PCDH18, MOBP, ERBB4, SPOCK1, NDP, APOB, PCDH1, MBD5, JAG1, BDNF, SLC4A10, LSAMP, ARHGAP26, TSHR, TTLL7, DLG2, GLRB, CNTN4, RBM45, SIM1, FGF12	2200	287	16792	1.5690972442191955	0.8972670572354764	0.34898212240319715	0.3487766776686584
GOTERM_CC_DIRECT	GO:0043235~receptor complex	30	1.0	0.0011473708489314542	ITGB1, NOTCH2, APP, VIPR1, FLT1, MTTP, GPR63, ITPR2, LRP2, VLDLR, EGFR, NR3C2, GRM7, ERBB4, LEPR, SLITRK5, IMPG2, NTRK2, PTPRN2, NTRK3, LIFR, TGFBR1, TSHR, ACVR2A, LRP1B, KCTD8, PEX5L, MTNR1A, CR1L, BMPR1B	2323	127	18224	1.8531562159981834	0.6121452657785512	0.18931619007368994	0.18885724173411736
UP_SEQ_FEATURE	compositionally biased region:Ser-rich	77	2.566666666666667	0.0019931166559469526	PRDM8, SETD5, DOCK4, MCTP1, CSRNP3, MAST4, MEGF10, CCDC168, CHD1, RIMS1, TIFAB, PCLO, CDH2, PWWP2A, POLI, ATXN7L1, NCKAP5, KIRREL3, PDGFRA, PROSER1, MYOCD, MEF2C, BORA, KCNH8, CCDC158, ANKHD1-EIF4EBP3, FRMD4A, NAV2, ARID1B, SYTL2, KIAA1217, KIAA0922, TBC1D4, PAPD7, ASPH, KIAA2026, C14ORF39, BDP1, SPATA18, ANKRD17, KDM3B, YTHDC2, MYCBP2, CTR9, UBR4, GLIS3, CLEC16A, RNF219, AKAP6, EGFR, TTN, ARHGAP22, ATXN7, FRZB, HIVEP3, SRGAP2, FNIP2, USP24, CDK19, AUTS2, POU6F2, KLHL1, ZFC3H1, DCLK2, PRG4, MARCH7, ARHGAP26, PUM1, BTBD10, MED13L, KIF26B, ASXL3, LRIT3, CASS4, SP8, TNRC6A, NEUROG2	2500	441	20063	1.401225396825397	0.9999927243394213	0.325631314792576	0.32447834605026543
INTERPRO	IPR013111:EGF, extracellular	9	0.3	0.002990048115389952	NTNG1, ITGB1, JAG1, TENM4, ATRNL1, ADAM22, TNC, ITGB8, TNR	2365	21	18559	3.3631531259438234	0.9997974365448313	0.3145087647299061	0.31340133950198384
UP_KEYWORDS	Coiled coil	421	14.033333333333333	0.004051076165907767	SCOC, CHIC2, TRIO, ITSN1, HNRNPU, MSANTD4, SMC3, SMC2, PSMD6, TDO2, KIAA1468, MYC, CSPP1, EPSTI1, BBX, CEP95, SMCO4, CEP97, NCKAP5, CDK5RAP2, ANKHD1-EIF4EBP3, DDX10, HDHD2, WDR78, EML4, KIAA1217, DAAM1, HECW2, RUFY3, HECW1, MAML3, ATF6, URI1, WDR63, RNF219, NUGGC, SKA1, MTMR7, GRPEL2, MYO6, PROM1, C5ORF42, AFAP1L1, LRBA, DNAH14, POU6F2, NETO2, ELL2, ST18, PPFIBP1, GRIN3A, NOSTRIN, HNRNPC, DZIP3, SETD5, KIAA1033, LRRC6, FMN2, OSBPL10, LRRC1, EEA1, TRIM9, NUF2, DLGAP1, ZNF365, JAK1, IKBIP, CEP68, LRRC49, GCFC2, NCOR1, EXOC4, VAMP4, PLCB1, TMF1, USO1, ADCY8, GRAMD3, APOL5, MFN1, STAT4, FPGT-TNNI3K, RUNX1T1, STAT1, TCAIM, VWA3A, SNCAIP, SULF1, STXBP5L, POU4F3, KTN1, TTLL7, CENPE, CENPH, CCDC6, NUCB2, OLFML2B, CEP120, TNC, MAP3K7CL, FAM107A, RORB, CEP128, RIMS2, SMCHD1, ZUFSP, DACH1, TNR, POTEA, KCNH1, CSGALNACT1, SH3GLB1, TLE4, TLE1, KCNH7, SWAP70, MITF, FRMD4A, TNNI3K, FOXP2, OLFM3, TXLNB, DYDC1, UTRN, FKBP4, CLEC4F, KIAA0408, KANK4, ANKRD17, IQCA1, MAX, FAM114A2, HMMR, RASAL2, AK7, C1ORF50, NEUROD1, KIAA0556, MED30, SRGAP3, SRGAP2, PLXNA4, BTN2A1, CCDC15, PXDNL, MCC, CNOT4, DAB2, LRCH1, OSBPL1A, EIF4G3, SNAP25, FAM47E-STBD1, ANKRD33B, CEP164, SYNE2, FSD1L, HYDIN, TRIM68, PRKG2, CNGA4, ERC2, CEP290, BCAS2, PRKG1, CTNNBL1, CCDC38, TMCO5A, TRPC6, DST, SECISBP2L, PARD3B, NOS1AP, TRIM58, CNGB3, TOP1, BDP1, LUZP1, ROCK1, CCDC68, LUZP2, KIAA1211, MFF, HDAC9, FYB, TTN, CCDC85A, CDC37L1, BEND4, VPS54, XIRP2, LINC01207, E2F3, CCDC73, SMARCE1, ANGPT1, MYO10, TRPA1, PLCL1, CEP152, CDC5L, TPD52L1, NELL2, RPGRIP1, KIAA0586, TRIM36, ESF1, CCDC60, SMAP1, TNRC6A, BET1, APP, TCERG1, CCP110, JMJD1C, SOGA3, CCDC102B, SRGAP2C, GOLGA4, CCDC91, RASSF3, PIEZO2, BCAP29, THSD7A, TRIM27, SRGAP2B, TMPO, SEC63, DYNC2H1, IMP4, RUNX1, TIAM2, UTS2B, INPP4B, THAP6, TRIM16, SPATA18, NECAB1, PDE1C, TSHZ2, CWF19L2, TRANK1, PCDH15, TMTC1, DHX36, HIVEP3, TRPM8, APOB, SCN3A, ARGLU1, TRPM3, ZBED3, MSR1, RABGAP1L, XRCC4, SYNRG, SUCO, MYO5A, NMI, STAG1, OCLN, MYO5B, SPATS2L, MPHOSPH10, SCN2A, RYR2, SPAG17, NBPF20, MIA3, N4BP2L2, SIPA1L3, RYR3, PCM1, PCLO, RSRC1, KRT25, ANKRD1, BBS9, CC2D2A, ANKRD6, NCOA2, ZHX3, NBPF9, LRRIQ1, NBPF7, CACYBP, ANO4, ANKFN1, NCOA7, EEF1E1, PDZRN4, MATN2, STX18, TRAK1, TRAK2, FAM184B, FAM184A, HSF2, FAM196A, FAM47E, DISC1, FILIP1L, DYNC1I1, MAP4K4, MPP4, PLEKHA7, FAM171B, SPC25, GUCY1B3, KDM1A, WWC1, RASEF, CCDC168, MRFAP1, ARID4A, KIF5C, TEKT3, AZI2, SH3GL2, PPFIA2, GUCY1A3, MORC3, SYCE1L, MYH15, CCDC158, KAZN, ATP1B4, LMO7, RUNDC3B, KIF16B, KIAA2026, GEMIN5, CMPK2, CCDC152, CCDC148, ARHGEF28, CCDC146, STK4, NALCN, STK3, ARHGAP22, ODF2L, NPHP3, UTP20, MORC1, PDZD8, PIBF1, CNTLN, CYP2J2, CCDC138, MLKL, VTA1, ARHGAP24, AHI1, FER, RALYL, DIAPH3, CCPG1, HOOK1, ATG16L1, DLG5, FAM175B, CHMP2B, PHF14, TAF4B, GNB5, RBM27, TNFAIP8, DOCK4, CHD7, LAMC2, PPP1R9A, CHD1, FHAD1, IQCJ-SCHIP1, PLCZ1, RB1CC1, SCN5A, YWHAH, MKL2, KRT222, FGB, FGA, MYOCD, NAV2, ATP5F1, YWHAZ, TBC1D1, LMBRD2, TBC1D4, C14ORF37, PFDN4, DOCK1, COLEC12, LAMA2, DNAH7, DNAH5, DNAH6, ASAP2, STRN3, IFT74, LEKR1, REPS1, CCDC178, RWDD1, ATF7IP, LAMB3, LAMB4, DTNBP1, ZNF180, ZFC3H1, PDE4DIP, LAMB1, DEK, WEE1, FMNL2, GNPDA2, TAF7, PMFBP1, CCDC171, FSIP2	2540	3036	20581	1.1236035033664271	0.8936198000359186	0.06776345586609356	0.06322134016492424
GOTERM_CC_DIRECT	GO:0045121~membrane raft	41	1.3666666666666667	0.00408416015764433	ITGB1, APP, STOML3, CBLB, ADCY2, EGFR, HSPD1, DPP4, GRIP1, LDHB, SDCBP, EDNRB, PRKAR2B, KDR, MAL2, TNR, FYN, TRPM8, NOS1, CD36, JAK2, EPHB1, ABCA1, RFTN2, LYN, TRPC5, KIRREL, CXADR, ANGPT1, ANK2, SORBS1, ERLIN2, SYNJ2, ATP2B1, RGMB, SULF1, TGFBR1, PIKFYVE, RIT2, KRAS, LAMTOR1	2323	206	18224	1.5613890641913493	0.9658274152648942	0.4321729934648351	0.43112530135946586
GOTERM_MF_DIRECT	GO:0046982~protein heterodimerization activity	81	2.7	0.004327762299494925	ITGB1, TOP2B, TENM3, DGKD, SYCP2, TENM4, ADRA1B, IKZF2, SMC3, CXCL13, ADRA1A, SMC2, SRGAP2C, PPP3CA, KRT25, HIST1H2AE, SOX9, GABPA, HIST1H2AB, KCNH1, YWHAH, PRMT8, MEF2C, ZHX3, KCNH5, H2AFZ, ITGA2, RALGAPA2, TCF12, FOXP2, RUNX1, RBP4, RALGAPB, MYOD1, RRAGD, HIST1H2BF, AGTR1, RAF1, ATF6, KHDRBS2, MAX, CUL3, MTTP, ADCY2, SRI, NR2C2, ADIPOR1, CLCN3, HIF1A, EGFR, NEUROD1, SDCBP, P2RY1, ALX1, HIST1H3B, MAPK4, SNX5, JAM2, HIST1H3E, TGFB2, CENPW, NFYC, KCNB2, SYT16, TPD52L1, BMP6, NFKB1, EXT1, EXT2, HIST1H4A, HIST1H4B, BHLHE40, MYF6, UBA3, ST20, HIST1H4H, TAF4B, TAF7, HIST1H4C, SIM1, HIST1H4E	2185	465	16881	1.3457946408798995	0.9993882488731142	1.0	1.0
GOTERM_BP_DIRECT	GO:0007519~skeletal muscle tissue development	15	0.5	0.004795495697386706	ZBTB18, IGSF8, SVIL, MEF2C, SIX1, KCNAB1, NR2F2, GPCPD1, MEOX2, FOXP2, COL19A1, FOXP1, KLHL31, MYOD1, MYF6	2200	51	16792	2.2449197860962564	0.9999999999770254	1.0	0.9996074582924436
GOTERM_BP_DIRECT	GO:0007417~central nervous system development	27	0.8999999999999999	0.00616849529330182	ROBO2, CITED2, CHD7, ADAM22, GRIK1, STK4, PARK2, HAPLN1, STK3, ACAN, RPS6KA3, DNER, PDGFC, FYN, MBP, JARID2, ASIC2, SH3GL2, LYN, CNTN6, POU6F2, AHI1, VCAN, RNF103, ALDH5A1, CNTN2, TAGLN3	2200	120	16792	1.7173636363636362	0.9999999999999798	1.0	0.9996074582924436
