ID	Gene Name	Species
93164	5-hydroxytryptamine receptor 7 pseudogene 1(HTR7P1)	Homo sapiens	
100128640	ACVR2B antisense RNA 1(ACVR2B-AS1)	Homo sapiens	
100130964	ADAM metallopeptidase domain 3A-like(LOC100130964)	Homo sapiens	
100507098	ADAMTS9 antisense RNA 2(ADAMTS9-AS2)	Homo sapiens	
100505933	ADD3 antisense RNA 1(ADD3-AS1)	Homo sapiens	
100874095	ADIPOQ antisense RNA 1(ADIPOQ-AS1)	Homo sapiens	
644100	ADP ribosylation factor like GTPase 14 effector protein like(ARL14EPL)	Homo sapiens	
100287559	ADPGK antisense RNA 1(ADPGK-AS1)	Homo sapiens	
100130776	AGAP2 antisense RNA 1(AGAP2-AS1)	Homo sapiens	
727915	AGBL1 antisense RNA 1(AGBL1-AS1)	Homo sapiens	
100874313	AGBL4 intronic transcript 1(AGBL4-IT1)	Homo sapiens	
100874204	ALDH1L1 antisense RNA 1(ALDH1L1-AS1)	Homo sapiens	
100862662	ALDH1L1 antisense RNA 2(ALDH1L1-AS2)	Homo sapiens	
100507300	ALKBH3 antisense RNA 1(ALKBH3-AS1)	Homo sapiens	
101927547	ANKRD44 intronic transcript 1(ANKRD44-IT1)	Homo sapiens	
80035	ANP32A intronic transcript 1(ANP32A-IT1)	Homo sapiens	
100874264	AOAH intronic transcript 1(AOAH-IT1)	Homo sapiens	
100287722	AP4B1 antisense RNA 1(AP4B1-AS1)	Homo sapiens	
147429	AQP4 antisense RNA 1(AQP4-AS1)	Homo sapiens	
100533184	ARHGAP19-SLIT1 readthrough (NMD candidate)(ARHGAP19-SLIT1)	Homo sapiens	
100874239	ARHGAP26 antisense RNA 1(ARHGAP26-AS1)	Homo sapiens	
84837	ARHGAP5 antisense RNA 1 (head to head)(ARHGAP5-AS1)	Homo sapiens	
100507524	ARHGEF26 antisense RNA 1(ARHGEF26-AS1)	Homo sapiens	
100874200	ARHGEF3 antisense RNA 1(ARHGEF3-AS1)	Homo sapiens	
100874374	ARHGEF38 intronic transcript 1(ARHGEF38-IT1)	Homo sapiens	
100874355	ARHGEF9 intronic transcript 1(ARHGEF9-IT1)	Homo sapiens	
101929716	ARMC2 antisense RNA 1(ARMC2-AS1)	Homo sapiens	
100129716	ARRDC3 antisense RNA 1(ARRDC3-AS1)	Homo sapiens	
29065	ASAP1 intronic transcript 1(ASAP1-IT1)	Homo sapiens	
100507117	ASAP1 intronic transcript 2(ASAP1-IT2)	Homo sapiens	
100874205	ATP11A antisense RNA 1(ATP11A-AS1)	Homo sapiens	
401431	ATP6V0E2 antisense RNA 1(ATP6V0E2-AS1)	Homo sapiens	
158381	ATPase phospholipid transporting 8B5, pseudogene(ATP8B5P)	Homo sapiens	
338436	B-cell acute lymphoblastic leukemia expressed(BLACE)	Homo sapiens	
100874322	BACH1 intronic transcript 2(BACH1-IT2)	Homo sapiens	
100529063	BCL2L2-PABPN1 readthrough(BCL2L2-PABPN1)	Homo sapiens	
