ID	Gene Name	Species
100287722	AP4B1 antisense RNA 1(AP4B1-AS1)	Homo sapiens	
84837	ARHGAP5 antisense RNA 1 (head to head)(ARHGAP5-AS1)	Homo sapiens	
100874374	ARHGEF38 intronic transcript 1(ARHGEF38-IT1)	Homo sapiens	
101929716	ARMC2 antisense RNA 1(ARMC2-AS1)	Homo sapiens	
100129716	ARRDC3 antisense RNA 1(ARRDC3-AS1)	Homo sapiens	
100507117	ASAP1 intronic transcript 2(ASAP1-IT2)	Homo sapiens	
100874322	BACH1 intronic transcript 2(BACH1-IT2)	Homo sapiens	
497258	BDNF antisense RNA(BDNF-AS)	Homo sapiens	
100885775	BRAF-activated non-protein coding RNA(BANCR)	Homo sapiens	
100506769	C10orf71 antisense RNA 1(C10orf71-AS1)	Homo sapiens	
554201	CCDC148 antisense RNA 1(CCDC148-AS1)	Homo sapiens	
348249	CCL15-CCL14 readthrough (NMD candidate)(CCL15-CCL14)	Homo sapiens	
100048912	CDKN2B antisense RNA 1(CDKN2B-AS1)	Homo sapiens	
439950	CELF2 antisense RNA 2(CELF2-AS2)	Homo sapiens	
54075	CHODL antisense RNA 1(CHODL-AS1)	Homo sapiens	
100873984	CHRM3 antisense RNA 1(CHRM3-AS1)	Homo sapiens	
100874203	COL4A2 antisense RNA 1(COL4A2-AS1)	Homo sapiens	
29034	CPS1 intronic transcript 1(CPS1-IT1)	Homo sapiens	
647288	CTAGE family member 11, pseudogene(CTAGE11P)	Homo sapiens	
266917	D21S2088E(D21S2088E)	Homo sapiens	
282706	DAOA antisense RNA 1(DAOA-AS1)	Homo sapiens	
100506660	DDX11 antisense RNA 1(DDX11-AS1)	Homo sapiens	
646813	DEAH-box helicase 9 pseudogene(LOC646813)	Homo sapiens	
100874195	DIAPH3 antisense RNA 1(DIAPH3-AS1)	Homo sapiens	
100874196	DIAPH3 antisense RNA 2(DIAPH3-AS2)	Homo sapiens	
101929222	DISC1 fusion partner 1 (non-protein coding)(DISC1FP1)	Homo sapiens	
201477	DLGAP1 antisense RNA 3(DLGAP1-AS3)	Homo sapiens	
284215	DLGAP1 antisense RNA 5(DLGAP1-AS5)	Homo sapiens	
285987	DLX6 antisense RNA 1(DLX6-AS1)	Homo sapiens	
100873933	DPYD antisense RNA 2(DPYD-AS2)	Homo sapiens	
100505518	EDNRB antisense RNA 1(EDNRB-AS1)	Homo sapiens	
100526837	EEF1E1-BLOC1S5 readthrough (NMD candidate)(EEF1E1-BLOC1S5)	Homo sapiens	
