ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,106/8346,152/16585,8.37106951561418e-07,0.0051574159285699,0.00495919781409228,CELSR2/CADM3/CD84/GYPC/ROBO2/ROBO1/CADM2/CD200/PIK3CB/CLSTN2/PCDH7/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA2/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGA12/PCDHGA11/PCDHGA8/PCDHGA9/PCDHGA10/PCDHGB7/PCDHGB6/PCDHGB5/PCDH12/FAT2/CDHR2/SDK1/CDH17/ITGB1/PCDH15/CDH23/CDHR1/DCHS1/FAT3/CADM1/DSCAML1/MPZL2/CRTAM/ESAM/KIRREL3/AMIGO2/PCDH8/PCDH17/PCDH20/PCDH9/NPTN/CDH8/CDH11/CDH3/CDH1/CDH13/SDK2/PTPRM/CDH2/DSC3/DSC2/DSC1/DSG1/DSG4/DSG2/DSG3/CDH20/CDH7/CDH19/CD226/CADM4/PTPRT/CDH22/CDH4/DSCAM/CELSR1/PCDH11X/PCDH19,106
GO_BP,GO:0001764,neuron migration,95/8346,138/16585,7.34321168603592e-06,0.0146752827175269,0.0141112586190283,DAB1/BARHL2/TNN/ASTN1/ASPM/NAV1/CNTN2/SRGAP2/MARK1/DISC1/SDCCAG8/NR4A2/COL3A1/SATB2/ERBB4/DNER/CHL1/TOP2B/CTNNB1/ULK4/CCK/POMGNT2/GATA2/SOX14/IGSF10/CCKAR/APBB2/NKX6-1/ATOH1/PITX2/NDNF/RAPGEF2/GPM6A/NIPBL/MEF2C/SEMA6A/SPOCK1/TUBB2B/DCDC2/KIAA0319/FYN/PEX7/OLIG3/NHSL1/TWIST1/TBX20/AUTS2/SEMA3A/RELN/NRCAM/FEZF1/PCM1/GNRH1/ELP3/FZD3/NRG1/UNC5D/MATN2/LRP12/PTK2/PLAA/NTRK2/LHX6/NRP1/DRGX/PRKG1/NRG3/KIF20B/VAX1/PAX6/KIRREL3/NEUROD4/ASCL1/DCLK1/NKX2-1/PSEN1/ALKBH1/FLRT2/NDN/BBS4/NTRK3/NR2F2/NDE1/NDEL1/NTN1/LHX1/STAT3/DCC/CELSR1/CDKL5/ARX/USP9X/GPR173/DCX/FGF13,95
GO_BP,GO:0007409,axonogenesis,269/8346,447/16585,1.38770429318884e-05,0.0146752827175269,0.0141112586190283,TNFRSF8/EPHB2/LYPLA2/STMN1/MACF1/ZSWIM5/DAB1/DOCK7/USP33/LPAR3/BARHL2/NTNG1/NRAS/NGF/EFNA1/SEMA4A/NTRK1/SPTA1/LMX1A/TNN/TNR/NFASC/CNTN2/PLXNA2/ENAH/WNT3A/TBCE/GDF7/RAB10/FEZ2/SOS1/NRXN1/SPTBN1/RTN4/CTNNA2/GLI2/CXCR4/ZEB2/KIF5C/NR4A2/TBR1/CHN1/TRAK2/ALS2/BMPR2/RAPH1/NRP2/KLF7/CREB1/MAP2/FN1/EPHA4/CHL1/CNTN4/LRRN1/WNT7A/TOP2B/GOLGA4/TRAK1/CCK/PLXNB1/SEMA3F/WNT5A/ROBO2/ROBO1/ALCAM/BOC/GAP43/SEMA5B/RYK/EPHB1/PIK3CB/SIAH2/SHOX2/SLITRK3/SKIL/PIK3CA/CRMP1/SLIT2/CCKAR/APBB2/UCHL1/EPHA5/RUFY3/NKX6-1/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/POU4F2/SEMA5A/GDNF/ISL1/ZSWIM6/PIK3R1/FOXD1/EFNA5/WDR36/SEMA6A/FSTL4/CDKL3/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/LRFN2/EPHA7/POU3F2/FYN/LAMA2/UST/ETV1/ISPD/GLI3/ADCY1/GRB10/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/IFRD1/PTPRZ1/FEZF1/PLXNA4/BRAF/KEL/GFRA2/DOK2/NEFL/DPYSL2/FZD3/KIF13B/NRG1/UNC5D/MATN2/EXT1/PTK2/VLDLR/NFIB/C9orf72/LINGO2/NTRK2/SHC3/SEMA4D/OGN/ECM2/PTCH1/NR4A3/FAM129B/STXBP1/SPTAN1/LHX3/PRKCQ/ITGB1/NRP1/PARD3/DRGX/ANK3/UNC5B/VCL/PTEN/LGI1/SLIT1/ZFYVE27/PAX2/GFRA1/VAX1/FGFR2/APBB1/BDNF/PAX6/LRRC4C/LRRC55/PAK1/GAB2/PICALM/NCAM1/DSCAML1/ROBO3/FEZ1/C12orf57/PTPRO/KRAS/FRS2/RAB21/EPYC/KERA/LUM/PLXNC1/NTN4/ATP8A2/RNF6/DCLK1/POU4F1/SLITRK6/SLITRK5/EFNB2/NKX2-1/LRFN5/ATL1/OTX2/SPTB/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/NDN/SPG11/RAB11A/MAP2K1/NEO1/NTRK3/CDH11/IST1/NDEL1/NTN1/TRPV2/ULK2/SSH2/LHX1/ERBB2/CNP/WNT3/NGFR/NOG/PRKCA/PTPRM/CDH2/RNF165/SMAD4/DCC/BCL2/DOK6/PTPRS/FLRT3/PLCG1/PARD6B/ADNP/DOK5/BMP7/CDH4/APP/TIAM1/DSCAM/CDKL5/SH3KBP1/ARX/XK/USP9X/OPHN1/PAK3/TRPC5/SLC9A6/FGF13/MCF2/SLITRK4/SLITRK2,269
GO_BP,GO:0007411,axon guidance,155/8346,243/16585,1.39735546957436e-05,0.0146752827175269,0.0141112586190283,TNFRSF8/EPHB2/LYPLA2/ZSWIM5/DAB1/USP33/NRAS/EFNA1/SEMA4A/NTRK1/SPTA1/LMX1A/TNR/NFASC/CNTN2/PLXNA2/ENAH/WNT3A/GDF7/FEZ2/SOS1/NRXN1/SPTBN1/GLI2/CXCR4/KIF5C/TBR1/CHN1/BMPR2/NRP2/KLF7/CREB1/EPHA4/CHL1/CNTN4/PLXNB1/SEMA3F/WNT5A/ROBO2/ROBO1/ALCAM/BOC/GAP43/RYK/EPHB1/PIK3CB/SIAH2/PIK3CA/CRMP1/SLIT2/APBB2/EPHA5/ATOH1/BMPR1B/UNC5C/GAB1/POU4F2/SEMA5A/GDNF/ISL1/ZSWIM6/PIK3R1/FOXD1/EFNA5/SEMA6A/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/EPHA7/FYN/LAMA2/ETV1/ISPD/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/FEZF1/PLXNA4/GFRA2/DOK2/DPYSL2/FZD3/UNC5D/MATN2/EXT1/PTK2/VLDLR/NFIB/SHC3/SEMA4D/PTCH1/NR4A3/FAM129B/SPTAN1/LHX3/PRKCQ/NRP1/DRGX/UNC5B/LGI1/SLIT1/GFRA1/VAX1/BDNF/PAX6/GAB2/NCAM1/ROBO3/FEZ1/PTPRO/KRAS/FRS2/PLXNC1/NTN4/EFNB2/NKX2-1/OTX2/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/NEO1/NTN1/LHX1/ERBB2/WNT3/NGFR/NOG/PRKCA/PTPRM/RNF165/SMAD4/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SH3KBP1/ARX/OPHN1,155
GO_BP,GO:0097485,neuron projection guidance,156/8346,245/16585,1.51345662092464e-05,0.0146752827175269,0.0141112586190283,TNFRSF8/EPHB2/LYPLA2/ZSWIM5/DAB1/USP33/NRAS/EFNA1/SEMA4A/NTRK1/SPTA1/LMX1A/TNR/NFASC/CNTN2/PLXNA2/ENAH/WNT3A/GDF7/FEZ2/SOS1/NRXN1/SPTBN1/GLI2/CXCR4/KIF5C/TBR1/CHN1/BMPR2/NRP2/KLF7/CREB1/EPHA4/CHL1/CNTN4/PLXNB1/SEMA3F/WNT5A/ROBO2/ROBO1/ALCAM/BOC/GAP43/SEMA5B/RYK/EPHB1/PIK3CB/SIAH2/PIK3CA/CRMP1/SLIT2/APBB2/EPHA5/ATOH1/BMPR1B/UNC5C/GAB1/POU4F2/SEMA5A/GDNF/ISL1/ZSWIM6/PIK3R1/FOXD1/EFNA5/SEMA6A/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/EPHA7/FYN/LAMA2/ETV1/ISPD/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/FEZF1/PLXNA4/GFRA2/DOK2/DPYSL2/FZD3/UNC5D/MATN2/EXT1/PTK2/VLDLR/NFIB/SHC3/SEMA4D/PTCH1/NR4A3/FAM129B/SPTAN1/LHX3/PRKCQ/NRP1/DRGX/UNC5B/LGI1/SLIT1/GFRA1/VAX1/BDNF/PAX6/GAB2/NCAM1/ROBO3/FEZ1/PTPRO/KRAS/FRS2/PLXNC1/NTN4/EFNB2/NKX2-1/OTX2/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/NEO1/NTN1/LHX1/ERBB2/WNT3/NGFR/NOG/PRKCA/PTPRM/RNF165/SMAD4/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SH3KBP1/ARX/OPHN1,156
GO_BP,GO:0045666,positive regulation of neuron differentiation,205/8346,332/16585,1.53201828695744e-05,0.0146752827175269,0.0141112586190283,MTOR/KDM1A/MACF1/HEYL/KDM4A/DAB1/LRRC7/NEGR1/LPAR3/RAP1A/NGF/NTRK1/BRINP2/ABL2/BRINP3/SYT2/PLXNA2/PROX1/WNT3A/ARF1/AGT/TRIM67/SOX11/KIDINS220/GDF7/ITSN2/NCOA1/RTN4/ACTR2/GLI2/ZEB2/DLX1/NFE2L2/NEUROD1/ZNF804A/BMPR2/VWC2L/FN1/EPHA4/RARB/GOLGA4/TRAK1/PLXNB1/WNT5A/ROBO2/ROBO1/EPHA3/KALRN/GATA2/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/ECT2/NLGN1/ETV5/BCL6/IL1RAP/OPA1/SLIT2/RUFY3/SCARB2/NKX6-1/ATOH1/NDNF/IL2/POU4F2/RAPGEF2/TENM3/SEMA5A/ARSB/MEF2C/EFNA5/CDKL3/DPYSL3/FBXO38/TUBB2B/BMP6/CPNE5/BMP5/BEND6/RIMS1/SNX3/FIG4/FYN/TMEM106B/CAMK2B/DDX56/VWC2/COBL/MAGI2/HGF/FZD1/PPP1R9A/SMURF1/CUX1/RELN/NRCAM/FEZF1/PLXNA4/PTN/BRAF/EZH2/NEFL/PTK2B/NRG1/UBE2V2/LYN/STMN2/GDF6/RIMS2/VLDLR/KDM4C/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/TRIM32/BRINP1/RAPGEF1/SETX/CAMK1D/ZEB1/NRP1/DKK1/DLG5/PTEN/ANKRD1/CPEB3/ZFYVE27/MOB2/APBB1/BDNF/CNTF/PAK1/FZD4/TRPC6/FEZ1/CDON/CAPRIN2/DNM1L/CNTN1/TWF1/ATF1/LLPH/GRIP1/RAB21/SYT1/PLXNC1/ASCL1/CUX2/FBXW8/ATP8A2/PRKD1/BMP4/PSEN1/MAPK6/TCF12/RAB11A/MAP2K1/NPTN/NTRK3/RRN3/SYT17/EEF2K/IRX3/IST1/NDEL1/NTN1/TRPV2/RNF112/WNT3/NGFR/SPAG9/MMD/ADCYAP1/IMPACT/RIT2/SYT4/TCF4/NEDD4L/BCL2/ANKRD27/SHANK1/BMP2/CBFA2T2/ZMYND8/ADNP/BMP7/CDH4/TIAM1/PCP4/DSCAM/CSNK1E/CDKL5/IL1RAPL1/MIR222/MIR221/ZC4H2/NAP1L2/PAK3/TRPC5/FMR1,205
GO_BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,149/8346,233/16585,1.6673750855817e-05,0.0146752827175269,0.0141112586190283,DAB1/VCAM1/CELSR2/CADM3/CD84/SELP/SELL/KIFAP3/IL10/TGFB2/NRXN1/REG3A/IL1RN/GYPC/ACVR1/TGFBR2/ROBO2/ROBO1/CADM2/ALCAM/CD200/ATP2C1/CLDN18/PIK3CB/CLSTN2/NLGN1/ADIPOQ/CLDN1/CLDN16/PCDH7/GRID2/FAT4/PCDH10/PCDH18/DCHS2/TENM3/CLDN22/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHAC1/PCDHAC2/PCDHGA1/PCDHGA2/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGA12/PCDHGA11/PCDHGA8/PCDHGA9/PCDHGA10/PCDHGB7/PCDHGB6/PCDHGB5/PCDH12/FAT2/TENM2/CDHR2/SDK1/CLDN12/UNC5D/CDH17/PTPRD/ITGB1/PCDH15/CDH23/CDHR1/DCHS1/TENM4/FAT3/CADM1/DSCAML1/MPZL2/CRTAM/ESAM/KIRREL3/AMIGO2/PCDH8/PCDH17/PCDH20/PCDH9/CLDN10/AJUBA/MAP2K5/NPTN/UMOD/CBLN1/CDH8/CDH11/CDH3/CDH1/CDH13/SDK2/PTPRM/CDH2/DSC3/DSC2/DSC1/DSG1/DSG4/DSG2/DSG3/CDH20/CDH7/CDH19/CD226/MBP/LGALS7B/CADM4/MYADM/BMP2/FLRT3/PTPRT/CDH22/CDH4/CXADR/CLDN17/CLDN14/DSCAM/CELSR1/IL1RAPL1/MIR221/PCDH11X/PCDH19/CLDN2/TENM1,149
GO_BP,GO:0007214,gamma-aminobutyric acid signaling pathway,22/8346,24/16585,2.01932871492749e-05,0.0155513552658353,0.0149536605363315,PLCL1/PLCL2/GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/SLC12A2/HTR4/GABRB2/GABRA6/GABRA1/GABRG2/GABBR1/GABRR1/GABRR2/GABBR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3,22
GO_BP,GO:0060042,retina morphogenesis in camera-type eye,37/8346,47/16585,5.75669168615758e-05,0.0394077527537965,0.0378931705376548,RPE65/HIPK1/PROX1/IHH/ARL6/PROM1/EGF/HCN1/MAN2A1/TFAP2A/TFAP2B/AHI1/DLL1/SDK1/TSPAN12/PTN/HIPK2/RP1/CALB1/RORB/PTF1A/RBP4/PDE6C/USH1C/FJX1/CDON/LRP6/FOXN4/ATP8A2/MEGF11/IRX5/LHX1/SOX9/SDK2/PTPRM/DSCAM/RS1,37
GO_BP,GO:0010842,retina layer formation,20/8346,22/16585,6.7445352967854e-05,0.0397368032132019,0.0382095743999009,HIPK1/ARL6/PROM1/TFAP2A/TFAP2B/AHI1/SDK1/TSPAN12/HIPK2/CALB1/PTF1A/FJX1/FOXN4/ATP8A2/MEGF11/LHX1/SDK2/PTPRM/DSCAM/RS1,20
