ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0034703,cation channel complex,137/8642,211/17293,7.39118709211394e-06,0.00535861064178261,0.00505712801039375,KCNAB2/GRIK3/PDE4B/OLFM3/KCNA10/KCNA2/KCNA3/KCND3/CASQ2/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNIP3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/VWC2L/SCN5A/SCN10A/SCN11A/SACM1L/CACNA1D/ABHD6/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/CAMK2D/GRIA2/HCN1/PDE4D/CATSPER3/GRIA1/KCNIP1/KCNMB1/KCNQ5/GRIK2/TRDN/PKD1L1/VWC2/CACNA2D1/AKAP9/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/MCU/KCNMA1/PKD2L1/ABCC8/KCNC1/KCNA4/LRRC55/KCNE3/DLG2/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/GRIN2B/EPS8/KCNJ8/ABCC9/SCN8A/KCNMB4/KCNC2/NOS1/MICU2/TRPC4/AKAP6/HSPA2/CATSPERB/RYR3/GRIN2A/SHISA9/SCNN1B/CACNG3/HERPUD1/PKD1L3/SHISA6/KCNH4/KCNJ16/KCNJ2/KCNG2/CACNA1A/CATSPERG/KCNK6/KCNN4/SHANK1/CACNG7/CACNG8/SNAP25/ABHD12/KCNB1/KCNG1/GRIK1/KCNJ6/CACNG2/CACNA1F/DLG3/TRPC5/GRIA3,137
GO_CC,GO:0043235,receptor complex,225/8642,370/17293,1.47987008622267e-05,0.00536452906255717,0.00506271345286702,EPHB2/GRIK3/EPHA10/TIE1/ROR1/LEPR/IL23R/TGFBR3/OLFM3/GPR61/NOTCH2/ITGA10/NTRK1/FCRL5/DDR2/CD247/PIGR/CR2/CR1L/PLXNA2/CNIH3/ALK/CD8A/MERTK/LRP1B/ACVR2A/ACVR1C/ACVR1/PLA2R1/ITGB6/LRP2/ITGA6/ITGA4/ITGAV/CALCRL/HSPD1/NRP2/ERBB4/VWC2L/EPHA4/IRS1/CHRND/CHRNG/RAMP1/GRM7/TGFBR2/ITGA9/VIPR1/SACM1L/PLXNB1/ABHD6/EPHA3/EPHA6/GABRR3/IMPG2/ALCAM/TRAT1/CD200R1/ITGB5/RYK/EPHB1/TRPC1/GPR160/NLGN1/PEX5L/BST1/TLR1/TLR6/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/PDGFRA/KIT/KDR/EPHA5/GRID2/BMPR1B/MTTP/NPNT/EGF/NR3C2/TLR2/GRIA2/MTNR1A/LIFR/OSMR/DAB2/GHR/ITGA1/ITGA2/IL6ST/KCTD16/ADRB2/CSF1R/CD74/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/FLT4/HFE/GABBR1/GFRAL/GABRR1/GABRR2/EPHA7/GRIK2/ROS1/GRM1/STXBP5/AHR/ITGB8/IL6/TRIL/ADCYAP1R1/VWC2/EGFR/CD36/CALCR/LMTK2/MET/GPR37/PLXNA4/EPHB6/PTPRN2/GFRA2/PTK2B/ADRB3/IKBKB/CHRNB3/LYN/SDCBP/LY96/VLDLR/TEK/NTRK2/SYK/ROR2/GABBR2/TGFBR1/GRIN3A/MUSK/TLR4/RXRA/ITGA8/APBB1IP/ITGB1/NRP1/BMPR1A/SORBS1/CHUK/PKD2L1/GFRA1/FGFR2/CD44/TRAF6/P2RX3/TM7SF2/DLG2/BIRC2/GRIA4/HTR3B/HTR3A/GRIK4/TNFRSF1A/PTPN6/OLR1/KLRD1/KLRC1/KLRC2/LRP6/GRIN2B/EPS8/ITPR2/CAPRIN2/ITGA7/PTPRB/PLXNC1/FLT1/SLITRK5/RNF31/TSHR/GABRB3/GABRA5/GABRG3/SMAD3/ITGA11/CHRNA5/NTRK3/IGF1R/GRIN2A/SHISA9/CACNG3/IL4R/PKD1L3/TRPV3/SHISA6/RFFL/ERBB2/SKAP1/GPRC5C/ITGB4/RNMT/CD79A/SHANK1/CACNG7/CACNG8/BMP2/ABHD12/CD40/APP/GRIK1/IL10RB/CACNG2/CSF2RB/DLG3/IL13RA1/GRIA3/GABRE/GABRA3/GABRQ/IRAK1,225
GO_CC,GO:0098794,postsynapse,262/8642,441/17293,3.48806582522483e-05,0.00842949241096002,0.00795523784700401,KCNAB2/CDC42/EPHB2/EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/PALMD/ATP1A1/RUSC1/DNM3/SRGAP2/KCNH1/CNIH3/ARF1/RAB4A/DISC1/ACTN2/CHRM3/STRN/SOS1/SLC8A1/CRIPT/SPTBN1/RTN4/BCL11A/ACTR2/ADD2/LRRTM4/CTNNA2/LRRTM1/RAB3GAP1/PKP4/TANC1/ZNF804A/ALS2/BMPR2/MAP2/EPHA4/DOCK10/CHRND/CHRNG/ITPR1/GRM7/ATP2B2/RAB5A/MAP4/GABRR3/GAP43/GSK3B/KALRN/TMEM108/CLSTN2/P2RY1/NLGN1/FXR1/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/SEPT11/SNCA/GRID2/PDLIM5/PPP3CA/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/DROSHA/F2R/HOMER1/MEF2C/PJA2/KCNN2/PDLIM4/SPOCK1/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/CPEB4/RGS14/DTNBP1/CAP2/GABBR1/LRFN2/GABRR1/GABRR2/EPHA7/GRIK2/FYN/GOPC/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/PRKAR2B/CTTNBP2/KCND2/CADPS2/CHRM2/DGKI/DLGAP2/PSD3/PTK2B/KCNU1/ANK1/CHRNB3/LYN/CALB1/BAALC/ASAP1/PTK2/MPDZ/APBA1/ABHD17B/NTRK2/PTCH1/GABBR2/GRIN3A/MUSK/LPAR1/STXBP1/ITGA8/ITGB1/ANK3/LRRTM3/COL13A1/CAMK2G/KCNMA1/DLG5/GRID1/PTEN/CPEB3/SORCS3/ADD3/BNIP3/APBB1/LIN7C/KCNA4/LRRC4C/CHRM4/P2RX3/CTNND1/STX3/DLG2/PICALM/GRM5/MTMR2/GRIA4/HTR3B/HTR3A/GRIK4/NRGN/ARHGAP32/IQSEC3/CACNA1C/GRIN2B/PTPRO/EPS8/DNM1L/LRRK2/KCNC2/LIN7A/ATP2B1/ANKS1B/PPP1CC/NOS1/DCLK1/PCDH8/KCTD12/FARP1/GPHN/SLC8A3/SIPA1L1/GABRB3/GABRA5/GABRG3/APBA2/CHRM5/SHC4/USP8/NEDD4/ADAM10/RAB11A/NPTN/CHRNA5/CPEB1/HOMER2/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/VPS35/NETO2/CBLN1/SHISA6/ARHGAP44/ASIC2/HCRT/NSF/PPP1R9B/SAMD14/PSMC5/KCNJ2/DLGAP1/EPB41L3/CDH2/NETO1/PTPRS/GSK3A/SHANK1/PRKCG/CACNG7/CACNG8/PLCB4/SNAP25/SYNDIG1/ZMYND8/KCNB1/NTSR1/APP/GRIK1/TIAM1/SYN3/CACNG2/PICK1/NLGN4X/FRMPD4/GLRA2/CNKSR2/IL1RAPL1/DMD/ZC4H2/OPHN1/DLG3/MAGEE1/DRP2/GRIA3/FMR1/GABRE/GABRA3/GABRQ/MECP2,262
GO_CC,GO:0034702,ion channel complex,176/8642,288/17293,8.2820193185184e-05,0.0150111600148146,0.0141666119922025,KCNAB2/GRIK3/PDE4B/CLCA3P/LRRC8C/LRRC8D/OLFM3/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/CASQ2/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNIP3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/VWC2L/CHRND/CHRNG/SCN5A/SCN10A/SCN11A/SACM1L/CACNA1D/ABHD6/GABRR3/KCNAB1/LRRIQ4/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/CATSPER3/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/CHRNB3/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/MCU/KCNMA1/PKD2L1/ABCC8/KCNC1/KCNA4/LRRC55/KCNE3/DLG2/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/SCN8A/BEST3/KCNMB4/KCNC2/NOS1/MICU2/TRPC4/AKAP6/HSPA2/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/CHRNA5/GRIN2A/SHISA9/SCNN1B/CACNG3/HERPUD1/PKD1L3/SHISA6/KCNH4/KCNJ16/KCNJ2/KCNG2/CACNA1A/CATSPERG/KCNK6/KCNN4/SHANK1/CACNG7/CACNG8/SNAP25/ABHD12/KCNB1/KCNG1/GRIK1/CLDN17/CLIC6/KCNJ6/CACNG2/GLRA2/CACNA1F/DLG3/TRPC5/GRIA3/GABRE/GABRA3/GABRQ,176
GO_CC,GO:0045211,postsynaptic membrane,147/8642,237/17293,0.00011359405298425,0.0164711376827163,0.0155444493557395,GRIK3/LRRC7/RUSC1/DNM3/SRGAP2/KCNH1/CNIH3/ARF1/DISC1/CHRM3/STRN/SLC8A1/LRRTM4/LRRTM1/TANC1/EPHA4/CHRND/CHRNG/GRM7/ATP2B2/GABRR3/TMEM108/CLSTN2/P2RY1/NLGN1/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/CDH9/F2R/HOMER1/PJA2/PDLIM4/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/CPEB4/RGS14/DTNBP1/GABBR1/LRFN2/GABRR1/GABRR2/EPHA7/GRIK2/GOPC/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/CHRM2/DLGAP2/PSD3/KCNU1/ANK1/CHRNB3/BAALC/MPDZ/ABHD17B/NTRK2/GABBR2/GRIN3A/MUSK/ANK3/LRRTM3/COL13A1/KCNMA1/DLG5/GRID1/PTEN/CPEB3/APBB1/LIN7C/LRRC4C/CHRM4/DLG2/PICALM/GRM5/GRIA4/HTR3B/HTR3A/GRIK4/ARHGAP32/IQSEC3/GRIN2B/KCNC2/LIN7A/ANKS1B/PCDH8/KCTD12/GPHN/SIPA1L1/GABRB3/GABRA5/GABRG3/CHRM5/SHC4/CHRNA5/CPEB1/HOMER2/GRIN2A/SHISA9/CACNG3/GSG1L/CBLN1/SHISA6/DLGAP1/CDH2/NETO1/PTPRS/SHANK1/CACNG7/CACNG8/SYNDIG1/KCNB1/GRIK1/CACNG2/PICK1/NLGN4X/GLRA2/CNKSR2/IL1RAPL1/DMD/ZC4H2/DLG3/MAGEE1/DRP2/GRIA3/FMR1/GABRE/GABRA3/GABRQ,147
GO_CC,GO:1902710,GABA receptor complex,18/8642,20/17293,0.000198133341264687,0.023941112069483,0.0225941529512362,GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRR1/GABRR2/GABBR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,18
GO_CC,GO:0005578,proteinaceous extracellular matrix,215/8642,365/17293,0.000332393127573758,0.0273100503318656,0.0257735502224503,COL16A1/CYR61/COL24A1/TGFBR3/COL11A1/WNT2B/RPTN/DPT/MYOC/TNN/TNR/LAMC1/LAMC2/HMCN1/LAMB3/USH2A/WNT3A/NID1/ZP4/PXDN/MATN3/LTBP1/EFEMP1/IL1RL1/ITGA6/COL3A1/COL5A2/FN1/IHH/COL4A4/COL4A3/COL6A3/CHL1/LRRN1/TIMP4/WNT7A/COLQ/CRTAP/WNT5A/ADAMTS9/COL8A1/ABI3BP/IMPG2/ZPLD1/COL6A5/COL6A6/SLITRK3/MUC4/SLIT2/AMTN/AMBN/ENAM/ADAMTS3/FRAS1/HPSE/SPARCL1/DMP1/MEPE/NPNT/NDNF/FREM3/SPOCK3/ADAMTS16/ADAMTS12/EGFLAM/ADAMTS6/THBS4/VCAN/HAPLN1/EFNA5/LOX/FBN2/ADAMTS19/SPOCK1/FGF1/SPARC/SLIT3/GPLD1/LRFN2/CRISP3/TINAG/COL21A1/DST/COL19A1/COL9A1/COL12A1/IMPG1/LAMA4/LAMA2/THBS2/COL28A1/VWC2/TFPI2/COL1A2/ACHE/RELN/LAMB1/LAMB4/LRRN3/WNT2/PTPRZ1/PTN/BMP1/SFRP1/CPA6/SBSPON/MMP16/MATN2/CTHRC1/TNFRSF11B/NOV/COL14A1/COL22A1/FREM1/ADAMTSL1/LINGO2/MAMDC2/OGN/ASPN/ECM2/COL15A1/COL27A1/TNC/ADAMTS13/COL5A1/UCMA/RBP3/ADAMTS14/SFTPA2/SFTPA1/SLIT1/CRTAC1/HPSE2/WNT8B/COL17A1/SMC3/TECTB/VWA2/SPON1/NAV2/HSD17B12/LRRC55/MMP7/MMP20/MMP8/MMP10/MMP1/MMP3/MMP12/MMP13/TECTA/ADAMTS15/WNT5B/VWF/MGP/ADAMTS20/EPYC/KERA/LUM/DCN/NTN4/POSTN/FREM2/SLITRK6/SLITRK5/GPC5/GPC6/COL4A2/COL4A1/ANG/COCH/LRFN5/NID2/BMP4/SMOC1/LTBP2/FLRT2/FBLN5/SERPINA1/FBN1/GLDN/ANXA2/THSD4/LOXL1/ADAMTSL3/ACAN/ADAMTS17/ZP2/MMP2/GLG1/ADAMTS18/NTN1/MMP28/SOST/WNT3/EMILIN2/LAMA1/LAMA3/CCBE1/FLRT3/CST3/PI3/ADAMTS1/ADAMTS5/COL6A2/TIMP3/AMELX/EGFL6/CASK/COL4A6/COL4A5/GPC4/GPC3/SLITRK4/SLITRK2,215
GO_CC,GO:1902495,transmembrane transporter complex,186/8642,312/17293,0.000350570022478438,0.0273100503318656,0.0257735502224503,KCNAB2/GRIK3/PDE4B/CLCA3P/LRRC8C/LRRC8D/OLFM3/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/CASQ2/ATP1A1/NOS1AP/LRRC52/ATP1B1/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNIP3/CNGA3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/VWC2L/ABCB6/CHRND/CHRNG/SCN5A/SCN10A/SCN11A/SACM1L/CACNA1D/ABHD6/GABRR3/ATP1B3/KCNAB1/LRRIQ4/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/CATSPER3/GM2A/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/PLN/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/MCU/KCNMA1/PKD2L1/ABCC8/KCNC1/KCNA4/LRRC55/KCNE3/DLG2/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/SCN8A/BEST3/KCNMB4/KCNC2/NOS1/MICU2/ATP12A/TRPC4/AKAP6/HSPA2/ABCD4/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/CHRNA5/GRIN2A/SHISA9/SCNN1B/CACNG3/HERPUD1/PKD1L3/SHISA6/KCNH4/KCNJ16/KCNJ2/KCNG2/CACNA1A/CATSPERG/KCNK6/KCNN4/SHANK1/CACNG7/CACNG8/SNAP25/ABHD12/KCNB1/KCNG1/GRIK1/CLDN17/CLIC6/KCNJ6/CACNG2/GLRA2/CACNA1F/DLG3/TRPC5/GRIA3/GABRE/GABRA3/GABRQ,186
GO_CC,GO:1902711,GABA-A receptor complex,17/8642,19/17293,0.000359203317968218,0.0273100503318656,0.0257735502224503,GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRR1/GABRR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,17
GO_CC,GO:1990351,transporter complex,190/8642,320/17293,0.000408382308568275,0.0273100503318656,0.0257735502224503,KCNAB2/PEX14/GRIK3/PDE4B/CLCA3P/LRRC8C/LRRC8D/OLFM3/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/CASQ2/ATP1A1/NOS1AP/LRRC52/ATP1B1/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNIP3/CNGA3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/VWC2L/ABCB6/CHRND/CHRNG/SCN5A/SCN10A/SCN11A/SACM1L/CACNA1D/ABHD6/GABRR3/ATP1B3/KCNAB1/LRRIQ4/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/CATSPER3/GM2A/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/PLN/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/MCU/KCNMA1/PKD2L1/TIMM10B/ABCC8/KCNC1/KCNA4/LRRC55/KCNE3/DLG2/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/SCN8A/BEST3/KCNMB4/KCNC2/NOS1/MICU2/ATP12A/TRPC4/AKAP6/TIMM9/HSPA2/ABCD4/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/CHRNA5/GRIN2A/SHISA9/SCNN1B/CACNG3/HERPUD1/PKD1L3/SHISA6/PEX12/KCNH4/KCNJ16/KCNJ2/KCNG2/CACNA1A/CATSPERG/KCNK6/KCNN4/SHANK1/CACNG7/CACNG8/SNAP25/ABHD12/KCNB1/KCNG1/GRIK1/CLDN17/CLIC6/KCNJ6/CACNG2/GLRA2/CACNA1F/DLG3/TRPC5/GRIA3/GABRE/GABRA3/GABRQ,190
