ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0004674,protein serine/threonine kinase activity,288/8256,482/16384,1.74766261383216e-05,0.0204651292079745,0.0194266496863869,MTOR/PINK1/CDC42/EPHB2/EPHA10/TIE1/MAST2/PRKAA2/ROR1/TNNI3K/PRKACB/PKN2/CDC7/TGFBR3/HIPK1/NTRK1/UHMK1/DDR2/NEK7/DSTYK/NUAK2/DYRK3/MAPKAPK2/CAMK1G/RPS6KC1/MARK1/CDC42BPA/AKT3/ROCK2/ALK/LTBP1/EIF2AK2/PRKD3/MAP4K3/CDKL4/PRKCE/VRK2/PELI1/AAK1/EIF2AK3/MAP4K4/MERTK/MAP3K2/ERCC3/CCNT2/MAP3K19/ACVR2A/ACVR1C/ACVR1/STK39/MYO3B/TLK1/TTN/STK17B/CLK1/STRADB/CDK15/BMPR2/ERBB4/STK36/EPHA4/CAB39/RAF1/NEK10/TGFBR2/DCLK3/OXSR1/ULK4/SNRK/CAMKV/PRKCD/EPHA3/EPHA6/GSK3B/MYLK/KALRN/NEK11/RYK/EPHB1/ATR/PRKCI/TNIK/PIK3CA/STK32B/PDGFRA/KIT/KDR/EPHA5/CDKL2/BMP2K/PRKG2/MAPK10/BMPR1B/ALPK1/CAMK2D/DCLK2/NEK1/TRIO/PRKAA1/NIM1K/MAP3K1/PLK2/MAST4/CDK7/CCNH/CAMK4/CSNK1G3/CDKL3/STK32A/CSF1R/STK10/CLK4/FLT4/MYLK4/PRPF4B/RIOK1/SRPK1/MAPK14/STK38/CCND3/ICK/TTK/MAP3K7/EPHA7/CCNC/CDK19/ROS1/SGK1/MAP3K5/MAP3K4/RPS6KA2/SOSTDC1/STK31/CDK13/STK17A/CAMK2B/EGFR/PHKG1/CDK14/CDK6/LMTK2/SRPK2/MET/HIPK2/BRAF/EPHB6/PRKAG2/PTK2B/PBK/IKBKB/C8orf44-SGK3/SGK3/PSKH2/CPNE3/RIPK2/STK3/TEK/TAF1L/TESK1/MELK/TRPM6/NTRK2/DAPK1/SYK/ROR2/WNK2/TGFBR1/MUSK/PKN3/PRKCQ/CAMK1D/MYO3A/MAPK8/PRKG1/CAMK2G/BMPR1A/CHUK/SLK/GRK5/FGFR2/STK33/HIPK3/PAK1/ATM/SIK2/ANKK1/SIK3/CHEK1/DYRK4/CDKN1B/STK38L/LRRK2/IRAK4/MAP3K12/CDK4/TBK1/HMGA2/IRAK3/DYRK2/CDK17/NUAK1/KSR2/TAOK3/CIT/LATS2/CDK8/FLT1/DCLK1/NEK5/NEK3/STK24/PRKD1/CDKL1/MAP4K5/PELI2/MNAT1/PRKCH/NEK9/ADCK1/RPS6KA5/VRK1/CCNK/EIF2AK4/BUB1B/PAK6/MAPK6/CCNB2/DAPK2/MAP2K1/MAP2K5/ALPK3/AKAP13/NTRK3/IGF1R/SMG1/EEF2K/ERN2/PRKCB/SBK1/MYLK3/PHKB/CSNK2A2/MAP2K4/ULK2/MAP2K3/NLK/NEK8/CCL3/CDK12/ERBB2/MAP3K3/STRADA/ERN1/PRKCA/MAP2K6/ROCK1/RIOK3/MAPK4/ALPK2/PAK4/DYRK1B/GSK3A/VRK3/PRKCG/AURKC/TOP1/SGK2/STK4/TP53RK/MAP3K7CL/HUNK/DYRK1A/SIK1/CSNK1E/PRKX/CDKL5/PHKA2/MAP3K15/RPS6KA3/PDK3/CASK/WNK3/TAF1/PHKA1/RPS6KA6/NRK/PAK3/IRAK1,288
GO_MF,GO:0005261,cation channel activity,190/8256,309/16384,4.84482711545801e-05,0.0210778846665487,0.0200083115716441,KCNAB2/GRIK3/MCOLN2/MCOLN3/CLCA3P/KCNA10/KCNA2/KCNA3/KCND3/KCNN3/KCNJ10/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNK12/KCNIP3/CNGA3/TMEM37/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/SLC40A1/KCNE4/CHRND/CHRNG/KCNJ13/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/TRPC1/KCNAB1/KCNMB2/KCNMB3/HTR3C/KCNIP4/STIM2/CNGA1/REST/PKD2/TRPC3/ASIC5/GRIA2/GPM6A/HCN1/KCNN2/CATSPER3/TRPC7/PKD2L2/GRIA1/KCNIP1/KCNMB1/KCNQ5/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/KCND2/TRPV5/PTK2B/KCNU1/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/KCNV1/KCNQ3/KCNK9/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/MCU/KCNMA1/PKD2L1/CALHM2/CALHM3/CALHM1/CNGA4/DENND5A/ABCC8/KCNC1/KCNA4/LRRC55/P2RX3/KCNE3/PANX1/TRPC6/GRIA4/CUL5/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/ANO6/SCN8A/KCNMB4/KCNC2/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/KCNK10/SLC24A4/TRPM1/RYR3/SLC24A5/SLC24A1/NOX5/CHRNA5/GRIN2A/SCNN1B/CACNG3/PKD1L3/PKD1L2/TRPV3/TRPV2/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/KCNJ2/PIEZO2/LOXHD1/KCNG2/CACNA1A/KCNK6/KCNN4/CACNG7/CACNG8/SLC24A3/JPH2/KCNB1/KCNG1/GRIK1/KCNJ6/KCNJ15/CACNG2/PKDREJ/SHROOM2/IL1RAPL1/CACNA1F/TRPC5/GRIA3/CNGA2,190
GO_MF,GO:0016917,GABA receptor activity,20/8256,22/16384,6.91155716723917e-05,0.0210778846665487,0.0200083115716441,GABRR3/GPR156/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABBR1/GABRR1/GABRR2/GABBR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,20
GO_MF,GO:0046873,metal ion transmembrane transporter activity,268/8256,452/16384,7.19996060343253e-05,0.0210778846665487,0.0200083115716441,KCNAB2/NIPAL3/GRIK3/SLC5A9/MCOLN2/MCOLN3/CLCA3P/SLC30A7/SLC6A17/KCNA10/KCNA2/KCNA3/KCND3/ATP1A1/KCNN3/KCNJ10/LRRC52/TMCO1/ATP1B1/SLC9C2/CACNA1E/KCNT2/CACNA1S/SLC41A1/KCNH1/KCNK2/SLC30A10/KCNK1/RYR2/KCNF1/KCNS3/SLC5A6/SLC30A6/SLC8A1/KCNG3/KCNK12/SLC4A5/KCNIP3/CNGA3/SLC9A4/SLC9A2/SLC5A7/TMEM37/CACNB4/KCNJ3/SLC4A10/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ABCB11/ITGAV/SLC40A1/SLC39A10/SLC11A1/KCNE4/KCNJ13/TRPM8/ITPR1/ATP2B2/SLC6A1/SLC6A6/KCNH8/SLC4A7/SCN5A/SCN10A/SCN11A/SLC6A20/CACNA1D/CACNA2D3/SLC9C1/ATP2C1/ATP1B3/TRPC1/SLC9A9/KCNAB1/KCNMB2/KCNMB3/CLDN16/ATP13A5/ATP13A4/KCNIP4/SLC34A2/STIM2/CNGA1/NIPAL1/REST/SLC4A4/SLC10A6/PKD2/SLC39A8/SLC9B1/SLC9B2/TRPC3/ASIC5/GPM6A/SLC6A3/SLC1A3/HCN1/SLC30A5/KCNN2/SLC12A2/CATSPER3/TRPC7/PKD2L2/ATOX1/KCNIP1/KCNMB1/SLC17A1/SLC17A4/SLC17A3/SLC17A2/KCNQ5/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/KCND2/SLC13A1/SLC13A4/TRPV5/TUSC3/SLC39A14/SLC25A37/KCNU1/SLC20A2/TRPA1/KCNB2/JPH1/SLC10A5/CNGB3/NIPAL2/KCNS2/KCNV1/SLC30A8/KCNQ3/KCNK9/KCNV2/SLC1A1/SLC24A2/TRPM3/TMC1/TRPM6/SLC28A3/GRIN3A/TMEM38B/SLC31A2/KCNT1/CACNA1B/SLC39A12/CACNB2/MCU/KCNMA1/SLC25A28/PKD2L1/CALHM1/CNGA4/DENND5A/ABCC8/KCNC1/ZDHHC13/SLC6A5/SLC5A12/KCNA4/SLC1A2/LRRC55/KCNE3/PANX1/TRPC6/CUL5/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/SLC38A1/SCN8A/KCNMB4/KCNC2/CAPS2/ZDHHC17/SLC6A15/ATP2B1/SLC41A2/TPCN1/ATP12A/MTMR6/TRPC4/ATP7B/NALCN/SLC10A2/FAM155A/SLC39A2/KCNH5/SLC39A9/SLC8A3/PSEN1/KCNK10/SLC24A4/NIPA1/TRPM1/RYR3/SLC12A6/SLC28A2/SLC24A5/SLC12A1/SLC24A1/GRIN2A/SCNN1B/CACNG3/SLC5A11/SLC6A2/PKD1L3/PKD1L2/ATP2C2/TRPV3/TRPV2/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/KCNJ2/SLC39A11/LOXHD1/KCNG2/CACNA1A/KCNK6/KCNN4/SLC6A16/CACNG7/CACNG8/SLC23A2/SLC24A3/JPH2/SLC13A3/KCNB1/KCNG1/GRIK1/SLC5A3/KCNJ6/KCNJ15/SLC5A1/SLC5A4/CACNG2/PKDREJ/SHROOM2/IL1RAPL1/SLC9A7/CACNA1F/MAGT1/ATP7A/TRPC5/SLC9A6/MMGT1/CNGA2/ATP2B3,268
GO_MF,GO:0004713,protein tyrosine kinase activity,112/8256,175/16384,0.000181144312801795,0.0421440285384037,0.0400054781217622,EPHB2/LCK/EPHA10/TIE1/ROR1/JAK1/NTRK1/DDR2/ABL2/DSTYK/DYRK3/ALK/CRIM1/EIF2AK2/PKDCC/EFEMP1/MERTK/TTN/CLK1/NRP2/ERBB4/EPHA4/IL5RA/PRKCD/EPHA3/EPHA6/RYK/EPHB1/TXK/TEC/PDGFRA/KIT/KDR/EPHA5/EREG/BTC/FGF5/EGF/FGF2/NEK1/FGF10/FER/CSF2/NRG2/FGF1/CSF1R/ITK/FGF18/CLK4/FLT4/TRIM27/TTK/EPHA7/FYN/FRK/ROS1/IGF2R/FGFR1OP/EGFR/HGF/LMTK2/CUX1/MET/TRIM24/WEE2/EPHB6/BLK/PDGFRL/PTK2B/NRG1/ERLIN2/LYN/RIPK2/SLA/PTK2/JAK2/TEK/TESK1/MELK/NTRK2/SYK/ROR2/MUSK/NRP1/FGFR2/WEE1/DYRK4/STYK1/FGFR1OP2/DYRK2/ZMYM2/FLT1/FGF7/MAP2K1/MAP2K5/NRG4/PEAK1/NTRK3/IGF1R/MAP2K4/MAP2K3/ERBB2/STAT5B/STAT5A/MAP2K6/YES1/DYRK1B/SLA2/DYRK1A/CSF2RB/BMX/BTK,112
GO_MF,GO:0005216,ion channel activity,245/8256,416/16384,0.000257492434484713,0.0421440285384037,0.0400054781217622,KCNAB2/GRIK3/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/CLCA3P/LRRC8B/LRRC8C/LRRC8D/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/KCNN3/KCNJ10/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNK12/SLC1A4/KCNIP3/CNGA3/TMEM37/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/SLC40A1/KCNE4/CHRND/CHRNG/KCNJ13/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/LRRIQ4/KCNMB2/KCNMB3/HTR3C/KCNIP4/STIM2/GABRG1/GABRA2/GABRA4/GABRB1/CNGA1/REST/PKD2/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/CATSPER3/TRPC7/PKD2L2/SLC26A2/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/SLC26A4/SLC26A3/CFTR/KCND2/TRPV5/PTK2B/KCNU1/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/SLC26A7/KCNS2/NCALD/KCNV1/KCNQ3/KCNK9/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/MCU/KCNMA1/GRID1/PKD2L1/CALHM2/CALHM3/CALHM1/CNGA4/DENND5A/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/KCNE3/PANX1/TRPC6/GRIA4/CUL5/HTR3B/HTR3A/FXYD6/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/ANO6/SCN8A/BEST3/KCNMB4/KCNC2/ANO4/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/KCNK10/SLC24A4/GABRB3/GABRA5/GABRG3/TRPM1/RYR3/SLC24A5/SLC24A1/NOX5/CHRNA5/GRIN2A/SCNN1B/CACNG3/PKD1L3/PKD1L2/TRPV3/TRPV2/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/KCNJ2/PIEZO2/LOXHD1/KCNG2/CACNA1A/KCNK6/KCNN4/CACNG7/CACNG8/SLC24A3/JPH2/KCNB1/KCNG1/GRIK1/CLDN17/CLIC6/KCNJ6/KCNJ15/CACNG2/PKDREJ/SHROOM2/CLCN4/GLRA2/IL1RAPL1/CACNA1F/CLCN5/DLG3/TRPC5/GRIA3/CNGA2/GABRE/GABRA3/GABRQ,245
GO_MF,GO:0022851,GABA-gated chloride ion channel activity,12/8256,12/16384,0.000266976713513389,0.0421440285384037,0.0400054781217622,GABRG1/GABRA2/GABRA4/GABRB1/GABRA6/GABRA1/GABRG2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3,12
GO_MF,GO:0005237,inhibitory extracellular ligand-gated ion channel activity,15/8256,16/16384,0.000287918213755106,0.0421440285384037,0.0400054781217622,GABRG1/GABRA2/GABRA4/GLRB/GLRA3/GLRA1/GABRB2/GABRA6/GABRA1/GABRG2/GABRA5/GABRG3/GLRA2/GABRE/GABRA3,15
GO_MF,GO:0022838,substrate-specific channel activity,251/8256,429/16384,0.000380747829730275,0.0433760825502875,0.0411750129651702,KCNAB2/GRIK3/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/CLCA3P/LRRC8B/LRRC8C/LRRC8D/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/KCNN3/KCNJ10/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNK12/SLC1A4/KCNIP3/CNGA3/TMEM37/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/SLC40A1/KCNE4/CHRND/CHRNG/KCNJ13/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/LRRIQ4/KCNMB2/KCNMB3/HTR3C/KCNIP4/STIM2/GABRG1/GABRA2/GABRA4/GABRB1/CNGA1/REST/PKD2/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/CATSPER3/TRPC7/PKD2L2/SLC26A2/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/SLC26A4/SLC26A3/CFTR/KCND2/TRPV5/PTK2B/KCNU1/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/SLC26A7/KCNS2/NCALD/KCNV1/KCNQ3/KCNK9/KCNV2/SLC24A2/AQP7/AQP3/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/MCU/KCNMA1/GRID1/PKD2L1/CALHM2/CALHM3/CALHM1/CNGA4/DENND5A/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/KCNE3/PANX1/TRPC6/GRIA4/CUL5/HTR3B/HTR3A/FXYD6/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/ANO6/SCN8A/BEST3/KCNMB4/KCNC2/ANO4/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/KCNK10/SLC24A4/GABRB3/GABRA5/GABRG3/TRPM1/RYR3/SLC24A5/AQP9/SLC24A1/NOX5/CHRNA5/GRIN2A/SCNN1B/CACNG3/AQP8/PKD1L3/PKD1L2/TRPV3/TRPV2/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/KCNJ2/PIEZO2/AQP4/SLC14A1/LOXHD1/KCNG2/CACNA1A/KCNK6/KCNN4/CACNG7/CACNG8/SLC24A3/JPH2/KCNB1/KCNG1/GRIK1/CLDN17/CLIC6/KCNJ6/KCNJ15/CACNG2/PKDREJ/SHROOM2/CLCN4/GLRA2/IL1RAPL1/CACNA1F/CLCN5/DLG3/TRPC5/GRIA3/CNGA2/GABRE/GABRA3/GABRQ,251
GO_MF,GO:0004890,GABA-A receptor activity,17/8256,19/16384,0.000407461065801163,0.0433760825502875,0.0411750129651702,GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRR1/GABRR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,17
