ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KEGG,hsa04070,Phosphatidylinositol signaling system,44/1787,95/7674,6.06081758757877e-07,0.000107634859935757,9.50029819635647e-05,805/51806/1607/8527/8526/1608/160851/9162/139189/3612/3613/54928/3628/8821/3632/3635/22876/253430/64768/3708/3709/4534/8776/8898/8897/9107/55613/4952/55300/5288/5289/5290/200576/8395/23236/5332/51196/5335/5336/23262/5578/5579/8867/8871,44
KEGG,hsa05033,Nicotine addiction,24/1787,40/7674,6.68539502706566e-07,0.000107634859935757,9.50029819635647e-05,773/1139/2555/2556/2557/2558/2560/2561/2562/2563/2565/2566/2567/2569/200959/2890/2891/2892/2893/2903/2904/116443/57084/246213,24
KEGG,hsa04976,Bile secretion,41/1787,90/7674,2.4798392540301e-06,0.000266169413265898,0.000234932139855483,5243/8647/1244/10257/9429/64240/64241/108/113/114/358/361/343/366/481/483/760/1080/1581/3781/57552/8431/9971/5567/6555/8671/6523/10599/338821/54658/54575/54659/54657/54579/54578/54577/54576/54600/10941/574537/10720,41
KEGG,hsa04724,Glutamatergic synapse,46/1787,112/7674,1.89405074372637e-05,0.00152471084869973,0.00134577289685821,108/113/114/773/776/9229/2770/2775/2776/59345/2787/2890/2891/2892/2893/2897/2898/2899/2900/2903/2904/116443/2911/2913/2915/2917/2918/9456/3708/3709/3760/5321/23236/5332/5337/5535/5567/5578/5579/22941/57084/246213/6505/6506/54407/7220,46
KEGG,hsa05032,Morphine addiction,38/1787,89/7674,3.56279343425196e-05,0.00229443897165826,0.00202516679420638,108/113/114/408/773/2555/2556/2557/2558/2560/2561/2562/2563/2565/2566/2567/2569/200959/2770/2775/59345/2787/3760/4988/10846/50940/5136/5137/5139/5140/5142/5144/5150/27115/8622/5567/5578/5579,38
KEGG,hsa04730,Long-term depression,27/1787,57/7674,5.5022808062257e-05,0.00295289069934112,0.00260634353979112,773/1392/10672/2770/2775/2776/2890/2891/2892/2895/2911/2977/3480/3708/3709/4067/4842/4893/5321/23236/5332/5516/5519/5578/5579/5592/5593,27
KEGG,hsa00562,Inositol phosphate metabolism,32/1787,73/7674,7.86048899144542e-05,0.00361582493606489,0.00319147673336882,9896/3612/3613/3628/8821/3632/3635/22876/253430/64768/9562/4534/8776/8898/8897/9107/55613/4952/55300/5288/5289/5290/200576/8395/23236/5332/51196/5335/5336/23007/8867/8871,32
KEGG,hsa00230,Purine metabolism,47/1787,125/7674,0.00020589735559732,0.00828736856279214,0.00731477447516796,108/113/114/132/159/50808/205/26289/102157402/122481/221264/471/1633/5169/953/955/2272/9615/2766/2977/2984/654364/4831/29922/84618/51251/10606/9061/10846/50940/5136/5137/5139/5140/5142/5144/8654/5150/27115/8622/5236/55276/4860/5471/6240/50484/7498,47
KEGG,hsa04512,ECM-receptor interaction,34/1787,88/7674,0.0008542703945234,0.0298720321040703,0.02636629182118,948/961/1278/1284/1285/1286/1287/1288/1293/256076/131873/1297/2335/80144/158326/341640/3161/3672/22801/3673/3655/8516/3685/3696/284217/3908/3910/3912/22798/9899/22987/3371/7143/7450,34
KEGG,hsa04974,Protein digestion and absorption,36/1787,95/7674,0.000927702860374853,0.0298720321040703,0.02636629182118,59272/481/483/1301/1303/7373/1306/1278/81578/169044/255631/1281/1284/1285/1286/1287/1288/1289/1293/256076/131873/1297/1361/440387/3783/4224/5644/5645/117247/6505/206358/54407/6519/23428/6546/6547,36
KEGG,hsa00053,Ascorbate and aldarate metabolism,14/1787,27/7674,0.00115435992017477,0.0331401539745356,0.0292508714387859,501/223/54658/54575/54659/54657/54579/54578/54577/54576/54600/10941/574537/10720,14
KEGG,hsa04924,Renin secretion,27/1787,67/7674,0.00136109291797166,0.0331401539745356,0.0292508714387859,117/154/185/358/776/805/51806/1179/9635/22802/1907/1908/1909/2770/2776/2977/3708/3709/5136/5137/5139/5140/23236/5332/5535/5567/5593,27
KEGG,hsa02010,ABC transporters,20/1787,45/7674,0.00136719402543664,0.0331401539745356,0.0292508714387859,19/26154/154664/24/23460/5243/8647/340273/4363/94160/1244/10257/6833/10060/9429/64240/64241/1080/6890/6891,20
KEGG,hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),30/1787,77/7674,0.00144087625976242,0.0331401539745356,0.0292508714387859,88/776/781/55799/783/786/10368/1000/1496/29119/1756/1824/1829/1832/3672/22801/3673/3655/8516/3685/3696/284217/3908/51176/6262/6444/6445/6546/6547/6932,30
