ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0034702,ion channel complex,62/1781,288/17293,1.29648136991553e-08,4.3177247897556e-06,4.02455665417155e-06,PDE4B/LRRC8C/OLFM3/NOS1AP/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRA2/GABRB1/GRID2/GRIA2/HCN1/PDE4D/GABRA6/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/CFTR/KCND2/CNTNAP2/KCNU1/KCNB2/GRIN3A/CACNB2/DLG2/GRIA4/CACNA1C/GRIN2B/ABCC9/ANO6/BEST3/KCNC2/NOS1/MICU2/AKAP6/GABRB3/GABRG3/RYR3/CACNG3/SHISA6/SNAP25/GRIK1/CLDN17/GRIA3/GABRE,62
GO_CC,GO:0097060,synaptic membrane,65/1781,308/17293,1.31838924878034e-08,4.3177247897556e-06,4.02455665417155e-06,RIMS3/LRRC7/SRGAP2/DISC1/CHRM3/SLC8A1/NRXN1/LRRTM4/TANC1/GRM7/ERC2/GABRR3/CLSTN2/NLGN1/KCTD8/GABRA2/GABRB1/GRID2/GRIA2/CPE/IL31RA/SNCAIP/KCTD16/GABRA6/TENM2/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/GRM8/KCNU1/RIMS2/GRIN3A/MUSK/LRRTM3/LRRC4C/DLG2/GRM5/GRIA4/GRIN2B/KCNC2/ZDHHC17/SYT1/ATP2B1/ANKS1B/GABRB3/GABRG3/CACNG3/SHISA6/DLGAP1/CDH2/SNAP25/SYNDIG1/GRIK1/SYNJ1/NLGN4X/IL1RAPL1/DMD/CASK/GRIA3/GABRE,65
GO_CC,GO:0034703,cation channel complex,48/1781,211/17293,9.63495104682149e-08,2.10363097855603e-05,1.96079705514262e-05,PDE4B/OLFM3/NOS1AP/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNIP4/GRIA2/HCN1/PDE4D/GRIK2/TRDN/PKD1L1/VWC2/CACNA2D1/KCND2/CNTNAP2/KCNU1/KCNB2/GRIN3A/CACNB2/DLG2/GRIA4/CACNA1C/GRIN2B/ABCC9/KCNC2/NOS1/MICU2/AKAP6/RYR3/CACNG3/SHISA6/SNAP25/GRIK1/GRIA3,48
GO_CC,GO:0045211,postsynaptic membrane,51/1781,237/17293,2.51019808696584e-07,3.43343111508252e-05,3.20030541863859e-05,LRRC7/SRGAP2/DISC1/CHRM3/SLC8A1/LRRTM4/TANC1/GRM7/GABRR3/CLSTN2/NLGN1/KCTD8/GABRA2/GABRB1/GRID2/GRIA2/KCTD16/GABRA6/TENM2/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/KCNU1/GRIN3A/MUSK/LRRTM3/LRRC4C/DLG2/GRM5/GRIA4/GRIN2B/KCNC2/ANKS1B/GABRB3/GABRG3/CACNG3/SHISA6/DLGAP1/CDH2/SYNDIG1/GRIK1/NLGN4X/IL1RAPL1/DMD/GRIA3/GABRE,51
GO_CC,GO:1902495,transmembrane transporter complex,62/1781,312/17293,2.77216237257439e-07,3.43343111508252e-05,3.20030541863859e-05,PDE4B/LRRC8C/OLFM3/NOS1AP/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRA2/GABRB1/GRID2/GRIA2/HCN1/PDE4D/GABRA6/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/CFTR/KCND2/CNTNAP2/KCNU1/KCNB2/GRIN3A/CACNB2/DLG2/GRIA4/CACNA1C/GRIN2B/ABCC9/ANO6/BEST3/KCNC2/NOS1/MICU2/AKAP6/GABRB3/GABRG3/RYR3/CACNG3/SHISA6/SNAP25/GRIK1/CLDN17/GRIA3/GABRE,62
GO_CC,GO:1990351,transporter complex,63/1781,320/17293,3.14512773900689e-07,3.43343111508252e-05,3.20030541863859e-05,PDE4B/LRRC8C/OLFM3/NOS1AP/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRA2/GABRB1/GRID2/GRIA2/HCN1/PDE4D/GABRA6/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/CFTR/KCND2/CNTNAP2/KCNU1/KCNB2/GRIN3A/CACNB2/DLG2/GRIA4/CACNA1C/GRIN2B/ABCC9/ANO6/BEST3/KCNC2/NOS1/MICU2/AKAP6/GABRB3/GABRG3/RYR3/CACNG3/SHISA6/PEX12/SNAP25/GRIK1/CLDN17/GRIA3/GABRE,63
GO_CC,GO:0098794,postsynapse,77/1781,441/17293,2.41970991928571e-06,0.00022641571387602,0.000211042368900107,DAB1/PDE4B/LRRC7/SRGAP2/DISC1/CHRM3/SLC8A1/BCL11A/ACTR2/LRRTM4/CTNNA2/TANC1/ZNF804A/DOCK10/GRM7/GABRR3/CLSTN2/NLGN1/KCTD8/GABRA2/GABRB1/GRID2/GRIA2/GPM6A/MAP1B/MEF2C/KCTD16/GABRA6/TENM2/CAP2/EPHA7/GRIK2/FYN/LAMA2/UTRN/GRM1/SYNE1/GRM3/SRI/KCND2/CADPS2/KCNU1/ASAP1/GRIN3A/MUSK/LRRTM3/LRRC4C/DLG2/GRM5/GRIA4/CACNA1C/GRIN2B/KCNC2/ATP2B1/ANKS1B/NOS1/SLC8A3/GABRB3/GABRG3/CACNG3/SHISA6/NSF/DLGAP1/CDH2/PLCB4/SNAP25/SYNDIG1/APP/GRIK1/SYN3/NLGN4X/FRMPD4/IL1RAPL1/DMD/OPHN1/GRIA3/GABRE,77
GO_CC,GO:0042383,sarcolemma,31/1781,127/17293,3.70363824212087e-06,0.000303235381073646,0.000282646076372382,NOS1AP/RYR2/SLC8A1/PPP3R1/KCNJ3/SCN2A/SCN1A/COL6A3/STAC/CACNA1D/MLIP/BVES/LAMA2/UTRN/CACNA2D1/SRI/SGCZ/ADRA1A/SNTB1/PGM5/CACNB2/CACNA1C/ABCC9/NOS1/AKAP6/SLC8A3/RYR3/ANXA2/CDH2/DTNA/DMD,31
GO_CC,GO:0042734,presynaptic membrane,22/1781,76/17293,5.0195744044001e-06,0.000365313470542451,0.000340509140883281,RIMS3/NRXN1/GRM7/ERC2/KCTD8/IL31RA/SNCAIP/KCTD16/GRIK2/GRM1/GRM3/CADPS2/GRM8/RIMS2/GRM5/KCNC2/ZDHHC17/SYT1/CDH2/SNAP25/GRIK1/CASK,22
GO_CC,GO:0043235,receptor complex,64/1781,370/17293,2.26761822570513e-05,0.00148528993783686,0.00138444060095682,OLFM3/NOTCH2/LRP1B/ACVR2A/LRP2/CALCRL/ERBB4/GRM7/EPHA6/GABRR3/ALCAM/EPHB1/NLGN1/PEX5L/BST1/KCTD8/GABRA2/GABRB1/PDGFRA/KIT/GRID2/BMPR1B/MTTP/NPNT/NR3C2/GRIA2/LIFR/GHR/ITGA2/KCTD16/GABRA6/EPHA7/GPR63/GRIK2/ROS1/GRM1/STXBP5/AHR/ITGB8/VWC2/EGFR/CD36/LMTK2/MET/PLXNA4/TEK/ROR2/GRIN3A/MUSK/DLG2/GRIA4/GRIN2B/CAPRIN2/TSHR/GABRB3/GABRG3/NTRK3/IGF1R/CACNG3/SHISA6/APP/GRIK1/GRIA3/GABRE,64
GO_CC,GO:0099634,postsynaptic specialization membrane,12/1781,34/17293,8.63548384426046e-05,0.00514203810726418,0.00479290012408714,GRID2/GRIA2/GRIK2/GRM1/DLG2/GRM5/GRIA4/GRIN2B/CACNG3/CDH2/GRIK1/GRIA3,12
GO_CC,GO:0030315,T-tubule,14/1781,45/17293,0.000109941898926195,0.00600099531638816,0.00559353520852573,NOS1AP/SLC8A1/KCNJ3/SCN2A/SCN1A/STAC/CACNA1D/CACNA2D1/SRI/ADRA1A/CACNB2/CACNA1C/NOS1/AKAP6,14
GO_CC,GO:0098839,postsynaptic density membrane,11/1781,32/17293,0.000222426037397897,0.0109743754570857,0.010229229031916,GRID2/GRIA2/GRIK2/GRM1/DLG2/GRM5/GRIA4/GRIN2B/CACNG3/GRIK1/GRIA3,11
GO_CC,GO:0008328,ionotropic glutamate receptor complex,14/1781,48/17293,0.000236426082738897,0.0109743754570857,0.010229229031916,OLFM3/NLGN1/GRID2/GRIA2/GRIK2/VWC2/GRIN3A/DLG2/GRIA4/GRIN2B/CACNG3/SHISA6/GRIK1/GRIA3,14
GO_CC,GO:0032279,asymmetric synapse,41/1781,227/17293,0.000251321575353109,0.0109743754570857,0.010229229031916,DAB1/PDE4B/LRRC7/SRGAP2/DISC1/CHRM3/BCL11A/ACTR2/CTNNA2/TANC1/GRM7/CLSTN2/NLGN1/GRID2/GRIA2/MAP1B/CAP2/GRIK2/FYN/GRM1/GRM3/KCND2/GRIN3A/DLG2/GRM5/GRIA4/CACNA1C/GRIN2B/ANKS1B/NOS1/CACNG3/SHISA6/NSF/DLGAP1/CDH2/PLCB4/SYNDIG1/GRIK1/SYN3/NLGN4X/GRIA3,41
GO_CC,GO:0005578,proteinaceous extracellular matrix,59/1781,365/17293,0.000311275893540728,0.0127428568918236,0.0118776327798436,COL24A1/TNR/HMCN1/LAMB3/USH2A/EFEMP1/COL3A1/FN1/COL6A3/CHL1/ZPLD1/SLIT2/HPSE/NPNT/FREM3/ADAMTS16/ADAMTS12/HAPLN1/LOX/ADAMTS19/SLIT3/COL21A1/DST/COL19A1/IMPG1/COL10A1/LAMA2/VWC2/WNT2/CPA6/SBSPON/MATN2/COL14A1/ADAMTSL1/LINGO2/TNC/TECTB/MMP10/MMP1/MMP13/ADAMTS20/DCN/FREM2/GPC5/GPC6/LRFN5/SMOC1/FLRT2/FBN1/ANXA2/GLG1/ADAMTS18/WNT3/CCBE1/ADAMTS5/TIMP3/CASK/GPC3/SLITRK4,59
GO_CC,GO:0098984,neuron to neuron synapse,41/1781,230/17293,0.000333981589369991,0.0128681141786673,0.0119943852529161,DAB1/PDE4B/LRRC7/SRGAP2/DISC1/CHRM3/BCL11A/ACTR2/CTNNA2/TANC1/GRM7/CLSTN2/NLGN1/GRID2/GRIA2/MAP1B/CAP2/GRIK2/FYN/GRM1/GRM3/KCND2/GRIN3A/DLG2/GRM5/GRIA4/CACNA1C/GRIN2B/ANKS1B/NOS1/CACNG3/SHISA6/NSF/DLGAP1/CDH2/PLCB4/SYNDIG1/GRIK1/SYN3/NLGN4X/GRIA3,41
GO_CC,GO:0098878,neurotransmitter receptor complex,14/1781,50/17293,0.000377593451821667,0.0135889381802176,0.0126662662025331,OLFM3/NLGN1/GRID2/GRIA2/GRIK2/VWC2/GRIN3A/DLG2/GRIA4/GRIN2B/CACNG3/SHISA6/GRIK1/GRIA3,14
GO_CC,GO:0044304,main axon,16/1781,62/17293,0.000410978512687625,0.0135889381802176,0.0126662662025331,NAV1/ERMN/SCN2A/SCN1A/ROBO2/KCNAB1/CRHBP/NRCAM/CNTNAP2/NRG1/CRH/PARD3/DLG2/KCNC2/MYO1D/APP,16
