ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0008066,glutamate receptor activity,13/1695,27/16384,7.38882214233493e-07,0.000772870796088233,0.000724104569948823,GRM7/GRID2/GRIA2/GRIK2/GRM1/GRM3/GRM8/GRIN3A/GRM5/GRIA4/GRIN2B/GRIK1/GRIA3,13
GO_MF,GO:0005216,ion channel activity,71/1695,416/16384,1.51287994680302e-05,0.00680886361842451,0.00637924124861952,MCOLN3/LRRC8C/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/KCNH8/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/STIM2/GABRA2/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GPM6A/HCN1/SLC26A2/GABRA6/GRIK2/PKD1L1/CACNA2D1/SLC26A4/CFTR/KCND2/KCNU1/KCNB2/SLC26A7/SLC24A2/TRPM3/TMC1/GRIN3A/CACNB2/ANO3/TRPC6/GRIA4/CACNA1C/GRIN2B/ABCC9/ANO6/BEST3/KCNC2/ANO4/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/LOXHD1/GRIK1/CLDN17/CLCN4/IL1RAPL1/GRIA3/GABRE,71
GO_MF,GO:0022838,substrate-specific channel activity,72/1695,429/16384,2.35778534226355e-05,0.00680886361842451,0.00637924124861952,MCOLN3/LRRC8C/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/KCNH8/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/STIM2/GABRA2/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GPM6A/HCN1/SLC26A2/GABRA6/GRIK2/PKD1L1/CACNA2D1/SLC26A4/CFTR/KCND2/KCNU1/KCNB2/SLC26A7/SLC24A2/TRPM3/TMC1/GRIN3A/CACNB2/ANO3/TRPC6/GRIA4/CACNA1C/GRIN2B/ABCC9/ANO6/BEST3/KCNC2/ANO4/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/AQP4/LOXHD1/GRIK1/CLDN17/CLCN4/IL1RAPL1/GRIA3/GABRE,72
GO_MF,GO:0015267,channel activity,75/1695,455/16384,3.01743254677402e-05,0.00680886361842451,0.00637924124861952,MCOLN3/LRRC8C/GJA5/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/KCNH8/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/STIM2/GABRA2/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GPM6A/HCN1/SLC26A2/GABRA6/GRIK2/GJA1/PKD1L1/CACNA2D1/SLC26A4/CFTR/KCND2/KCNU1/KCNB2/SLC26A7/SLC24A2/TRPM3/TMC1/GRIN3A/CACNB2/ANO3/TRPC6/GRIA4/CACNA1C/GRIN2B/ABCC9/ANO6/BEST3/KCNC2/ANO4/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/AQP4/LOXHD1/BCL2/GRIK1/CLDN17/CLCN4/IL1RAPL1/GRIA3/GABRE,75
GO_MF,GO:0022803,passive transmembrane transporter activity,75/1695,456/16384,3.25471492276506e-05,0.00680886361842451,0.00637924124861952,MCOLN3/LRRC8C/GJA5/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/KCNH8/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/STIM2/GABRA2/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GPM6A/HCN1/SLC26A2/GABRA6/GRIK2/GJA1/PKD1L1/CACNA2D1/SLC26A4/CFTR/KCND2/KCNU1/KCNB2/SLC26A7/SLC24A2/TRPM3/TMC1/GRIN3A/CACNB2/ANO3/TRPC6/GRIA4/CACNA1C/GRIN2B/ABCC9/ANO6/BEST3/KCNC2/ANO4/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/AQP4/LOXHD1/BCL2/GRIK1/CLDN17/CLCN4/IL1RAPL1/GRIA3/GABRE,75
GO_MF,GO:0004714,transmembrane receptor protein tyrosine kinase activity,18/1695,63/16384,4.58159556690706e-05,0.00798724827164131,0.00748327275928153,CRIM1/EFEMP1/ERBB4/EPHA6/EPHB1/PDGFRA/KIT/TRIM27/EPHA7/ROS1/EGFR/LMTK2/MET/TEK/ROR2/MUSK/NTRK3/IGF1R,18
GO_MF,GO:0004709,MAP kinase kinase kinase activity,20/1695,77/16384,7.90401751624344e-05,0.0112540975909556,0.0105439920068227,ERBB4/EPHA6/EPHB1/PDGFRA/KIT/EPHA7/ROS1/MAP3K5/MAP3K4/EGFR/LMTK2/MET/STK3/TEK/ROR2/MUSK/NTRK3/IGF1R/MAP3K14/MAP3K7CL,20
GO_MF,GO:0022839,ion gated channel activity,57/1695,332/16384,8.60734041373278e-05,0.0112540975909556,0.0105439920068227,MCOLN3/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/KCNH8/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNIP4/GABRA2/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/HCN1/GABRA6/GRIK2/CACNA2D1/CFTR/KCND2/KCNU1/KCNB2/TRPM3/TMC1/GRIN3A/CACNB2/ANO3/GRIA4/CACNA1C/GRIN2B/ANO6/KCNC2/ANO4/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/GRIK1/CLCN4/IL1RAPL1/GRIA3/GABRE,57
GO_MF,GO:0022836,gated channel activity,57/1695,335/16384,0.000110567940289798,0.0128370191450033,0.0120270351454142,MCOLN3/LRRC52/KCNT2/RYR2/KCNS3/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/KCNH8/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNIP4/GABRA2/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/HCN1/GABRA6/GRIK2/CACNA2D1/CFTR/KCND2/KCNU1/KCNB2/TRPM3/TMC1/GRIN3A/CACNB2/ANO3/GRIA4/CACNA1C/GRIN2B/ANO6/KCNC2/ANO4/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/GRIK1/CLCN4/IL1RAPL1/GRIA3/GABRE,57
GO_MF,GO:0008373,sialyltransferase activity,9/1695,21/16384,0.000122724848422594,0.0128370191450033,0.0120270351454142,ST6GALNAC3/ST6GALNAC5/ST3GAL5/ST6GAL2/ST6GAL1/ST8SIA4/ST3GAL1/ST8SIA6/ST8SIA1,9
GO_MF,GO:0019199,transmembrane receptor protein kinase activity,20/1695,80/16384,0.000140214486318592,0.0133331229717497,0.0124918360538382,CRIM1/EFEMP1/ACVR2A/ERBB4/EPHA6/EPHB1/PDGFRA/KIT/BMPR1B/TRIM27/EPHA7/ROS1/EGFR/LMTK2/MET/TEK/ROR2/MUSK/NTRK3/IGF1R,20
GO_MF,GO:0046873,metal ion transmembrane transporter activity,71/1695,452/16384,0.000222051151083156,0.0193554586694151,0.0181341773384578,MCOLN3/LRRC52/KCNT2/RYR2/KCNS3/SLC8A1/KCNG3/SLC9A2/KCNJ3/SLC4A10/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/KCNH8/CACNA1D/CACNA2D3/SLC9C1/SLC9A9/KCNAB1/KCNMB2/ATP13A5/KCNIP4/STIM2/SLC4A4/SLC39A8/SLC9B1/ASIC5/GPM6A/HCN1/GRIK2/PKD1L1/CACNA2D1/KCND2/SLC13A4/TUSC3/KCNU1/KCNB2/SLC10A5/NIPAL2/SLC30A8/SLC24A2/TRPM3/TMC1/GRIN3A/CACNB2/SLC5A12/TRPC6/CACNA1C/GRIN2B/ABCC9/KCNC2/CAPS2/ZDHHC17/SLC6A15/ATP2B1/SLC10A2/FAM155A/KCNH5/SLC8A3/RYR3/SLC12A1/CACNG3/KCNJ12/KCNJ18/SLC39A11/LOXHD1/GRIK1/SLC5A1/IL1RAPL1,71
GO_MF,GO:0004970,ionotropic glutamate receptor activity,8/1695,19/16384,0.000342162075894898,0.0234186282744297,0.0219409710410527,GRID2/GRIA2/GRIK2/GRIN3A/GRIA4/GRIN2B/GRIK1/GRIA3,8
