GO_BP_terms,_AG_count_1;all_genes,_AG_count_1;_AG_count_HiC_all,_AG_count_2;_AG_count_1,_AG_count_3;_AG_count_1,_AG_count_4;_AG_count_1,_AG_count_5;_AG_count_1,_AG_count_grthan5;_AG_count_1
action potential,NA,NA,NA,NA,NA,0.024626563813876,NA
adherens junction organization,NA,NA,NA,NA,NA,0.0471441060613158,NA
axon development,NA,NA,NA,NA,0.0411041214918157,0.00437548774157596,0.0274531693210538
axon guidance,NA,NA,NA,NA,0.0146752827175269,0.00232160850958399,0.00136477732553092
axonogenesis,NA,NA,NA,NA,0.0146752827175269,0.00507862705063826,0.016411767803127
calcium ion transmembrane transport,NA,NA,NA,NA,NA,0.0277852296956468,NA
camera-type eye development,NA,NA,NA,0.00949863396603091,NA,0.0262885683341759,NA
cardiac muscle cell action potential,NA,NA,NA,NA,NA,0.0458484640145455,NA
cardiac muscle cell contraction,NA,NA,NA,NA,NA,NA,0.0287533472705844
cell communication involved in cardiac conduction,NA,NA,NA,NA,NA,NA,0.0220826061398218
cell proliferation involved in heart morphogenesis,NA,NA,NA,NA,0.0482250731475801,NA,NA
cell-cell adhesion mediated by cadherin,NA,NA,NA,NA,NA,0.00303283571880315,NA
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,NA,0.0146752827175269,NA,0.0287533472705844
cellular glucuronidation,NA,NA,NA,NA,NA,0.00648476195044574,NA
cellular potassium ion transport,NA,NA,NA,NA,NA,0.0150708865859076,NA
cerebral cortex development,NA,NA,NA,NA,NA,0.00648476195044574,NA
chemical synaptic transmission  postsynaptic,NA,NA,NA,NA,NA,0.011516614430302,NA
cyclic-nucleotide-mediated signaling,NA,NA,NA,NA,NA,NA,0.0287533472705844
dendrite development,NA,NA,NA,0.0323851140849048,NA,1.53482351052983e-05,0.016411767803127
dendrite morphogenesis,NA,NA,NA,NA,NA,0.00469028407489203,NA
dendritic spine development,NA,NA,NA,NA,NA,0.00648476195044574,NA
developmental pigmentation,NA,NA,NA,NA,NA,NA,0.00477889171195315
