GO_CC_terms,_AG_count_1;all_genes,_AG_count_1;_AG_count_HiC_all,_AG_count_2;_AG_count_1,_AG_count_3;_AG_count_1,_AG_count_4;_AG_count_1,_AG_count_5;_AG_count_1,_AG_count_grthan5;_AG_count_1
actin-based cell projection,NA,NA,NA,NA,NA,0.0192143136166706,NA
apical part of cell,NA,NA,NA,NA,NA,0.0151445573212037,NA
asymmetric synapse,NA,NA,NA,NA,0.0303709369677725,1.98682301740891e-07,0.0109743754570857
axon part,NA,NA,NA,NA,NA,0.00653285741043337,NA
basement membrane,NA,NA,NA,NA,NA,0.000497140962777532,NA
calcium channel complex,NA,NA,NA,NA,NA,NA,0.0289756343485993
catenin complex,NA,NA,NA,NA,NA,0.00111964473234916,NA
cation channel complex,NA,NA,NA,NA,0.00535861064178261,0.000497140962777532,2.10363097855603e-05
cell body,NA,NA,NA,NA,NA,0.0344159638814298,NA
cell leading edge,NA,NA,NA,NA,NA,0.000769210394877211,0.031481379623631
cell-cell adherens junction,NA,NA,NA,NA,0.0273100503318656,6.2595595064071e-05,NA
cell-cell junction,NA,NA,NA,NA,NA,0.000624583620397206,NA
chloride channel complex,NA,NA,NA,NA,NA,0.0327666508647571,NA
collagen trimer,NA,NA,NA,NA,NA,0.00653285741043337,NA
dendrite membrane,NA,NA,NA,NA,NA,0.0357855559830503,NA
dendritic spine,NA,NA,NA,NA,NA,0.00129451737421002,NA
extracellular matrix,NA,NA,NA,NA,NA,0.0286244484939442,NA
extracellular matrix component,NA,NA,NA,NA,NA,7.00112285571747e-05,NA
extrinsic component of membrane,NA,NA,NA,NA,NA,0.0286244484939442,NA
extrinsic component of plasma membrane,NA,NA,NA,NA,NA,0.00100924465242244,NA
filopodium,NA,NA,NA,NA,NA,0.00969523803963226,NA
GABA receptor complex,NA,NA,NA,NA,0.023941112069483,0.0018549079609177,NA
GABA-A receptor complex,NA,NA,NA,NA,0.0273100503318656,0.00100924465242244,0.0485684532490961
growth cone,NA,NA,NA,NA,NA,0.0398594537479496,NA
ion channel complex,NA,NA,NA,NA,0.0150111600148146,6.2595595064071e-05,4.3177247897556e-06
ionotropic glutamate receptor complex,NA,NA,NA,NA,NA,0.0207901909913696,0.0109743754570857
main axon,NA,NA,NA,NA,NA,0.0286244484939442,0.0135889381802176
neuron projection membrane,NA,NA,NA,NA,NA,0.00319689111054802,NA
neuron spine,NA,NA,NA,NA,NA,0.000685005834747528,NA
neuron to neuron synapse,NA,NA,NA,NA,0.0276738050010624,2.19462175735245e-07,0.0128681141786673
neuronal cell body,NA,NA,NA,NA,NA,0.0286244484939442,NA
neurotransmitter receptor complex,NA,NA,NA,NA,NA,0.0327666508647571,0.0135889381802176
postsynapse,NA,NA,NA,NA,0.00842949241096002,3.47201937807896e-08,0.00022641571387602
postsynaptic density,NA,NA,NA,NA,0.0314971538592718,2.1843704144729e-07,0.0193086389548028
postsynaptic density membrane,NA,NA,NA,NA,NA,0.00129451737421002,0.0109743754570857
postsynaptic membrane,NA,NA,NA,NA,0.0164711376827163,2.19462175735245e-07,3.43343111508252e-05
postsynaptic specialization,NA,NA,NA,NA,0.0314971538592718,2.19462175735245e-07,0.0213543563578895
postsynaptic specialization membrane,NA,NA,NA,NA,NA,0.00102132036590728,0.00514203810726418
potassium channel complex,NA,NA,NA,NA,0.0276738050010624,0.00263120653637024,0.0213543563578895
presynapse,NA,NA,NA,NA,NA,0.00541956716239275,0.0135889381802176
presynaptic membrane,NA,NA,NA,NA,NA,0.000769210394877211,0.000365313470542451
proteinaceous extracellular matrix,NA,NA,NA,NA,0.0273100503318656,0.000769210394877211,0.0127428568918236
receptor complex,NA,NA,NA,NA,0.00536452906255717,1.23621390233458e-06,0.00148528993783686
sarcolemma,NA,NA,NA,NA,NA,0.0181480328805828,0.000303235381073646
site of polarized growth,NA,NA,NA,NA,NA,0.0320844425266052,NA
sodium channel complex,NA,NA,NA,NA,NA,0.033057295429451,NA
synaptic membrane,NA,NA,NA,NA,0.0441193271383687,1.15351105624738e-07,4.3177247897556e-06
T-tubule,NA,NA,NA,NA,NA,NA,0.00600099531638816
transmembrane transporter complex,NA,NA,NA,NA,0.0273100503318656,0.000161369558442327,3.43343111508252e-05
transporter complex,NA,NA,NA,NA,0.0273100503318656,0.000307333616692262,3.43343111508252e-05
voltage-gated potassium channel complex,NA,NA,NA,NA,0.0276738050010624,0.0101422057742369,0.0451303838654368
