ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,223/6333,441/17295,9.85814721404125e-10,7.14715673017991e-07,6.53750815246946e-07,CDC42/EPHB2/EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/PALMD/ATP1A1/ATP1A2/DNM3/KCNH1/DISC1/ACTN2/CHRM3/SOS1/SLC8A1/BCL11A/ACTR2/ADD2/LRRTM4/CTNNA2/LRRTM1/NCK2/RAB3GAP1/PKP4/TANC1/CHRNA1/ZNF804A/ALS2/BMPR2/MAP2/DOCK10/ITPR1/GRM7/ATP2B2/MAP4/GABRR3/GAP43/GSK3B/TMEM108/CLSTN2/NLGN1/DLG1/KCTD8/GABRG1/GABRA4/GABRB1/SEPT11/SNCA/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/DROSHA/MAP1B/HOMER1/MEF2C/PJA2/KCNN2/SPOCK1/LRRTM2/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/GABRP/CPEB4/DTNBP1/GABBR1/SYNGAP1/SLC29A1/GABRR1/GABRR2/EPHA7/GRIK2/FYN/GOPC/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/PSMC2/PRKAR2B/CTTNBP2/KCND2/CADPS2/CHRM2/DGKI/PSD3/PTK2B/KCNU1/CHRNA6/LYN/CALB1/BAALC/ASAP1/PTK2/MPDZ/APBA1/ABHD17B/NTRK2/GABBR2/GRIN3A/MUSK/LPAR1/ABL1/ITGA8/ABI1/ITGB1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/PTEN/CPEB3/SORCS3/ADD3/CHRNA10/APBB1/LIN7C/KCNA4/LRRC4C/LRP4/P2RX3/CTNND1/SHANK2/ARRB1/DLG2/PICALM/GRM5/GRIA4/CRYAB/GRIK4/ARHGAP32/CACNA1C/GRIN2B/PTPRO/EPS8/SSPN/LRRK2/DDN/NPFF/KCNC2/LIN7A/ATP2B1/ANKS1B/NOS1/P2RX4/DCLK1/FARP1/GPHN/SLC8A3/SIPA1L1/CYFIP1/GABRB3/GABRA5/GABRG3/CHRM5/USP8/NPTN/CHRNA3/CHRNA5/CHRNB4/CPEB1/DNAJA3/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/FXR2/SHISA6/ARHGAP44/ASIC2/CACNG5/CACNG4/DLGAP1/EPB41L3/MIB1/CDH2/NETO1/RAB8A/SHANK1/CACNG7/CACNG8/PLCB4/SNAP25/SYNDIG1/ZMYND8/KCNB1/APP/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/FRMPD4/GLRA2/IL1RAPL1/DMD/MAGEE1/DRP2/GRIA3/FMR1,223
GO_CC,GO:0043235,receptor complex,188/6333,370/17295,1.26320894304041e-08,4.57913241852147e-06,4.18853491639713e-06,TAS1R2/EPHB2/GRIK3/ROR1/LEPR/IL23R/TGFBR3/OLFM3/NOTCH2/DDR2/CR1L/PLXNA2/ALK/HTRA2/MERTK/LRP1B/ACVR2A/ACVR1C/ACVR1/PLA2R1/ITGB6/LRP2/ITGA6/CHRNA1/ITGA4/ITGAV/CALCRL/HSPD1/NRP2/ERBB4/VWC2L/IRS1/GRM7/TGFBR2/ITGA9/EPHA3/EPHA6/GABRR3/IMPG2/ALCAM/TRAT1/CD200R1/TF/RYK/EPHB1/TRPC1/GPR160/NLGN1/PEX5L/DLG1/BST1/TLR1/KCTD8/GABRG1/GABRA4/GABRB1/PDGFRA/KIT/ABCG2/GRID2/BMPR1B/MTTP/NPNT/EGF/NR3C2/TLR2/GRIA2/MTNR1A/LIFR/OSMR/GHR/ITGA1/ITGA2/IL6ST/CD14/KCTD16/CSF1R/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/GABRP/GABBR1/ITPR3/HSP90AB1/GABRR1/GABRR2/EPHA7/GPR63/GRIK2/ROS1/GRM1/STXBP5/AHR/ITGB8/IL6/ADCYAP1R1/VWC2/EGFR/CD36/CALCR/LMTK2/MET/GPR37/PLXNA4/EPHB6/EPHA1/PTPRN2/PTK2B/FGFR1/CHRNA6/LYN/LY96/VLDLR/TEK/NTRK2/ROR2/GABBR2/GRIN3A/MUSK/TLR4/NOTCH1/ITGA8/APBB1IP/ITGB1/BMPR1A/SORBS1/PKD2L1/GFRA1/FGFR2/CHRNA10/TRAF6/LRP4/P2RX3/SHANK2/DLG2/GRIA4/GRIK4/TNFRSF1A/OLR1/LRP6/GRIN2B/EPS8/ITPR2/CAPRIN2/GPR84/ITGA5/ITGA7/ERBB3/PTPRB/PLXNC1/NT5DC3/FLT3/FLT1/SLITRK5/TSHR/GABRB3/GABRA5/GABRG3/ITGA11/CHRNA3/CHRNA5/CHRNB4/NTRK3/IGF1R/GRIN2A/SHISA9/CACNG3/IL4R/ITGAM/TRADD/PKD1L3/SHISA6/ERBB2/CACNG5/CACNG4/GPRC5C/RNMT/SHANK1/CACNG7/CACNG8/ABHD12/APP/GRIK1/MYH9/CACNG2/GRIA3,188
GO_CC,GO:0097060,synaptic membrane,160/6333,308/17295,2.25556093946529e-08,5.45093893704112e-06,4.98597681355485e-06,GRIK3/RIMS3/LRRC7/KCNA2/DNM3/KCNH1/DISC1/CHRM3/SLC8A1/NRXN1/LRRTM4/LRRTM1/TANC1/CHRNA1/GRM7/ATP2B2/ERC2/GABRR3/TMEM108/CLSTN2/NLGN1/DLG1/CPZ/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/CPE/GLRA3/CDH9/IL31RA/FCHO2/HOMER1/PJA2/SNCAIP/LRRTM2/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/GABRP/CPEB4/DTNBP1/GABBR1/GRM4/RIMS1/GABRR1/GABRR2/EPHA7/GRIK2/GOPC/UTRN/GRM1/SYNE1/GRM3/AKAP9/KCND2/CADPS2/GRM8/CHRM2/DGKI/PSD3/KCNU1/CHRNA6/BAALC/RIMS2/MPDZ/ABHD17B/NTRK2/GABBR2/GRIN3A/MUSK/DENND1A/ITGA8/GAD2/ABI1/ITGB1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/PTEN/CPEB3/CHRNA10/APBB1/LIN7C/LRRC4C/LRP4/SHANK2/ARRB1/DLG2/PICALM/GRM5/GRIA4/CRYAB/GRIK4/ARHGAP32/ERC1/GRIN2B/SSPN/DDN/KCNC2/ZDHHC17/SYT1/LIN7A/ATP2B1/ANKS1B/GPHN/SIPA1L1/GABRB3/GABRA5/GABRG3/CHRM5/UNC13C/NPTN/CHRNA3/CHRNA5/CHRNB4/CPEB1/DNAJA3/GRIN2A/SHISA9/CACNG3/GSG1L/CNTNAP4/SHISA6/CACNG5/CACNG4/DLGAP1/CDH2/NETO1/SHANK1/CACNG7/CACNG8/SNAP25/SYNDIG1/KCNB1/GRIK1/SYNJ1/NIPSNAP1/CACNG2/NLGN4X/GLRA2/IL1RAPL1/DMD/CASK/MAGEE1/DRP2/GRIA3/FMR1,160
GO_CC,GO:0032279,asymmetric synapse,123/6333,227/17295,4.41985177245956e-08,7.95421810127662e-06,7.27572762802798e-06,EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/KCNH1/DISC1/CHRM3/SOS1/BCL11A/ACTR2/ADD2/CTNNA2/NCK2/PKP4/TANC1/ALS2/BMPR2/MAP2/ITPR1/GRM7/ATP2B2/MAP4/GAP43/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/CPEB4/DTNBP1/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/GRIN3A/ITGA8/ABI1/DLG5/GRID1/CPEB3/SORCS3/ADD3/LIN7C/LRP4/SHANK2/ARRB1/DLG2/GRM5/GRIA4/CRYAB/GRIK4/ARHGAP32/CACNA1C/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/P2RX4/DCLK1/SIPA1L1/USP8/NPTN/CHRNA3/CPEB1/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/FXR2/SHISA6/ARHGAP44/CACNG5/CACNG4/DLGAP1/EPB41L3/MIB1/CDH2/NETO1/RAB8A/SHANK1/CACNG7/CACNG8/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/DRP2/GRIA3/FMR1,123
GO_CC,GO:0045211,postsynaptic membrane,127/6333,237/17295,6.33111120674339e-08,7.95421810127662e-06,7.27572762802798e-06,GRIK3/LRRC7/DNM3/KCNH1/DISC1/CHRM3/SLC8A1/LRRTM4/LRRTM1/TANC1/CHRNA1/GRM7/ATP2B2/GABRR3/TMEM108/CLSTN2/NLGN1/DLG1/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/CDH9/HOMER1/PJA2/LRRTM2/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/GABRP/CPEB4/DTNBP1/GABBR1/GABRR1/GABRR2/EPHA7/GRIK2/GOPC/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/CHRM2/PSD3/KCNU1/CHRNA6/BAALC/MPDZ/ABHD17B/NTRK2/GABBR2/GRIN3A/MUSK/ABI1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/PTEN/CPEB3/CHRNA10/APBB1/LIN7C/LRRC4C/SHANK2/ARRB1/DLG2/PICALM/GRM5/GRIA4/GRIK4/ARHGAP32/GRIN2B/SSPN/KCNC2/LIN7A/ANKS1B/GPHN/SIPA1L1/GABRB3/GABRA5/GABRG3/CHRM5/CHRNA3/CHRNA5/CHRNB4/CPEB1/DNAJA3/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/CACNG5/CACNG4/DLGAP1/CDH2/NETO1/SHANK1/CACNG7/CACNG8/SYNDIG1/KCNB1/GRIK1/CACNG2/NLGN4X/GLRA2/IL1RAPL1/DMD/MAGEE1/DRP2/GRIA3/FMR1,127
GO_CC,GO:0099572,postsynaptic specialization,121/6333,224/17295,7.13564269989984e-08,7.95421810127662e-06,7.27572762802798e-06,EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/KCNH1/DISC1/SOS1/BCL11A/ACTR2/ADD2/CTNNA2/NCK2/PKP4/TANC1/ALS2/BMPR2/MAP2/ITPR1/ATP2B2/MAP4/GAP43/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/CPEB4/DTNBP1/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/GRIN3A/ITGA8/ABI1/DLG5/GRID1/CPEB3/SORCS3/ADD3/LIN7C/LRP4/SHANK2/ARRB1/DLG2/GRM5/GRIA4/CRYAB/GRIK4/ARHGAP32/CACNA1C/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/P2RX4/DCLK1/GPHN/SIPA1L1/USP8/NPTN/CHRNA3/CPEB1/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/FXR2/SHISA6/ARHGAP44/CACNG5/CACNG4/DLGAP1/EPB41L3/MIB1/CDH2/NETO1/RAB8A/SHANK1/CACNG7/CACNG8/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/DRP2/GRIA3/FMR1,121
GO_CC,GO:0014069,postsynaptic density,120/6333,222/17295,7.67993471847398e-08,7.95421810127662e-06,7.27572762802798e-06,EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/KCNH1/DISC1/SOS1/BCL11A/ACTR2/ADD2/CTNNA2/NCK2/PKP4/TANC1/ALS2/BMPR2/MAP2/ITPR1/ATP2B2/MAP4/GAP43/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/CPEB4/DTNBP1/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/GRIN3A/ITGA8/ABI1/DLG5/GRID1/CPEB3/SORCS3/ADD3/LIN7C/LRP4/SHANK2/ARRB1/DLG2/GRM5/GRIA4/CRYAB/GRIK4/ARHGAP32/CACNA1C/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/P2RX4/DCLK1/SIPA1L1/USP8/NPTN/CHRNA3/CPEB1/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/FXR2/SHISA6/ARHGAP44/CACNG5/CACNG4/DLGAP1/EPB41L3/MIB1/CDH2/NETO1/RAB8A/SHANK1/CACNG7/CACNG8/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/DRP2/GRIA3/FMR1,120
GO_CC,GO:0098984,neuron to neuron synapse,123/6333,230/17295,1.17739279186598e-07,1.06701221762854e-05,9.75996656415218e-06,EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/KCNH1/DISC1/CHRM3/SOS1/BCL11A/ACTR2/ADD2/CTNNA2/NCK2/PKP4/TANC1/ALS2/BMPR2/MAP2/ITPR1/GRM7/ATP2B2/MAP4/GAP43/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/CPEB4/DTNBP1/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/GRIN3A/ITGA8/ABI1/DLG5/GRID1/CPEB3/SORCS3/ADD3/LIN7C/LRP4/SHANK2/ARRB1/DLG2/GRM5/GRIA4/CRYAB/GRIK4/ARHGAP32/CACNA1C/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/P2RX4/DCLK1/SIPA1L1/USP8/NPTN/CHRNA3/CPEB1/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/FXR2/SHISA6/ARHGAP44/CACNG5/CACNG4/DLGAP1/EPB41L3/MIB1/CDH2/NETO1/RAB8A/SHANK1/CACNG7/CACNG8/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/DRP2/GRIA3/FMR1,123
GO_CC,GO:0034702,ion channel complex,148/6333,288/17295,1.7928417711165e-07,1.44423364895496e-05,1.32104130503321e-05,GRIK3/PDE4B/LRRC8C/LRRC8D/OLFM3/AMIGO1/KCNA10/KCNA2/KCNA3/KCND3/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/SESTD1/VWC2L/SCN5A/SCN10A/SCN11A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/GABRP/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/CHRNA6/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNB2/KCNMA1/PKD2L1/CHRNA10/ABCC8/KCNJ11/KCNC1/KCNA4/LRRC55/ANO1/SHANK2/DLG2/GRIA4/GRIK4/KCNJ1/CACNA1C/ANO2/GRIN2B/EPS8/ABCC9/KCNJ8/ANO6/BEST3/KCNMB4/KCNC2/NOS1/MICU2/TRPC4/AKAP6/GABRB3/GABRA5/GABRG3/RYR3/HCN4/CHRNA3/CHRNA5/CHRNB4/GRIN2A/SHISA9/CACNG3/PKD1L3/SHISA6/CACNG5/CACNG4/KCNJ16/CACNA1A/CATSPERG/KCNN4/SHANK1/CACNG7/CACNG8/SNAP25/ABHD12/KCNB1/GRIK1/CLDN17/KCNE1/KCNJ6/CACNG2/GLRA2/TRPC5/GRIA3,148
GO_CC,GO:0031252,cell leading edge,180/6333,369/17295,9.23099376563236e-07,6.69247048008346e-05,6.12160639194567e-05,CDC42/PHACTR4/WLS/SSX2IP/LMO4/PKN2/KCNA2/THEM4/SCYL3/KCNH1/USH2A/ENAH/CDC42BPA/ACTA1/ADAM17/CCDC88A/ACTR2/PLEK/ANTXR1/AAK1/DYSF/CTNNA2/ACTR3/EPB41L5/ARHGEF4/CXCR4/DPP4/FAP/KLHL41/WIPF1/NCKAP1/ITGAV/ALS2/RAPH1/ABI2/MTMR14/FGD5/CLASP2/FRMD4B/ROBO2/PHLDB2/ARHGAP31/MYLK/ARHGEF26/PIK3CA/LDB2/APBB2/GABRG1/GABRA4/RUFY3/PTPN13/TACR3/KLHL2/PALLD/SH3RF1/SORBS2/FAT1/MYO10/IQGAP2/JMY/RASA1/FER/APC/MCC/SNX2/CTNNA1/ARAP3/SPRY4/DPYSL3/GRIA1/GABRA6/GABRA1/GABRG2/NEDD9/FLOT1/CD2AP/DST/EEF1A1/MYO6/WASF1/PTPRK/OPRM1/TIAM2/SNX9/EZR/AMPH/LIMK1/CDK6/SGCE/PPP1R9A/WASL/MKLN1/CNTNAP2/DLC1/PSD3/PTK2B/NRG1/SNTG1/STMN2/MTSS1/PTK2/DOCK8/KANK1/DDX58/BSPRY/GSN/ABL1/TSC1/ITGA8/APBB1IP/ABI1/ITGB1/CTNNA3/SLK/ABLIM1/PLEKHA1/APBB1/ARFIP2/SWAP70/KCNJ11/KCNC1/KIF18A/SLC1A2/PTPRJ/CTNND1/AMOTL1/RDX/PTPRO/EPS8/C2CD5/TWF1/DDN/ITGA5/RAB3IP/KCNC2/KITLG/ATP2B1/FGD6/SSH1/TESC/SPATA13/WASF3/SPRY2/ARHGEF7/ARF6/FERMT2/PLEK2/EVL/CYFIP1/GABRA5/GABRG3/ANXA2/SNX1/PSTPIP1/IQGAP1/SHISA9/MYH10/SHISA6/ARHGAP44/KSR1/FLOT2/MYO1D/TUBG1/EPB41L3/PTPRM/ROCK1/CDH2/SLC39A6/FERMT1/LAMP5/SNX5/KCNB1/SAMSN1/APP/TIAM1/ITSN1/MYH9/PARVB/NHS/ARHGEF6,180
