ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0042391,regulation of membrane potential,130/3200,431/16587,2.81493648791902e-08,0.000169318429748329,0.000165636789131235,GRIK3/CASQ2/GJA5/KCNJ10/NOS1AP/MYOC/KCNT2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/SLC8A1/NRXN1/TACR1/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/PID1/CAV3/KCNH8/GPD1L/SCN5A/SCN10A/SCN11A/CCK/SLMAP/FAM19A4/GABRR3/NLGN1/KCNMB2/KCNMB3/FGF12/GABRG1/GABRA4/GABRB1/KDR/SNCA/GRID2/PPA2/ANK2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/MEF2C/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/DSP/RIMS1/GABRR2/GRIK2/GJA1/TRDN/HEBP2/OPRM1/ABCB5/CACNA2D1/PPP1R9A/TAC1/RELN/NRCAM/CAV1/CFTR/KCND2/DGKI/CLCN1/ADRA1A/KCNU1/CHRNB3/CNGB3/SLC26A7/RIMS2/KCNQ3/GNAQ/GRIN3A/PTPN3/CACNB2/ANK3/CTNNA3/KCNMA1/GRID1/KCNK18/GRM5/MTMR2/CASP1/GRIA4/HTR3B/GRIK4/GRIN2B/LRRK2/NPFF/DCN/P2RX7/FGF14/KCNH5/SLC8A3/KCNK10/GABRB3/GABRA5/GABRG3/HCN4/GRIN2A/CHRNB1/ASIC2/KCNJ2/ADCYAP1/PIEZO2/DSC2/DSG2/CELF4/NEDD4L/PMAIP1/NETO1/CACNA1A/CXADR/APP/GRIK1/DMD/TRPC5/GRIA3/FGF13,130
GO_BP,GO:0007214,gamma-aminobutyric acid signaling pathway,16/3200,24/16587,5.35127807202217e-07,0.00117021913869829,0.00114477402726927,PLCL1/PLCL2/GABRR3/GABRG1/GABRA4/GABRB1/SLC12A2/HTR4/GABRB2/GABRA1/GABRG2/GABRR2/GABBR2/GABRB3/GABRA5/GABRG3,16
GO_BP,GO:0035249,synaptic transmission  glutamatergic,39/3200,94/16587,5.8365044324104e-07,0.00117021913869829,0.00114477402726927,GRIK3/NTRK1/TNR/CNIH3/NRXN1/ALS2/GRM7/OXTR/NLGN1/GRID2/GRIA2/MEF2C/GRIA1/GRIK2/GRM1/EGFR/GRM3/RELN/GRM8/DGKI/SHC3/ROR2/OR13F1/GRID1/SLC17A6/OR5T1/GRM5/GRIA4/GRIK4/LRRK2/SYT1/SLC17A8/HTR2A/CACNG3/CDH8/ADCYAP1/CDH2/GRIK1/GRIA3,39
GO_BP,GO:0097485,neuron projection guidance,79/3200,245/16587,8.48444682720163e-07,0.00127584869164045,0.00124810678326466,DAB1/NRAS/NTRK1/LMX1A/TNR/LHX4/NFASC/CNTN2/SOS1/NRXN1/KIF5C/CHN1/EPHA4/CNTN4/WNT5A/ROBO2/ROBO1/ALCAM/BOC/SEMA5B/RYK/EPHB1/SLIT2/EPHA5/ATOH1/BMPR1B/UNC5C/GAB1/SEMA5A/ISL1/ZSWIM6/PIK3R1/EFNA5/SEMA6A/POU4F3/CYFIP2/SLIT3/RANBP9/EPHA7/FYN/LAMA2/EZR/ETV1/ISPD/SEMA3C/SEMA3E/DLX5/RELN/NRCAM/PLXNA4/FZD3/UNC5D/MATN2/EXT1/SHC3/SEMA4D/CXCL12/BDNF/GAB2/NCAM1/PTPRO/KIF5A/FRS2/PLXNC1/EFNB2/NRXN3/FLRT2/BCL11B/NEO1/PTPRM/RNF165/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/APP/DSCAM,79
GO_BP,GO:0007411,axon guidance,78/3200,243/16587,1.21163163464815e-06,0.00145759285648172,0.00142589912372277,DAB1/NRAS/NTRK1/LMX1A/TNR/LHX4/NFASC/CNTN2/SOS1/NRXN1/KIF5C/CHN1/EPHA4/CNTN4/WNT5A/ROBO2/ROBO1/ALCAM/BOC/RYK/EPHB1/SLIT2/EPHA5/ATOH1/BMPR1B/UNC5C/GAB1/SEMA5A/ISL1/ZSWIM6/PIK3R1/EFNA5/SEMA6A/POU4F3/CYFIP2/SLIT3/RANBP9/EPHA7/FYN/LAMA2/EZR/ETV1/ISPD/SEMA3C/SEMA3E/DLX5/RELN/NRCAM/PLXNA4/FZD3/UNC5D/MATN2/EXT1/SHC3/SEMA4D/CXCL12/BDNF/GAB2/NCAM1/PTPRO/KIF5A/FRS2/PLXNC1/EFNB2/NRXN3/FLRT2/BCL11B/NEO1/PTPRM/RNF165/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/APP/DSCAM,78
GO_BP,GO:0051962,positive regulation of nervous system development,134/3200,477/16587,1.5079601993343e-06,0.00151173009983264,0.00147885921303136,KDM1A/DAB1/LRRC7/NEGR1/LPAR3/RAP1A/NTRK1/BRINP3/ASPM/SYT2/SRGAP2C/PROX1/DISC1/SOX11/NCOA1/NRXN1/ACTR2/LRRTM1/LRP2/NFE2L2/NEUROD1/ZNF804A/FN1/EPHA4/OXTR/RARB/TRAK1/WNT5A/ROBO2/ROBO1/EPHA3/EPHB1/NCK1/CLSTN2/SLITRK3/SERPINI1/ECT2/NLGN1/BCL6/IL1RAP/OPA1/ADRA2C/SLIT2/RUFY3/GRID2/ATOH1/NDNF/VEGFC/TENM3/SEMA5A/NIPBL/ARSB/MEF2C/EFNA5/MAN2A1/SEMA6A/DPYSL3/NKX2-5/BEND6/RIMS1/FYN/HDAC2/MYB/OPRM1/TMEM106B/VWC2/COBL/MAGI2/HGF/PPP1R9A/RELN/NRCAM/LRRN3/PLXNA4/FZD3/NRG1/PLAG1/RIMS2/KDM4C/PTPRD/PLAA/LINGO2/NTRK2/SEMA4D/BRINP1/SETX/PARD3/CXCL12/ZNF365/LRRTM3/DLG5/CPEB3/ZFYVE27/MOB2/ILK/BDNF/TENM4/TRPC6/CNTN1/GRIP1/RAB21/SYT1/PLXNC1/FBXW8/ATP8A2/SLITRK1/SLITRK5/DCT/LIG4/PRKD1/PRKCH/HIF1A/FLRT2/TCF12/NTRK3/SYT17/GPRC5B/EEF2K/IST1/ASPA/ASIC2/ITGA3/ADCYAP1/RIT2/SYT4/TCF4/NEDD4L/FLRT3/BMP7/APP/DSCAM/IL1RAPL1/TRPC5/SLITRK4,134
GO_BP,GO:0050808,synapse organization,89/3200,292/16587,2.61584609384349e-06,0.00205808375013048,0.00201333301189647,NFIA/NTRK1/LMX1A/DNM3/TNR/NFASC/CNTN2/NRXN1/ACTR2/CTNNA2/LRRTM1/TANC1/ZNF804A/ALS2/FZD5/EPHA4/DOCK10/DNER/OXTR/WNT5A/PDZRN3/ROBO2/RYK/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/OPA1/SNCA/GRID2/GLRB/GPM6A/CTNND2/CDH9/F2R/MEF2C/EFNA5/EPHA7/FYN/UTRN/MAGI2/PCLO/SEMA3E/PPP1R9A/RELN/NRCAM/LRRN3/NRG1/FNTA/PTPRD/LINGO2/NTRK2/MUSK/C1QL3/CACNB2/ANK3/ZNF365/LRRTM3/DLG5/BDNF/RAPSN/GRM5/MTMR2/KIRREL3/GRIN2B/LRRK2/PCDH17/POU4F1/SLITRK1/SLITRK5/FARP1/FLRT2/MYO5A/NTRK3/EEF2K/CHRNB1/ARHGEF15/SHISA6/ARHGAP44/ASIC2/ITGA3/AFG3L2/CDH2/FLRT3/APP/DSCAM/IL1RAPL1/SLITRK4,89
GO_BP,GO:0007416,synapse assembly,51/3200,143/16587,3.00248532735559e-06,0.00205808375013048,0.00201333301189647,NTRK1/DNM3/NRXN1/LRRTM1/FZD5/DNER/OXTR/WNT5A/ROBO2/RYK/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/SNCA/GRID2/GPM6A/CDH9/MEF2C/EFNA5/EPHA7/MAGI2/PCLO/PPP1R9A/NRCAM/LRRN3/NRG1/PTPRD/LINGO2/NTRK2/MUSK/LRRTM3/DLG5/BDNF/KIRREL3/PCDH17/POU4F1/SLITRK1/SLITRK5/FARP1/FLRT2/NTRK3/EEF2K/ASIC2/CDH2/FLRT3/APP/DSCAM/IL1RAPL1/SLITRK4,51
GO_BP,GO:0051963,regulation of synapse assembly,34/3200,82/16587,3.07942705755185e-06,0.00205808375013048,0.00201333301189647,NTRK1/NRXN1/LRRTM1/OXTR/WNT5A/ROBO2/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/SNCA/GRID2/MEF2C/EFNA5/EPHA7/PPP1R9A/LRRN3/PTPRD/LINGO2/NTRK2/MUSK/LRRTM3/DLG5/BDNF/SLITRK1/SLITRK5/FLRT2/NTRK3/EEF2K/ASIC2/FLRT3/IL1RAPL1/SLITRK4,34
GO_BP,GO:0060078,regulation of postsynaptic membrane potential,47/3200,129/16587,3.6965194734041e-06,0.00222345646325256,0.00217510987961357,GRIK3/SLC8A1/NRXN1/NLGN1/GABRG1/GABRA4/SNCA/GRID2/GLRB/GRIA2/GLRA3/MEF2C/GLRA1/GRIA1/GABRA1/GABRG2/RIMS1/GRIK2/OPRM1/PPP1R9A/RELN/DGKI/CHRNB3/RIMS2/GRIN3A/GRID1/GRM5/MTMR2/GRIA4/GRIK4/GRIN2B/LRRK2/NPFF/P2RX7/FGF14/SLC8A3/GABRB3/GABRA5/GABRG3/GRIN2A/CHRNB1/ADCYAP1/CELF4/NETO1/APP/GRIK1/GRIA3,47
