ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0097060,synaptic membrane,109/3320,308/17295,1.21297183825566e-11,8.5029325861722e-09,7.75025164022303e-09,GRIK3/LRRC7/DNM3/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/SLC8A1/NRXN1/LRRTM4/LRRTM1/TANC1/EPHA4/GRM7/ERC2/GABRR3/CLSTN2/NLGN1/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/ANK2/GLRB/GRIA2/GLRA3/CDH9/IL31RA/F2R/SNCAIP/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/CPEB4/RIMS1/GABRR2/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/GRM8/DGKI/PSD3/KCNU1/CHRNB3/BAALC/RIMS2/MPDZ/NTRK2/GABBR2/GRIN3A/MUSK/DENND1A/ITGA8/GAD2/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/CPEB3/LRRC4C/RAPSN/DLG2/GRM5/MTMR2/GRIA4/HTR3B/GRIK4/ARHGAP32/GRIN2B/KCNC2/ZDHHC17/SYT1/LIN7A/ATP2B1/ANKS1B/GABRB3/GABRA5/GABRG3/SHC4/GRIN2A/SHISA9/CACNG3/CNTNAP4/CHRNB1/SHISA6/ITGA3/DLGAP1/CDH2/NETO1/SNAP25/FLRT3/GRIK1/IL1RAPL1/DMD/CASK/GRIA3,109
GO_CC,GO:0045211,postsynaptic membrane,89/3320,237/17295,2.58285080218981e-11,9.0528920616753e-09,8.25152861541693e-09,GRIK3/LRRC7/DNM3/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/SLC8A1/LRRTM4/LRRTM1/TANC1/EPHA4/GRM7/GABRR3/CLSTN2/NLGN1/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/ANK2/GLRB/GRIA2/GLRA3/CDH9/F2R/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/CPEB4/GABRR2/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/PSD3/KCNU1/CHRNB3/BAALC/MPDZ/NTRK2/GABBR2/GRIN3A/MUSK/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/CPEB3/LRRC4C/RAPSN/DLG2/GRM5/GRIA4/HTR3B/GRIK4/ARHGAP32/GRIN2B/KCNC2/LIN7A/ANKS1B/GABRB3/GABRA5/GABRG3/SHC4/GRIN2A/SHISA9/CACNG3/CHRNB1/SHISA6/DLGAP1/CDH2/NETO1/GRIK1/IL1RAPL1/DMD/GRIA3,89
GO_CC,GO:0098794,postsynapse,139/3320,441/17295,2.74950216641717e-10,6.4246700621948e-08,5.85595724566745e-08,GRIK3/DAB1/PDE4B/LRRC7/CNN3/DNM3/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/SOS1/SLC8A1/BCL11A/ACTR2/LRRTM4/CTNNA2/LRRTM1/TANC1/ZNF804A/ALS2/EPHA4/DOCK10/ITPR1/GRM7/GABRR3/CLSTN2/NLGN1/KCTD8/GABRG1/GABRA4/GABRB1/SNCA/GRID2/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/F2R/MEF2C/KCNN2/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/CPEB4/CLTB/GABRR2/EPHA7/GRIK2/FYN/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CADPS2/DGKI/PSD3/KCNU1/CHRNB3/BAALC/MPDZ/APBA1/NTRK2/GABBR2/GRIN3A/MUSK/ITGA8/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/CPEB3/SORCS3/ADD3/RGS10/KCNA4/LRRC4C/RAPSN/DLG2/GRM5/MTMR2/GRIA4/HTR3B/GRIK4/ARHGAP32/GRIN2B/PTPRO/EPS8/LRRK2/NPFF/KCNC2/LIN7A/ATP2B1/ANKS1B/NOS1/P2RX7/DCLK1/FARP1/SLC8A3/GABRB3/GABRA5/GABRG3/SHC4/ADAM10/GRIN2A/SHISA9/EEF2K/CACNG3/CHRNB1/SHISA6/ARHGAP44/ASIC2/KCNJ2/DLGAP1/EPB41L3/CDH2/NETO1/PLCB4/SNAP25/APP/GRIK1/SYN3/IL1RAPL1/DMD/GRIA3,139
GO_CC,GO:0034702,ion channel complex,98/3320,288/17295,1.49126871544208e-09,2.61344842381225e-07,2.38210555335091e-07,GRIK3/PDE4B/CLCA3P/LRRC8D/OLFM3/CLCC1/CASQ2/NOS1AP/LRRC52/KCNT2/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/SCN5A/SCN10A/SCN11A/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/TRDN/VWC2/CACNA2D1/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/KCNU1/CHRNB3/KCNB2/KCNS2/KCNQ3/GRIN3A/CACNB2/KCNMA1/KCNA4/DLG2/GRIA4/HTR3B/GRIK4/ANO2/GRIN2B/EPS8/ABCC9/ANO6/KCNC2/NOS1/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/CHRNB1/SHISA6/KCNJ16/KCNJ2/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,98
GO_CC,GO:0034703,cation channel complex,74/3320,211/17295,3.59612782847448e-08,5.04177121552122e-06,4.59547282501897e-06,GRIK3/PDE4B/OLFM3/CASQ2/NOS1AP/LRRC52/KCNT2/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/SCN5A/SCN10A/SCN11A/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/CAMK2D/GRIA2/HCN1/PDE4D/GRIA1/KCNQ5/GRIK2/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/KCNU1/KCNB2/KCNS2/KCNQ3/GRIN3A/CACNB2/KCNMA1/KCNA4/DLG2/GRIA4/HTR3B/GRIK4/GRIN2B/EPS8/ABCC9/KCNC2/NOS1/CATSPERB/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/SHISA6/KCNJ16/KCNJ2/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,74
GO_CC,GO:1902495,transmembrane transporter complex,99/3320,312/17295,6.97811520947702e-08,8.15276460307232e-06,7.43108058272378e-06,GRIK3/PDE4B/CLCA3P/LRRC8D/OLFM3/CLCC1/CASQ2/NOS1AP/LRRC52/KCNT2/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/SCN5A/SCN10A/SCN11A/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/TRDN/VWC2/CACNA2D1/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/KCNQ3/GRIN3A/CACNB2/KCNMA1/KCNA4/DLG2/GRIA4/HTR3B/GRIK4/ANO2/GRIN2B/EPS8/ABCC9/ANO6/KCNC2/NOS1/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/CHRNB1/SHISA6/KCNJ16/KCNJ2/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,99
GO_CC,GO:0043235,receptor complex,113/3320,370/17295,8.50853623039906e-08,8.52069128215677e-06,7.76643833361237e-06,GRIK3/ROR1/IL23R/TGFBR3/OLFM3/NOTCH2/NTRK1/INSRR/DDR2/CD247/CNIH3/ALK/HTRA2/CD8B/LRP1B/ACVR1C/ITGB6/LRP2/ITGA6/CALCRL/ERBB4/EPHA4/GRM7/ITGA9/ACVR2B/EPHA3/EPHA6/GABRR3/IMPG2/ALCAM/TF/RYK/EPHB1/TRPC1/NLGN1/PEX5L/KCTD8/GABRG1/GABRA4/GABRB1/KDR/EPHA5/GRID2/BMPR1B/MTTP/NR3C2/GRIA2/LIFR/DAB2/GHR/ITGA1/KCTD16/GRIA1/GABRB2/GABRA1/GABRG2/GABRR2/EPHA7/GPR63/GRIK2/ROS1/GRM1/ITGB8/ADCYAP1R1/VWC2/EGFR/CD36/CALCR/PLXNA4/PTPRN2/CHRNB3/LY96/TEK/NTRK2/ROR2/GABBR2/TGFBR1/GRIN3A/MUSK/ITGA8/BMPR1A/ADRA2A/DLG2/GRIA4/HTR3B/GRIK4/OLR1/KLRC1/LRP6/GRIN2B/EPS8/ITPR2/PTPRB/PLXNC1/NT5DC3/SLITRK5/TSHR/GABRB3/GABRA5/GABRG3/TYRO3/NTRK3/GRIN2A/SHISA9/CACNG3/PKD1L3/TRPV3/CHRNB1/SHISA6/ITGA3/APP/GRIK1/GRIA3,113
GO_CC,GO:0005911,cell-cell junction,125/3320,421/17295,1.04921120372963e-07,9.19371317268091e-06,8.37988421926167e-06,GJB4/GJB5/TACSTD2/SSX2IP/PKN2/CNN3/MAGI3/GJA5/GJA8/RAB13/CRB1/NFASC/SDCCAG8/STRN/SLC8A1/CTNNA2/LIMS1/GYPC/DPP4/SCN2A/SCN1A/ABCB11/ITGA6/ANKAR/MPP4/PARD3B/FZD5/CAV3/OXTR/SCN5A/MAGI1/FRMD4B/CADM2/AMOTL2/NCK1/CLDN18/ECT2/CLDN1/SHROOM3/ANK2/CLDN24/CLDN22/FAT1/CDH18/CDH12/CDH10/CDH9/PDZD2/PIK3R1/OCLN/APC/FAT2/ITK/DSP/GJB7/GJA1/PTPRK/CLDN20/ADCYAP1R1/MAGI2/STEAP1/CLDN12/AKR1B1/CNTNAP2/CLDN23/MTDH/MPDZ/TEK/TGFBR1/EPB41L4B/MPP7/PARD3/FRMPD2/ANK3/CTNNA3/VCL/DLG5/ADD3/NRAP/ILK/EIF4G2/PLEKHA7/PTPRJ/TNKS1BP1/PANX1/TRPC6/CADM1/PANX3/FRS2/LIN7A/P2RX7/GJB6/PCDH9/CLDN10/AJUBA/STXBP6/FRMD6/PRKCH/FLRT2/ANXA2/RPGRIP1L/CDH13/MYH2/KCNJ2/CYTH1/EPB41L3/PTPRM/VAPA/CDH2/DSC3/DSC2/DSG4/DSG1/DSG2/CDH19/SIPA1L3/PVR/FLRT3/PLCG1/CXADR/JAM2/APP/CLDN14/CASK/FGF13,125
GO_CC,GO:1990351,transporter complex,100/3320,320/17295,1.37970097271419e-07,1.07463375763627e-05,9.79507006359663e-06,GRIK3/PDE4B/CLCA3P/LRRC8D/OLFM3/CLCC1/CASQ2/NOS1AP/LRRC52/KCNT2/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/DPP10/KCNJ3/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/SCN5A/SCN10A/SCN11A/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/TRDN/VWC2/CACNA2D1/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/KCNQ3/GRIN3A/CACNB2/KCNMA1/KCNA4/DLG2/GRIA4/HTR3B/GRIK4/ANO2/GRIN2B/EPS8/ABCC9/ANO6/KCNC2/NOS1/TIMM9/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/CHRNB1/SHISA6/KCNJ16/KCNJ2/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,100
GO_CC,GO:0098793,presynapse,109/3320,369/17295,8.8853113339018e-07,6.22860324506516e-05,5.67724629439831e-05,GRIK3/ROR1/PDE4B/SYPL2/RAB13/KCNJ10/SYT2/KCNH1/KCNK2/CHRM3/NRXN1/TMEM163/TANC1/ZNF804A/SLC40A1/EPHA4/MFF/GRM7/CCK/ERC2/CADPS/SYNPR/STX19/CASR/MME/NLGN1/ADRA2C/KCTD8/SNCA/SLC9B2/PRSS12/CLCN3/CDH9/IL31RA/RAB3C/SV2C/MCTP1/SNCAIP/KCTD16/GRIA1/CLTB/SCGN/RIMS1/SLC17A5/GRIK2/GRM1/SYTL3/ICA1/AMPH/DDC/PCLO/GRM3/CADPS2/GRM8/DGKI/PTPRN2/PNOC/FZD3/RIMS2/APBA1/NTRK2/OR13F1/DENND1A/GAD2/SYT15/CHAT/VTI1A/RGS10/ILK/SYT9/SLC17A6/BDNF/OR5T1/GRM5/MTMR2/GRIK4/LRRK2/NPFF/KCNC2/ZDHHC17/SYT1/LIN7A/PPFIA2/NTS/EEA1/SLC17A8/P2RX7/NUFIP1/TRIM9/RAB15/STON2/SV2B/GRIN2A/SYT17/CDH8/CNTNAP4/ARHGAP44/ADCYAP1/CDH2/SYT4/RAB27B/WDR7/LAMP5/SNAP25/FLRT3/APP/GRIK1/SYN3/CASK,109
