ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0022803,passive transmembrane transporter activity,136/3153,456/16386,2.4374830826636e-08,1.46456593414323e-05,1.34605596173053e-05,GRIK3/CLCA2/CLCA3P/LRRC8D/CLCC1/GJA5/GJA8/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/GABRG1/GABRA4/GABRB1/TMEM150C/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GJB7/GABRR2/GRIK2/GJA1/OPRM1/AQP1/CACNA2D1/STEAP1/CFTR/KCND2/CLCN1/KCNU1/CHRNB3/KCNB2/CNGB3/SLC26A7/KCNS2/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/CACNB2/KCNMA1/GRID1/KCNK18/ANO5/ANO3/KCNA4/PANX1/TRPC6/GRIA4/HTR3B/GRIK4/PANX3/ANO2/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/KCNC2/ANO4/SLC5A8/P2RX7/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/SLC24A5/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/AQP8/PKD1L3/TRPV3/CHRNB1/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/PIEZO2/AQP4/LOXHD1/CACNA1A/SLC24A3/GRIK1/IL1RAPL1/TRPC5/GRIA3,136
GO_MF,GO:0005216,ion channel activity,126/3153,416/16386,2.99849220963419e-08,1.46456593414323e-05,1.34605596173053e-05,GRIK3/CLCA2/CLCA3P/LRRC8D/CLCC1/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/GABRG1/GABRA4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/OPRM1/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/KCNU1/CHRNB3/KCNB2/CNGB3/SLC26A7/KCNS2/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/CACNB2/KCNMA1/GRID1/KCNK18/ANO5/ANO3/KCNA4/PANX1/TRPC6/GRIA4/HTR3B/GRIK4/ANO2/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/KCNC2/ANO4/P2RX7/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/SLC24A5/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/PKD1L3/TRPV3/CHRNB1/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/PIEZO2/LOXHD1/CACNA1A/SLC24A3/GRIK1/IL1RAPL1/TRPC5/GRIA3,126
GO_MF,GO:0015267,channel activity,135/3153,455/16386,3.8710993854006e-08,1.46456593414323e-05,1.34605596173053e-05,GRIK3/CLCA2/CLCA3P/LRRC8D/CLCC1/GJA5/GJA8/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/GABRG1/GABRA4/GABRB1/TMEM150C/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GJB7/GABRR2/GRIK2/GJA1/OPRM1/AQP1/CACNA2D1/STEAP1/CFTR/KCND2/CLCN1/KCNU1/CHRNB3/KCNB2/CNGB3/SLC26A7/KCNS2/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/CACNB2/KCNMA1/GRID1/KCNK18/ANO5/ANO3/KCNA4/PANX1/TRPC6/GRIA4/HTR3B/GRIK4/PANX3/ANO2/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/KCNC2/ANO4/P2RX7/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/SLC24A5/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/AQP8/PKD1L3/TRPV3/CHRNB1/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/PIEZO2/AQP4/LOXHD1/CACNA1A/SLC24A3/GRIK1/IL1RAPL1/TRPC5/GRIA3,135
GO_MF,GO:0022838,substrate-specific channel activity,128/3153,429/16386,6.11495640695736e-08,1.73511888047415e-05,1.5947162629723e-05,GRIK3/CLCA2/CLCA3P/LRRC8D/CLCC1/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/GABRG1/GABRA4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/OPRM1/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/KCNU1/CHRNB3/KCNB2/CNGB3/SLC26A7/KCNS2/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/CACNB2/KCNMA1/GRID1/KCNK18/ANO5/ANO3/KCNA4/PANX1/TRPC6/GRIA4/HTR3B/GRIK4/ANO2/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/KCNC2/ANO4/P2RX7/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/SLC24A5/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/AQP8/PKD1L3/TRPV3/CHRNB1/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/PIEZO2/AQP4/LOXHD1/CACNA1A/SLC24A3/GRIK1/IL1RAPL1/TRPC5/GRIA3,128
GO_MF,GO:0008066,glutamate receptor activity,18/3153,27/16386,9.76737721574003e-08,2.21719462797299e-05,2.03778333069439e-05,GRIK3/GRM7/GRID2/GRIA2/GRIA1/GRIK2/GRM1/GRM3/GRM8/GRIN3A/GRID1/GRM5/GRIA4/GRIK4/GRIN2B/GRIN2A/GRIK1/GRIA3,18
GO_MF,GO:0022836,gated channel activity,104/3153,335/16386,1.25169535158809e-07,2.36779037342081e-05,2.17619314635754e-05,GRIK3/CLCA2/CLCA3P/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA4/GABRB1/TMEM150C/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/OPRM1/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/NCALD/KCNQ3/TRPM3/TMC1/GRIN3A/TMEM38B/CACNB2/KCNMA1/GRID1/KCNK18/ANO5/ANO3/KCNA4/GRIA4/HTR3B/GRIK4/ANO2/GRIN2B/ITPR2/ANO6/KCNC2/ANO4/P2RX7/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/CACNG3/CHRNB1/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/PIEZO2/CACNA1A/GRIK1/IL1RAPL1/GRIA3,104
GO_MF,GO:0005261,cation channel activity,97/3153,309/16386,1.84602443965969e-07,2.99319677001963e-05,2.75099281158308e-05,GRIK3/CLCA3P/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/ASIC5/GRIA2/GPM6A/HCN1/KCNN2/GRIA1/KCNQ5/GRIK2/OPRM1/AQP1/CACNA2D1/KCND2/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/CACNB2/KCNMA1/KCNK18/KCNA4/PANX1/TRPC6/GRIA4/HTR3B/GRIK4/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/KCNC2/P2RX7/FAM155A/KCNH5/KCNK10/RYR3/SLC24A5/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/PKD1L3/TRPV3/CHRNB1/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/PIEZO2/LOXHD1/CACNA1A/SLC24A3/GRIK1/IL1RAPL1/TRPC5/GRIA3,97
GO_MF,GO:0022839,ion gated channel activity,102/3153,332/16386,2.88677468428615e-07,4.09561158333097e-05,3.76420225279943e-05,GRIK3/CLCA2/CLCA3P/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/KCNJ3/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/OPRM1/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/NCALD/KCNQ3/TRPM3/TMC1/GRIN3A/TMEM38B/CACNB2/KCNMA1/GRID1/KCNK18/ANO5/ANO3/KCNA4/GRIA4/HTR3B/GRIK4/ANO2/GRIN2B/ITPR2/ANO6/KCNC2/ANO4/P2RX7/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/CACNG3/CHRNB1/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/CACNA1A/GRIK1/IL1RAPL1/GRIA3,102
GO_MF,GO:0046873,metal ion transmembrane transporter activity,128/3153,452/16386,1.41720775675294e-06,0.000178725644879398,0.000164263495548791,GRIK3/CLCA3P/SLC30A7/SLC39A1/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/SLC8A1/KCNG3/SLC9A2/SLC20A1/KCNJ3/SLC4A10/KCNH7/SCN2A/SCN1A/SCN9A/SCN7A/ABCB11/SLC40A1/SLC39A10/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D3/SLC9C1/ATP2C1/TF/TRPC1/SLC9A9/KCNAB1/KCNMB2/KCNMB3/ATP13A5/ATP13A4/KCNIP4/STIM2/SLC4A4/SLC39A8/SLC9B1/SLC9B2/ASIC5/GPM6A/SLC1A3/HCN1/SLC30A5/KCNN2/SLC12A2/ATOX1/KCNQ5/GRIK2/OPRM1/AQP1/CACNA2D1/KCND2/SLC13A1/SLC13A4/TUSC3/SLC25A37/KCNU1/KCNB2/CNGB3/NIPAL2/KCNS2/SLC30A8/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/SLC28A3/GRIN3A/TMEM38B/SLC31A2/CACNB2/KCNMA1/KCNK18/ZDHHC13/SLC6A5/SLC5A12/KCNA4/PANX1/TRPC6/GRIK4/GRIN2B/ABCC9/ITPR2/DENND5B/KCNC2/CAPS2/ZDHHC17/SLC6A15/ATP2B1/SLC10A2/FAM155A/KCNH5/SLC8A3/KCNK10/RYR3/SLC24A5/SLC12A1/SLC24A1/HCN4/GRIN2A/CACNG3/PKD1L3/TRPV3/KCNJ12/KCNJ18/ASIC2/KCNJ16/KCNJ2/SLC39A11/LOXHD1/CACNA1A/SLC24A3/GRIK1/SLC5A1/IL1RAPL1/TRPC5,128
GO_MF,GO:0030594,neurotransmitter receptor activity,43/3153,112/16386,1.81367242889164e-06,0.000205851820679201,0.000189194671266486,HTR1D/GRIK3/CHRM3/HTR2B/HTR1F/DRD3/GABRG1/GABRA4/GABRB1/GRID2/GRIA2/GLRA3/HTR4/GLRA1/GRIA1/GABRA1/GABRG2/GRIK2/GRM1/OPRM1/CHRNB3/GABBR2/GRIN3A/OR13F1/GRID1/HTR7/OR5T2/OR5T3/OR5T1/GRM5/GRIA4/HTR3B/GRIK4/OR6T1/GRIN2B/HTR2A/GABRB3/GABRA5/GABRG3/GRIN2A/CHRNB1/GRIK1/GRIA3,43
