GO_BP_terms,_Bl_count_1;all_genes,_Bl_count_1;_Bl_count_HiC_all,_Bl_count_2;_Bl_count_1,_Bl_count_3;_Bl_count_1,_Bl_count_4;_Bl_count_1,_Bl_count_5;_Bl_count_1,_Bl_count_grthan5;_Bl_count_1
action potential,NA,NA,NA,NA,NA,0.0411379146678918,0.00816741271623448
adherens junction organization,NA,NA,NA,NA,NA,0.0411379146678918,NA
axon development,NA,NA,NA,NA,NA,0.0110082430150703,0.0234818626072268
axon guidance,NA,NA,NA,NA,NA,0.0143709573878994,0.00145759285648172
axonogenesis,NA,NA,NA,NA,NA,0.00962316041394196,0.00786746669712491
bundle of His cell to Purkinje myocyte communication,NA,NA,NA,NA,NA,NA,0.0372630275064374
camera-type eye development,NA,NA,NA,NA,NA,0.04986587252427,NA
cardiac chamber development,NA,NA,NA,NA,NA,0.0137623677539285,NA
cardiac chamber morphogenesis,NA,NA,NA,NA,NA,0.04986587252427,NA
cardiac muscle cell action potential,NA,NA,NA,NA,NA,NA,0.00276286454749086
cardiac muscle cell action potential involved in contraction,NA,NA,NA,NA,NA,NA,0.0437557680738796
cardiac muscle cell contraction,NA,NA,NA,NA,NA,NA,0.0382022775182852
cardiac septum development,NA,NA,NA,NA,NA,0.0148159749967208,NA
cardiac septum morphogenesis,NA,NA,NA,NA,NA,0.0419983967059461,NA
cardiac ventricle development,NA,NA,NA,NA,NA,0.0432135916109341,NA
cell communication involved in cardiac conduction,NA,NA,NA,NA,NA,NA,0.0139252935777924
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,NA,NA,0.000358769221602722,0.00480356248465791
cell-cell junction assembly,NA,NA,NA,NA,NA,NA,0.0144276617460335
cell-cell junction organization,NA,NA,NA,NA,NA,0.0411379146678918,NA
cell-cell signaling by wnt,NA,NA,NA,NA,NA,0.0273763939452241,NA
cell-substrate adhesion,NA,NA,NA,NA,NA,0.0379604190318766,NA
chemical synaptic transmission  postsynaptic,NA,NA,NA,NA,NA,NA,0.0156461719995541
dendrite development,NA,NA,NA,NA,NA,0.00962316041394196,0.0177608412751488
dendrite extension,NA,NA,NA,NA,NA,0.0287335826285557,NA
dendrite morphogenesis,NA,NA,NA,NA,NA,0.0189073889586732,NA
dephosphorylation,NA,NA,NA,NA,NA,0.00962316041394196,NA
developmental growth involved in morphogenesis,NA,NA,NA,NA,NA,0.022077750460537,0.0194914293894271
embryonic organ morphogenesis,NA,NA,NA,0.0144122481786247,NA,NA,NA
eye development,NA,NA,NA,NA,NA,0.0419983967059461,NA
forebrain development,NA,NA,NA,0.000809200302788714,NA,0.00882873224525504,NA
gamma-aminobutyric acid signaling pathway,NA,NA,NA,NA,NA,0.022077750460537,0.00117021913869829
glutamate receptor signaling pathway,NA,NA,NA,NA,NA,0.010108697015125,0.0134368344076406
heart trabecula morphogenesis,NA,NA,NA,NA,NA,0.0218045586675865,NA
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,NA,NA,NA,NA,NA,0.0327609289503614,NA
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,NA,0.00027676029699187,0.000358769221602722,NA
ionotropic glutamate receptor signaling pathway,NA,NA,NA,NA,NA,NA,0.00516555167791492
kidney development,NA,NA,NA,NA,NA,0.00882873224525504,NA
lipid translocation,NA,NA,NA,NA,NA,0.022077750460537,NA
monovalent inorganic cation transport,NA,NA,NA,NA,NA,NA,0.00786746669712491
multicellular organismal signaling,NA,NA,NA,NA,NA,0.0454198228623534,NA
muscle tissue development,NA,NA,NA,NA,NA,0.0375679795373732,NA
negative chemotaxis,NA,NA,NA,NA,NA,NA,0.00792051515305783
negative regulation of stem cell differentiation,NA,NA,NA,NA,NA,0.04986587252427,NA
neuron migration,NA,NA,NA,NA,NA,NA,0.0372630275064374
neuron projection guidance,NA,NA,NA,NA,NA,0.0137623677539285,0.00127584869164045
peptidyl-serine modification,NA,NA,NA,NA,NA,0.0102735198931019,NA
phospholipid translocation,NA,NA,NA,NA,NA,0.0376365530579733,NA
positive regulation of cell development,NA,NA,NA,NA,NA,0.0109199424456664,0.00637317395692665
