GO_CC_terms,_Bl_count_1;all_genes,_Bl_count_1;_Bl_count_HiC_all,_Bl_count_2;_Bl_count_1,_Bl_count_3;_Bl_count_1,_Bl_count_4;_Bl_count_1,_Bl_count_5;_Bl_count_1,_Bl_count_grthan5;_Bl_count_1
actin-based cell projection,NA,NA,NA,NA,NA,NA,0.0123018211343409
apical junction complex,NA,NA,NA,NA,NA,NA,0.018235799761106
apical part of cell,NA,NA,NA,NA,NA,0.0272351187640176,0.0426868424847249
asymmetric synapse,NA,NA,NA,NA,NA,7.95421810127662e-06,0.000125549081706783
axon part,NA,NA,NA,NA,NA,NA,0.00979135999524307
basement membrane,NA,NA,NA,NA,NA,0.0272351187640176,NA
bicellular tight junction,NA,NA,NA,NA,NA,NA,0.0183307927680048
cation channel complex,NA,NA,NA,NA,NA,9.15344032429822e-05,5.04177121552122e-06
caveola,NA,NA,NA,NA,NA,0.0318137255755157,NA
cell leading edge,NA,NA,NA,NA,NA,6.69247048008346e-05,0.00775147299163127
cell-cell adherens junction,NA,NA,NA,NA,NA,0.000480433832369029,0.000388926588383843
cell-cell junction,NA,NA,NA,NA,NA,0.00395830346270779,9.19371317268091e-06
chloride channel complex,NA,NA,NA,NA,NA,NA,0.0123018211343409
cytoplasmic region,NA,NA,NA,NA,NA,0.0478097963859629,NA
dendrite membrane,NA,NA,NA,NA,NA,NA,0.0195070929854225
dendritic spine,NA,NA,NA,NA,NA,0.00774480876924649,0.028627508381154
dystrophin-associated glycoprotein complex,NA,NA,NA,NA,NA,0.0272351187640176,0.0426868424847249
exocytic vesicle,NA,NA,NA,NA,NA,NA,0.0257726401553373
extracellular matrix,NA,NA,NA,NA,NA,0.0166350416612619,NA
extracellular matrix component,NA,NA,NA,NA,NA,0.00465828814873803,NA
filopodium,NA,NA,NA,NA,NA,NA,0.00948493942679011
GABA receptor complex,NA,NA,NA,NA,NA,0.0140514187082842,0.00220454199553837
GABA-A receptor complex,NA,NA,NA,NA,NA,0.0272351187640176,0.00565217535547022
glial cell projection,NA,NA,NA,NA,NA,NA,0.0209836605126936
glycoprotein complex,NA,NA,NA,NA,NA,0.0272351187640176,0.0426868424847249
growth cone,NA,NA,NA,NA,NA,NA,0.0245475453342392
intercalated disc,NA,NA,NA,NA,NA,NA,0.0257726401553373
ion channel complex,NA,NA,NA,NA,NA,1.44423364895496e-05,2.61344842381225e-07
ionotropic glutamate receptor complex,NA,NA,NA,NA,NA,0.00288591005321407,0.0027148928844429
lamellipodium,NA,NA,NA,NA,NA,0.00395830346270779,NA
leading edge membrane,NA,NA,NA,NA,NA,NA,0.0426868424847249
main axon,NA,NA,NA,NA,NA,0.0478097963859629,0.0300181097776619
neuron projection membrane,NA,NA,NA,NA,NA,NA,0.00565217535547022
neuron spine,NA,NA,NA,NA,NA,0.00741506043431543,0.0240196924633504
neuron to neuron synapse,NA,NA,NA,NA,NA,1.06701221762854e-05,0.000161936953613831
neurotransmitter receptor complex,NA,NA,NA,NA,NA,0.00664676644922965,0.00183248131296308
occluding junction,NA,NA,NA,NA,NA,NA,0.016251276566494
postsynapse,NA,NA,NA,NA,NA,7.14715673017991e-07,6.4246700621948e-08
postsynaptic density,NA,NA,NA,NA,NA,7.95421810127662e-06,0.000161936953613831
postsynaptic density membrane,NA,NA,NA,NA,NA,0.00011914762203591,0.000755088602536328
postsynaptic membrane,NA,NA,NA,NA,NA,7.95421810127662e-06,9.0528920616753e-09
postsynaptic specialization,NA,NA,NA,NA,NA,7.95421810127662e-06,0.000130565360051073
postsynaptic specialization membrane,NA,NA,NA,NA,NA,0.00014006835750003,0.000125549081706783
potassium channel complex,NA,NA,NA,NA,NA,0.000727109536777704,0.0010751434316549
presynapse,NA,NA,NA,NA,NA,NA,6.22860324506516e-05
presynaptic membrane,NA,NA,NA,NA,NA,0.0302590779445644,0.00120324008234152
proteinaceous extracellular matrix,NA,NA,NA,NA,NA,0.00068161135351086,NA
receptor complex,NA,NA,NA,NA,NA,4.57913241852147e-06,8.52069128215677e-06
sarcolemma,NA,NA,NA,NA,NA,0.00451439176718776,0.00428772913918697
site of polarized growth,NA,NA,NA,NA,NA,NA,0.0257726401553373
sodium channel complex,NA,NA,NA,NA,NA,NA,0.028627508381154
synaptic membrane,NA,NA,NA,NA,NA,5.45093893704112e-06,8.5029325861722e-09
synaptic vesicle,NA,NA,NA,NA,NA,NA,0.030596269421429
T-tubule,NA,NA,NA,NA,NA,0.0272351187640176,NA
transmembrane transporter complex,NA,NA,NA,NA,NA,0.000356756292488372,8.15276460307232e-06
transporter complex,NA,NA,NA,NA,NA,0.000407081636154212,1.07463375763627e-05
voltage-gated potassium channel complex,NA,NA,NA,NA,NA,0.00298588213435174,0.00560292208205424
