GO_MF_terms,_Bl_count_1;all_genes,_Bl_count_1;_Bl_count_HiC_all,_Bl_count_2;_Bl_count_1,_Bl_count_3;_Bl_count_1,_Bl_count_4;_Bl_count_1,_Bl_count_5;_Bl_count_1,_Bl_count_grthan5;_Bl_count_1
1-phosphatidylinositol binding,NA,NA,NA,NA,NA,0.0320818549564405,0.0187232362775905
C-acyltransferase activity,NA,NA,NA,NA,NA,0.0359137330181603,NA
calcium channel activity,NA,NA,NA,NA,NA,0.0149501547810388,NA
calcium ion transmembrane transporter activity,NA,NA,NA,NA,NA,0.0149501547810388,NA
cation channel activity,NA,NA,NA,NA,NA,0.000412179965967411,2.99319677001963e-05
cation:cation antiporter activity,NA,NA,NA,NA,NA,NA,0.0187232362775905
channel activity,NA,NA,NA,NA,NA,0.000461200040791327,1.46456593414323e-05
excitatory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,NA,0.0259725619286916
extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,NA,0.000533485129570243
extracellularly glutamate-gated ion channel activity,NA,NA,NA,NA,NA,NA,0.000330704203223352
GABA receptor activity,NA,NA,NA,NA,NA,0.011284217774557,0.00838168417895318
GABA-A receptor activity,NA,NA,NA,NA,NA,0.0359137330181603,0.00797870396142464
GABA-gated chloride ion channel activity,NA,NA,NA,NA,NA,NA,0.0150739110271186
gamma-catenin binding,NA,NA,NA,NA,NA,NA,0.0418749393755377
gated channel activity,NA,NA,NA,NA,NA,0.000412179965967411,2.36779037342081e-05
glutamate receptor activity,NA,NA,NA,NA,NA,0.0108431219933562,2.21719462797299e-05
GTPase activator activity,NA,NA,NA,NA,NA,NA,0.00797870396142464
GTPase regulator activity,NA,NA,NA,NA,NA,NA,0.0187232362775905
inhibitory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,NA,0.0071067641596349
inositol 1 4 5 trisphosphate binding,NA,NA,NA,NA,NA,0.00697861561952053,NA
ion channel activity,NA,NA,NA,NA,NA,0.000400979999391078,1.46456593414323e-05
ion gated channel activity,NA,NA,NA,NA,NA,0.000412179965967411,4.09561158333097e-05
ionotropic glutamate receptor activity,NA,NA,NA,NA,NA,0.0359137330181603,0.000330704203223352
ligand-gated anion channel activity,NA,NA,NA,NA,NA,0.0359137330181603,0.0018620853732454
ligand-gated channel activity,NA,NA,NA,NA,NA,0.0320818549564405,0.000220155131897133
ligand-gated ion channel activity,NA,NA,NA,NA,NA,0.0320818549564405,0.000220155131897133
MAP kinase kinase kinase activity,NA,NA,NA,NA,NA,0.0255841644552834,0.00581346499321459
metal ion transmembrane transporter activity,NA,NA,NA,NA,NA,0.0122410725046283,0.000178725644879398
metalloendopeptidase activity,NA,NA,NA,NA,NA,0.0293762460135444,NA
metallopeptidase activity,NA,NA,NA,NA,NA,0.0153894729093904,NA
mRNA 3'-UTR binding,NA,NA,NA,NA,NA,0.0187188321134654,NA
neurotransmitter receptor activity,NA,NA,NA,NA,NA,0.0465981269599424,0.000205851820679201
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,NA,0.00408036381048807
oxidoreductase activity  oxidizing metal ions,NA,NA,NA,NA,NA,NA,0.0477309557606256
passive transmembrane transporter activity,NA,NA,NA,NA,NA,0.000412179965967411,1.46456593414323e-05
phosphatase activity,NA,NA,NA,NA,NA,0.0281149456809592,NA
phospholipid-translocating ATPase activity,NA,NA,NA,NA,NA,0.0108700257429178,NA
phosphoric ester hydrolase activity,NA,NA,NA,NA,NA,0.00697259063641901,NA
postsynaptic neurotransmitter receptor activity,NA,NA,NA,NA,NA,0.0326307301326934,0.000692749793480446
potassium channel activity,NA,NA,NA,NA,NA,0.0152960809153415,0.00581346499321459
potassium ion transmembrane transporter activity,NA,NA,NA,NA,NA,0.0359137330181603,0.00581346499321459
protein heterodimerization activity,NA,NA,NA,NA,NA,0.0149501547810388,NA
protein serine/threonine kinase activity,NA,NA,NA,NA,NA,0.0149501547810388,NA
protein tyrosine kinase binding,NA,NA,NA,NA,NA,NA,0.0492327624594829
protein tyrosine phosphatase activity,NA,NA,NA,NA,NA,0.0359137330181603,NA
Ras guanyl-nucleotide exchange factor activity,NA,NA,NA,NA,NA,0.0481299937828884,0.0477309557606256
Rho GTPase binding,NA,NA,NA,NA,NA,NA,0.0418749393755377
Rho guanyl-nucleotide exchange factor activity,NA,NA,NA,NA,NA,NA,0.00797870396142464
signal transducer  downstream of receptor  with serine/threonine kinase activity,NA,NA,NA,NA,NA,0.0359137330181603,0.00581346499321459
signal transducer activity  downstream of receptor,NA,NA,NA,NA,NA,NA,0.0243281986233218
solute:cation antiporter activity,NA,NA,NA,NA,NA,NA,0.0477309557606256
substrate-specific channel activity,NA,NA,NA,NA,NA,0.000400979999391078,1.73511888047415e-05
transmembrane receptor protein kinase activity,NA,NA,NA,NA,NA,0.011284217774557,0.000347703118804321
transmembrane receptor protein phosphatase activity,NA,NA,NA,NA,NA,NA,0.0311232887863621
transmembrane receptor protein tyrosine kinase activity,NA,NA,NA,NA,NA,0.0320818549564405,0.00581346499321459
transmembrane receptor protein tyrosine phosphatase activity,NA,NA,NA,NA,NA,NA,0.0311232887863621
transmitter-gated channel activity,NA,NA,NA,NA,NA,NA,0.000347703118804321
transmitter-gated ion channel activity,NA,NA,NA,NA,NA,NA,0.000347703118804321
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,NA,0.00408036381048807
voltage-gated cation channel activity,NA,NA,NA,NA,NA,0.0194683569580367,NA
voltage-gated channel activity,NA,NA,NA,NA,NA,0.0359137330181603,NA
voltage-gated ion channel activity,NA,NA,NA,NA,NA,0.0359137330181603,NA
voltage-gated potassium channel activity,NA,NA,NA,NA,NA,NA,0.0418749393755377
Wnt-protein binding,NA,NA,NA,NA,NA,0.011284217774557,NA
