ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0005913,cell-cell adherens junction,64/6472,100/17296,6.00500567034884e-08,4.35362911100291e-05,3.83688257042289e-05,AJAP1/SSX2IP/CNN3/CRB1/RAB10/CTNNA2/GYPC/ITGA6/ANKAR/MPP4/PARD3B/OXTR/CADM2/CD200/PDLIM5/CDH18/CDH12/CDH10/CDH9/APC/CTNNA1/DSP/BAIAP2L1/ZYX/LYN/NDRG1/PGM5/ANXA1/PARD3/CTNNA3/VCL/PDLIM1/SORBS1/NRAP/EIF4G2/PLEKHA7/TNKS1BP1/RDX/CADM1/TRIM29/KRT18/FRS2/STXBP6/MPP5/ANXA2/CDH11/CDH13/FLOT2/JUP/CDC42EP4/PTPRM/CDH2/DSC2/CDH20/CDH19/CD226/CADM4/CDH22/CDH26/CDH4/CXADR/MYH9/SHROOM2/KIAA1210,64
GO_CC,GO:0005911,cell-cell junction,208/6472,421/17296,2.58589732510808e-07,9.37387780351677e-05,8.26126145442422e-05,AJAP1/NPHP4/CDC42/GJB3/GJA4/GJA9/CLDN19/SSX2IP/PKN2/CNN3/KCNA2/MAGI3/ATP1A1/GJA5/GJA8/SV2A/IQGAP3/ATP1B1/NPHS2/CRB1/NFASC/SDCCAG8/ADAM17/RAB10/STRN/SLC8A1/EPCAM/CTNNA2/LIMS1/GYPC/PKP4/DPP4/SCN1A/ABCB11/ITGA6/ANKAR/MPP4/PARD3B/FZD5/PIKFYVE/CAV3/OXTR/PDCD6IP/SCN5A/LIMD1/RHOA/PRKCD/MAGI1/FRMD4B/CADM2/CD200/AMOTL2/CLDN18/CLDN11/SLC2A2/ECT2/KLHL24/CLDN1/KIT/AMTN/SHROOM3/PDLIM5/ANK2/RAPGEF2/CLDN22/FAT1/CDH18/CDH12/CDH10/CDH9/PDZD2/PIK3R1/OCLN/APC/CTNNA1/ITK/LCP2/DSP/CD2AP/GJB7/BVES/FABP7/THEMIS/PTPRK/AHI1/CLDN20/ADCYAP1R1/MAGI2/ABCB4/CLDN12/BAIAP2L1/PODXL/AKR1B1/ZYX/CNTNAP2/LYN/MTDH/GRHL2/NOV/TMEM65/NDRG1/MPDZ/TEK/DDX58/PGM5/ANXA1/TGFBR1/FRMD4A/MPP7/ITGB1/PARD3/FRMPD2/ANK3/CTNNA3/COL13A1/VCL/PDLIM1/SORBS1/OPALIN/ABCC2/ADD3/NRAP/EIF4G2/PLEKHA7/PTPRJ/TNKS1BP1/STX3/STARD10/PAK1/FZD4/PANX1/TRPC6/RDX/CADM1/SCN4B/TRIM29/CLMP/PANX3/HEPACAM/JAM3/TWF1/KRT18/KRT8/FRS2/LIN7A/TRPC4/PCDH9/CLDN10/STXBP6/FRMD6/PRKCH/MPP5/FLRT2/CCDC85C/CGNL1/MYO1E/ANXA2/CSK/ARHGAP17/RPGRIP1L/CDH11/CALB2/MARVELD3/CDH13/MYH2/FLOT2/JUP/SGCA/CDC42EP4/GRB2/EPB41L3/PTPRM/CDH2/DSC3/DSC2/DSC1/DSG1/DSG4/DSG2/DSG3/CDH20/CDH19/CD226/SIPA1L3/CADM4/SYMPK/FLRT3/PLCG1/CDH22/PARD6B/CDH26/CDH4/CXADR/JAM2/APP/TIAM1/CLDN14/SPECC1L/YWHAH/MYH9/BAIAP2L2/MLC1/SHROOM2/CASK/WNK3/KIAA1210/RAP2C/FGF13,208
GO_CC,GO:0099568,cytoplasmic region,211/6472,443/17296,5.61966506963802e-06,0.00135808572516252,0.00119689006921764,KIF1B/CDC42/EPB41/CAP1/RIMS3/WDR78/WLS/FNBP1L/SPTA1/UHMK1/SELE/KIFAP3/LAMC2/HMCN1/CENPF/ARV1/EXOC8/ACTN2/FMN2/DCDC2C/WDR35/PFN4/RAB10/DRC1/SPTBN1/WDPCP/ACTR2/DNAH6/SEPT10/RALB/GLI2/CLASP1/GYPC/RND3/CYTIP/WIPF1/DNAH7/PARD3B/SPAG16/MLPH/GRM7/TTLL3/ATG7/CLASP2/MOBP/MYRIP/TRAK1/MAP4/RHOA/DNAH1/FLNB/ARL13B/ARL6/IFT57/PHLDB2/MAATS1/PIK3R4/TMEM108/PLS1/KCNAB1/CCDC39/FXR1/OPA1/MED28/FRYL/EXOC1/SHROOM3/SNCA/BBS7/FGA/FGB/DNAH5/MYO10/RAI14/AP3B1/FER/SEPT8/FGF1/SPINK5/CLTB/EXOC2/BLOC1S5/NEDD9/DTNBP1/CAP2/DCDC2/HFE/DNAH8/CLIC5/EFHC1/DST/RIMS1/MYO6/GRIK2/ATG5/SAMD3/EPB41L2/UTRN/AKAP12/OPRM1/IPCEF1/CNKSR3/SCIN/DNAH11/WIPF3/SEPT7/GLI3/LANCL2/SEPT14/HIP1/GNAI1/GNAT3/PCLO/PPP1R9A/CAV1/CAPZA2/CTTNBP2/WASL/MKLN1/EXOC4/AKR1B1/CALD1/DLC1/NEFL/PTK2B/AP3M2/ASPH/RIMS2/SYBU/PTK2/DNAI1/TMOD1/FNBP1/TSC1/CCDC183/TMEM141/SPAG6/ARMC4/PARD3/RHOBTB1/RTKN2/ADD3/FGFR2/GLRX3/STIM1/TRAF6/SPTBN2/NUMA1/DYNC2H1/RDX/C2CD2L/ARHGAP32/EPS8/GYS2/C2CD5/ITPR2/LRRK2/BLOC1S1/RAB21/RIC8B/FRY/TRPC4/ABHD13/RPGRIP1/STXBP6/ATG14/HIF1A/RHOJ/SPTB/PSEN1/DNAL1/SPTBN5/BLOC1S6/UNC13C/NEDD4/MYZAP/ANXA2/CIB2/AKAP13/RPGRIP1L/HYDIN/DYNLRB2/PFN1/FXR2/MYH10/DNAH9/MAP2K4/FLOT2/KRT19/HAP1/PRKAR1A/DNAI2/MYL12B/SPIRE1/CDH2/PIK3C3/MYO5B/PLA2G4C/BFSP1/DSTN/ABHD12/KIF3B/ARFGEF2/PARD6B/CTSZ/SOD1/MYH9/SHROOM2/CDKL5/SEPT6/FMR1,211
GO_CC,GO:0044420,extracellular matrix component,65/6472,116/17296,3.36852590974968e-05,0.00493678305220893,0.00435082005472352,COL11A1/TNR/LAMC1/LAMC2/HMCN1/LAMB3/USH2A/NID1/LTBP1/ITGA6/COL3A1/COL5A2/FN1/COL4A4/COL4A3/COL8A1/CCDC80/AMTN/FRAS1/NPNT/FREM3/EGFLAM/THBS4/EFNA5/FBN2/SPARC/TINAG/DST/COL12A1/LAMA4/LAMA2/SMOC2/COL28A1/VWC2/COL1A2/LAMB1/LAMB4/PTPRZ1/PTN/MATN2/COL14A1/FREM1/COL15A1/COL27A1/TNC/MEGF9/COL5A1/SMC3/VWA2/LUM/NTN4/FREM2/COL4A2/NID2/SMOC1/FBN1/ANXA2/THSD4/COL1A1/LAMA1/LAMA3/ADAMTS1/TIMP3/FBLN1/CASK,65
GO_CC,GO:0030018,Z disc,68/6472,123/17296,4.03282289813552e-05,0.00493678305220893,0.00435082005472352,TRIM63/PDE4B/NEXN/CASQ2/CASQ1/NOS1AP/IGFN1/PPP1R12B/ATP2B4/PPP2R5A/ACTN2/RYR2/SLC8A1/FHL2/NEB/SCN1A/XIRP2/TTN/CAV3/SCN5A/CACNA1D/FLNB/KY/PPP3CA/ANK2/SYNPO2/MYOZ2/PALLD/SORBS2/FRG1/HOMER1/KCNN2/MYOT/MYOZ3/DST/FHL5/SRI/ADRA1A/ANK1/JPH1/PGM5/NEBL/ANK3/MYPN/PPP3CB/PDLIM1/GLRX3/PARVA/PAK1/CACNA1C/SCN8A/KRT8/PPP1R12A/MYBPC1/NOS1/MYH7/PSEN1/RYR3/MYZAP/FBXO22/TCAP/KRT19/JUP/MYOM1/MYL12B/FHOD3/JPH2/DMD,68
GO_CC,GO:0005578,proteinaceous extracellular matrix,174/6472,366/17296,4.08561356044877e-05,0.00493678305220893,0.00435082005472352,MATN1/COL16A1/CYR61/COL24A1/TGFBR3/COL11A1/TNR/LAMC1/LAMC2/HMCN1/LRRN2/LAMB3/USH2A/NID1/ZP4/MATN3/LTBP1/EFEMP1/IL1RL1/ITGA6/COL3A1/COL5A2/FN1/IHH/COL4A4/COL4A3/COL6A3/CHL1/TIMP4/WNT7A/CRTAP/ADAMTS9/COL8A1/ABI3BP/IMPG2/ZPLD1/CCDC80/COL6A5/SLITRK3/SLIT2/AMTN/AMBN/ADAMTS3/FRAS1/HPSE/SPARCL1/NPNT/NDNF/FREM3/SPOCK3/ADAMTS16/ADAMTS12/EGFLAM/LRRC70/ADAMTS6/THBS4/VCAN/HAPLN1/EFNA5/LOX/FBN2/ADAMTS19/SPOCK1/FGF1/SPARC/SLIT3/LRFN2/VEGFA/TINAG/COL21A1/DST/COL19A1/COL9A1/COL12A1/IMPG1/LAMA4/LAMA2/SERAC1/SMOC2/COL28A1/VWC2/TFPI2/COL1A2/RELN/LAMB1/LAMB4/LRRN3/WNT2/WNT16/PTPRZ1/PTN/SHH/CPA6/SBSPON/MMP16/MATN2/CTHRC1/TNFRSF11B/NOV/COL14A1/WISP1/COL22A1/FREM1/ADAMTSL1/LINGO2/MAMDC2/ECM2/ASPN/COL15A1/COL27A1/TNC/MEGF9/ADAMTSL2/COL5A1/SPOCK2/CRTAC1/HPSE2/SMC3/TECTB/VWA2/SPON1/NAV2/HSD17B12/MMP3/ADAMTS8/VWF/ADAMTS20/MMP19/LUM/DCN/NTN4/FREM2/SLITRK1/SLITRK6/SLITRK5/GPC5/GPC6/COL4A2/LRFN5/NID2/BMP4/SMOC1/LTBP2/FLRT2/SERPINA1/FBN1/GLDN/ANXA2/THSD4/ADAMTSL3/ACAN/HAPLN3/ADAMTS17/ZP2/OTOA/GLG1/ADAMTS18/COL1A1/EMILIN2/LAMA1/LAMA3/CCBE1/FBN3/LRFN1/TGFB1/FLRT3/ADAMTS1/ADAMTS5/EMID1/TIMP3/FBLN1/CASK/GPC3/SLITRK4,174
GO_CC,GO:0034703,cation channel complex,107/6472,211/17296,5.17697684319416e-05,0.00536186887330824,0.00472545104333662,KCNAB2/KCNQ4/PDE4B/OLFM3/KCNC4/KCNA2/KCNA3/KCND3/CASQ2/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNK2/KCNK1/RYR2/KCNF1/KCNG3/DPP10/CACNB4/KCNJ3/SCN3A/SCN1A/SCN9A/SCN7A/SESTD1/SUMO1/VWC2L/SCN5A/SCN10A/SACM1L/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/CAMK2D/GRIA2/HCN1/PDE4D/GRIA1/KCNIP1/KCNQ5/GRIK2/TRDN/PKD1L1/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNB2/MICU1/MCU/KCNMA1/PKD2L1/KCNQ1/ABCC8/KCNC1/KCNA4/KCNE3/DLG2/GRIA4/HTR3B/SCN4B/SCN2B/GRIK4/CACNA1C/GRIN2B/EPS8/ABCC9/SCN8A/KCNC2/NOS1/MICU2/TRPC4/CATSPERB/RYR3/GRIN2A/SHISA9/SCNN1G/CACNG3/PKD1L3/SHISA6/KCNJ16/CACNA1A/KCNN4/TRPM4/SNAP25/ABHD12/KCNB1/GRIK1/KCNJ6/CACNG2/TRPC5/GRIA3,107
GO_CC,GO:0034702,ion channel complex,140/6472,288/17296,6.06620232657503e-05,0.00549749585845862,0.00484498001609348,KCNAB2/KCNQ4/PDE4B/CLCA3P/LRRC8C/LRRC8D/OLFM3/KCNC4/KCNA2/KCNA3/KCND3/CASQ2/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNK2/KCNK1/RYR2/KCNF1/KCNG3/DPP10/CACNB4/KCNJ3/SCN3A/SCN1A/SCN9A/SCN7A/CHRNA1/SESTD1/SUMO1/VWC2L/SCN5A/SCN10A/SACM1L/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/PTK2B/CHRNA2/KCNU1/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNB2/MICU1/MCU/KCNMA1/PKD2L1/KCNQ1/ABCC8/KCNC1/KCNA4/ANO1/SHANK2/KCNE3/DLG2/GRIA4/HTR3B/SCN4B/SCN2B/GRIK4/CACNA1C/ANO2/GRIN2B/EPS8/ABCC9/ANO6/SCN8A/BEST3/KCNC2/NOS1/MICU2/TRPC4/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/GRIN2A/SHISA9/SCNN1G/CACNG3/PKD1L3/SHISA6/KCNJ16/TTYH2/BEST2/CACNA1A/KCNN4/TRPM4/SNAP25/ABHD12/KCNB1/GRIK1/CLIC6/KCNJ6/CACNG2/TRPC5/GRIA3,140
GO_CC,GO:0042383,sarcolemma,69/6472,127/17296,7.44817597627439e-05,0.00599991953644326,0.00528776937730825,KCND3/ATP1A1/CASQ1/NOS1AP/ATP1B1/CACNA1S/ATP2B4/RYR2/SLC8A1/PPP3R1/DYSF/KCNJ3/SCN1A/COL6A3/CAV3/STAC/SCN5A/CACNA1D/SGCB/STBD1/PPP3CA/ANK2/CAMK2D/SLC27A6/MYOT/SGCD/DTNBP1/MLIP/BVES/POPDC3/LAMA2/UTRN/OPRM1/AQP1/CACNA2D1/SRI/SGCE/CAV2/CAV1/CLCN1/SGCZ/ADRA1A/ANK1/SNTB1/PGM5/ANXA1/CACNB2/ITGB1/ANK3/PPP3CB/VCL/ABCC8/RDX/CACNA1C/ABCC9/SSPN/SLC38A2/KRT8/NOS1/SLC8A3/RYR3/ANXA2/CIB2/KRT19/SGCA/CDH2/DTNA/KCNB1/DMD,69
GO_CC,GO:0005604,basement membrane,51/6472,89/17296,0.000105537228428886,0.006961325685664,0.00613506307251985,LAMC1/LAMC2/HMCN1/LAMB3/USH2A/NID1/ITGA6/FN1/COL4A4/COL4A3/COL8A1/CCDC80/AMTN/FRAS1/NPNT/FREM3/EGFLAM/THBS4/EFNA5/SPARC/TINAG/DST/LAMA4/LAMA2/SMOC2/COL28A1/VWC2/LAMB1/LAMB4/PTN/MATN2/FREM1/COL15A1/TNC/MEGF9/COL5A1/SMC3/VWA2/NTN4/FREM2/COL4A2/NID2/SMOC1/FBN1/ANXA2/LAMA1/LAMA3/ADAMTS1/TIMP3/FBLN1/CASK,51
