ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0007409,axonogenesis,136/3385,447/16587,2.48578397718542e-07,0.00102152782871006,0.000995726861848263,MACF1/DAB1/DOCK7/LPAR3/NGF/CHRNB2/NTRK1/LMX1A/TNR/LRRN2/NFASC/CNTN2/ENAH/FEZ2/SOS1/NRXN1/SPTBN1/CTNNA2/ZEB2/KIF5C/CHN1/ALS2/RAPH1/NRP2/KLF7/MAP2/FN1/CHL1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/SEMA3F/ROBO2/ROBO1/ALCAM/GAP43/RYK/EPHB1/SLITRK3/PIK3CA/SLIT2/APBB2/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/PIK3R1/FOXD1/EFNA5/WDR36/SEMA6A/POU4F3/SLIT3/RANBP9/FLOT1/EPHA7/FYN/LAMA2/UST/ISPD/GLI3/GRB10/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/IFRD1/PLXNA4/DOK2/DPYSL2/KIF13B/NRG1/UNC5D/MATN2/EXT1/VLDLR/LINGO2/NTRK2/SHC3/SEMA4D/ECM2/NR4A3/STXBP1/PARD3/ANK3/VCL/GFRA1/APBB1/BDNF/LRRC4C/LRRC55/PAK1/DSCAML1/KRAS/FRS2/RAB21/EPYC/KERA/LUM/PLXNC1/NTN4/ATP8A2/DCLK1/SLITRK6/SLITRK5/EFNB2/LRFN5/ATL1/SPTB/NUMB/NRXN3/FLRT2/BCL11B/NTRK3/NTN1/SSH2/PRKCA/PTPRM/AFG3L2/CDH2/RNF165/SMAD4/DCC/DOK6/FLRT3/PLCG1/APP/DSCAM,136
GO_BP,GO:0007411,axon guidance,83/3385,243/16587,3.43721732386935e-07,0.00102152782871006,0.000995726861848263,DAB1/NTRK1/LMX1A/TNR/NFASC/CNTN2/ENAH/FEZ2/SOS1/NRXN1/SPTBN1/KIF5C/CHN1/NRP2/KLF7/CHL1/CNTN4/SEMA3F/ROBO2/ROBO1/ALCAM/GAP43/RYK/EPHB1/PIK3CA/SLIT2/APBB2/BMPR1B/UNC5C/GAB1/SEMA5A/ZSWIM6/PIK3R1/FOXD1/EFNA5/SEMA6A/POU4F3/SLIT3/RANBP9/EPHA7/FYN/LAMA2/ISPD/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PLXNA4/DOK2/DPYSL2/UNC5D/MATN2/EXT1/VLDLR/SHC3/SEMA4D/NR4A3/GFRA1/BDNF/KRAS/FRS2/PLXNC1/NTN4/EFNB2/SPTB/NRXN3/FLRT2/BCL11B/NTN1/PRKCA/PTPRM/RNF165/SMAD4/DCC/DOK6/FLRT3/PLCG1/APP/DSCAM,83
GO_BP,GO:0097485,neuron projection guidance,83/3385,245/16587,5.07297382243037e-07,0.00102152782871006,0.000995726861848263,DAB1/NTRK1/LMX1A/TNR/NFASC/CNTN2/ENAH/FEZ2/SOS1/NRXN1/SPTBN1/KIF5C/CHN1/NRP2/KLF7/CHL1/CNTN4/SEMA3F/ROBO2/ROBO1/ALCAM/GAP43/RYK/EPHB1/PIK3CA/SLIT2/APBB2/BMPR1B/UNC5C/GAB1/SEMA5A/ZSWIM6/PIK3R1/FOXD1/EFNA5/SEMA6A/POU4F3/SLIT3/RANBP9/EPHA7/FYN/LAMA2/ISPD/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/PLXNA4/DOK2/DPYSL2/UNC5D/MATN2/EXT1/VLDLR/SHC3/SEMA4D/NR4A3/GFRA1/BDNF/KRAS/FRS2/PLXNC1/NTN4/EFNB2/SPTB/NRXN3/FLRT2/BCL11B/NTN1/PRKCA/PTPRM/RNF165/SMAD4/DCC/DOK6/FLRT3/PLCG1/APP/DSCAM,83
GO_BP,GO:0061564,axon development,142/3385,485/16587,1.5531219054303e-06,0.00234560235767611,0.00228635893130976,MACF1/DAB1/JUN/DOCK7/LPAR3/NGF/CHRNB2/NTRK1/LMX1A/TNR/CAMSAP2/LRRN2/NFASC/CNTN2/ENAH/FEZ2/SOS1/NRXN1/SPTBN1/CTNNA2/ZEB2/KIF5C/CHN1/ALS2/RAPH1/NRP2/KLF7/MAP2/FN1/CHL1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/SEMA3F/ROBO2/ROBO1/ALCAM/GAP43/RYK/EPHB1/SLITRK3/PIK3CA/SLIT2/APBB2/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/PIK3R1/FOXD1/EFNA5/WDR36/NREP/SEMA6A/POU4F3/SLIT3/RANBP9/FLOT1/EPHA7/FYN/LAMA2/UST/ISPD/GLI3/GRB10/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/RELN/NRCAM/IFRD1/PLXNA4/DOK2/DPYSL2/KIF13B/NRG1/UNC5D/MATN2/EXT1/VLDLR/LINGO2/NTRK2/SHC3/SEMA4D/ECM2/NR4A3/TNC/STXBP1/PARD3/ANK3/VCL/GFRA1/INPP5F/APBB1/BDNF/LRRC4C/LRRC55/PAK1/DSCAML1/KRAS/FRS2/RAB21/EPYC/KERA/LUM/PLXNC1/NTN4/ATP8A2/DCLK1/SLITRK6/SLITRK5/EFNB2/LRFN5/ATL1/SPTB/NUMB/NRXN3/FLRT2/BCL11B/NTRK3/NTN1/SSH2/PRKCA/PTPRM/AFG3L2/CDH2/RNF165/SMAD4/DCC/DOK6/FLRT3/PLCG1/NCAM2/APP/DSCAM,142
GO_BP,GO:0016358,dendrite development,72/3385,213/16587,3.07959024170839e-06,0.00372076093003208,0.00362678480255089,MTOR/DAB1/CHRNB2/DNM3/CAMSAP2/SRGAP2C/SRGAP2/KIDINS220/BCL11A/ACTR2/CTNNA2/HECW2/KLF7/MAP2/DOCK10/NGEF/WNT7A/TRAK1/KALRN/EPHB1/TNIK/NLGN1/IL1RAP/OPA1/PDLIM5/PPP3CA/IL2/RAPGEF2/CTNND2/MEF2C/DTNBP1/DCDC2/FYN/HDAC2/ARID1B/HECW1/COBL/SEMA3A/PPP1R9A/RELN/EZH2/NRG1/MATN2/CSMD3/ASAP1/VLDLR/PTPRD/SEMA4D/GRIN3A/PRKG1/CPEB3/TRPC6/CAPRIN2/LRRK2/GRIP1/RAB21/CUX2/FBXW8/DCLK1/KLHL1/SLITRK5/FARP1/NEDD4/MEF2A/ARHGAP44/DCC/NEDD4L/SLC12A5/PREX1/APP/DSCAM/RBFOX2,72
GO_BP,GO:0010975,regulation of neuron projection development,128/3385,436/16587,4.32735208181582e-06,0.00435692232104156,0.00424687851678556,MTOR/KDM1A/MACF1/DAB1/LRRC7/NEGR1/LPAR3/NGF/CHRNB2/NTRK1/DNM3/TNR/CAMSAP2/SYT2/CNTN2/SRGAP2C/TRIM67/KIDINS220/ITSN2/BCL11A/ACTR2/MAP4K4/ZEB2/CHN1/NFE2L2/ZNF804A/HECW2/MAP2/FN1/NGEF/WNT7A/GOLGA4/ULK4/TRAK1/SEMA3F/PTPRG/ROBO2/ROBO1/KALRN/TNIK/NLGN1/IL1RAP/OSTN/OPA1/SLIT2/PAQR3/GRID2/PDLIM5/PPP3CA/NDNF/IL2/RAPGEF2/TENM3/SEMA5A/ZSWIM6/MEF2C/EFNA5/WDR36/SPOCK1/RIMS1/EPHA7/FIG4/FYN/HDAC2/UST/HECW1/COBL/MAGI2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/PPP1R9A/RELN/NRCAM/IFRD1/PLXNA4/EZH2/DPYSL2/KIF13B/NRG1/LYN/STMN2/RIMS2/CSMD3/ASAP1/VLDLR/PTPRD/NTRK2/SEMA4D/TSC1/SLC39A12/CPEB3/INPP5F/APBB1/BDNF/LRRC4C/PAK1/TRPC6/CAPRIN2/LRRK2/CNTN1/AVIL/GRIP1/RAB21/SYT1/PLXNC1/CUX2/FBXW8/ATP8A2/EFNB2/PRKD1/NEDD4/NTRK3/SYT17/NTN1/ARHGAP44/SSH2/CDH2/RIT2/SYT4/DCC/NEDD4L/SNAP25/CBFA2T2/PREX1/CHODL/DSCAM,128
GO_BP,GO:0035249,synaptic transmission  glutamatergic,38/3385,94/16587,7.11676247073986e-06,0.0061417660122485,0.00598664199418327,GRIK3/NTRK1/TNR/PTGS2/NRXN1/SLC1A4/RAB3GAP1/ALS2/GRM7/OXTR/KALRN/NLGN1/GRID2/GRIA2/MEF2C/GRIA1/GRIK2/GRM1/GRM3/RELN/GRM8/DGKI/SHC3/ROR2/OR13F1/STXBP1/SLC17A6/GRM5/GRIA4/GRIK4/LRRK2/SYT1/CACNG3/CDH8/CDH2/CACNG7/GRIK1/GRIA3,38
GO_BP,GO:0043087,regulation of GTPase activity,134/3385,468/16587,1.05810165514105e-05,0.00798999012338387,0.00778818507744612,MTOR/JUN/DOCK7/DEPDC1/EVI5/VAV3/NTRK1/RGS4/RGS5/RABGAP1L/RGS21/RGS1/DENND1B/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/RGS7/CHML/ASAP2/RASGRP3/SOS1/ARHGAP25/RAB3GAP1/ARHGAP15/ITGA6/CHN1/ALS2/DOCK10/AGFG1/NGEF/SH3BP4/AGAP1/TBC1D5/NPRL2/ARHGAP31/KALRN/BCL6/CPEB2/SLIT2/TBC1D19/ARAP2/TBC1D1/CXCL13/RASGEF1B/ARHGAP24/RAP1GDS1/ARHGAP10/RAPGEF2/RICTOR/IQGAP2/F2R/RASA1/EFNA5/RAPGEF6/ARHGAP26/LARS/DOCK2/TBC1D7/TBC1D22B/MUT/SMAP1/BVES/ARHGAP18/RGS17/SNX9/SNX13/CHN2/DOCK4/CAV2/PLXNA4/DGKI/EZH2/PTPRN2/DLC1/ASAP1/ALDH1A1/GNAQ/NTRK2/SEMA4D/DENND1A/GARNL3/TSC1/GDI2/USP6NL/RSU1/ARHGAP21/ARHGAP22/PRKG1/DNMBP/DOCK1/RHOG/SBF2/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/NTF3/LRRK2/NCKAP1L/SRGAP1/TBC1D15/PLXNC1/RIC8B/STARD13/LRCH1/TBC1D4/DOCK9/ARHGEF7/RALGAPA1/RGS6/GPR65/RASGRP1/BNIP2/MYO9A/NTRK3/ARHGAP17/GNAO1/SGSM2/ARHGAP44/CCL18/BCAS3/CDC42EP4/ARHGAP28/SYDE1/PLCB1/RIN2/RALGAPA2/ARHGAP40/PREX1/RRP1B/ARFGAP3/TBC1D22A/ARHGAP6,134
GO_BP,GO:0050808,synapse organization,90/3385,292/16587,1.47137045166733e-05,0.00925788084980339,0.00902405239177901,NFIA/CHRNB2/NTRK1/LMX1A/DNM3/TNR/NFASC/CNTN2/GNPAT/CRIPT/NRXN1/ACTR2/CTNNA2/LRRTM1/CACNB4/ZNF804A/ALS2/DOCK10/DNER/NGEF/OXTR/WNT7A/PDZRN3/ROBO2/KALRN/RYK/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/OPA1/GRID2/PDLIM5/GLRB/GPM6A/CTNND2/CDH9/F2R/MEF2C/EFNA5/EPHA7/FYN/UTRN/MAGI2/PCLO/SEMA3E/PPP1R9A/RELN/NRCAM/LRRN3/NRG1/SYBU/PTPRD/LINGO2/NTRK2/TNC/TSC1/C1QL3/CACNB2/ANK3/LRRTM3/BDNF/GRM5/MTMR2/KIRREL3/GRIN2B/CAPRIN2/LRRK2/CUX2/PCDH17/SLITRK6/SLITRK5/FARP1/GPHN/FLRT2/MYO5A/NEDD4/NTRK3/IGF1R/SHISA6/ARHGAP44/ASIC2/AFG3L2/CDH2/CBLN2/FLRT3/APP/DSCAM/SEZ6L,90
GO_BP,GO:0043547,positive regulation of GTPase activity,115/3385,393/16587,1.53250800360924e-05,0.00925788084980339,0.00902405239177901,JUN/DOCK7/DEPDC1/EVI5/VAV3/NTRK1/RGS4/RGS5/RABGAP1L/RGS21/RGS1/DENND1B/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/RGS7/CHML/ASAP2/RASGRP3/SOS1/ARHGAP25/RAB3GAP1/ARHGAP15/ITGA6/CHN1/ALS2/DOCK10/AGFG1/AGAP1/TBC1D5/NPRL2/ARHGAP31/KALRN/TBC1D19/ARAP2/TBC1D1/CXCL13/RASGEF1B/ARHGAP24/RAP1GDS1/ARHGAP10/RAPGEF2/F2R/RASA1/RAPGEF6/ARHGAP26/LARS/DOCK2/TBC1D7/TBC1D22B/MUT/SMAP1/ARHGAP18/RGS17/SNX9/SNX13/CHN2/DOCK4/CAV2/EZH2/DLC1/ASAP1/ALDH1A1/GNAQ/SEMA4D/DENND1A/GARNL3/TSC1/GDI2/USP6NL/RSU1/ARHGAP21/ARHGAP22/DNMBP/DOCK1/RHOG/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/NTF3/LRRK2/NCKAP1L/SRGAP1/TBC1D15/RIC8B/STARD13/TBC1D4/DOCK9/ARHGEF7/RALGAPA1/RGS6/GPR65/RASGRP1/BNIP2/MYO9A/NTRK3/ARHGAP17/GNAO1/SGSM2/ARHGAP44/CCL18/BCAS3/CDC42EP4/ARHGAP28/SYDE1/PLCB1/RIN2/RALGAPA2/ARHGAP40/PREX1/ARFGAP3/TBC1D22A/ARHGAP6,115
