ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,145/3471,441/17296,1.04288987711903e-10,7.34194473491797e-08,6.48787281449838e-08,HPCA/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/PALMD/ATP1A1/CHRNB2/DNM3/SRGAP2/RAB4A/DISC1/CHRM3/SOS1/SLC8A1/CRIPT/SPTBN1/BCL11A/ACTR2/ADD2/LRRTM4/CTNNA2/LRRTM1/RAB3GAP1/ZNF804A/MOB4/ALS2/MAP2/DOCK10/ITPR1/GRM7/MAP4/GABRR3/GAP43/KALRN/CLSTN2/NLGN1/DLG1/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/PDLIM5/PPP3CA/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/F2R/MEF2C/KCNN2/SPOCK1/KCTD16/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/CAP2/GABRR2/EPHA7/GRIK2/FYN/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/PRKAR2B/CTTNBP2/KCND2/CADPS2/CHRM2/DGKI/KCNU1/LYN/BAALC/ASAP1/MPDZ/NTRK2/GRIN3A/STXBP1/ANK3/LRRTM3/KCNMA1/CPEB3/SORCS3/ADD3/APBB1/KCNA4/LRRC4C/DLG2/GRM5/MTMR2/GRIA4/HTR3B/GRIK4/ARHGAP32/IGSF9B/GRIN2B/EPS8/LRRK2/KCNC2/LIN7A/ATP2B1/ANKS1B/NOS1/DCLK1/FARP1/GPHN/SLC8A3/GABRB3/GABRA5/SHC4/NEDD4/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/ARHGAP44/ASIC2/DLGAP1/EPB41L3/CDH2/PRKCG/CACNG7/PLCB4/SNAP25/APP/GRIK1/SYN3/GRIA3,145
GO_CC,GO:0032279,asymmetric synapse,82/3471,227/17296,1.17042804505573e-08,4.11990671859618e-06,3.64064723488388e-06,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/DISC1/CHRM3/SOS1/CRIPT/SPTBN1/BCL11A/ACTR2/ADD2/CTNNA2/ALS2/MAP2/ITPR1/GRM7/MAP4/GAP43/KALRN/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/SPOCK1/GRIA1/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/LYN/BAALC/MPDZ/NTRK2/GRIN3A/CPEB3/SORCS3/ADD3/DLG2/GRM5/MTMR2/GRIA4/GRIK4/ARHGAP32/IGSF9B/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/DCLK1/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/ARHGAP44/DLGAP1/EPB41L3/CDH2/PRKCG/CACNG7/PLCB4/GRIK1/SYN3/GRIA3,82
GO_CC,GO:0098984,neuron to neuron synapse,82/3471,230/17296,2.31321679901845e-08,5.42834875502997e-06,4.79688115164879e-06,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/DISC1/CHRM3/SOS1/CRIPT/SPTBN1/BCL11A/ACTR2/ADD2/CTNNA2/ALS2/MAP2/ITPR1/GRM7/MAP4/GAP43/KALRN/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/SPOCK1/GRIA1/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/LYN/BAALC/MPDZ/NTRK2/GRIN3A/CPEB3/SORCS3/ADD3/DLG2/GRM5/MTMR2/GRIA4/GRIK4/ARHGAP32/IGSF9B/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/DCLK1/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/ARHGAP44/DLGAP1/EPB41L3/CDH2/PRKCG/CACNG7/PLCB4/GRIK1/SYN3/GRIA3,82
GO_CC,GO:0099572,postsynaptic specialization,80/3471,224/17296,3.12982796580865e-08,5.50849721982323e-06,4.86770612577082e-06,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/DISC1/SOS1/CRIPT/SPTBN1/BCL11A/ACTR2/ADD2/CTNNA2/ALS2/MAP2/ITPR1/MAP4/GAP43/KALRN/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/SPOCK1/GRIA1/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/LYN/BAALC/MPDZ/NTRK2/GRIN3A/CPEB3/SORCS3/ADD3/DLG2/GRM5/MTMR2/GRIA4/GRIK4/ARHGAP32/IGSF9B/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/DCLK1/GPHN/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/ARHGAP44/DLGAP1/EPB41L3/CDH2/PRKCG/CACNG7/PLCB4/GRIK1/SYN3/GRIA3,80
GO_CC,GO:0014069,postsynaptic density,79/3471,222/17296,4.55269911975786e-08,6.41020036061907e-06,5.66451616795136e-06,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/DISC1/SOS1/CRIPT/SPTBN1/BCL11A/ACTR2/ADD2/CTNNA2/ALS2/MAP2/ITPR1/MAP4/GAP43/KALRN/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/SPOCK1/GRIA1/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/LYN/BAALC/MPDZ/NTRK2/GRIN3A/CPEB3/SORCS3/ADD3/DLG2/GRM5/MTMR2/GRIA4/GRIK4/ARHGAP32/IGSF9B/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/DCLK1/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/ARHGAP44/DLGAP1/EPB41L3/CDH2/PRKCG/CACNG7/PLCB4/GRIK1/SYN3/GRIA3,79
GO_CC,GO:0097060,synaptic membrane,101/3471,308/17296,8.16877070740886e-08,9.58469096335972e-06,8.46972541768181e-06,GRIK3/RIMS3/LRRC7/CHRNB2/DNM3/SRGAP2/DISC1/CHRM3/SLC8A1/NRXN1/LRRTM4/LRRTM1/GRM7/ERC2/GABRR3/CLSTN2/NLGN1/DLG1/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/CPE/GLRA3/CDH9/F2R/SNCAIP/KCTD16/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/RIMS1/GABRR2/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/GRM8/CHRM2/DGKI/KCNU1/BAALC/RIMS2/MPDZ/NTRK2/GRIN3A/DENND1A/STXBP1/GAD2/ANK3/LRRTM3/KCNMA1/CPEB3/APBB1/LRRC4C/DLG2/GRM5/MTMR2/GRIA4/HTR3B/GRIK4/ARHGAP32/IGSF9B/GRIN2B/KCNC2/ZDHHC17/SYT1/LIN7A/ATP2B1/ANKS1B/GPHN/GABRB3/GABRA5/SHC4/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/CNTNAP4/SHISA6/DLGAP1/CDH2/PRKCG/CACNG7/SNAP25/FLRT3/GRIK1/GRIA3,101
GO_CC,GO:0045211,postsynaptic membrane,81/3471,237/17296,2.24856929225561e-07,2.26141825963993e-05,1.99835255898205e-05,GRIK3/LRRC7/CHRNB2/DNM3/SRGAP2/DISC1/CHRM3/SLC8A1/LRRTM4/LRRTM1/GRM7/GABRR3/CLSTN2/NLGN1/DLG1/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/CDH9/F2R/KCTD16/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/GABRR2/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/CHRM2/KCNU1/BAALC/MPDZ/NTRK2/GRIN3A/ANK3/LRRTM3/KCNMA1/CPEB3/APBB1/LRRC4C/DLG2/GRM5/GRIA4/HTR3B/GRIK4/ARHGAP32/IGSF9B/GRIN2B/KCNC2/LIN7A/ANKS1B/GPHN/GABRB3/GABRA5/SHC4/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/DLGAP1/CDH2/CACNG7/GRIK1/GRIA3,81
GO_CC,GO:0043235,receptor complex,115/3471,370/17296,2.67032924091835e-07,2.34988973200815e-05,2.07653234392467e-05,GRIK3/TIE1/ROR1/OLFM3/NOTCH2/CHRNB2/NTRK1/INSRR/FCRL5/DDR2/ALK/LRP1B/ACVR1/LRP2/ITGA6/CALCRL/HSPD1/NRP2/ERBB4/VWC2L/IRS1/RAMP1/GRM7/TGFBR2/ABHD6/EPHA6/GABRR3/ALCAM/RYK/EPHB1/TRPC1/NLGN1/PEX5L/DLG1/BST1/KCTD8/GABRG1/GABRA4/GABRB1/GRID2/BMPR1B/MTTP/NPNT/EGF/NR3C2/GRIA2/OSMR/ITGA1/ITGA2/KCTD16/GRIA1/GABRB2/GABRA1/GABRG2/GFRAL/GABRR2/EPHA7/GPR63/GRIK2/ROS1/GRM1/ITGB8/ADCYAP1R1/VWC2/CD36/CALCR/LMTK2/MET/PLXNA4/PTPRN2/LYN/LY96/VLDLR/TEK/NTRK2/SYK/ROR2/GRIN3A/TLR4/APBB1IP/GFRA1/TRAF6/DLG2/GRIA4/HTR3B/GRIK4/GRIN2B/EPS8/ITPR2/CAPRIN2/ITGA7/PTPRB/PLXNC1/NT5DC3/FLT1/SLITRK5/TSHR/GABRB3/GABRA5/ITGA11/NTRK3/IGF1R/GRIN2A/SHISA9/CACNG3/IL4R/TRADD/PKD1L3/SHISA6/GPRC5C/CACNG7/APP/GRIK1/MYH9/GRIA3,115
GO_CC,GO:0034702,ion channel complex,93/3471,288/17296,5.71066770121223e-07,4.4670111796149e-05,3.94737381452214e-05,GRIK3/PDE4B/LRRC8C/OLFM3/KCND3/CHRNB2/LRRC52/CACNA1E/KCNT2/CNTN2/KCNK2/RYR2/DPP10/CACNB4/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/VWC2L/CACNA1D/ABHD6/GABRR3/KCNAB1/NLGN1/KCNMB2/DLG1/KCNIP4/GABRG1/GABRA4/GABRB1/GRID2/GLRB/GRIA2/GLRA3/PDE4D/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/TRDN/TTYH3/VWC2/CACNA2D1/CFTR/KCND2/CNTNAP2/KCNU1/KCNB2/KCNS2/KCNQ3/GRIN3A/CACNB2/MCU/KCNMA1/KCNC1/KCNA4/LRRC55/ANO1/DLG2/GRIA4/HTR3B/GRIK4/GRIN2B/EPS8/ABCC9/ANO6/SCN8A/BEST3/KCNC2/NOS1/MICU2/TRPC4/AKAP6/CATSPERB/GABRB3/GABRA5/RYR3/GRIN2A/SHISA9/CACNG3/PKD1L3/SHISA6/KCNJ16/KCNG2/CACNG7/SNAP25/GRIK1/KCNE1/GRIA3,93
GO_CC,GO:0005578,proteinaceous extracellular matrix,112/3471,366/17296,8.97534604247029e-07,6.04960237855761e-05,5.34586573822899e-05,COL24A1/DPT/TNR/LAMC2/HMCN1/LRRN2/LAMB3/USH2A/ZP4/LTBP1/ITGA6/COL5A2/FN1/COL4A4/COL4A3/COL6A3/CHL1/WNT7A/ZPLD1/SLITRK3/DLG1/SLIT2/ADAMTS3/FRAS1/HPSE/NPNT/NDNF/FREM3/SPOCK3/ADAMTS16/ADAMTS12/EGFLAM/THBS4/VCAN/HAPLN1/EFNA5/LOX/FBN2/ADAMTS19/SPOCK1/SPARC/SLIT3/C6orf15/COL21A1/DST/COL19A1/COL9A1/COL12A1/IMPG1/LAMA4/COL10A1/LAMA2/SERAC1/COL28A1/VWC2/RELN/LAMB4/LRRN3/WNT2/BMP1/CPA6/MMP16/MATN2/NOV/COL14A1/COL22A1/FREM1/ADAMTSL1/LINGO2/ECM2/ASPN/COL15A1/TNC/SFTPD/HPSE2/TECTB/SPON1/LRRC55/MMP12/MMP13/ADAMTS20/EPYC/KERA/LUM/DCN/NTN4/FREM2/SLITRK6/SLITRK5/GPC5/GPC6/LRFN5/NID2/SMOC1/FLRT2/FBN1/GLDN/ANXA2/THSD4/MMP2/GLG1/ADAMTS18/NTN1/COL1A1/LAMA1/LAMA3/CCBE1/FLRT3/ADAMTS1/ADAMTS5/TFF3/FBLN1,112
