ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0008066,glutamate receptor activity,17/3325,27/16389,1.65482674050206e-06,0.00187988317721034,0.00171405211858318,GRIK3/GRM7/GRID2/GRIA2/GRIA1/GRIK2/GRM1/GRM3/GRM8/GRIN3A/GRM5/GRIA4/GRIK4/GRIN2B/GRIN2A/GRIK1/GRIA3,17
GO_MF,GO:0005096,GTPase activator activity,86/3325,274/16389,8.28480049401141e-06,0.00440434058583355,0.00401581832511139,JUN/DEPDC1/EVI5/VAV3/RGS4/RGS5/RABGAP1L/RGS21/RGS1/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/RGS7/CHML/ASAP2/RASGRP3/SOS1/ARHGAP25/RAB3GAP1/ARHGAP15/CHN1/AGFG1/AGAP1/TBC1D5/NPRL2/ARHGAP31/KALRN/TBC1D19/ARAP2/TBC1D1/ARHGAP24/RAP1GDS1/ARHGAP10/RAPGEF2/RASA1/ARHGAP26/LARS/DOCK2/TBC1D7/TBC1D22B/SMAP1/ARHGAP18/RGS17/CHN2/DOCK4/DLC1/ASAP1/ALDH1A1/GNAQ/GARNL3/GDI2/USP6NL/ARHGAP21/ARHGAP22/DOCK1/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/LRRK2/NCKAP1L/SRGAP1/TBC1D15/RIC8B/STARD13/TBC1D4/RALGAPA1/RGS6/RASGRP1/BNIP2/MYO9A/ARHGAP17/SGSM2/ARHGAP44/CDC42EP4/ARHGAP28/SYDE1/PLCB1/RIN2/RALGAPA2/ARHGAP40/PREX1/ARFGAP3/TBC1D22A/ARHGAP6,86
GO_MF,GO:0030695,GTPase regulator activity,93/3325,304/16389,1.16311811245604e-05,0.00440434058583355,0.00401581832511139,JUN/DEPDC1/EVI5/VAV3/GPSM2/RGS4/RGS5/RABGAP1L/RGS21/RGS1/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/RGS7/CHML/ASAP2/RASGRP3/SOS1/ARHGAP25/RAB3GAP1/ARHGAP15/CHN1/AGFG1/SH3BP4/AGAP1/TBC1D5/NPRL2/ARHGAP31/KALRN/CPEB2/SLIT2/TBC1D19/ARAP2/TBC1D1/ARHGAP24/RAP1GDS1/ARHGAP10/RAPGEF2/IQGAP2/RASA1/ARHGAP26/LARS/DOCK2/TBC1D7/TBC1D22B/SMAP1/RIMS1/ARHGAP18/RGS17/CHN2/DOCK4/DGKI/DLC1/ASAP1/ALDH1A1/GNAQ/GARNL3/GDI2/USP6NL/ARHGAP21/ARHGAP22/DOCK1/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/LRRK2/NCKAP1L/SRGAP1/TBC1D15/RIC8B/STARD13/TBC1D4/RALGAPA1/RGS6/RASGRP1/BNIP2/MYO9A/ARHGAP17/SGSM2/ARHGAP44/CDC42EP4/ARHGAP28/SYDE1/PLCB1/RIN2/RALGAPA2/ARHGAP40/PREX1/ARFGAP3/TBC1D22A/ARHGAP6,93
GO_MF,GO:0046873,metal ion transmembrane transporter activity,128/3325,452/16389,2.18234706691914e-05,0.00619786567005037,0.00565113029960115,GRIK3/MCOLN2/KCND3/ATP1A1/LRRC52/ATP1B1/SLC9C2/CACNA1E/KCNT2/KCNK2/SLC30A10/RYR2/SLC30A6/SLC8A1/SLC9A4/SLC9A2/CACNB4/SLC4A10/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ABCB11/SLC40A1/SLC39A10/KCNE4/TRPM8/ITPR1/KCNH8/CACNA1D/CACNA2D3/TRPC1/SLC9A9/KCNAB1/KCNMB2/ATP13A5/ATP13A4/KCNIP4/SLC34A2/STIM2/REST/SLC39A8/SLC9B1/SLC9B2/TRPC3/ASIC5/GPM6A/SLC1A3/SLC30A5/KCNN2/SLC12A2/PKD2L2/ATOX1/KCNQ5/GRIK2/OPRM1/AQP1/CACNA2D1/KCND2/SLC13A1/SLC13A4/TUSC3/KCNU1/TRPA1/KCNB2/SLC10A5/CNGB3/NIPAL2/KCNS2/SLC30A8/KCNQ3/SLC1A1/TRPM3/TMC1/GRIN3A/SLC39A12/CACNB2/MCU/KCNMA1/KCNC1/KCNA4/LRRC55/TRPC6/GRIK4/GRIN2B/ABCC9/ITPR2/DENND5B/SCN8A/KCNC2/CAPS2/ZDHHC17/SLC6A15/ATP2B1/SLC41A2/ATP12A/TRPC4/NALCN/SLC10A2/FAM155A/KCNH5/SLC8A3/SLC24A4/RYR3/SLC12A1/GRIN2A/CACNG3/SLC5A11/SLC6A2/SLC12A3/PKD1L3/JPH3/KCNJ12/KCNJ18/ASIC2/KCNJ16/SLC39A11/LOXHD1/KCNG2/SLC6A16/CACNG7/SLC24A3/SLC12A5/GRIK1/KCNE1/SLC5A1,128
GO_MF,GO:0005261,cation channel activity,92/3325,309/16389,4.11892163471953e-05,0.00793502566666187,0.00723504934766056,GRIK3/MCOLN2/KCND3/CHRNB2/LRRC52/CACNA1E/KCNT2/KCNK2/RYR2/CACNB4/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/KCNE4/TRPM8/ITPR1/KCNH8/ANO10/CACNA1D/CACNA2D3/TRPC1/KCNAB1/KCNMB2/KCNIP4/STIM2/REST/TRPC3/ASIC5/GRIA2/GPM6A/KCNN2/PKD2L2/GRIA1/KCNQ5/GRIK2/OPRM1/AQP1/CACNA2D1/KCND2/KCNU1/TRPA1/KCNB2/CNGB3/KCNS2/KCNQ3/TRPM3/TMC1/GRIN3A/CACNB2/MCU/KCNMA1/KCNC1/KCNA4/LRRC55/ANO1/TRPC6/GRIA4/HTR3B/GRIK4/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/SCN8A/KCNC2/TRPC4/NALCN/FAM155A/KCNH5/SLC24A4/RYR3/NOX5/GRIN2A/CACNG3/PKD1L3/JPH3/KCNJ12/KCNJ18/ASIC2/KCNJ16/LOXHD1/KCNG2/CACNG7/SLC24A3/GRIK1/KCNE1/GRIA3,92
GO_MF,GO:0060589,nucleoside-triphosphatase regulator activity,100/3325,344/16389,5.58129360808814e-05,0.00793502566666187,0.00723504934766056,JUN/DEPDC1/EVI5/VAV3/GPSM2/RGS4/RGS5/ATP1B1/RABGAP1L/TOR1AIP2/RGS21/RGS1/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/RAB4A/RGS7/CHML/ASAP2/RASGRP3/SOS1/ARHGAP25/RAB3GAP1/ARHGAP15/CHN1/AGFG1/SH3BP4/AGAP1/TBC1D5/NPRL2/ARHGAP31/KALRN/CPEB2/SLIT2/TBC1D19/ARAP2/TBC1D1/ARHGAP24/RAP1GDS1/ARHGAP10/FNIP2/RAPGEF2/IQGAP2/RASA1/ARHGAP26/LARS/DOCK2/TBC1D7/TBC1D22B/SMAP1/RIMS1/ARHGAP18/RGS17/CHN2/DNAJC2/DOCK4/DGKI/DLC1/ASAP1/ALDH1A1/GNAQ/GARNL3/GDI2/USP6NL/ARHGAP21/ARHGAP22/DOCK1/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/LRRK2/NCKAP1L/SRGAP1/TBC1D15/RIC8B/HSPH1/STARD13/DNAJC15/TBC1D4/RALGAPA1/RGS6/RASGRP1/BNIP2/MYO9A/ARHGAP17/SGSM2/ARHGAP44/CDC42EP4/ARHGAP28/SYDE1/PLCB1/RIN2/RALGAPA2/ARHGAP40/PREX1/ARFGAP3/TBC1D22A/ARHGAP6,100
GO_MF,GO:0004970,ionotropic glutamate receptor activity,12/3325,19/16389,5.71245370532394e-05,0.00793502566666187,0.00723504934766056,GRIK3/GRID2/GRIA2/GRIA1/GRIK2/GRIN3A/GRIA4/GRIK4/GRIN2B/GRIN2A/GRIK1/GRIA3,12
GO_MF,GO:0005234,extracellularly glutamate-gated ion channel activity,12/3325,19/16389,5.71245370532394e-05,0.00793502566666187,0.00723504934766056,GRIK3/GRID2/GRIA2/GRIA1/GRIK2/GRIN3A/GRIA4/GRIK4/GRIN2B/GRIN2A/GRIK1/GRIA3,12
GO_MF,GO:0005216,ion channel activity,117/3325,416/16389,6.66077386659279e-05,0.00793502566666187,0.00723504934766056,GRIK3/MCOLN2/CLCA4/LRRC8C/KCND3/CHRNB2/LRRC52/CACNA1E/KCNT2/SLC26A9/KCNK2/RYR2/SLC1A4/CACNB4/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/KCNE4/TRPM8/ITPR1/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/TRPC1/KCNAB1/KCNMB2/DLG1/KCNIP4/STIM2/GABRG1/GABRA4/GABRB1/REST/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/KCNN2/PKD2L2/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/KCNS2/KCNQ3/TRPM3/TMC1/GRIN3A/CACNB2/MCU/KCNMA1/KCNC1/ANO3/KCNA4/LRRC55/ANO1/TRPC6/GRIA4/HTR3B/GRIK4/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/SCN8A/BEST3/KCNC2/TRPC4/NALCN/FAM155A/KCNH5/SLC24A4/GABRB3/GABRA5/RYR3/NOX5/GRIN2A/CACNG3/PKD1L3/JPH3/KCNJ12/KCNJ18/ASIC2/KCNJ16/LOXHD1/KCNG2/CACNG7/SLC24A3/GRIK1/KCNE1/APOL1/GRIA3,117
GO_MF,GO:0022838,substrate-specific channel activity,120/3325,429/16389,6.9850578051601e-05,0.00793502566666187,0.00723504934766056,GRIK3/MCOLN2/CLCA4/LRRC8C/KCND3/CHRNB2/LRRC52/CACNA1E/KCNT2/SLC26A9/KCNK2/RYR2/SLC1A4/CACNB4/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SLC40A1/KCNE4/TRPM8/ITPR1/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/TRPC1/KCNAB1/KCNMB2/DLG1/KCNIP4/STIM2/GABRG1/GABRA4/GABRB1/REST/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/KCNN2/PKD2L2/GRIA1/GABRB2/GABRA1/GABRG2/KCNQ5/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/KCNS2/KCNQ3/TRPM3/TMC1/GRIN3A/CACNB2/MCU/KCNMA1/KCNC1/ANO3/KCNA4/LRRC55/ANO1/TRPC6/GRIA4/HTR3B/GRIK4/GRIN2B/ABCC9/ITPR2/DENND5B/ANO6/SCN8A/BEST3/KCNC2/TRPC4/NALCN/FAM155A/KCNH5/SLC24A4/GABRB3/GABRA5/RYR3/NOX5/GRIN2A/CACNG3/AQP8/PKD1L3/JPH3/KCNJ12/KCNJ18/ASIC2/KCNJ16/AQP4/SLC14A1/LOXHD1/KCNG2/CACNG7/SLC24A3/GRIK1/KCNE1/APOL1/GRIA3,120
