GO_BP_terms,_Co_count_1;all_genes,_Co_count_1;_Co_count_HiC_all,_Co_count_2;_Co_count_1,_Co_count_3;_Co_count_1,_Co_count_4;_Co_count_1,_Co_count_5;_Co_count_1,_Co_count_grthan5;_Co_count_1
axon development,NA,NA,NA,NA,NA,0.00956569953820267,0.00234560235767611
axon guidance,NA,NA,NA,NA,0.0460515322861356,0.00147754513371088,0.00102152782871006
axonogenesis,NA,NA,NA,NA,0.0460515322861356,0.00956569953820267,0.00102152782871006
cardiac chamber development,NA,NA,NA,NA,NA,0.0444878115292523,NA
dendrite development,NA,NA,NA,0.0426804454853135,NA,0.00956569953820267,0.00372076093003208
dendrite morphogenesis,NA,NA,NA,NA,NA,0.0444878115292523,0.031915326855379
detoxification of copper ion,NA,NA,NA,NA,NA,NA,0.0405854408529878
detoxification of inorganic compound,NA,NA,NA,NA,NA,NA,0.031915326855379
epithelial cell proliferation,NA,NA,NA,NA,NA,0.0444878115292523,NA
forebrain development,NA,NA,NA,NA,0.000629305436371014,0.00956569953820267,NA
heart morphogenesis,NA,NA,NA,0.0222457608299701,NA,0.0170838634986024,NA
kidney development,NA,NA,NA,NA,0.000812963513010675,0.00956569953820267,NA
melanocyte differentiation,NA,NA,NA,NA,NA,NA,0.031915326855379
negative chemotaxis,NA,NA,NA,NA,NA,NA,0.00929063204345532
neuron projection guidance,NA,NA,NA,NA,NA,0.00147754513371088,0.00102152782871006
outflow tract morphogenesis,NA,NA,NA,NA,NA,0.034958494713607,NA
pattern specification process,NA,NA,NA,0.0147247703708183,NA,NA,NA
positive regulation of GTPase activity,NA,NA,NA,NA,NA,NA,0.00925788084980339
positive regulation of nervous system development,NA,NA,NA,NA,NA,0.0444878115292523,NA
positive regulation of synapse assembly,NA,NA,NA,NA,NA,NA,0.031915326855379
reflex,NA,NA,NA,NA,NA,NA,0.0305768479669535
regionalization,NA,NA,NA,0.0147247703708183,NA,NA,NA
regulation of epithelial cell proliferation,NA,NA,NA,NA,NA,0.0397564609931704,NA
regulation of GTPase activity,NA,NA,NA,NA,NA,NA,0.00798999012338387
regulation of neuron projection development,NA,NA,NA,NA,NA,NA,0.00435692232104156
regulation of peptide secretion,NA,NA,NA,0.0147247703708183,NA,NA,NA
regulation of protein secretion,NA,NA,NA,0.0147247703708183,NA,NA,NA
regulation of small GTPase mediated signal transduction,NA,NA,NA,NA,NA,NA,0.031915326855379
regulation of stress-activated protein kinase signaling cascade,NA,NA,NA,NA,NA,0.04470535065559,NA
regulation of synapse assembly,NA,NA,NA,NA,NA,NA,0.031915326855379
renal system development,NA,NA,NA,NA,0.00032272343268181,0.00956569953820267,NA
retinal ganglion cell axon guidance,NA,NA,NA,NA,NA,0.0444878115292523,NA
stress response to copper ion,NA,NA,NA,NA,NA,NA,0.0405854408529878
stress-activated protein kinase signaling cascade,NA,NA,NA,NA,NA,0.0444878115292523,NA
synapse assembly,NA,NA,NA,NA,NA,NA,0.0444716888724269
synapse organization,NA,NA,NA,NA,NA,NA,0.00925788084980339
synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,NA,0.0061417660122485
urogenital system development,NA,NA,NA,NA,0.00011376769853454,0.00956569953820267,NA
