GO_CC_terms,_Co_count_1;all_genes,_Co_count_1;_Co_count_HiC_all,_Co_count_2;_Co_count_1,_Co_count_3;_Co_count_1,_Co_count_4;_Co_count_1,_Co_count_5;_Co_count_1,_Co_count_grthan5;_Co_count_1
apical part of cell,NA,NA,NA,NA,NA,NA,0.00261826800697439
apical plasma membrane,NA,NA,NA,NA,NA,NA,0.0477812691505743
asymmetric synapse,NA,NA,NA,NA,NA,NA,4.11990671859618e-06
basement membrane,NA,NA,NA,NA,NA,0.006961325685664,0.000118386723535347
cation channel complex,NA,NA,NA,NA,NA,0.00536186887330824,6.47982276613879e-05
caveola,NA,NA,NA,NA,NA,NA,0.00656919485846309
cell cortex,NA,NA,NA,NA,NA,0.00870800723762988,0.000720705381865907
cell cortex part,NA,NA,NA,NA,NA,NA,0.0278483739759922
cell leading edge,NA,NA,NA,NA,NA,NA,0.00164117915179843
cell-cell adherens junction,NA,NA,NA,NA,NA,4.35362911100291e-05,7.08993609900788e-05
cell-cell junction,NA,NA,NA,NA,NA,9.37387780351677e-05,0.000219834328825767
centrosome,NA,NA,NA,NA,NA,0.0115416690266654,NA
collagen trimer,NA,NA,NA,NA,NA,0.0399061274552697,NA
cortical cytoskeleton,NA,NA,NA,NA,NA,NA,0.0488419779053255
cytoplasmic region,NA,NA,NA,NA,NA,0.00135808572516252,0.00011467566915375
cytoplasmic side of plasma membrane,NA,NA,NA,NA,NA,0.0301451655571413,NA
dendritic spine,NA,NA,NA,NA,NA,NA,0.00723772571011024
DNA repair complex,NA,NA,NA,NA,NA,0.0453693202069629,NA
extracellular matrix,NA,NA,NA,NA,NA,0.00829028614356189,0.00164117915179843
extracellular matrix component,NA,NA,NA,NA,NA,0.00493678305220893,6.04960237855761e-05
extrinsic component of membrane,NA,NA,NA,NA,NA,0.0180338019270085,0.0195380263114244
extrinsic component of plasma membrane,NA,NA,NA,NA,NA,0.0180338019270085,NA
GABA receptor complex,NA,NA,NA,NA,NA,NA,0.0414475590734723
GABA-A receptor complex,NA,NA,NA,NA,NA,NA,0.0264054305379545
growth cone,NA,NA,NA,NA,NA,0.024978937457468,NA
I band,NA,NA,NA,NA,NA,0.006961325685664,0.0255301881041011
intercalated disc,NA,NA,NA,NA,NA,NA,0.0168648715464777
ion channel complex,NA,NA,NA,NA,NA,0.00549749585845862,4.4670111796149e-05
ionotropic glutamate receptor complex,NA,NA,NA,NA,NA,NA,0.000134045320944613
main axon,NA,NA,NA,NA,NA,NA,0.00472935347669379
membrane microdomain,NA,NA,NA,NA,NA,0.0382921949316481,0.00744298541999556
membrane raft,NA,NA,NA,NA,NA,0.0416177324846624,0.00723772571011024
membrane region,NA,NA,NA,NA,NA,0.0390761739887231,0.00647855340768237
neuron projection membrane,NA,NA,NA,NA,NA,0.0498961001889488,0.00744298541999556
neuron spine,NA,NA,NA,NA,NA,NA,0.00593822491514267
neuron to neuron synapse,NA,NA,NA,NA,NA,NA,5.42834875502997e-06
neurotransmitter receptor complex,NA,NA,NA,NA,NA,NA,0.000103793642807784
node of Ranvier,NA,NA,NA,NA,NA,NA,0.014462855516697
plasma membrane raft,NA,NA,NA,NA,NA,NA,0.00214104132659552
postsynapse,NA,NA,NA,NA,NA,0.006961325685664,7.34194473491797e-08
postsynaptic density,NA,NA,NA,NA,NA,NA,6.41020036061907e-06
postsynaptic density membrane,NA,NA,NA,NA,NA,NA,0.000221149782510405
postsynaptic membrane,NA,NA,NA,NA,NA,0.0122742701605737,2.26141825963993e-05
postsynaptic specialization,NA,NA,NA,NA,NA,NA,5.50849721982323e-06
postsynaptic specialization membrane,NA,NA,NA,NA,NA,NA,0.000159581998386561
presynapse,NA,NA,NA,NA,NA,0.0399061274552697,NA
presynaptic membrane,NA,NA,NA,NA,NA,NA,0.00202448999945407
proteinaceous extracellular matrix,NA,NA,NA,NA,NA,0.00493678305220893,6.04960237855761e-05
receptor complex,NA,NA,NA,NA,NA,0.00719904017893569,2.34988973200815e-05
sarcolemma,NA,NA,NA,NA,NA,0.00599991953644326,0.000221149782510405
site of polarized growth,NA,NA,NA,NA,NA,0.0265416857564277,NA
synaptic membrane,NA,NA,NA,NA,NA,0.0236289214001484,9.58469096335972e-06
transmembrane transporter complex,NA,NA,NA,NA,NA,0.0217076281349285,0.000103793642807784
transporter complex,NA,NA,NA,NA,NA,0.0301451655571413,0.000224510737285532
Z disc,NA,NA,NA,NA,NA,0.00493678305220893,0.00723772571011024
