ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0072001,renal system development,229/11355,276/16588,2.56258855913811e-08,9.70274890922056e-05,9.10438274877443e-05,TP73/ID3/HEYL/PCSK9/TACSTD2/NFIA/WNT2B/APH1A/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/LAMB2/WNT5A/ROBO2/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/TP63/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/BASP1/NIPBL/GDNF/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/SLC34A1/ZNF354A/FOXC1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/DACT2/DLL1/C1GALT1/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/PTCH1/TGFBR1/TSC1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/ACTA2/CEP55/RBP4/PLCE1/PAX2/LZTS2/EMX2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/LRP4/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/GDF11/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/BMP4/SIX1/SIX4/ARG2/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/STRA6/IQGAP1/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/FOXF1/SERPINF1/MYOCD/FLCN/NF1/NLE1/LHX1/HNF1B/RARA/WNK4/HOXB7/NOG/SOX9/ITGB4/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB7/NPHS1/TGFB1/BMP2/JAG1/GZF1/SDC4/BMP7/ADAMTS1/LIF/MPST/MAGED1/AMER1/AGTR2/GPC3,229
GO_BP,GO:0001655,urogenital system development,256/11355,312/16588,3.1497318322417e-08,9.70274890922056e-05,9.10438274877443e-05,TP73/EPHB2/ID3/HEYL/PCSK9/TACSTD2/NFIA/WDR77/WNT2B/APH1A/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD13/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/SMARCC1/LAMB2/WNT5A/ROBO2/EAF2/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/EPHB3/ADIPOQ/TP63/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/SRD5A1/BASP1/PRLR/NIPBL/GDNF/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/SLC34A1/ZNF354A/FOXC1/BMP6/TFAP2A/ID4/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/ESR1/DACT2/DLL1/C1GALT1/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/PLAG1/CYP7B1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/ANXA1/PCSK5/GCNT1/PTCH1/TGFBR1/TNC/TSC1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/PSAP/DLG5/PTEN/ACTA2/CEP55/RBP4/PLCE1/PAX2/LZTS2/EMX2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/LRP4/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/FKBP4/CDKN1B/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/GDF11/FRS2/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/FOXA1/BMP4/SIX1/SIX4/ARG2/TMED10/UBE3A/GREM1/FMN1/FBN1/CYP19A1/PYGO1/ALDH1A2/MYO1E/GCNT3/FOXB1/SMAD6/SMAD3/FEM1B/STRA6/IQGAP1/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/FOXF1/SERPINF1/MYOCD/FLCN/NF1/NLE1/LHX1/HNF1B/RARA/WNK4/HOXB7/HOXB13/NOG/SOX9/ITGB4/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB5/SERPINB7/NPHS1/TGFB1/BMP2/JAG1/GZF1/SDC4/BMP7/ADAMTS1/LIF/MPST/MAGED1/AMER1/AR/AGTR2/GPC3,256
GO_BP,GO:0001822,kidney development,214/11355,260/16588,2.61310863817697e-07,0.000536645410660277,0.000503550618977822,TP73/ID3/HEYL/PCSK9/TACSTD2/WNT2B/APH1A/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/LAMB2/ROBO2/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/BASP1/NIPBL/GDNF/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/SLC34A1/ZNF354A/FOXC1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/EPHA7/SIM1/TCF21/AHI1/DACT2/DLL1/C1GALT1/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/PTCH1/TGFBR1/TSC1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/ACTA2/PLCE1/PAX2/LZTS2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/LRP4/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/GDF11/CEP290/DCN/SMAD9/EFNB2/BMP4/SIX1/SIX4/ARG2/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/STRA6/IQGAP1/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/SERPINF1/FLCN/NF1/NLE1/LHX1/HNF1B/RARA/WNK4/HOXB7/NOG/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB7/NPHS1/TGFB1/BMP2/JAG1/GZF1/SDC4/BMP7/ADAMTS1/LIF/MPST/MAGED1/AMER1/AGTR2/GPC3,214
GO_BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,129/11355,152/16588,2.59664986134994e-06,0.00399948994894425,0.00375284237856155,CLSTN1/CELSR2/AMIGO1/CADM3/IGSF9/CD84/GYPC/CELSR3/ROBO2/ROBO1/CADM2/CD200/TIGIT/PIK3CB/CLSTN2/PCDH7/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA1/PCDHA4/PCDHA3/PCDHA2/PCDHA10/PCDHA6/PCDHA9/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHAC1/PCDHAC2/PCDHB1/PCDHB3/PCDHB2/PCDHB8/PCDHB7/PCDHB6/PCDHB13/PCDHB12/PCDHB11/PCDHB10/PCDHB9/PCDHB16/PCDHGA1/PCDHGA2/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGB5/PCDHGB7/PCDHGA10/PCDHGA9/PCDHGB6/PCDHGA8/PCDHGA12/PCDHGA11/PCDHGC5/PCDHGC4/PCDHGC3/PCDH1/PCDH12/FAT2/CDHR2/SDK1/CDHR3/CDH17/ITGB1/RET/PCDH15/CDH23/CDHR1/DCHS1/FAT3/CADM1/DSCAML1/MPZL2/CRTAM/KIRREL3/IGSF9B/CLSTN3/SMAGP/PCDH8/PCDH17/PCDH20/PCDH9/NPTN/CDH8/CDH11/CDH13/SDK2/PTPRM/CDH2/DSC3/DSC2/DSC1/DSG1/DSG4/DSG3/DSG2/CDH20/CDH7/CDH19/CD226/PTPRT/CDH22/CDH26/CDH4/DSCAM/CELSR1/TRO/PCDH11X/PCDH19,129
GO_BP,GO:0030900,forebrain development,288/11355,365/16588,4.61581399255771e-06,0.00568760600162961,0.00533685272571093,SKI/CHD5/DRAXIN/HTR6/EPHB2/KDM1A/ARID1A/MFSD2A/SLC2A1/SZT2/EIF2B3/STIL/DMRTA2/LRP8/DAB1/DOCK7/GNG12/LHX8/WNT2B/LMX1A/TBX19/TNR/ARPC5/UCHL5/ASPM/KIF14/BTG2/ATP2B4/CNTN2/SRGAP2/PROX1/ID2/GDF7/ALK/SRD5A2/SLC8A1/RTN4/PEX13/OTX1/VAX2/EMX1/HTRA2/POU3F3/GLI2/RAB3GAP1/ZEB2/NR4A2/TBR1/SLC4A10/TTC21B/LRP2/DLX1/NEUROD1/COL3A1/PGAP1/SATB2/CREB1/ERBB4/ATIC/KIF1A/OXTR/WNT7A/RARB/TOP2B/EOMES/SCN5A/CX3CR1/CTNNB1/SETD2/WNT5A/HESX1/ROBO2/ROBO1/POU1F1/ARL13B/GSK3B/TMEM108/RYK/SOX2/EIF2B5/EPHB3/TRA2B/HES1/FBXO45/SLIT2/PPARGC1A/RBPJ/CCKAR/GSX2/EPHA5/UBA6/ANXA3/ATOH1/LEF1/PITX2/METTL14/FAT4/DCLK2/RAPGEF2/CASP3/SLC6A3/SRD5A1/SEMA5A/FGF10/ISL1/PAPD4/CEP120/UQCRQ/CSF1R/NDST1/DRD1/PROP1/TMEM14B/ID4/ATAT1/EFHC1/POU3F2/NR2E1/FYN/FABP7/MAS1/UNCX/NPY/AQP1/GHRHR/INHBA/GLI3/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/FEZF1/SMO/PLXNA4/PTN/CNTNAP2/EZH2/HTR5A/SHH/MCPH1/DLC1/PCM1/NKX2-6/NEFL/NRG1/FUT10/FGFR1/TACC1/HOOK3/CHD7/CRH/EXT1/TRAPPC9/NFIB/PAX5/GNAQ/NTRK2/AGTPBP1/SECISBP2/NR4A3/TAL2/LPAR1/DAB2IP/LHX6/LHX2/TSC1/LHX3/NRP1/CXCL12/PRKG1/DKK1/NRG3/BMPR1A/PTEN/HHEX/SLIT1/CRTAC1/EMX2/FGFR2/TACC2/BNIP3/RRM1/KCNC1/PAX6/SLC1A2/RTN4RL2/GDPD5/DIXDC1/DRD2/H2AFX/FEZ1/CDON/KIRREL3/ETS1/KCNA1/LRP6/KRAS/LRRK2/SLC38A2/WNT1/AVPR1A/FRS2/KCNC2/APAF1/ASCL1/RFX4/TCTN1/TBX3/KDM2B/RAN/DCLK1/PCDH9/POU4F1/SLITRK5/DCT/NKX2-1/SSTR1/BMP4/OTX2/HIF1A/SYNE2/SLC8A3/PSEN1/NUMB/GSC/BCL11B/CCDC85C/ARHGAP11B/DUOX2/ALDH1A2/FOXB1/NR2F2/ALDH1A3/C16orf45/SALL1/RPGRIP1L/GNAO1/BBS2/CSNK2A2/PHLPP2/PAFAH1B1/NDEL1/NF1/MYO1D/LHX1/SOCS7/RARA/CNP/KAT2A/IGF2BP1/NOG/SSTR2/ADCYAP1/TWSG1/CDH2/RAX/SALL3/AXL/XRCC1/MBOAT7/CSNK2A1/BMP2/PLCB1/MKKS/BTBD3/XRN2/SSTR4/E2F1/GHRH/SLC32A1/C21orf91/APP/OLIG2/GART/NF2/PTCHD1/ARX/NR0B1/OPHN1/ATRX/ATP7A/POU3F4/HPRT1/FGF13/SOX3,288
GO_BP,GO:0043583,ear development,166/11355,203/16588,1.2149792568821e-05,0.012475812002751,0.0117064317171868,C1QB/EPHB2/HPCA/MYCL/KCNQ4/ROR1/MCOLN3/COL11A1/VANGL2/PRRX1/MAPKAPK2/PROX1/KCNK2/USH2A/TGFB2/MYCN/OSR1/SIX2/OTX1/WDPCP/ATP6V1B1/BCL2L11/PAX8/INSIG2/GLI2/MYO3B/PRKRA/NEUROD1/FRZB/SLC4A7/WNT5A/HESX1/LRIG1/MCM2/ZIC1/CLRN1/SOX2/OPA1/HES1/CYTL1/NKX3-2/RBPJ/WDR19/CHRNA9/PHOX2B/GRXCR1/ATOH1/SEC24B/CCNA2/FAT4/NIPBL/FGF10/TIFAB/CXCL14/POU4F3/PDGFRB/SPARC/GABRB2/FOXI1/TFAP2A/EDN1/DDR1/LHFPL5/CLIC5/SLC25A27/BMP5/ATG5/SOBP/HEY2/AHI1/NOX3/DLL1/TWIST1/HOXA1/BMPER/GLI3/DLX6/DLX5/SLC26A5/INSIG1/SHH/FGF20/FZD3/FGFR1/CHD7/EYA1/RDH10/OSR2/FZD6/CTHRC1/TMC1/ROR2/ANP32B/NR4A3/LHX3/GATA3/ITGA8/MYO3A/ZEB1/PCDH15/STOX1/CDH23/PAX2/FGFR2/HMX2/HMX3/KCNQ1/CHRNA10/DCHS1/USH1C/MYO7A/CDKN1B/WNT1/LRIG3/LGR5/LIN7A/CEP290/SLC17A8/PTPN11/GJB6/GJB2/FGF9/ATP8A2/FREM2/SPRY2/SLITRK6/BMP4/SIX1/SIX4/TGFB3/ESRRB/TRIP11/GSC/GABRB3/GABRA5/DUOX2/STRA6/NTRK3/ALDH1A3/SALL1/RPGRIP1L/MAF/PAFAH1B1/NTN1/MYO15A/FZD2/NOG/MKS1/SOX9/RPL38/SLC9A3R1/ATP8B1/BCL2/TSHZ1/CEBPA/TGFB1/BMP2/JAG1/MAFB/SDC4/SOD1/MAPK1/BCR/CELSR1/SHROOM2/POU3F4,166
GO_BP,GO:0072073,kidney epithelium development,117/11355,139/16588,1.72831877238077e-05,0.0152116742237685,0.0142735739818274,HEYL/TACSTD2/WNT2B/PBX1/NPHS2/CD34/AGT/KIF26B/OSR1/SDC1/SIX2/EPCAM/POU3F3/PAX8/HOXD11/STAT1/CXCR2/EPHA4/RARB/CTNNB1/LAMB2/ROBO2/WWTR1/ADIPOQ/HES1/DLG1/PROM1/SLIT2/PKD2/NPNT/FGF2/SPRY1/FAT4/SMAD1/IRX2/IRX1/ADAMTS16/BASP1/GDNF/FOXD1/MEF2C/SMAD5/KLHL3/FGF1/FOXC1/TFAP2B/EPHA7/SIM1/TCF21/AHI1/DLL1/BMPER/GLI3/MAGI2/SMO/PODXL/SHH/FGFR1/SFRP1/EYA1/CALB1/MTSS1/MYC/CER1/PTCH1/GATA3/RET/PAX2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/AQP11/YAP1/ACAT1/PTPRO/WNT1/GDF11/SMAD9/EFNB2/BMP4/SIX1/SIX4/ARG2/GREM1/FMN1/MYO1E/SMAD6/SMAD3/IQGAP1/SALL1/IRX3/NUP93/LHX1/HNF1B/RARA/WNK4/HOXB7/NOG/SOX9/SMAD2/SMAD7/SMAD4/BCL2/NPHS1/TGFB1/BMP2/JAG1/GZF1/SDC4/BMP7/LIF/MAGED1/AGTR2/GPC3,117
GO_BP,GO:0007626,locomotory behavior,153/11355,187/16588,2.49062300642671e-05,0.0191809104282437,0.0179980283569677,PARK7/OPRD1/PUM1/DMBX1/TAL1/DAB1/NEGR1/MCOLN3/GPR88/CIART/KCNJ10/ATP1A2/LMX1A/GPR52/TNR/ASTN1/CNTN2/TBCE/ID2/ALK/STRN/PRKCE/PEX13/MEIS1/HTRA2/LRRTM1/NMS/EN1/NR4A2/SLC4A10/DPP4/SCN1A/GAD1/HOXD10/HOXD9/ALS2/EPHA4/GIGYF2/CHL1/DRD3/LSAMP/ADCY5/KALRN/TRH/ZIC1/GHSR/ETV5/FGF12/UCHL1/UBA6/SNCA/HPGDS/NPY2R/GLRB/NPY1R/SLC6A3/ANKH/GDNF/HEXB/ARRDC3/GLRA1/DRD1/GRM6/BTBD9/SOBP/FIG4/GRM1/OPRM1/ADAM22/KCND2/GPR37/HIPK2/GBX1/NRG1/DDHD2/IDO1/OPRK1/PENK/CHD7/CRH/PREX2/NCOA2/CALB1/OXR1/FXN/APBA1/VPS13A/TMOD1/PBX3/DNM1/TSC1/DBH/CACNA1B/CXCL12/CDH23/PPP3CB/SNCG/PTEN/PITX3/SLC18A2/INPP5F/OTOG/NAV2/KBTBD4/FZD4/GRM5/DRD2/BSX/CCND2/EPS8/LRRK2/C12orf10/ZNF385A/PDE1B/KLHL1/SLITRK6/NOVA1/NKX2-1/GMFB/APBA2/SPG11/MYO5A/CHRNA3/CHRNB4/ALDH1A3/ABAT/NTAN1/VPS35/GNAO1/ZFHX3/PAFAH1B1/MYO15A/SEZ6/CNP/C1QL1/HOXB8/GAA/NPC1/OLFM2/SNAP25/FOXA2/ABHD12/MC3R/APP/SOD1/DSCAM/CSTB/ADORA2A/SEZ6L/CELSR1/ATP7A/HTR2C/HPRT1,153
GO_BP,GO:0010817,regulation of hormone levels,379/11355,497/16588,6.14409607270455e-05,0.0420597510043697,0.0394659364108694,PARK7/NPPA/DHRS3/NR0B2/HDAC1/BMP8A/SLC2A1/DIO1/RPE65/GFI1/STXBP3/RAP1A/TSHB/NGF/ATP1A1/HSD3B2/HSD3B1/ENSA/ARNT/ALDH9A1/ILDR2/MPC2/CACNA1E/GLUL/KDM5B/KISS1/REN/PFKFB2/HSD11B1/AGT/TPO/SOX11/VSNL1/KCNS3/RDH14/FKBP1B/PLB1/SRD5A2/CYP1B1/PRKCE/NRXN1/RAB1A/RAB11FIP5/TACR1/RETSAT/VAMP8/ADRA2B/MAP4K4/SLC5A7/IL1B/IL1RN/PAX8/CYP27C1/ACVR1C/DPP4/GCG/G6PC2/DHRS9/RAPGEF4/NEUROD1/CREB1/INHA/IRS1/UGT1A9/UGT1A7/UGT1A8/UGT1A3/UGT1A1/PER2/ITPR1/JAGN1/RAF1/COLQ/ACAA1/ACVR2B/MYRIP/CACNA1D/FAM3D/TMF1/GPR27/STXBP5L/ILDR1/CASR/ADCY5/KALRN/SNX4/TRH/FOXL2/RBP1/AGTR1/CPA3/SERP1/P2RY1/MME/TIPARP/SLC2A2/GHSR/ADIPOQ/DGKQ/CPZ/CD38/PPARGC1A/CCKAR/CORIN/SRD5A3/CLOCK/NMU/REST/EPHA5/UGT2B7/UGT2B11/SULT1B1/SULT1E1/AFP/NKX6-1/HSD17B13/HSD17B11/SPP1/ADH4/ADH7/PPP3CA/NFKB1/SLC9B2/AIMP1/HADH/ENPEP/FGA/FGB/FGG/LRAT/CPE/SLC25A4/SRD5A1/C1QTNF3/OXCT1/ISL1/NDUFAF2/HTR1A/CARTPT/FOXD1/GCNT4/HMGCR/CRHBP/PDE8B/PCSK1/EFNA5/HSD17B4/GDF9/EGR1/BMP6/EDN1/SOX4/GPLD1/HFE/GLP1R/TRERF1/TFAP2B/BMP5/HMGN3/CYB5R4/CGA/CNR1/DDO/SLC16A10/MARCKS/RFX6/GJA1/ALDH8A1/MYB/IYD/ESR1/VIP/SLC22A1/ICA1/IL6/NPVF/GHRHR/STARD3NL/INHBA/EGFR/POR/PCLO/ABCB4/SRI/PON3/TAC1/CFTR/AKR1B1/AKR1B15/AKR1D1/SHH/PTPRN2/BLK/NKX3-1/RAB11FIP1/STAR/FGFR1/SFRP1/OPRK1/LYN/SDR16C5/CHD7/CRH/RDH10/CPQ/RIMS2/ENY2/SYBU/SLC30A8/NOV/TG/CYP11B1/CYP11B2/RFX3/JAK2/ALDH1A1/ANXA1/PCSK5/C9orf3/HSD17B3/FOXE1/AKR1C2/AKR1C3/AKR1C4/UCN3/GATA3/SGPL1/MCU/PPP3CB/CAMK2G/GLUD1/IDE/CYP26A1/CYP26C1/RBP4/FFAR4/ABCC2/CPN1/CYP17A1/ADRA2A/TCF7L2/RAB11FIP2/PRLHR/PLEKHA1/SIRT3/SYT9/ADM/DKK3/ARNTL/CYP2R1/ABCC8/KCNJ11/FSHB/HSD17B12/SLC22A9/LRP5/GAL/ANO1/DHCR7/ARRB1/FZD4/MTNR1B/FDX1/BCO2/DRD2/PCSK7/SIDT2/C2CD2L/SNX19/CACNA1C/FGF23/KCNA5/SLCO1C1/SLCO1B1/ITPR2/TM7SF3/VDR/PFKM/NPFF/RDH5/HSD17B6/CYP27B1/IFNG/KCNC2/NR1H4/CRY1/PTPN11/TBX3/SIRT4/DYNLL1/AACS/TNFSF11/HTR2A/IRS2/ARHGEF7/DHRS2/DHRS4/PCK2/CMA1/FOXA1/HIF1A/RDH11/RDH12/DIO2/GPR68/SERPINA6/SCG5/SNAP23/DUOX2/DUOXA1/DUOX1/DUOXA2/CYP19A1/MYO5A/ALDH1A2/RAB8B/STRA6/CYP11A1/SIN3A/CRABP1/CHRNA3/ALDH1A3/PCSK6/ABAT/CRYM/ARL2BP/SMPD3/HSD17B2/NOS2/CPD/RASL10B/CCL5/DHRS11/HNF1B/MED1/NR1D1/STAT5B/CRHR1/STXBP4/SCPEP1/PRKCA/C1QTNF1/ADCYAP1/CHST9/TTR/SMAD2/SMAD4/GRP/MC4R/GALR1/KCNG2/CHST8/FFAR2/TRPM4/BMP2/SNAP25/PCSK2/FOXA2/GHRH/HNF4A/KCNB1/GNAS/CTSZ/EDN3/TIAM1/BACE2/FAM3B/ADORA2A/LIF/OSM/YWHAH/PLA2G6/PNPLA4/ACE2/SLC16A2/SYTL4/BTK/HTR2C/AGTR2,379
GO_BP,GO:0048839,inner ear development,144/11355,177/16588,7.47160274000911e-05,0.0460325444811961,0.0431937286822421,C1QB/EPHB2/HPCA/MYCL/KCNQ4/ROR1/MCOLN3/COL11A1/VANGL2/PRRX1/MAPKAPK2/PROX1/KCNK2/USH2A/TGFB2/MYCN/OTX1/WDPCP/ATP6V1B1/PAX8/INSIG2/GLI2/MYO3B/NEUROD1/FRZB/SLC4A7/WNT5A/HESX1/LRIG1/MCM2/ZIC1/CLRN1/SOX2/OPA1/HES1/CYTL1/RBPJ/CHRNA9/PHOX2B/GRXCR1/ATOH1/SEC24B/CCNA2/FAT4/FGF10/TIFAB/CXCL14/POU4F3/PDGFRB/SPARC/GABRB2/FOXI1/TFAP2A/LHFPL5/CLIC5/SLC25A27/ATG5/SOBP/HEY2/AHI1/NOX3/DLL1/HOXA1/BMPER/GLI3/DLX6/DLX5/SLC26A5/INSIG1/SHH/FGF20/FZD3/FGFR1/CHD7/EYA1/FZD6/CTHRC1/TMC1/ROR2/ANP32B/NR4A3/LHX3/GATA3/ITGA8/MYO3A/ZEB1/PCDH15/STOX1/CDH23/PAX2/FGFR2/HMX2/HMX3/KCNQ1/CHRNA10/DCHS1/USH1C/MYO7A/CDKN1B/WNT1/LRIG3/LGR5/LIN7A/CEP290/SLC17A8/PTPN11/GJB6/GJB2/FGF9/ATP8A2/FREM2/SPRY2/SLITRK6/BMP4/SIX1/SIX4/TGFB3/ESRRB/TRIP11/GABRB3/GABRA5/DUOX2/NTRK3/ALDH1A3/RPGRIP1L/MAF/PAFAH1B1/NTN1/MYO15A/FZD2/MKS1/SOX9/SLC9A3R1/ATP8B1/CEBPA/TGFB1/BMP2/JAG1/MAFB/SDC4/SOD1/BCR/CELSR1/POU3F4,144
