ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0035107,appendage morphogenesis,116/9707,146/16588,6.25076623272452e-08,0.000171875570053624,0.000162385922399644,ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/WDPCP/AFF3/BCL2L11/EN1/GLI2/SP9/HOXD10/HOXD12/HOXD9/HOXD13/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/ZNF141/WDR19/FRAS1/BMPR1B/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FGF10/FBN2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/NOTCH1/DKK1/BMPR1A/FGFR2/ALX4/C2CD3/ZBTB16/CACNA1C/LRP6/ALX1/CHST11/TBX5/TBX3/FREM2/ZNF219/BMP4/PSEN1/GREM1/FMN1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/MED1/WNT3/NOG/TBX4/SOX9/RNF165/SMAD4/SALL3/IFT52/SALL4/BMP7/GNAS/ATRX/GPC3,116
GO_BP,GO:0035108,limb morphogenesis,116/9707,146/16588,6.25076623272452e-08,0.000171875570053624,0.000162385922399644,ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/WDPCP/AFF3/BCL2L11/EN1/GLI2/SP9/HOXD10/HOXD12/HOXD9/HOXD13/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/ZNF141/WDR19/FRAS1/BMPR1B/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FGF10/FBN2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/NOTCH1/DKK1/BMPR1A/FGFR2/ALX4/C2CD3/ZBTB16/CACNA1C/LRP6/ALX1/CHST11/TBX5/TBX3/FREM2/ZNF219/BMP4/PSEN1/GREM1/FMN1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/MED1/WNT3/NOG/TBX4/SOX9/RNF165/SMAD4/SALL3/IFT52/SALL4/BMP7/GNAS/ATRX/GPC3,116
GO_BP,GO:0001655,urogenital system development,227/9707,312/16588,9.15995896405083e-08,0.000171875570053624,0.000162385922399644,TP73/HEYL/PCSK9/TACSTD2/NFIA/WDR77/WNT2B/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ODC1/OSR1/SDC1/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD11/HOXD13/STAT1/CFLAR/CXCR2/WNT6/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/SMARCC1/WNT5A/ROBO2/EAF2/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/TP63/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX1/ADAMTS16/SRD5A1/BASP1/PRLR/NIPBL/FGF10/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/FGF1/FOXC1/BMP6/TFAP2A/ID4/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/ESR1/DACT2/DLL1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/PLAG1/CYP7B1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/ANXA1/PCSK5/GCNT1/PTCH1/TGFBR1/TNC/TSC1/NOTCH1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/PSAP/DLG5/PTEN/ACTA2/RBP4/PLCE1/LZTS2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/FKBP4/CDKN1B/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/FRS2/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/FOXA1/BMP4/SIX1/SIX4/ARG2/TMED10/UBE3A/GREM1/FMN1/FBN1/CYP19A1/PYGO1/ALDH1A2/MYO1E/GCNT3/FOXB1/SMAD3/FEM1B/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/MYOCD/NF1/NLE1/HNF1B/RARA/NOG/PECAM1/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB5/SERPINB7/BMP2/JAG1/GZF1/SDC4/BMP7/ADAMTS1/PRKX/MAGED1/AR/GPC3,227
GO_BP,GO:0072001,renal system development,203/9707,276/16588,1.11625634066325e-07,0.000171875570053624,0.000162385922399644,TP73/HEYL/PCSK9/TACSTD2/NFIA/WNT2B/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ODC1/OSR1/SDC1/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD11/STAT1/CFLAR/CXCR2/WNT6/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/WNT5A/ROBO2/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/TP63/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX1/ADAMTS16/BASP1/NIPBL/FGF10/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/FGF1/FOXC1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/DACT2/DLL1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/PTCH1/TGFBR1/TSC1/NOTCH1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/ACTA2/RBP4/PLCE1/LZTS2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/BMP4/SIX1/SIX4/ARG2/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD3/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/MYOCD/NF1/NLE1/HNF1B/RARA/NOG/PECAM1/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB7/BMP2/JAG1/GZF1/SDC4/BMP7/ADAMTS1/PRKX/MAGED1/GPC3,203
GO_BP,GO:0001822,kidney development,192/9707,260/16588,1.49783711811324e-07,0.000184503576209189,0.000174316707135369,TP73/HEYL/PCSK9/TACSTD2/WNT2B/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ODC1/OSR1/SDC1/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/HOXD11/STAT1/CFLAR/CXCR2/WNT6/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/ROBO2/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX1/ADAMTS16/BASP1/NIPBL/FGF10/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/FGF1/FOXC1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/EPHA7/SIM1/TCF21/AHI1/DACT2/DLL1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/PTCH1/TGFBR1/TSC1/NOTCH1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/ACTA2/PLCE1/LZTS2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/CEP290/DCN/SMAD9/EFNB2/BMP4/SIX1/SIX4/ARG2/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD3/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/NF1/NLE1/HNF1B/RARA/NOG/PECAM1/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB7/BMP2/JAG1/GZF1/SDC4/BMP7/ADAMTS1/PRKX/MAGED1/GPC3,192
GO_BP,GO:0030326,embryonic limb morphogenesis,99/9707,126/16588,1.50853022713343e-06,0.00132729109555926,0.00125400828505167,ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/FLVCR1/TGFB2/MYCN/OSR1/WDPCP/AFF3/BCL2L11/EN1/GLI2/SP9/HOXD10/HOXD12/HOXD9/HOXD13/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/WDR19/FRAS1/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FBN2/TFAP2A/RUNX2/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/GNAQ/ROR2/PTCH1/NOTCH1/DKK1/BMPR1A/ALX4/C2CD3/ZBTB16/CACNA1C/LRP6/ALX1/CHST11/TBX5/TBX3/FREM2/BMP4/PSEN1/GREM1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/MED1/WNT3/NOG/TBX4/SMAD4/IFT52/SALL4/BMP7/GNAS/GPC3,99
GO_BP,GO:0035113,embryonic appendage morphogenesis,99/9707,126/16588,1.50853022713343e-06,0.00132729109555926,0.00125400828505167,ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/FLVCR1/TGFB2/MYCN/OSR1/WDPCP/AFF3/BCL2L11/EN1/GLI2/SP9/HOXD10/HOXD12/HOXD9/HOXD13/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/WDR19/FRAS1/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FBN2/TFAP2A/RUNX2/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/GNAQ/ROR2/PTCH1/NOTCH1/DKK1/BMPR1A/ALX4/C2CD3/ZBTB16/CACNA1C/LRP6/ALX1/CHST11/TBX5/TBX3/FREM2/BMP4/PSEN1/GREM1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/MED1/WNT3/NOG/TBX4/SMAD4/IFT52/SALL4/BMP7/GNAS/GPC3,99
GO_BP,GO:0030900,forebrain development,256/9707,365/16588,2.30867542546948e-06,0.00150981056232805,0.00142645043001674,CHD5/KDM1A/SLC2A1/STIL/DMRTA2/LRP8/DAB1/DOCK7/GNG12/LHX8/WNT2B/LMX1A/TBX19/TNR/UCHL5/ASPM/KIF14/BTG2/ATP2B4/CNTN2/SRGAP2C/SRGAP2/PROX1/GDF7/ALK/SRD5A2/SLC8A1/RTN4/OTX1/VAX2/HTRA2/POU3F3/GLI2/RAB3GAP1/ZEB2/NR4A2/TBR1/SLC4A10/TTC21B/LRP2/DLX1/NEUROD1/COL3A1/PGAP1/SATB2/CREB1/ERBB4/ATIC/CDK5R2/OXTR/WNT7A/RARB/TOP2B/EOMES/SCN5A/CX3CR1/CTNNB1/SETD2/WNT5A/ROBO2/ROBO1/POU1F1/ARL13B/GSK3B/TMEM108/RYK/SOX2/HES1/SLIT2/PPARGC1A/RBPJ/CCKAR/GSX2/EPHA5/UBA6/ANXA3/ATOH1/LEF1/PITX2/METTL14/FAT4/DCLK2/RAPGEF2/CASP3/SRD5A1/SEMA5A/FGF10/ISL1/OTP/PAPD4/CEP120/UQCRQ/CSF1R/NDST1/DRD1/PROP1/TMEM14B/ID4/ATAT1/EFHC1/POU3F2/FYN/FABP7/MAS1/AQP1/INHBA/GLI3/OGDH/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/FEZF1/PLXNA4/PTN/CNTNAP2/EZH2/HTR5A/SHH/MCPH1/DLC1/PCM1/NKX2-6/NEFL/NRG1/FUT10/FGFR1/TACC1/HOOK3/CHD7/CRH/EXT1/TRAPPC9/NFIB/PAX5/GNAQ/NTRK2/AGTPBP1/SECISBP2/NR4A3/TAL2/LPAR1/DAB2IP/LHX6/LHX2/TSC1/LHX3/NOTCH1/KIF5B/NRP1/CXCL12/PRKG1/DKK1/NEUROG3/NRG3/BMPR1A/PTEN/HHEX/SLIT1/ZDHHC16/CRTAC1/FGFR2/TACC2/RRM1/KCNC1/PAX6/SLC1A2/RTN4RL2/DIXDC1/FEZ1/CDON/KIRREL3/ETS1/KCNA1/LRP6/KRAS/LRRK2/SLC38A2/WNT1/AVPR1A/FRS2/KCNC2/APAF1/ASCL1/RFX4/TBX3/KDM2B/GSX1/DCLK1/PCDH9/POU4F1/SLITRK5/DCT/NKX2-1/SSTR1/BMP4/OTX2/HIF1A/SYNE2/SLC8A3/PSEN1/NUMB/BCL11B/CCDC85C/ARHGAP11B/ALDH1A2/FOXB1/NR2F2/ALDH1A3/C16orf45/NDE1/SALL1/RPGRIP1L/GNAO1/BBS2/CSNK2A2/CDH1/PHLPP2/PAFAH1B1/NDEL1/NF1/MYO1D/SOCS7/RARA/CNP/NOG/SSTR2/ADCYAP1/CDH2/RAX/SALL3/XRCC1/CSNK2A1/BMP2/PLCB1/MKKS/BTBD3/XRN2/SSTR4/GHRH/SLC32A1/C21orf91/APP/OLIG2/GART/PTCHD1/NR0B1/OPHN1/ATRX/ATP7A/POU3F4/FGF13/SOX3,256
GO_BP,GO:0048736,appendage development,129/9707,171/16588,2.45138912539057e-06,0.00150981056232805,0.00142645043001674,ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/IFT172/WDPCP/AFF3/BCL2L11/EN1/GLI2/ITGA6/SP9/HOXD10/HOXD12/HOXD9/HOXD13/BMPR2/IHH/TRAF3IP1/WNT7A/KAT2B/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/ZNF141/WDR19/FRAS1/BMPR1B/LEF1/PITX2/BBS7/INTU/SFRP2/HAND2/NIPBL/FGF10/PAM/FBN2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/MEOX2/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/RC3H2/NOTCH1/DKK1/BMPR1A/FGFR2/ALX4/C2CD3/ZBTB16/CACNA1C/LRP6/ALX1/CHST11/TBX5/TBX3/FREM2/ZNF219/BMP4/SMOC1/PSEN1/GREM1/FMN1/ALDH1A2/NR2F2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/MED1/RARA/WNT3/NOG/TBX4/SOX9/RNF165/SMAD4/RAX/SALL3/IFT52/SALL4/BMP7/GNAS/KREMEN1/ATRX/GPC3,129
GO_BP,GO:0060173,limb development,129/9707,171/16588,2.45138912539057e-06,0.00150981056232805,0.00142645043001674,ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/IFT172/WDPCP/AFF3/BCL2L11/EN1/GLI2/ITGA6/SP9/HOXD10/HOXD12/HOXD9/HOXD13/BMPR2/IHH/TRAF3IP1/WNT7A/KAT2B/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/ZNF141/WDR19/FRAS1/BMPR1B/LEF1/PITX2/BBS7/INTU/SFRP2/HAND2/NIPBL/FGF10/PAM/FBN2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/MEOX2/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/RC3H2/NOTCH1/DKK1/BMPR1A/FGFR2/ALX4/C2CD3/ZBTB16/CACNA1C/LRP6/ALX1/CHST11/TBX5/TBX3/FREM2/ZNF219/BMP4/SMOC1/PSEN1/GREM1/FMN1/ALDH1A2/NR2F2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/MED1/RARA/WNT3/NOG/TBX4/SOX9/RNF165/SMAD4/RAX/SALL3/IFT52/SALL4/BMP7/GNAS/KREMEN1/ATRX/GPC3,129
