GO_BP_terms,_ESC_count_1;all_genes,_ESC_count_1;_ESC_count_HiC_all,_ESC_count_2;_ESC_count_1,_ESC_count_3;_ESC_count_1,_ESC_count_4;_ESC_count_1,_ESC_count_5;_ESC_count_1,_ESC_count_grthan5;_ESC_count_1
animal organ formation,NA,NA,NA,NA,NA,NA,0.042255524135639
appendage development,NA,NA,NA,NA,NA,NA,0.00150981056232805
appendage morphogenesis,NA,NA,NA,NA,NA,NA,0.000171875570053624
branch elongation of an epithelium,NA,NA,NA,NA,NA,NA,0.0411929111993206
cell proliferation involved in heart morphogenesis,NA,NA,NA,NA,NA,NA,0.0211729303680742
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,NA,NA,NA,0.0411929111993206
cellular potassium ion transport,NA,NA,NA,NA,NA,NA,0.0411929111993206
dephosphorylation,NA,NA,NA,NA,NA,NA,0.00726975285676196
development of primary sexual characteristics,NA,NA,NA,NA,NA,NA,0.034528881983714
ear development,NA,NA,NA,NA,NA,0.012475812002751,0.0288395339452157
embryonic appendage morphogenesis,NA,NA,NA,NA,NA,NA,0.00132729109555926
embryonic limb morphogenesis,NA,NA,NA,NA,NA,NA,0.00132729109555926
epithelial cell proliferation,NA,NA,NA,NA,NA,NA,0.0411929111993206
forebrain development,NA,NA,NA,NA,0.0392281541892149,0.00568760600162961,0.00150981056232805
forelimb morphogenesis,NA,NA,NA,NA,NA,NA,0.0411929111993206
gland development,NA,NA,NA,NA,NA,NA,0.0110634376403568
gonad development,NA,NA,NA,NA,NA,NA,0.0433802410745621
heart valve development,NA,NA,NA,NA,NA,NA,0.0485309763287447
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,NA,0.0392281541892149,0.00399948994894425,0.0034310076582803
hormone secretion,NA,NA,NA,NA,NA,NA,0.0183638299061434
hormone transport,NA,NA,NA,NA,NA,NA,0.0117613941022867
inner ear development,NA,NA,NA,NA,NA,0.0460325444811961,0.0411929111993206
kidney development,NA,NA,NA,NA,0.0392281541892149,0.000536645410660277,0.000184503576209189
kidney epithelium development,NA,NA,NA,NA,NA,0.0152116742237685,0.00192620672564616
limb development,NA,NA,NA,NA,NA,NA,0.00150981056232805
limb morphogenesis,NA,NA,NA,NA,NA,NA,0.000171875570053624
locomotory behavior,NA,NA,NA,NA,NA,0.0191809104282437,NA
mesonephric epithelium development,NA,NA,NA,NA,NA,NA,0.0411929111993206
mesonephric tubule development,NA,NA,NA,NA,NA,NA,0.0411929111993206
mesonephros development,NA,NA,NA,NA,NA,NA,0.0211729303680742
morphogenesis of an epithelial bud,NA,NA,NA,NA,NA,NA,0.0211729303680742
morphogenesis of an epithelial fold,NA,NA,NA,NA,NA,NA,0.0292020904506618
muscle organ development,NA,NA,NA,NA,NA,NA,0.0211729303680742
muscle tissue development,NA,NA,NA,NA,NA,NA,0.00437782904457587
nephron development,NA,NA,NA,NA,NA,NA,0.042255524135639
neuron migration,NA,NA,NA,NA,NA,NA,0.0142664873501365
nuclear chromosome segregation,NA,NA,NA,NA,NA,NA,0.045804301182246
nuclear pore organization,NA,NA,NA,NA,NA,NA,0.0411929111993206
pericardium development,NA,NA,NA,NA,NA,NA,0.0411929111993206
potassium ion transmembrane transport,NA,NA,NA,NA,NA,NA,0.0411929111993206
potassium ion transport,NA,NA,NA,NA,NA,NA,0.037654762762406
regionalization,NA,NA,NA,0.0215566614583196,NA,NA,NA
regulation of cell proliferation involved in heart morphogenesis,NA,NA,NA,NA,NA,NA,0.0211729303680742
regulation of hormone levels,NA,NA,NA,NA,NA,0.0420597510043697,0.0211729303680742
regulation of hormone secretion,NA,NA,NA,NA,NA,NA,0.0331087084045977
regulation of muscle organ development,NA,NA,NA,NA,NA,NA,0.0120835770966685
regulation of muscle tissue development,NA,NA,NA,NA,NA,NA,0.0142664873501365
regulation of peptide secretion,NA,NA,NA,NA,NA,NA,0.0348299621534255
regulation of protein secretion,NA,NA,NA,NA,NA,NA,0.043269602716534
regulation of striated muscle tissue development,NA,NA,NA,NA,NA,NA,0.0205978752040964
renal system development,NA,NA,NA,NA,0.0392281541892149,9.70274890922056e-05,0.000171875570053624
reproductive structure development,NA,NA,NA,NA,NA,NA,0.00919408769862594
reproductive system development,NA,NA,NA,NA,NA,NA,0.0114943024622608
sex differentiation,NA,NA,NA,NA,NA,NA,0.00919408769862594
signal release,NA,NA,NA,NA,NA,NA,0.00437939903079631
striated muscle cell proliferation,NA,NA,NA,NA,NA,NA,0.042255524135639
striated muscle tissue development,NA,NA,NA,NA,NA,NA,0.0168782217731556
ureteric bud development,NA,NA,NA,NA,NA,NA,0.0319479049387156
urogenital system development,NA,NA,NA,NA,0.0392281541892149,9.70274890922056e-05,0.000171875570053624
