GO_CC_terms,_Hi_count_1;all_genes,_Hi_count_1;_Hi_count_HiC_all,_Hi_count_2;_Hi_count_1,_Hi_count_3;_Hi_count_1,_Hi_count_4;_Hi_count_1,_Hi_count_5;_Hi_count_1,_Hi_count_grthan5;_Hi_count_1
actin-based cell projection,NA,NA,NA,NA,NA,NA,0.0333719584592788
asymmetric synapse,NA,NA,NA,NA,NA,0.00104599553841095,6.43145049060666e-05
axon part,NA,NA,NA,NA,NA,NA,0.0333719584592788
axoneme,NA,NA,NA,NA,NA,NA,0.0371461012723645
axoneme part,NA,NA,NA,NA,NA,0.0426607539268763,NA
basement membrane,NA,NA,NA,NA,NA,NA,0.00200221949839885
catenin complex,NA,NA,NA,NA,NA,NA,0.0189356653323106
cation channel complex,NA,NA,NA,NA,NA,0.036892532299128,0.0333719584592788
cell cortex,NA,NA,NA,NA,NA,NA,0.0333719584592788
cell leading edge,NA,NA,NA,NA,0.00917242059612885,NA,0.000591978787300501
cell-cell adherens junction,NA,NA,NA,NA,0.00953083346245609,0.00637944480863214,6.60440853048266e-05
cell-cell junction,NA,NA,NA,NA,NA,0.0323037476349371,0.0333719584592788
chaperone complex,NA,NA,NA,NA,NA,NA,0.0333719584592788
chaperonin-containing T-complex,NA,NA,NA,NA,NA,NA,0.0157659188797266
ciliary plasm,NA,NA,NA,NA,NA,NA,0.0433515738732197
cytoplasmic region,NA,NA,NA,NA,NA,0.00146938866853624,0.00504634165519984
dendritic spine,NA,NA,NA,NA,NA,NA,0.0121280332343778
extracellular matrix,NA,NA,NA,NA,NA,NA,0.0350502113144126
extracellular matrix component,NA,NA,NA,NA,NA,0.0349858142431781,0.000268549925861456
extrinsic component of plasma membrane,NA,NA,NA,NA,NA,NA,0.0436140131557407
filopodium,NA,NA,NA,NA,NA,NA,0.0447297939442166
growth cone,NA,NA,NA,NA,NA,0.0173951681066573,NA
interstitial matrix,NA,NA,NA,NA,NA,NA,0.0333719584592788
ion channel complex,NA,NA,NA,NA,NA,0.0334311042258993,0.0333719584592788
ionotropic glutamate receptor complex,NA,NA,NA,NA,NA,0.00410383093387426,0.0333719584592788
lamellipodium,NA,NA,NA,NA,NA,NA,0.0333719584592788
mitotic spindle,NA,NA,NA,NA,NA,0.0323037476349371,NA
neuron projection membrane,NA,NA,NA,NA,NA,NA,0.0333719584592788
neuron spine,NA,NA,NA,NA,NA,NA,0.0100860915052879
neuron to neuron synapse,NA,NA,NA,NA,NA,0.00146938866853624,6.60440853048266e-05
neurotransmitter receptor complex,NA,NA,NA,NA,NA,0.0112621245798146,0.0473143701859248
plasma membrane bounded cell projection cytoplasm,NA,NA,NA,NA,NA,0.0323037476349371,NA
postsynapse,NA,NA,NA,NA,NA,0.00104599553841095,8.93173730446172e-06
postsynaptic density,NA,NA,NA,NA,NA,0.00104599553841095,6.60440853048266e-05
postsynaptic density membrane,NA,NA,NA,NA,NA,0.0406305203084274,0.0402839584375355
postsynaptic membrane,NA,NA,NA,NA,NA,0.0195866366058073,0.0014210537774953
postsynaptic specialization,NA,NA,NA,NA,NA,0.00104599553841095,6.60440853048266e-05
postsynaptic specialization membrane,NA,NA,NA,NA,NA,0.0426607539268763,0.0333719584592788
presynapse,NA,NA,NA,NA,NA,NA,0.00578946985678084
presynaptic membrane,NA,NA,NA,NA,NA,NA,0.0371461012723645
proteinaceous extracellular matrix,NA,NA,NA,NA,NA,NA,0.0174868460402226
receptor complex,NA,NA,NA,NA,NA,0.00506057427114498,0.000613655005832616
sarcolemma,NA,NA,NA,NA,NA,0.0406305203084274,0.00578946985678084
site of polarized growth,NA,NA,NA,NA,NA,0.0142687106617636,NA
synaptic membrane,NA,NA,NA,NA,NA,0.036892532299128,0.000694735080415779
