ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0032279,asymmetric synapse,133/7564,227/17291,4.2960708402854e-06,0.00104599553841095,0.000931189300542734,KCNAB2/EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SOS1/CRIPT/RTN4/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/BMPR2/MAP2/EPHA4/ITPR1/GRM7/MAP4/GAP43/KALRN/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/CAP2/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/PTCH1/GRIN3A/DNM1/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/ADD3/BNIP3/SHANK2/ARRB1/DLG2/GRM5/MTMR2/GRIA4/CRYAB/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/DCLK1/SIPA1L1/ADAM10/NPTN/ABHD17C/CPEB1/GRIN2A/SHISA9/EEF2K/GSG1L/VPS35/NETO2/SHISA6/ARHGAP44/CDK5R1/NSF/CACNG5/GRIN2C/DLGAP1/EPB41L3/CDH2/NETO1/PTPRS/SHANK1/PRKCG/CACNG7/SHISA7/PLCB4/SRC/GRIK1/TIAM1/NEFH/SYN3/CACNG2/SHANK3/NLGN4X/CNKSR2/GRIA3/FMR1,133
GO_CC,GO:0098794,postsynapse,239/7564,441/17291,5.12823799100767e-06,0.00104599553841095,0.000931189300542734,KCNAB2/CDC42/EPHB2/EPB41/HPCA/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/PALMD/ATP1A1/ATP1A2/DNM3/SRGAP2/KCNH1/CNIH3/RAB4A/DISC1/ACTN2/CHRM3/STRN/SOS1/SLC8A1/CRIPT/RTN4/BCL11A/ACTR2/LRRTM4/CTNNA2/LRRTM1/NCK2/RAB3GAP1/PKP4/TANC1/ZNF804A/BMPR2/MAP2/EPHA4/DOCK10/CHRND/CHRNG/ITPR1/GRM7/MAP4/GABRR3/GAP43/GSK3B/KALRN/TMEM108/CLSTN2/NLGN1/DLG1/NSG1/CHRNA9/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/SEPT11/SNCA/GRID2/PDLIM5/PPP3CA/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/DROSHA/MAP1B/HOMER1/MEF2C/PJA2/KCNN2/SPOCK1/LRRTM2/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/CAP2/SYNGAP1/LRFN2/GABRR1/GABRR2/EPHA7/GRIK2/FYN/GOPC/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/PRKAR2B/CTTNBP2/KCND2/CADPS2/CHRM2/DGKI/PSD3/PTK2B/KCNU1/LYN/CALB1/BAALC/ASAP1/MPDZ/CLTA/APBA1/ABHD17B/NTRK2/PTCH1/GABBR2/GRIN3A/MUSK/LPAR1/STXBP1/DNM1/ITGA8/ABI1/ITGB1/ANK3/LRRTM3/COL13A1/CAMK2G/KCNMA1/DLG5/GRID1/PTEN/CPEB3/SORCS3/ADD3/BNIP3/KCNA4/LRRC4C/CTNND1/SHANK2/ARRB1/DLG2/PICALM/GRM5/MTMR2/GRIA4/CRYAB/GRIK4/ARHGAP32/IGSF9B/IQSEC3/CACNA1C/CLSTN3/GRIN2B/PTPRO/EPS8/SSPN/DNM1L/LRRK2/KCNC2/LIN7A/ATP2B1/ANKS1B/PPP1CC/P2RX7/DCLK1/FARP1/GPHN/SLC8A3/SIPA1L1/GABRB3/GABRA5/GABRG3/APBA2/CHRNA7/CHRM5/SHC4/NEDD4/ADAM10/NPTN/ABHD17C/CPEB1/GRIN2A/SHISA9/EEF2K/GSG1L/VPS35/NETO2/CBLN1/SHISA6/ARHGAP44/CDK5R1/ASIC2/HCRT/MAPT/NSF/PSMC5/CACNG5/KCNJ2/GRIN2C/DLGAP1/EPB41L3/CDH2/NETO1/PTPRS/SHANK1/PRKCG/CACNG7/SHISA7/PLCB4/SNAP25/SRC/ZMYND8/KCNB1/APP/GRIK1/TIAM1/NEFH/SYN3/CACNG2/SHANK3/NLGN4X/CNKSR2/IL1RAPL1/DMD/GRIA3/FMR1/MECP2,239
GO_CC,GO:0014069,postsynaptic density,130/7564,222/17291,5.69612551263955e-06,0.00104599553841095,0.000931189300542734,KCNAB2/EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/KCNH1/DISC1/STRN/SOS1/CRIPT/RTN4/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/BMPR2/MAP2/EPHA4/ITPR1/MAP4/GAP43/KALRN/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/CAP2/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/PTCH1/GRIN3A/DNM1/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/ADD3/BNIP3/SHANK2/ARRB1/DLG2/GRM5/MTMR2/GRIA4/CRYAB/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/DCLK1/SIPA1L1/ADAM10/NPTN/ABHD17C/CPEB1/GRIN2A/SHISA9/EEF2K/GSG1L/VPS35/NETO2/SHISA6/ARHGAP44/CDK5R1/NSF/CACNG5/GRIN2C/DLGAP1/EPB41L3/CDH2/NETO1/PTPRS/SHANK1/PRKCG/CACNG7/SHISA7/PLCB4/SRC/GRIK1/TIAM1/NEFH/SYN3/CACNG2/SHANK3/NLGN4X/CNKSR2/GRIA3/FMR1,130
GO_CC,GO:0099572,postsynaptic specialization,131/7564,224/17291,5.76306081769118e-06,0.00104599553841095,0.000931189300542734,KCNAB2/EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/KCNH1/DISC1/STRN/SOS1/CRIPT/RTN4/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/BMPR2/MAP2/EPHA4/ITPR1/MAP4/GAP43/KALRN/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/CAP2/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/PTCH1/GRIN3A/DNM1/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/ADD3/BNIP3/SHANK2/ARRB1/DLG2/GRM5/MTMR2/GRIA4/CRYAB/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/DCLK1/GPHN/SIPA1L1/ADAM10/NPTN/ABHD17C/CPEB1/GRIN2A/SHISA9/EEF2K/GSG1L/VPS35/NETO2/SHISA6/ARHGAP44/CDK5R1/NSF/CACNG5/GRIN2C/DLGAP1/EPB41L3/CDH2/NETO1/PTPRS/SHANK1/PRKCG/CACNG7/SHISA7/PLCB4/SRC/GRIK1/TIAM1/NEFH/SYN3/CACNG2/SHANK3/NLGN4X/CNKSR2/GRIA3/FMR1,131
GO_CC,GO:0098984,neuron to neuron synapse,133/7564,230/17291,1.08748813023368e-05,0.00146938866853624,0.00130811170433704,KCNAB2/EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/ATP1A1/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SOS1/CRIPT/RTN4/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/BMPR2/MAP2/EPHA4/ITPR1/GRM7/MAP4/GAP43/KALRN/TMEM108/CLSTN2/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/MAP1B/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/CAP2/SYNGAP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/PSD3/PTK2B/LYN/BAALC/MPDZ/ABHD17B/NTRK2/PTCH1/GRIN3A/DNM1/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/ADD3/BNIP3/SHANK2/ARRB1/DLG2/GRM5/MTMR2/GRIA4/CRYAB/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/DCLK1/SIPA1L1/ADAM10/NPTN/ABHD17C/CPEB1/GRIN2A/SHISA9/EEF2K/GSG1L/VPS35/NETO2/SHISA6/ARHGAP44/CDK5R1/NSF/CACNG5/GRIN2C/DLGAP1/EPB41L3/CDH2/NETO1/PTPRS/SHANK1/PRKCG/CACNG7/SHISA7/PLCB4/SRC/GRIK1/TIAM1/NEFH/SYN3/CACNG2/SHANK3/NLGN4X/CNKSR2/GRIA3/FMR1,133
GO_CC,GO:0099568,cytoplasmic region,238/7564,443/17291,1.21437080044318e-05,0.00146938866853624,0.00130811170433704,AGTRAP/KIF17/CDC42/EPB41/HPCA/GRIK3/CAP1/RIMS3/SLC2A1/WDR78/WLS/FNBP1L/GPSM2/SPAG17/SPTA1/UHMK1/KIFAP3/LAMC2/HMCN1/CAPN2/RHOU/ARV1/EXOC8/ACTN2/FMN2/DCDC2C/WDR35/RAB10/DRC1/NRBP1/IFT172/PLEKHH2/WDPCP/ACTR2/DCTN1/DNAH6/RALB/GLI2/CLASP1/GYPC/RND3/CYTIP/CD302/WIPF1/DNAH7/TRAK2/PARD3B/SPAG16/NCL/ATG16L1/TRAF3IP1/GRM7/ATG7/CLASP2/MYRIP/CTNNB1/TRAK1/MAP4/PRKAR2A/ARL13B/ARL6/IFT57/PHLDB2/MAATS1/PIK3R4/TMEM108/BFSP2/PLS1/KCNAB1/CCDC39/OPA1/GRK4/WDR1/MED28/UCHL1/FRYL/SHROOM3/SEPT11/PKD2/SNCA/BBS7/MGARP/FGA/FGB/DNAH5/MYO10/RAI14/AP3B1/RHOBTB3/FER/AP3S1/SEPT8/FGF1/EXOC2/BLOC1S5/NEDD9/DTNBP1/CAP2/DCDC2/HFE/FLOT1/DNAH8/CLIC5/EFHC1/DST/RIMS1/EEF1A1/MYO6/GRIK2/ATG5/COL10A1/RSPH4A/SAMD3/EPB41L2/UTRN/AKAP12/OPRM1/IPCEF1/CNKSR3/SCIN/DNAH11/WIPF3/SEPT7/ANLN/NME8/GLI3/LANCL2/HSPB1/GNAI1/GNAT3/PCLO/PPP1R9A/CAV1/CAPZA2/CTTNBP2/WASL/MKLN1/EXOC4/AKR1B1/CALD1/DLC1/NEFL/PTK2B/AP3M2/RP1/ASPH/RIMS2/SYBU/CLTA/FRMPD1/TMOD1/SPTAN1/WDR34/FNBP1/TSC1/INPP5E/SPAG6/ARMC4/PARD3/RHOBTB1/RTKN2/AP3M1/EXOC6/BLOC1S2/ACTR1A/ADD3/FGFR2/GLRX3/STIM1/DNHD1/INSC/TRAF6/AMBRA1/NUMA1/DYNC2H1/C2CD2L/ARHGAP32/GABARAPL1/EPS8/CAPZA3/C2CD5/ITPR2/LRRK2/RAPGEF3/BIN2/MYO1A/RAB21/RIC8B/TCHP/FRY/TRPC4/ABHD13/ARHGEF7/STXBP6/ARF6/ATG14/HIF1A/RHOJ/SPTB/PSEN1/DNAL1/SPATA7/ZC3H14/EPB42/BLOC1S6/UNC13C/NEDD4/MYZAP/POLR2M/ANXA2/CIB2/AKAP13/RPGRIP1L/HYDIN/DYNLRB2/PAFAH1B1/DNAH2/NDEL1/DNAH9/MAP2K4/HAP1/MAPT/PRKAR1A/DNAI2/MYL12B/SPIRE1/CDH2/PIK3C3/MYO5B/RYR1/BFSP1/DSTN/ABHD12/ITCH/DYNLRB1/RIMS4/CNKSR2/FMR1,238
GO_CC,GO:0008328,ionotropic glutamate receptor complex,35/7564,48/17291,3.95686178197243e-05,0.00410383093387426,0.00365340320921966,GRIK3/OLFM3/CNIH3/VWC2L/SACM1L/ABHD6/NLGN1/DLG1/GRID2/GRIA2/GRIA1/GRIK2/VWC2/PTK2B/GRIN3A/SHANK2/DLG2/GRIA4/GRIK4/GRIN2B/EPS8/GRIN2A/SHISA9/SHISA6/CACNG5/GRIN2C/OLFM2/SHANK1/CACNG7/SHISA7/ABHD12/GRIK1/CACNG2/SHANK3/GRIA3,35
GO_CC,GO:0043235,receptor complex,199/7564,370/17291,5.57639038142698e-05,0.00506057427114498,0.0045051364397318,EPHA8/EPHB2/GRIK3/EPHA10/ROR1/LEPR/TGFBR3/OLFM3/NOTCH2/NTRK1/FCRL5/DDR2/CD247/CR2/CR1L/PLXNA2/CNIH3/EMILIN1/ALK/ABCG5/ABCG8/HTRA2/MERTK/LRP1B/ACVR2A/ACVR1C/ACVR1/PLA2R1/ITGB6/LRP2/ITGA6/ITGA4/ITGAV/CALCRL/HSPD1/NRP2/ERBB4/VWC2L/EPHA4/IRS1/CHRND/CHRNG/RAMP1/GRM7/TGFBR2/ITGA9/VIPR1/SACM1L/ABHD6/EPHA3/EPHA6/GABRR3/IMPG2/ALCAM/TRAT1/ITGB5/TF/RYK/EPHB1/TRPC1/GPR160/NLGN1/PEX5L/TFRC/DLG1/BST1/TLR1/TLR6/CHRNA9/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/PDGFRA/KDR/EPHA5/GRID2/BMPR1B/MTTP/EGF/NR3C2/TLR2/GRIA2/MTNR1A/LIFR/OSMR/DAB2/GHR/ITGA1/ITGA2/CD14/KCTD16/CSF1R/CD74/GRIA1/GABRB2/GABRA1/GABRG2/HFE/GFRAL/GABRR1/GABRR2/EPHA7/GPR63/GRIK2/ROS1/GRM1/STXBP5/AHR/ITGB8/TRIL/ADCYAP1R1/VWC2/EGFR/CD36/CALCR/LMTK2/MET/GPR37/PLXNA4/EPHB6/PTPRN2/PTK2B/LYN/SDCBP/VLDLR/TEK/NTRK2/ROR2/GABBR2/TGFBR1/GRIN3A/MUSK/TLR4/ITGA8/APBB1IP/ITGB1/NRP1/BMPR1A/SORBS1/CHUK/PKD2L1/ADRA2A/GFRA1/FGFR2/CD44/TRAF6/LRP5/SHANK2/DLG2/GRIA4/GRIK4/OLR1/LRP6/GRIN2B/EPS8/ITPR2/CAPRIN2/VDR/GPR84/ERBB3/PTPRB/PLXNC1/NT5DC3/FLT1/SLITRK5/TSHR/TRAF3/GABRB3/GABRA5/GABRG3/CHRNA7/B2M/SMAD3/ITGA11/NTRK3/IGF1R/GRIN2A/SHISA9/IL4R/SHISA6/RFFL/SKAP1/CACNG5/GRIN2C/OLFM2/AXL/SHANK1/CACNG7/SHISA7/BMP2/ABHD12/APP/GRIK1/IL10RB/CACNG2/SHANK3/GRIA3,199
GO_CC,GO:0005913,cell-cell adherens junction,63/7564,100/17291,7.9084026553291e-05,0.00637944480863214,0.00567925056183867,SSX2IP/CNN3/CADM3/CRB1/RAB10/CTNNA2/GYPC/ITGA6/ANKAR/BMPR2/PARD3B/OXTR/CTNNB1/CADM2/CD200/PDLIM5/CDH18/CDH12/CDH10/CDH9/APC/CTNNA1/FAT2/DSP/FLOT1/GJA1/LYN/NDRG1/PGM5/ANXA1/PARD3/CTNNA3/DLG5/SORBS1/NRAP/EIF4G2/PLEKHA7/CTNND1/CADM1/TRIM29/FRS2/STXBP6/MPP5/TJP1/SNAP23/TMOD3/ANXA2/KIFC3/CDH11/CDH13/PTPRM/CDH2/DSC2/SMAD7/CDH19/CD226/CADM4/PVR/CDH22/CDH26/CDH4/CXADR/CDC42EP1,63
GO_CC,GO:0098878,neurotransmitter receptor complex,35/7564,50/17291,0.000155125682917556,0.0112621245798146,0.0100260178222505,GRIK3/OLFM3/CNIH3/VWC2L/SACM1L/ABHD6/NLGN1/DLG1/GRID2/GRIA2/GRIA1/GRIK2/VWC2/PTK2B/GRIN3A/SHANK2/DLG2/GRIA4/GRIK4/GRIN2B/EPS8/GRIN2A/SHISA9/SHISA6/CACNG5/GRIN2C/OLFM2/SHANK1/CACNG7/SHISA7/ABHD12/GRIK1/CACNG2/SHANK3/GRIA3,35
