ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0010975,regulation of neuron projection development,156/4177,436/16580,4.20188170734154e-07,0.00193189166197411,0.00187709036574697,KDM1A/MACF1/DAB1/LRRC7/NEGR1/LPAR3/BARHL2/PRRX1/DNM3/TNR/ABL2/CAMSAP2/SYT2/CNTN2/SRGAP2C/AGT/TRIM67/BCL11A/ACTR2/MAP4K4/ZEB2/CHN1/NFE2L2/ZNF804A/HECW2/CFLAR/TRAK2/MAP2/FN1/EPHA4/NGEF/GOLGA4/ULK4/TRAK1/PTPRG/ROBO2/ROBO1/EPHA3/SERPINI1/TNIK/NLGN1/FXR1/EPHB3/IL1RAP/OSTN/OPA1/SLIT2/PAQR3/SPP1/GRID2/PDLIM5/NDNF/SFRP2/RAPGEF2/TENM3/SEMA5A/PLK2/ZSWIM6/MAP1B/MEF2C/NR2F1/EFNA5/SPOCK1/TUBB2B/KIAA0319/PACSIN1/RIMS1/EPHA7/FYN/HDAC2/UST/HECW1/COBL/MAGI2/SEMA3C/HGF/SEMA3E/SEMA3A/SEMA3D/FZD1/PPP1R9A/NRCAM/IFRD1/PLXNA4/PTN/EZH2/NEFL/PTK2B/KIF13B/NRG1/STMN2/RIMS2/CSMD3/ASAP1/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/ABL1/VIM/ZNF365/APBB1/DENND5A/BDNF/LRRC4C/SHANK2/PAK1/FZD4/TRPC6/PTPRO/DNM1L/LRRK2/CNTN1/TWF1/LRP1/GRIP1/MDM2/SYT1/PLXNC1/CUX2/FBXW8/ATP8A2/RNF6/RAP2A/STK24/EFNB2/PRKD1/SIPA1L1/B2M/NEDD4/MAP2K1/NPTN/PTPN9/NTRK3/IQGAP1/SYT17/SERPINF1/ARHGAP44/SSH2/WNT3/CDH2/RIT2/SYT4/DCC/SHANK1/SNAP25/CBFA2T2/ZMYND8/PREX1/CDH4/CHODL/TIAM1/DSCAM/FGF13/MCF2,156
GO_BP,GO:0051056,regulation of small GTPase mediated signal transduction,123/4177,330/16580,6.33926714347535e-07,0.00193189166197411,0.00187709036574697,ARHGEF10L/RAP1GAP/SMAP2/SSX2IP/VAV3/NOTCH2/ARHGEF11/RASAL2/RALGPS2/KIF14/SRGAP2/RHOU/TRIM67/ASAP2/RHOQ/ARHGAP25/ARHGAP15/CHN1/COL3A1/ALS2/CUL3/AGFG1/NGEF/AGAP1/IQSEC1/FGD5/APPL1/ROBO1/ARHGEF26/ECT2/MCF2L2/BCL6/SLIT2/ARAP2/FAM13A/ARHGEF38/SPRY1/ARHGAP10/FBXO8/TRIO/DEPDC1B/ARHGEF28/F2R/RASA1/FAM13B/ARHGAP26/SQSTM1/FLOT1/CD2AP/ARHGAP18/ECT2L/TIAM2/CHN2/AUTS2/MET/DGKI/DLC1/PSD3/ADRA1A/NRG1/ARFGEF1/PREX2/ASAP1/ABCA1/LPAR1/DENND1A/SCAI/MAPKAP1/RALGPS1/GARNL3/ABL1/NET1/GDI2/ARHGAP21/ARHGAP12/ITGB1/ARHGAP22/RHOBTB1/PLCE1/SHOC2/RHOG/ARHGAP42/RDX/ARHGEF12/CDON/ARHGAP32/FOXM1/PLEKHG6/A2M/EPS8/FGD4/KITLG/PLEKHG7/FGD6/SPATA13/STARD13/SPRY2/ARHGAP5/RALGAPA1/RHOJ/PLEKHG3/SIPA1L1/GPR65/CGNL1/MYO9A/AKAP13/ARHGAP44/NF1/GNA13/ARHGAP28/RIT2/SIPA1L3/PLEKHG2/ARHGEF1/RALGAPA2/RALGAPB/ARHGAP40/PREX1/TIAM1/ITSN1/SGSM3/OPHN1/MCF2,123
GO_BP,GO:0016358,dendrite development,85/4177,213/16580,1.46510676849983e-06,0.00297660858466882,0.0028921721682737,RERE/DAB1/DNM3/CAMSAP2/SRGAP2C/SRGAP2/BCL11A/ACTR2/CTNNA2/HECW2/TRAK2/KLF7/MAP2/EPHA4/DOCK10/NGEF/TRAK1/EPHB1/TNIK/NLGN1/FXR1/MAP6D1/EPHB3/IL1RAP/OPA1/PAK2/UBA6/PDLIM5/RAPGEF2/CTNND2/PLK2/MAP1B/MEF2C/CAMK2A/DTNBP1/DCDC2/KIAA0319/PACSIN1/FYN/HDAC2/ARID1B/HECW1/COBL/SEMA3A/PPP1R9A/EZH2/NRG1/PREX2/MATN2/CSMD3/ASAP1/PTPRD/SEMA4D/GRIN3A/LPAR1/ABI1/ITGB1/PRKG1/ZNF365/SHANK2/MAP6/PICALM/TRPC6/DNM1L/LRRK2/GRIP1/CUX2/FBXW8/DCLK1/KLHL1/SLITRK5/RAP2A/SIPA1L1/NEDD4/BBS4/IQGAP1/ARHGAP44/DCC/SHANK1/BTBD3/ZMYND8/PREX1/APP/TIAM1/DSCAM,85
GO_BP,GO:0043087,regulation of GTPase activity,162/4177,468/16580,2.54936389016236e-06,0.00388459322763489,0.0037744003279088,RAP1GAP/SMAP2/JUN/DOCK7/DEPDC1/VAV3/S100A10/ARHGEF11/RGS4/RGS5/RABGAP1L/RASAL2/RGSL1/RGS8/RGS21/RGS1/DENND1B/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/RGS7/CHML/ASAP2/RASGRP3/ARHGAP25/RAB3GAP1/ARHGAP15/ITGA6/CHN1/ALS2/EPHA4/DOCK10/AGFG1/CCL20/NGEF/SH3BP4/AGAP1/IQSEC1/FGD5/TBC1D5/EPHA3/ECT2/EPHB3/BCL6/CPEB2/SLIT2/TBC1D19/ARAP2/TBC1D1/RASGEF1B/FAM13A/RAP1GDS1/ARHGEF38/TBCK/SPRY1/ARHGAP10/RAPGEF2/RICTOR/DEPDC1B/IQGAP2/F2R/RASA1/EFNA5/RAPGEF6/FAM13B/ARHGAP26/LARS/DOCK2/TBC1D7/BVES/ARHGAP18/TIAM2/SNX9/SNX13/CHN2/DOCK4/CAV2/PLXNA4/DGKI/EZH2/PTPRN2/DLC1/PTK2B/RGS20/ARFGEF1/PREX2/ASAP1/DOCK8/ALDH1A1/GNAQ/NTRK2/SEMA4D/RABGAP1/DENND1A/GARNL3/NET1/GDI2/USP6NL/RSU1/ARHGAP21/ARHGAP12/ITGB1/ARHGAP22/PRKG1/RGS10/DOCK1/RHOG/SBF2/PICALM/ARHGAP42/RDX/ARHGEF12/ARHGAP32/PLEKHG6/A2M/KLRK1/KLRC4-KLRK1/FGD4/DNM1L/LRRK2/TBC1D15/PLXNC1/FGD6/RIC8B/CORO1C/FZD10/STARD13/TBC1D4/SPRY2/IPO5/DOCK9/AJUBA/ARHGAP5/RALGAPA1/SIPA1L1/RGS6/GPR65/BNIP2/MYO9A/BBS4/NTRK3/IQGAP1/GNAO1/ARHGAP44/NF1/BCAS3/CDC42EP4/ARHGAP28/SIPA1L3/ARHGEF1/PLCB1/RIN2/RALGAPA2/RALGAPB/ARHGAP40/PREX1/TIAM1/SOD1/SGSM3/TBC1D22A/OPHN1,162
GO_BP,GO:0022604,regulation of cell morphogenesis,158/4177,458/16580,4.21332950268903e-06,0.00513604866377793,0.00499035616465863,AGO4/MACF1/DAB1/LPAR3/GBP1/BARHL2/CDC7/S100A10/DNM3/TNR/SYT2/CNTN2/RHOU/RHOQ/VRK2/BCL11A/ACTR2/ARHGAP15/ZEB2/FMNL2/PRPF40A/ERMN/WIPF1/CHN1/HECW2/TRAK2/MAP2/FN1/EPHA4/NGEF/FGD5/GOLGA4/TRAK1/QRICH1/ROBO2/ROBO1/TNIK/NLGN1/FXR1/EPHB3/TBCCD1/OSTN/OPA1/SLIT2/SHROOM3/SPP1/PDLIM5/SH3D19/FGA/FGB/RAPGEF2/SEMA5A/MYO10/ZSWIM6/MAP1B/RASA1/RHOBTB3/EFNA5/CSNK1G3/SPARC/TUBB2B/RREB1/RIMS1/PHIP/EPHA7/BVES/FYN/ARHGAP18/UST/SEPT7/HECW1/SEMA3C/SEMA3E/SEMA3A/SEMA3D/PPP1R9A/NRCAM/IFRD1/MKLN1/PLXNA4/PTN/DLC1/NEFL/PTK2B/KIF13B/NRG1/RIMS2/ENPP2/PTPRD/PLAA/ANXA1/NTRK2/SEMA4D/PALM2/LPAR1/ABL1/NET1/RHOBTB1/ZRANB1/DOCK1/GAS2/BDNF/CD44/LRRC4C/PAK1/FZD4/TRPC6/RDX/PTPRO/EPS8/FGD4/DNM1L/LRRK2/RND1/FMNL3/ITGA7/GRIP1/SYT1/PLXNC1/FGD6/CORO1C/CUX2/FBXW8/ZMYM2/RNF6/CSNK1A1L/RAP2A/RHOJ/SIPA1L1/SYNE3/VRK1/NEDD4/MAP2K1/NTRK3/SYT17/ARHGAP44/SSH2/WNT3/GNA13/CDC42EP4/MYL12B/EPB41L3/CDH2/SYT4/DCC/VRK3/ZNF135/PREX1/CDH4/TIAM1/DSCAM/MYH9/CSNK1E/PARVB/MSN/BRWD3/FGF13/MCF2,158
GO_BP,GO:0007409,axonogenesis,151/4177,447/16580,2.40937474103395e-05,0.0244752317443365,0.023780951391328,RAP1GAP/LYPLA2/MACF1/SZT2/DAB1/DOCK7/LPAR3/BARHL2/NTNG1/NRAS/EFNA4/LMX1A/TNR/LHX4/NFASC/CNTN2/FEZ2/NRXN1/SPTBN1/CTNNA2/ZEB2/KIF5C/CHN1/TRAK2/ALS2/RAPH1/NRP2/KLF7/MAP2/FN1/EPHA4/CHL1/CNTN4/TOP2B/GOLGA4/TRAK1/ROBO2/ROBO1/ALCAM/GAP43/EPHB1/SLITRK3/EPHB3/SLIT2/APBB2/SPP1/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/PIK3R1/MAP1B/EFNA5/SEMA6A/POU4F3/CYFIP2/SLIT3/TUBB2B/RANBP9/FLOT1/EPHA7/FYN/LAMA2/UST/ETV1/ISPD/GLI3/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/NRCAM/IFRD1/PTPRZ1/PLXNA4/NEFL/FZD3/KIF13B/NRG1/UNC5D/MATN2/EXT1/NFIB/LINGO2/NTRK2/SEMA4D/OGN/OMD/ECM2/PTCH1/LHX2/ABL1/ITGB1/PARD3/ANK3/APBB1/BDNF/LRRC4C/PAK1/GAB2/PICALM/NCAM1/DSCAML1/PTPRO/FRS2/EPYC/LUM/PLXNC1/NTN4/ATP8A2/RNF6/DCLK1/SLITRK6/SLITRK5/EFNB2/LRFN5/ATL1/SIPA1L1/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/MAP2K1/NEO1/NTRK3/CDH11/SSH2/WNT3/PRKCA/PTPRM/CDH2/SMAD4/DCC/BCL2/DOK6/FLRT3/PLCG1/DOK5/CDH4/APP/TIAM1/DSCAM/ADARB1/OPHN1/FGF13/MCF2,151
GO_BP,GO:0061564,axon development,160/4177,485/16580,5.73235470770214e-05,0.0439625723291697,0.0427155013900796,RAP1GAP/LYPLA2/MACF1/SZT2/DAB1/JUN/DOCK7/LPAR3/BARHL2/NTNG1/NRAS/EFNA4/LMX1A/TNR/LHX4/CAMSAP2/NFASC/CNTN2/MTR/FEZ2/NRXN1/SPTBN1/CTNNA2/ZEB2/KIF5C/CHN1/TRAK2/ALS2/RAPH1/NRP2/KLF7/MAP2/FN1/EPHA4/CHL1/CNTN4/TOP2B/GOLGA4/TRAK1/ROBO2/ROBO1/EPHA3/ALCAM/GAP43/EPHB1/SLITRK3/EPHB3/SLIT2/APBB2/SPP1/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/PIK3R1/MAP1B/EFNA5/NREP/SEMA6A/POU4F3/CYFIP2/SLIT3/TUBB2B/RANBP9/FLOT1/EPHA7/FYN/LAMA2/UST/ETV1/ISPD/GLI3/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/NRCAM/IFRD1/PTPRZ1/PLXNA4/NEFL/FZD3/KIF13B/NRG1/UNC5D/MATN2/EXT1/JAK2/NFIB/LINGO2/NTRK2/SEMA4D/OGN/OMD/ECM2/PTCH1/TNC/LHX2/ABL1/ITGB1/PARD3/ANK3/APBB1/BDNF/LRRC4C/PAK1/GAB2/PICALM/NCAM1/DSCAML1/PTPRO/FRS2/EPYC/LUM/PLXNC1/NTN4/ATP8A2/RNF6/DCLK1/SLITRK6/SLITRK5/STK24/EFNB2/LRFN5/ATL1/SIPA1L1/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/MAP2K1/NEO1/NTRK3/CDH11/SSH2/WNT3/PRKCA/PTPRM/CDH2/SMAD4/DCC/BCL2/DOK6/FLRT3/PLCG1/DOK5/CDH4/NCAM2/APP/TIAM1/DSCAM/ADARB1/OPHN1/FGF13/MCF2,160
GO_BP,GO:0051262,protein tetramerization,59/4177,148/16580,5.77031302105591e-05,0.0439625723291697,0.0427155013900796,PEX14/HMGCL/CTH/CRYZ/S100A10/CRTC2/RXRG/GLS/FARSB/TRPM8/IMPDH2/NLGN1/TP63/NUP54/TDO2/HMGCR/ALDH5A1/HIST1H3B/HIST1H3A/HIST1H4B/HIST1H4A/HIST1H4C/HIST1H4D/HIST1H3D/HIST1H4H/HIST1H3I/ME1/PDSS2/AASS/TRPA1/DECR1/DPYS/TRPM3/TRPM6/PDSS1/RRM1/SBF2/CAT/GRIN2B/DNM1L/CPSF6/EVL/RYR3/ANXA2/PKM/CRTC3/IGF1R/ALDH1A3/NUDT21/KCNJ12/ACACA/KCNJ2/INSR/CD79A/RPS19/USP16/ADSL/ST13/XRCC6,59
GO_BP,GO:0007411,axon guidance,88/4177,243/16580,8.02797832750103e-05,0.0491236155025105,0.0477301430537756,RAP1GAP/LYPLA2/DAB1/NRAS/EFNA4/LMX1A/TNR/LHX4/NFASC/CNTN2/FEZ2/NRXN1/SPTBN1/KIF5C/CHN1/NRP2/KLF7/EPHA4/CHL1/CNTN4/ROBO2/ROBO1/ALCAM/GAP43/EPHB1/EPHB3/SLIT2/APBB2/BMPR1B/UNC5C/GAB1/SEMA5A/ZSWIM6/PIK3R1/EFNA5/SEMA6A/POU4F3/CYFIP2/SLIT3/TUBB2B/RANBP9/EPHA7/FYN/LAMA2/ETV1/ISPD/GLI3/SEMA3C/SEMA3E/SEMA3A/SEMA3D/NRCAM/PLXNA4/FZD3/UNC5D/MATN2/EXT1/NFIB/SEMA4D/PTCH1/LHX2/BDNF/GAB2/NCAM1/PTPRO/FRS2/PLXNC1/NTN4/EFNB2/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/NEO1/WNT3/PRKCA/PTPRM/SMAD4/DCC/DOK6/FLRT3/PLCG1/DOK5/CDH4/APP/DSCAM/OPHN1,88
GO_BP,GO:0098739,import across plasma membrane,33/4177,71/16580,8.05965799877121e-05,0.0491236155025105,0.0477301430537756,ATP1A1/KCNJ10/ATP1B1/SLC9C2/AGT/SLC9A2/KCNJ3/LRP2/SLC39A10/PER2/ARL6IP5/SLC9C1/SLC9A9/SLC39A8/SLC1A3/HFE/FYN/CACNA2D1/STEAP4/STEAP2/CALCR/SLC7A2/SLC39A14/SLC1A1/SLC6A5/SLC3A2/PICALM/SLC36A4/KCNJ8/FAM155A/SLC8A3/ARL6IP1/SLC9A8,33
