ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KEGG,hsa04724,Glutamatergic synapse,48/1915,112/7675,2.28167131149565e-05,0.00734698162301599,0.00638867967218782,108/109/114/775/776/9229/2744/2770/2775/2776/59345/55970/2890/2891/2892/2893/2897/2898/2903/2904/116443/2911/2913/2915/2917/2918/9456/9455/3708/3709/3760/5321/23236/5332/5337/5533/5534/5535/5567/5578/5579/5582/50944/22941/57084/6505/6507/7220,48
KEGG,hsa04360,Axon guidance,67/1915,178/7675,0.000100517515472659,0.016183319991098,0.0140724521661722,25/22885/23365/658/815/817/1073/1630/1945/1946/1948/2042/2043/285220/2045/2047/2049/2534/7976/2770/3688/57689/4233/10627/103910/4756/4773/25791/4893/59277/22854/5058/5062/56924/56288/5163/5295/5335/5336/91584/10154/5533/5534/5535/5578/5727/5921/27289/6091/6092/10371/10512/223117/9723/10507/9037/57556/80031/9353/6586/23380/85464/7220/7222/7225/8633/137970,67
KEGG,hsa04921,Oxytocin signaling pathway,56/1915,151/7675,0.000558715633007122,0.0440325091450079,0.0382891383869634,108/109/114/775/776/779/781/55799/783/785/27091/59284/51806/815/817/814/952/1956/2770/2775/2776/2977/3708/3709/3725/3768/100134444/3759/3760/5604/4208/340156/4773/4893/5021/5294/23533/5321/23236/5332/5500/4659/4660/5533/5534/5535/5562/5567/5571/51422/5578/5579/5582/5743/6262/6263,56
KEGG,hsa04720,Long-term potentiation,29/1915,66/7675,0.000561080865143777,0.0440325091450079,0.0382891383869634,114/775/51806/815/817/814/2776/2890/2891/2903/2904/2911/2915/3708/3709/5604/4893/23236/5332/5500/5533/5534/5535/5567/5578/5579/5582/6196/27330,29
KEGG,hsa04512,ECM-receptor interaction,36/1915,88/7675,0.000683734614052917,0.0440325091450079,0.0382891383869634,948/960/961/1285/1286/1292/1293/2335/80144/158326/341640/3161/3672/22801/3673/3655/3679/3688/3694/3696/284217/3908/3910/3912/22798/3915/255743/6382/6385/6696/9900/9899/22987/7058/3371/7143,36
KEGG,hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),32/1915,77/7675,0.000968183479465167,0.0474648378942117,0.0412737720819232,488/775/776/779/781/55799/783/785/27091/59284/1000/1496/29119/1824/1829/1832/3672/22801/3673/3655/3679/3688/3694/3696/284217/3908/51176/6262/6443/6444/6547/6934,32
KEGG,hsa04725,Cholinergic synapse,43/1915,112/7675,0.0010565406039468,0.0474648378942117,0.0412737720819232,108/109/114/596/775/776/779/815/817/814/1103/1129/1131/1133/64764/148327/9586/2534/2770/2775/2776/59345/55970/3708/3709/3717/3768/100134444/3759/3760/3786/56479/5604/4893/5294/5295/23533/23236/5332/5567/5578/5579/5582,43
KEGG,hsa04730,Long-term depression,25/1915,57/7675,0.0013634185509242,0.0474648378942117,0.0412737720819232,10672/2770/2775/2776/2890/2891/2892/2895/2911/2977/3480/3708/3709/5604/4893/5321/23236/5332/5518/5519/5578/5579/5582/5592/5593,25
KEGG,hsa04022,cGMP-PKG signaling pathway,58/1915,163/7675,0.00144927696252848,0.0474648378942117,0.0412737720819232,108/109/114/140/148/147/185/1386/476/481/488/490/775/776/779/51806/1259/64764/148327/9586/1909/1910/10672/2770/2776/2977/3643/3708/3709/3764/10242/157855/3827/5604/4208/10335/340156/4773/4985/5139/5140/8654/5294/23533/23236/5332/5350/5500/4659/5533/5534/5535/5592/5593/83447/6547/7225/7416,58
KEGG,hsa04020,Calcium signaling pathway,67/1915,194/7675,0.00158934606716612,0.0474648378942117,0.0412737720819232,108/109/114/136/148/147/185/444/488/490/775/776/779/51806/815/817/814/952/1129/1131/1133/1909/1910/1956/2065/2066/2149/9630/2776/2903/2911/2915/3708/3709/255231/55283/340156/4843/5021/5136/5137/23236/5332/51196/5335/5336/5350/5533/5534/5535/5567/5578/5579/5582/5733/5737/2185/6262/6263/83447/6547/6786/57620/6869/6870/10345/7416,67
KEGG,hsa05033,Nicotine addiction,19/1915,40/7675,0.00162146961750413,0.0474648378942117,0.0412737720819232,2554/2557/2558/2560/2561/2562/2565/2566/2567/200959/2890/2891/2892/2893/2903/2904/116443/57084/140679,19
KEGG,hsa04924,Renin secretion,28/1915,67/7675,0.00177664114991448,0.0476732041893719,0.0414549601646712,183/185/358/775/776/779/51806/1179/9635/1909/2770/2776/2977/3708/3709/3759/5136/5137/5139/5140/23236/5332/5533/5534/5535/5567/5593/5734,28
