GO_BP_terms,_Lu_count_1;all_genes,_Lu_count_1;_Lu_count_HiC_all,_Lu_count_2;_Lu_count_1,_Lu_count_3;_Lu_count_1,_Lu_count_4;_Lu_count_1,_Lu_count_5;_Lu_count_1,_Lu_count_grthan5;_Lu_count_1
actin filament organization,NA,NA,NA,0.00962630186044526,NA,NA,NA
action potential,NA,NA,NA,0.0038858282702209,NA,NA,NA
activation of transmembrane receptor protein tyrosine kinase activity,NA,NA,NA,NA,NA,0.0371358333469923,NA
actomyosin structure organization,NA,NA,NA,0.000281435744406322,NA,NA,NA
alternative mRNA splicing  via spliceosome,NA,NA,NA,NA,0.0414146386919086,NA,NA
ameboidal-type cell migration,NA,NA,NA,0.0202949560187069,NA,NA,NA
appendage development,NA,NA,NA,0.0495690337710131,NA,NA,NA
appendage morphogenesis,NA,NA,NA,0.01214032033573,NA,NA,NA
artery development,NA,NA,NA,0.029488696026455,NA,NA,NA
axon development,NA,NA,NA,0.000322107797640666,2.65555416947578e-07,0.00336870605215372,NA
axon guidance,NA,NA,NA,0.00330454213919772,4.52574352646946e-07,0.000159545074689401,NA
axonal transport of mitochondrion,NA,NA,NA,0.0230364479412473,NA,NA,NA
axonogenesis,NA,NA,NA,0.000393090181205035,5.3482655199307e-08,0.00111172015031385,NA
BMP signaling pathway,NA,NA,NA,0.0467272851659225,NA,NA,NA
branching involved in ureteric bud morphogenesis,NA,NA,NA,0.00603238983455431,NA,NA,NA
branching morphogenesis of an epithelial tube,NA,NA,NA,0.041159213884945,NA,NA,NA
calcium ion transmembrane import into cytosol,NA,NA,NA,NA,0.0254254455536194,NA,NA
calcium ion transmembrane transport,NA,NA,NA,NA,0.00851463857005479,NA,NA
calcium ion transport into cytosol,NA,NA,NA,NA,0.0418094955725384,NA,NA
camera-type eye development,NA,NA,NA,0.000555802597857519,NA,NA,NA
camera-type eye morphogenesis,NA,NA,NA,0.041159213884945,NA,NA,NA
cardiac chamber development,NA,NA,NA,0.0202949560187069,NA,NA,NA
cardiac muscle cell contraction,NA,NA,NA,0.0419817892118865,NA,NA,NA
cardiac muscle tissue development,NA,NA,NA,0.0424708878050013,NA,NA,NA
cardiac septum development,NA,NA,NA,0.0279227980583307,NA,NA,NA
cardiac septum morphogenesis,NA,NA,NA,0.0365781329851831,NA,NA,NA
cartilage development,NA,NA,NA,0.0102688943638248,NA,NA,NA
cell fate commitment,NA,NA,NA,0.0199880621720654,NA,NA,NA
cell growth,NA,NA,NA,NA,0.00647548448483849,NA,NA
cell migration in hindbrain,NA,NA,NA,NA,0.00576855577239383,NA,NA
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,0.00330454213919772,5.3482655199307e-08,NA,NA
cell-cell signaling by wnt,NA,NA,NA,0.00154708196219678,NA,NA,NA
cell-matrix adhesion,NA,NA,NA,0.0208591895533363,NA,NA,NA
cell-substrate adhesion,NA,NA,NA,0.00340873988375534,0.0418094955725384,NA,NA
cellular potassium ion transport,NA,NA,NA,NA,0.0191465238470798,NA,NA
cellular response to acid chemical,NA,NA,NA,NA,0.0305639328625385,NA,NA
cellular response to amino acid stimulus,NA,NA,NA,NA,0.0414146386919086,NA,NA
cellular response to cAMP,NA,NA,NA,0.0439617109737723,NA,NA,NA
cellular response to vascular endothelial growth factor stimulus,NA,NA,NA,0.0217690151923671,NA,NA,NA
central nervous system neuron differentiation,NA,NA,NA,0.0245227912836096,NA,NA,NA
chondrocyte differentiation,NA,NA,NA,0.01214032033573,NA,NA,NA
chromatin remodeling,NA,NA,NA,0.0477356170078567,NA,NA,NA
chromatin silencing at rDNA,NA,NA,NA,NA,NA,NA,0.0341241581474432
connective tissue development,NA,NA,NA,0.00691324845442221,NA,NA,NA
contractile actin filament bundle assembly,NA,NA,NA,0.00233943173272519,NA,NA,NA
cranial nerve development,NA,NA,NA,NA,0.0443258818268281,NA,NA
cytosolic calcium ion transport,NA,NA,NA,NA,0.0401890276611263,NA,NA
dendrite development,NA,NA,NA,0.00515859235975166,0.00438554550622953,NA,NA
dendrite morphogenesis,NA,NA,NA,0.0101095154523471,0.017278143264796,NA,NA
dephosphorylation,NA,NA,NA,0.00121732377566002,NA,NA,NA
developmental cell growth,NA,NA,NA,NA,0.0185871756047342,NA,NA
developmental growth involved in morphogenesis,NA,NA,NA,NA,0.00438554550622953,0.0371358333469923,NA
digestive system development,NA,NA,NA,0.0492302827663613,NA,NA,NA
digestive tract development,NA,NA,NA,0.041159213884945,NA,NA,NA
DNA replication-dependent nucleosome assembly,NA,NA,NA,NA,NA,NA,0.0230760061187833
DNA replication-dependent nucleosome organization,NA,NA,NA,NA,NA,NA,0.0230760061187833
dorsal/ventral pattern formation,NA,NA,NA,0.0365781329851831,NA,NA,NA
dsRNA fragmentation,NA,NA,NA,0.0492282845243382,NA,NA,NA
ear development,NA,NA,NA,0.00104136534689006,NA,NA,NA
ear morphogenesis,NA,NA,NA,0.0381269995524463,NA,NA,NA
embryonic appendage morphogenesis,NA,NA,NA,0.011826312335381,NA,NA,NA
embryonic digit morphogenesis,NA,NA,NA,0.0419817892118865,NA,NA,NA
embryonic limb morphogenesis,NA,NA,NA,0.011826312335381,NA,NA,NA
embryonic organ development,NA,NA,NA,0.00233943173272519,NA,NA,NA
embryonic organ morphogenesis,NA,NA,NA,0.000922312719581558,NA,NA,NA
embryonic skeletal system development,NA,NA,NA,0.041159213884945,NA,NA,NA
endocardium development,NA,NA,NA,0.0357247218057008,NA,NA,NA
epithelial cell migration,NA,NA,NA,0.0102688943638248,NA,NA,NA
epithelial cell proliferation,NA,NA,NA,0.013671728644659,NA,NA,NA
epithelial tube morphogenesis,NA,NA,NA,0.000721476028464997,NA,NA,NA
