GO_CC_terms,_Lu_count_1;all_genes,_Lu_count_1;_Lu_count_HiC_all,_Lu_count_2;_Lu_count_1,_Lu_count_3;_Lu_count_1,_Lu_count_4;_Lu_count_1,_Lu_count_5;_Lu_count_1,_Lu_count_grthan5;_Lu_count_1
actin-based cell projection,NA,NA,NA,NA,0.0422280857631926,NA,NA
apical part of cell,NA,NA,NA,0.000708273605966417,NA,NA,NA
apical plasma membrane,NA,NA,NA,0.0321971299802695,NA,NA,NA
asymmetric synapse,NA,NA,NA,0.000149538620073555,8.6315619246082e-05,0.00159138898810154,NA
axolemma,NA,NA,NA,0.0485185106979271,0.00140450096034331,NA,NA
axon part,NA,NA,NA,0.000499675417679367,2.07268384669396e-05,NA,NA
basement membrane,NA,NA,NA,0.000289761171882935,0.0289232942193803,0.0214340564777187,NA
calcium channel complex,NA,NA,NA,0.0235748589195811,NA,NA,NA
cation channel complex,NA,NA,NA,5.44765125401495e-05,4.70887520891634e-07,0.00178219986919721,NA
cell cortex,NA,NA,NA,0.000289761171882935,NA,NA,NA
cell cortex part,NA,NA,NA,0.0151041147905909,NA,NA,NA
cell leading edge,NA,NA,NA,0.000168931294328784,0.00765736588314694,NA,NA
cell-cell adherens junction,NA,NA,NA,0.000643486593044643,0.00546513370162793,NA,NA
cell-cell junction,NA,NA,NA,0.00145267901468767,NA,NA,NA
chloride channel complex,NA,NA,NA,NA,0.0493390252909033,NA,NA
collagen trimer,NA,NA,NA,0.00202304003424269,NA,NA,NA
cortical actin cytoskeleton,NA,NA,NA,0.0056760634498482,NA,NA,NA
cortical cytoskeleton,NA,NA,NA,0.0142709654649275,NA,NA,NA
cytoplasmic region,NA,NA,NA,7.05599553344949e-05,NA,NA,NA
cytoplasmic side of plasma membrane,NA,NA,NA,0.0296167647587804,NA,NA,NA
dendrite membrane,NA,NA,NA,NA,0.0378800489817635,NA,NA
dendritic spine,NA,NA,NA,0.0367308444846982,NA,NA,NA
distal axon,NA,NA,NA,0.0117400526688446,0.00546513370162793,NA,NA
DNA packaging complex,NA,NA,NA,NA,NA,0.000962916136064346,0.00442785851778175
early endosome,NA,NA,NA,0.00516252626786659,NA,NA,NA
extracellular matrix,NA,NA,NA,0.000985812859150619,0.00937840232493566,0.0148296582683551,NA
extracellular matrix component,NA,NA,NA,0.000289761171882935,0.00546513370162793,0.00372986178070463,NA
fibrillar center,NA,NA,NA,NA,0.0383067984447267,NA,NA
filopodium,NA,NA,NA,0.000985812859150619,NA,NA,NA
