GO_MF_terms,_Lu_count_1;all_genes,_Lu_count_1;_Lu_count_HiC_all,_Lu_count_2;_Lu_count_1,_Lu_count_3;_Lu_count_1,_Lu_count_4;_Lu_count_1,_Lu_count_5;_Lu_count_1,_Lu_count_grthan5;_Lu_count_1
actin binding,NA,NA,NA,0.0126064151082399,NA,NA,NA
ATPase activity,NA,NA,NA,0.0355179722738741,NA,NA,NA
calcium channel activity,NA,NA,NA,0.00453427577944297,0.00714346050534744,NA,NA
calcium ion transmembrane transporter activity,NA,NA,NA,0.00504298320080753,0.0160499606323445,NA,NA
calmodulin binding,NA,NA,NA,0.0131434784858974,NA,NA,NA
cation channel activity,NA,NA,NA,0.00453427577944297,7.00020670054864e-06,NA,NA
channel activity,NA,NA,NA,NA,3.07100567633577e-05,NA,NA
channel regulator activity,NA,NA,NA,NA,0.0497879080705901,NA,NA
delayed rectifier potassium channel activity,NA,NA,NA,NA,0.0497879080705901,NA,NA
extracellular ligand-gated ion channel activity,NA,NA,NA,NA,0.000367709108248161,NA,NA
extracellularly glutamate-gated ion channel activity,NA,NA,NA,NA,0.00827671782673982,NA,NA
GABA receptor activity,NA,NA,NA,NA,0.00714346050534744,NA,NA
GABA-A receptor activity,NA,NA,NA,NA,0.00827671782673982,NA,NA
GABA-gated chloride ion channel activity,NA,NA,NA,NA,0.00827671782673982,NA,NA
gated channel activity,NA,NA,NA,0.00711652178268181,8.47758144498799e-06,NA,NA
glutamate receptor activity,NA,NA,NA,NA,0.000764476799579474,NA,NA
glycosaminoglycan binding,NA,NA,NA,0.0146302601259353,NA,NA,NA
GTPase activator activity,NA,NA,NA,NA,0.00612713900819547,NA,NA
GTPase regulator activity,NA,NA,NA,NA,0.00602572685876089,NA,NA
guanyl-nucleotide exchange factor activity,NA,NA,NA,0.0301640365821285,0.000764476799579474,NA,NA
histone binding,NA,NA,NA,0.0387367471239932,NA,NA,NA
inhibitory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,0.00983534905527507,NA,NA
inositol 1 4 5 trisphosphate binding,NA,NA,NA,NA,0.0122225448817916,NA,NA
ion channel activity,NA,NA,NA,0.0104514188463346,7.00020670054864e-06,NA,NA
ion gated channel activity,NA,NA,NA,0.00566737452588259,7.00020670054864e-06,NA,NA
ionotropic glutamate receptor activity,NA,NA,NA,NA,0.00216455701173138,NA,NA
ligand-gated anion channel activity,NA,NA,NA,0.0355179722738741,0.00827671782673982,NA,NA
ligand-gated channel activity,NA,NA,NA,NA,0.000871032452713795,NA,NA
ligand-gated ion channel activity,NA,NA,NA,NA,0.000871032452713795,NA,NA
magnesium ion binding,NA,NA,NA,0.0355179722738741,NA,NA,NA
MAP kinase kinase kinase activity,NA,NA,NA,0.0483207353527888,NA,NA,NA
metal ion transmembrane transporter activity,NA,NA,NA,0.00111855815511715,0.000367709108248161,NA,NA
microtubule motor activity,NA,NA,NA,0.0101735203684474,NA,NA,NA
monovalent inorganic cation transmembrane transporter activity,NA,NA,NA,NA,0.0340620308675311,NA,NA
neurotransmitter receptor activity,NA,NA,NA,NA,0.00129868034832649,NA,NA
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,0.0457828974006249,NA,NA
nucleoside-triphosphatase regulator activity,NA,NA,NA,NA,0.0088296242114082,NA,NA
outward rectifier potassium channel activity,NA,NA,NA,NA,0.00983534905527507,NA,NA
passive transmembrane transporter activity,NA,NA,NA,NA,3.07100567633577e-05,NA,NA
phosphatase activity,NA,NA,NA,0.0312806998269538,NA,NA,NA
phosphatidylinositol-3 4 5-trisphosphate binding,NA,NA,NA,NA,NA,0.00704108101018886,NA
phospholipid binding,NA,NA,NA,0.0455763601864804,NA,NA,NA
phosphoprotein phosphatase activity,NA,NA,NA,0.0423459536683424,NA,NA,NA
phosphoric ester hydrolase activity,NA,NA,NA,0.0301640365821285,NA,NA,NA
postsynaptic neurotransmitter receptor activity,NA,NA,NA,NA,0.0238936041399178,NA,NA
potassium channel activity,NA,NA,NA,NA,0.00489749488586564,NA,NA
potassium ion transmembrane transporter activity,NA,NA,NA,NA,0.00897471581853906,NA,NA
proline-rich region binding,NA,NA,NA,0.0483207353527888,NA,NA,NA
protein serine/threonine kinase activity,NA,NA,NA,3.17164493449217e-05,NA,NA,NA
protein tyrosine kinase activity,NA,NA,NA,0.00405790100205008,NA,NA,NA
R-SMAD binding,NA,NA,NA,NA,0.00870944478006592,NA,NA
Ras guanyl-nucleotide exchange factor activity,NA,NA,NA,0.008409462958225,0.00231461665480755,NA,NA
Rho guanyl-nucleotide exchange factor activity,NA,NA,NA,0.0119343570906788,NA,NA,NA
signal transducer  downstream of receptor  with serine/threonine kinase activity,NA,NA,NA,0.0332547307985786,NA,NA,NA
signal transducer activity  downstream of receptor,NA,NA,NA,0.0355179722738741,0.00598221395257135,NA,NA
substrate-specific channel activity,NA,NA,NA,0.0251797849684371,7.00020670054864e-06,NA,NA
transcription factor activity  RNA polymerase II distal enhancer sequence-specific binding,NA,NA,NA,NA,0.0112355887379698,NA,NA
transcription factor activity  RNA polymerase II proximal promoter sequence-specific DNA binding,NA,NA,NA,NA,0.00272663821320514,NA,NA
transcriptional repressor activity  RNA polymerase II proximal promoter sequence-specific DNA binding,NA,NA,NA,NA,0.01747798168936,NA,NA
transcriptional repressor activity  RNA polymerase II transcription regulatory region sequence-specific DNA binding,NA,NA,NA,NA,0.0119269400110257,NA,NA
transmembrane receptor protein kinase activity,NA,NA,NA,0.00405790100205008,0.00983534905527507,NA,NA
transmembrane receptor protein tyrosine kinase activity,NA,NA,NA,0.0209493817961396,0.0171654495919806,NA,NA
transmitter-gated channel activity,NA,NA,NA,NA,2.81858957689623e-05,NA,NA
transmitter-gated ion channel activity,NA,NA,NA,NA,2.81858957689623e-05,NA,NA
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,0.0457828974006249,NA,NA
voltage-gated cation channel activity,NA,NA,NA,0.0299322277613614,0.000871032452713795,NA,NA
voltage-gated channel activity,NA,NA,NA,0.0293614526811773,0.00827671782673982,NA,NA
voltage-gated ion channel activity,NA,NA,NA,0.0293614526811773,0.00827671782673982,NA,NA
voltage-gated potassium channel activity,NA,NA,NA,NA,0.00714346050534744,NA,NA
