KEGG_terms,_Lu_count_1;all_genes,_Lu_count_1;_Lu_count_HiC_all,_Lu_count_2;_Lu_count_1,_Lu_count_3;_Lu_count_1,_Lu_count_4;_Lu_count_1,_Lu_count_5;_Lu_count_1,_Lu_count_grthan5;_Lu_count_1
Adherens junction,NA,NA,NA,0.0153853803153806,NA,NA,NA
Adrenergic signaling in cardiomyocytes,NA,NA,NA,0.0187741366531335,NA,NA,NA
AGE-RAGE signaling pathway in diabetic complications,NA,NA,NA,0.0455629876857637,0.0349397666123705,NA,NA
Alcoholism,NA,NA,NA,NA,NA,0.0113423868703248,NA
Aldosterone synthesis and secretion,NA,NA,NA,0.0426078141076215,NA,NA,NA
Amoebiasis,NA,NA,NA,0.0349288265500064,NA,NA,NA
Arrhythmogenic right ventricular cardiomyopathy (ARVC),NA,NA,NA,0.00489182121939953,NA,NA,NA
Axon guidance,NA,NA,NA,0.000299233475814281,0.000428175214181354,0.0399936126288958,NA
Calcium signaling pathway,NA,NA,NA,0.0010268851905019,NA,NA,NA
cAMP signaling pathway,NA,NA,NA,NA,NA,0.0322674669205589,NA
Cell adhesion molecules (CAMs),NA,NA,NA,NA,0.0361088963747361,NA,NA
cGMP-PKG signaling pathway,NA,NA,NA,0.0455629876857637,NA,NA,NA
Cholinergic synapse,NA,NA,NA,0.0449827302625587,NA,NA,NA
Circadian entrainment,NA,NA,NA,0.00839067087800538,NA,NA,NA
Dilated cardiomyopathy (DCM),NA,NA,NA,0.0191907313778276,NA,NA,NA
Dopaminergic synapse,NA,NA,NA,0.00933883194397432,NA,NA,NA
ECM-receptor interaction,NA,NA,NA,0.00460100442209811,NA,NA,NA
EGFR tyrosine kinase inhibitor resistance,NA,NA,NA,NA,0.0222441417721829,NA,NA
ErbB signaling pathway,NA,NA,NA,0.0349288265500064,NA,NA,NA
Focal adhesion,NA,NA,NA,0.00209855527810745,NA,NA,NA
GABAergic synapse,NA,NA,NA,0.00933883194397432,NA,NA,NA
Gastric acid secretion,NA,NA,NA,0.00209855527810745,NA,NA,NA
Gastric cancer,NA,NA,NA,NA,0.0403576070889501,NA,NA
Glutamatergic synapse,NA,NA,NA,0.00201713601788129,0.0222441417721829,0.0113423868703248,NA
GnRH signaling pathway,NA,NA,NA,0.00839067087800538,NA,NA,NA
Hedgehog signaling pathway,NA,NA,NA,0.0213183046246826,NA,NA,NA
Hippo signaling pathway,NA,NA,NA,0.00839067087800538,NA,NA,NA
Inflammatory mediator regulation of TRP channels,NA,NA,NA,0.0115636938404527,NA,NA,NA
Long-term depression,NA,NA,NA,0.00674301623482559,NA,NA,NA
Long-term potentiation,NA,NA,NA,0.0153853803153806,NA,NA,NA
MAPK signaling pathway,NA,NA,NA,NA,0.0386167977257984,NA,NA
Morphine addiction,NA,NA,NA,0.00209855527810745,0.0222441417721829,NA,NA
Neurotrophin signaling pathway,NA,NA,NA,0.0274655740845277,NA,NA,NA
Nicotine addiction,NA,NA,NA,NA,0.000428175214181354,NA,NA
Oxytocin signaling pathway,NA,NA,NA,0.00460100442209811,NA,NA,NA
Parathyroid hormone synthesis  secretion and action,NA,NA,NA,0.0156864833886776,NA,0.0399936126288958,NA
Phospholipase D signaling pathway,NA,NA,NA,0.0236914162780801,NA,NA,NA
PI3K-Akt signaling pathway,NA,NA,NA,NA,0.0349397666123705,NA,NA
Platelet activation,NA,NA,NA,0.0386182658005286,NA,NA,NA
Proteoglycans in cancer,NA,NA,NA,0.00222691078809784,0.0361088963747361,NA,NA
Rap1 signaling pathway,NA,NA,NA,0.0201672213729965,NA,NA,NA
Relaxin signaling pathway,NA,NA,NA,0.0170323795789914,NA,NA,NA
Renin secretion,NA,NA,NA,0.00839067087800538,NA,NA,NA
Serotonergic synapse,NA,NA,NA,NA,0.0349397666123705,NA,NA
Spinocerebellar ataxia,NA,NA,NA,0.0288497700003214,NA,NA,NA
Systemic lupus erythematosus,NA,NA,NA,NA,NA,0.0178413482587397,NA
TGF-beta signaling pathway,NA,NA,NA,0.0147318391791436,NA,NA,NA
Thyroid cancer,NA,NA,NA,0.0455629876857637,NA,NA,NA
Transcriptional misregulation in cancer,NA,NA,NA,0.0455629876857637,NA,NA,NA
Tryptophan metabolism,NA,NA,NA,0.0335492922423437,NA,NA,NA
Valine  leucine and isoleucine degradation,NA,NA,NA,0.0335492922423437,NA,NA,NA
Vascular smooth muscle contraction,NA,NA,NA,0.0153853803153806,NA,NA,NA
Wnt signaling pathway,NA,NA,NA,0.0109121829248659,NA,NA,NA
