ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0004674,protein serine/threonine kinase activity,313/8641,482/16377,2.71080763631809e-08,3.17164493449217e-05,2.83636083210545e-05,PRKCZ/MTOR/CDC42/EPHA8/EPHB2/STK40/EPHA10/TIE1/TESK2/MAST2/MKNK1/PRKAA2/ROR1/TNNI3K/PRKACB/PKN2/CDC7/TGFBR3/HIPK1/CLK2/NTRK1/DDR2/NEK7/DSTYK/NUAK2/DYRK3/MAPKAPK2/CAMK1G/NEK2/RPS6KC1/MARK1/CDC42BPA/AKT3/ROCK2/OSR1/ALK/LTBP1/EIF2AK2/PRKD3/MAP4K3/CDKL4/PRKCE/VRK2/PELI1/AAK1/EIF2AK3/MAP4K4/MERTK/MAP3K2/ERCC3/CCNT2/ACVR2A/ACVR1C/ACVR1/STK39/MYO3B/TLK1/TTN/STK17B/STRADB/CDK15/ERBB4/STK36/STK16/EPHA4/CAB39/PASK/STK25/IRAK2/RAF1/NEK10/TGFBR2/DCLK3/OXSR1/ACVR2B/ULK4/SNRK/CAMKV/PRKCD/EPHA3/EPHA6/GSK3B/MYLK/KALRN/PIK3R4/NEK11/RYK/EPHB1/GRK7/ATR/PRKCI/TNIK/PIK3CA/GAK/STK32B/PDGFRA/KIT/EPHA5/CDKL2/BMP2K/PRKG2/MAPK10/BMPR1B/ALPK1/CAMK2D/PLK4/DCLK2/NEK1/TRIO/PRKAA1/NIM1K/MAP3K1/PLK2/MAST4/CCNH/RIOK2/CAMK4/CSNK1G3/STK32A/CSNK1A1/CSF1R/CAMK2A/STK10/MYLK4/RIPK1/RIOK1/MAK/CSNK2B/SRPK1/MAPK14/STK38/CCND3/ICK/TTK/MAP3K7/EPHA7/CCNC/ROS1/SGK1/MAP3K5/MAP3K4/RPS6KA2/FAM20C/SOSTDC1/STK31/CDK13/STK17A/CAMK2B/EGFR/PHKG1/LIMK1/CDK14/CDK6/LMTK2/SRPK2/MET/HIPK2/BRAF/EPHB6/PRKAG2/PTK2B/PBK/MOS/C8orf44-SGK3/SGK3/PSKH2/CPNE3/RIPK2/STK3/TEK/TRPM6/NTRK2/DAPK1/CDK20/ROR2/WNK2/TGFBR1/MUSK/PKN3/PRKCQ/CAMK1D/MYO3A/MAP3K8/RET/MAPK8/PRKG1/CAMK2G/BMPR1A/CHUK/GRK5/FGFR2/STK32C/ILK/STK33/HIPK3/CCND1/PAK1/ATM/SIK2/ANKK1/SIK3/CHEK1/WNK1/STK38L/LRRK2/IRAK4/PRKAG1/ACVR1B/AMHR2/MAP3K12/ERBB3/TBK1/HMGA2/IRAK3/CDK17/NUAK1/KSR2/TAOK3/CIT/CAMKK2/GTF2H3/CDK8/FLT3/FLT1/DCLK1/NEK5/STK24/PRKD1/CDKL1/MAP4K5/PELI2/MNAT1/PRKCH/MAP3K9/RPS6KL1/NEK9/ADCK1/RPS6KA5/VRK1/CCNK/MOK/MARK3/EIF2AK4/BUB1B/PAK6/ITPKA/LTK/TTBK2/TRPM7/CCNB2/DAPK2/CSNK1G1/MAP2K1/MAP2K5/CLK3/ALPK3/AKAP13/NTRK3/IGF1R/LRRK1/EEF2K/ERN2/PLK1/PRKCB/SBK1/MYLK3/PHKB/PSKH1/MINK1/MAP2K4/MAP2K3/NLK/WNK4/STRADA/ERN1/PRKCA/MAP2K6/ROCK1/RIOK3/MAPK4/ALPK2/INSR/MAST1/DYRK1B/MAP3K10/LTBP4/MARK4/PRKD2/VRK3/PRKCG/AURKC/CSNK2A1/STK35/MYLK2/TOP1/SGK2/STK4/TP53RK/AURKA/HUNK/DYRK1A/BCR/LIMK2/CSNK1E/MAP3K15/RPS6KA3/PDK3/CASK/WNK3/TAF1/PHKA1/RPS6KA6/NRK,313
GO_MF,GO:0046873,metal ion transmembrane transporter activity,287/8641,452/16377,1.91206522242248e-06,0.00111855815511715,0.00100031201636208,KCNAB2/ATP13A2/NIPAL3/CATSPER4/GRIK3/KCNQ4/SLC6A9/SLC5A9/SLC1A7/MCOLN2/MCOLN3/CLCA3P/SLC30A7/SLC6A17/KCNC4/KCNA10/KCNA2/KCNA3/KCND3/ATP1A1/KCNN3/HCN3/KCNJ10/KCNJ9/ATP1A2/LRRC52/TMCO1/ATP1B1/CACNA1E/KCNT2/CACNA1S/SLC41A1/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/FKBP1B/KCNK3/SLC30A6/SLC8A1/KCNG3/KCNK12/SLC4A5/KCNIP3/CNNM4/CNGA3/SLC9A4/SLC9A2/TMEM37/CACNB4/SLC4A10/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ABCB11/ITGAV/SLC40A1/SLC39A10/KCNE4/TRPM8/ITPR1/ATP2B2/SLC6A11/SLC6A1/SLC6A6/KCNH8/SLC4A7/SCN5A/SCN10A/SCN11A/SLC6A20/CACNA1D/CACNA2D3/SLC12A8/ATP2C1/TF/ATP1B3/TRPC1/SLC9A9/KCNAB1/KCNMB2/KCNMB3/ATP13A5/ATP13A4/KCNIP4/SLC34A2/STIM2/CHRNA9/REST/SLC4A4/SLC10A6/PKD2/SLC39A8/SLC9B1/SLC9B2/TRPC3/ASIC5/GPM6A/SLC6A3/SLC1A3/HCN1/SLC30A5/KCNN2/SLC12A2/CATSPER3/TRPC7/PKD2L2/SLC4A9/SLC6A7/ATOX1/KCNIP1/KCNMB1/SLC17A1/SLC17A4/SLC17A3/SLC17A2/ITPR3/KCNK17/KCNK16/KCNQ5/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/KCND2/SLC13A1/SLC13A4/TRPV5/TUSC3/SLC25A37/KCNU1/SLC20A2/TRPA1/KCNB2/JPH1/CNGB3/NIPAL2/KCNS2/KCNV1/SLC30A8/KCNQ3/KCNV2/SLC1A1/SLC24A2/TRPM3/TMC1/TRPM6/SLC28A3/GRIN3A/SLC31A2/SLC31A1/NCS1/CACNA1B/SLC39A12/CACNB2/MCU/KCNMA1/SLC25A28/KCNIP2/KCNK18/KCNQ1/DENND5A/ABCC8/KCNC1/ZDHHC13/SLC6A5/SLC5A12/KCNA4/SLC1A2/LRRC55/SLC3A2/PANX1/TRPC6/CUL5/GRIK4/SCN3B/KCNJ1/KCNJ5/SLC6A13/CACNA1C/KCNA6/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/SLC38A1/SCN8A/KCNMB4/KCNC2/CAPS2/ZDHHC17/SLC6A15/ATP2B1/SLC41A2/TRPV4/TPCN1/P2RX4/ATP12A/MTMR6/TRPC4/NALCN/SLC10A2/FAM155A/ATP4B/RASA3/KCNH5/SLC39A9/SLC10A1/SLC8A3/PSEN1/KCNK10/SLC24A4/NIPA2/TRPM1/CHRNA7/RYR3/SLC12A6/SLC28A2/SLC30A4/SLC12A1/TRPM7/SLC24A1/HCN4/GRIN2A/SCNN1G/SCNN1B/CACNG3/SLC5A11/ATP2A1/SLC6A2/CNGB1/SLC9A5/PKD1L3/PKD1L2/TRPV3/KCNJ12/KCNJ18/ASIC2/CACNB1/CACNA1G/CACNG5/CACNG1/KCNJ16/KCNJ2/SLC39A11/LOXHD1/KCNG2/CACNA1A/ATP13A1/ATP4A/RYR1/GRIN2D/SLC6A16/SLC17A7/CACNG7/CACNG8/TTYH1/SLC23A2/SLC24A3/JPH2/SLC12A5/SLC13A3/KCNB1/SLC9A8/GRIK1/SLC5A3/KCNE1/KCNJ6/TRAPPC10/SLC5A1/SLC5A4/CACNG2/CACNA1I/SHROOM2/IL1RAPL1/SLC9A7/CACNA1F/TRPC5/SLC9A6/MMGT1,287
GO_MF,GO:0019199,transmembrane receptor protein kinase activity,61/8641,80/16377,1.24053771980101e-05,0.00405790100205008,0.00362892811159494,EPHA8/EPHB2/EPHA10/TIE1/ROR1/TGFBR3/EFNA3/EFNA4/NTRK1/DDR2/ALK/LTBP1/CRIM1/EFEMP1/MERTK/ACVR2A/ACVR1C/ACVR1/NRP2/ERBB4/EPHA4/TGFBR2/ACVR2B/EPHA3/EPHA6/RYK/EPHB1/PDGFRA/KIT/EPHA5/BMPR1B/CSF1R/TRIM27/EPHA7/ROS1/IGF2R/SOSTDC1/EGFR/LMTK2/MET/EPHB6/PDGFRL/TEK/NTRK2/ROR2/TGFBR1/MUSK/NRP1/RET/BMPR1A/FGFR2/ACVR1B/AMHR2/ERBB3/FLT3/FLT1/LTK/NTRK3/IGF1R/INSR/LTBP4,61
GO_MF,GO:0004713,protein tyrosine kinase activity,120/8641,175/16377,1.38731658189746e-05,0.00405790100205008,0.00362892811159494,EPHA8/EPHB2/EPHA10/TIE1/TESK2/ROR1/JAK1/EFNA3/EFNA4/CLK2/NTRK1/DDR2/ABL2/DSTYK/DYRK3/ALK/CRIM1/EIF2AK2/PKDCC/EFEMP1/MERTK/TTN/NRP2/ERBB4/STK16/EPHA4/IL5RA/PRKCD/EPHA3/EPHA6/RYK/EPHB1/TXK/TEC/PDGFRA/KIT/EPHA5/EREG/BTC/FGF5/EGF/FGF2/NEK1/FER/IL3/CSF2/NRG2/HBEGF/FGF1/CSF1R/ITK/FGF18/TRIM27/TTK/EPHA7/FYN/FRK/ROS1/IGF2R/FGFR1OP/EGFR/BAZ1B/HGF/LMTK2/CUX1/MET/TRIM24/WEE2/EPHB6/BLK/PDGFRL/PTK2B/NRG1/ERLIN2/LYN/RIPK2/SLA/PTK2/JAK2/TEK/NTRK2/ROR2/MUSK/ABL1/NRP1/RET/FGFR2/WEE1/STYK1/ERBB3/CAMKK2/ZMYM2/FGF9/FLT3/FLT1/LTK/FGF7/MAP2K1/MAP2K5/CLK3/CSK/NRG4/PEAK1/NTRK3/IGF1R/TNK1/MAP2K4/MAP2K3/MAP2K6/GRB2/YES1/INSR/DYRK1B/SLA2/DYRK1A/BCR/CSF2RB/GRAP2/BMX/BTK,120
GO_MF,GO:0005261,cation channel activity,199/8641,309/16377,1.95192696820355e-05,0.00453427577944297,0.00405494388193101,KCNAB2/CATSPER4/GRIK3/KCNQ4/MCOLN2/MCOLN3/CLCA3P/KCNC4/KCNA10/KCNA2/KCNA3/KCND3/CHRNB2/KCNN3/HCN3/KCNJ10/KCNJ9/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/FKBP1B/KCNK3/KCNG3/KCNK12/KCNIP3/CNGA3/TMEM37/CACNB4/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/ITGAV/SLC40A1/KCNE4/CHRND/CHRNG/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/CHRNA9/REST/PKD2/TRPC3/ASIC5/GPM6A/HCN1/KCNN2/CATSPER3/TRPC7/PKD2L2/GRIA1/KCNIP1/KCNMB1/ITPR3/KCNK17/KCNK16/KCNQ5/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/KCND2/TRPV5/PTK2B/CHRNA2/KCNU1/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/NCS1/CACNA1B/CACNB2/MCU/KCNMA1/KCNIP2/KCNK18/KCNQ1/DENND5A/ABCC8/KCNC1/KCNA4/LRRC55/P2RX3/ANO1/PANX1/TRPC6/GRIA4/CUL5/HTR3B/HTR3A/GRIK4/SCN3B/KCNJ1/KCNJ5/CACNA1C/KCNA6/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/ANO6/SCN8A/KCNMB4/KCNC2/TRPV4/TPCN1/P2RX4/MTMR6/TRPC4/NALCN/FAM155A/RASA3/KCNH5/PSEN1/KCNK10/SLC24A4/TRPM1/CHRNA7/RYR3/TRPM7/SLC24A1/NOX5/HCN4/CHRNA5/GRIN2A/SCNN1G/SCNN1B/CACNG3/CNGB1/PKD1L3/PKD1L2/TRPV3/KCNJ12/KCNJ18/ASIC2/CACNB1/CACNA1G/CACNG5/CACNG1/KCNJ16/KCNJ2/PIEZO2/LOXHD1/KCNG2/CACNA1A/RYR1/GRIN2D/CACNG7/CACNG8/SLC24A3/JPH2/KCNB1/GRIK1/KCNE1/KCNJ6/CACNG2/CACNA1I/SHROOM2/IL1RAPL1/CACNA1F/TRPC5/GRIA3,199
GO_MF,GO:0005262,calcium channel activity,85/8641,119/16377,2.32526963048358e-05,0.00453427577944297,0.00405494388193101,CATSPER4/MCOLN2/MCOLN3/CLCA3P/TMCO1/CACNA1E/CACNA1S/RYR2/FKBP1B/TMEM37/CACNB4/ITGAV/TRPM8/ITPR1/CACNA1D/CACNA2D3/TRPC1/STIM2/CHRNA9/PKD2/TRPC3/GPM6A/CATSPER3/TRPC7/PKD2L2/ITPR3/OPRM1/PKD1L1/CACNA2D1/TRPV5/TRPA1/JPH1/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/NCS1/CACNA1B/CACNB2/MCU/DENND5A/PANX1/TRPC6/CUL5/CACNA1C/GRIN2B/ITPR2/DENND5B/TRPV4/TPCN1/P2RX4/TRPC4/NALCN/FAM155A/RASA3/PSEN1/SLC24A4/TRPM1/CHRNA7/RYR3/TRPM7/SLC24A1/GRIN2A/CACNG3/PKD1L3/PKD1L2/TRPV3/CACNB1/CACNA1G/CACNG5/CACNG1/LOXHD1/CACNA1A/RYR1/GRIN2D/CACNG7/CACNG8/SLC24A3/JPH2/CACNG2/CACNA1I/IL1RAPL1/CACNA1F/TRPC5,85
GO_MF,GO:0015085,calcium ion transmembrane transporter activity,97/8641,139/16377,3.01716943638057e-05,0.00504298320080753,0.00450987431543201,ATP13A2/CATSPER4/MCOLN2/MCOLN3/CLCA3P/TMCO1/CACNA1E/CACNA1S/RYR2/FKBP1B/SLC8A1/TMEM37/CACNB4/ITGAV/TRPM8/ITPR1/ATP2B2/CACNA1D/CACNA2D3/ATP2C1/TRPC1/ATP13A5/ATP13A4/STIM2/CHRNA9/PKD2/TRPC3/GPM6A/CATSPER3/TRPC7/PKD2L2/ITPR3/OPRM1/PKD1L1/CACNA2D1/TRPV5/TRPA1/JPH1/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/NCS1/CACNA1B/CACNB2/MCU/DENND5A/SLC3A2/PANX1/TRPC6/CUL5/CACNA1C/GRIN2B/ITPR2/DENND5B/CAPS2/ATP2B1/TRPV4/TPCN1/P2RX4/TRPC4/NALCN/FAM155A/RASA3/SLC8A3/PSEN1/SLC24A4/TRPM1/CHRNA7/RYR3/TRPM7/SLC24A1/GRIN2A/CACNG3/ATP2A1/PKD1L3/PKD1L2/TRPV3/CACNB1/CACNA1G/CACNG5/CACNG1/LOXHD1/CACNA1A/ATP13A1/RYR1/GRIN2D/CACNG7/CACNG8/SLC24A3/JPH2/CACNG2/CACNA1I/IL1RAPL1/CACNA1F/TRPC5,97
GO_MF,GO:0022839,ion gated channel activity,211/8641,332/16377,3.87512788094536e-05,0.00566737452588259,0.00506825936007854,KCNAB2/CATSPER4/GRIK3/KCNQ4/BSND/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/CLCA3P/KCNC4/KCNA10/KCNA2/KCNA3/KCND3/CHRNB2/KCNN3/HCN3/KCNJ10/KCNJ9/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/FKBP1B/KCNK3/KCNG3/KCNK12/KCNIP3/CNGA3/TMEM37/CACNB4/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/ITGAV/KCNE4/CHRND/CHRNG/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/DLG1/KCNIP4/CHRNA9/GABRG1/GABRA2/GABRA4/GABRB1/REST/PKD2/GRID2/ASIC5/GLRB/CLCN3/GLRA3/HCN1/KCNN2/CATSPER3/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/ITPR3/KCNK17/KCNK16/CLIC5/KCNQ5/GABRR1/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/PTK2B/CHRNA2/KCNU1/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/TRPM3/TMC1/GRIN3A/NCS1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNIP2/KCNK18/KCNQ1/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/TMEM109/ANO1/GRIA4/HTR3B/HTR3A/GRIK4/SCN3B/KCNJ1/KCNJ5/CACNA1C/KCNA6/ANO2/GRIN2B/KCNJ8/ITPR2/ANO6/SCN8A/KCNMB4/KCNC2/ANO4/TRPV4/TPCN1/P2RX4/MTMR6/NALCN/FAM155A/RASA3/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/HCN4/CHRNA5/CLCN7/GRIN2A/SCNN1G/SCNN1B/CACNG3/CNGB1/KCNJ12/KCNJ18/ASIC2/CACNB1/CACNA1G/CACNG5/CACNG1/KCNJ16/KCNJ2/KCNG2/CACNA1A/ANO8/RYR1/GRIN2D/SLC17A7/CACNG7/CACNG8/TTYH1/JPH2/KCNB1/GRIK1/KCNE1/CLIC6/KCNJ6/CACNG2/CACNA1I/SHROOM2/CLCN4/GLRA2/IL1RAPL1/CACNA1F/CLCN5/GRIA3/GABRA3,211
GO_MF,GO:0022836,gated channel activity,212/8641,335/16377,5.47424752513986e-05,0.00711652178268181,0.00636421291226786,KCNAB2/CATSPER4/GRIK3/KCNQ4/BSND/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/CLCA3P/KCNC4/KCNA10/KCNA2/KCNA3/KCND3/CHRNB2/KCNN3/HCN3/KCNJ10/KCNJ9/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/FKBP1B/KCNK3/KCNG3/KCNK12/KCNIP3/CNGA3/TMEM37/CACNB4/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/ITGAV/KCNE4/CHRND/CHRNG/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/DLG1/KCNIP4/CHRNA9/GABRG1/GABRA2/GABRA4/GABRB1/REST/PKD2/GRID2/ASIC5/GLRB/CLCN3/GLRA3/HCN1/KCNN2/CATSPER3/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/ITPR3/KCNK17/KCNK16/CLIC5/KCNQ5/GABRR1/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/PTK2B/CHRNA2/KCNU1/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/TRPM3/TMC1/GRIN3A/NCS1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNIP2/KCNK18/KCNQ1/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/TMEM109/ANO1/GRIA4/HTR3B/HTR3A/GRIK4/SCN3B/KCNJ1/KCNJ5/CACNA1C/KCNA6/ANO2/GRIN2B/KCNJ8/ITPR2/ANO6/SCN8A/KCNMB4/KCNC2/ANO4/TRPV4/TPCN1/P2RX4/MTMR6/NALCN/FAM155A/RASA3/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/HCN4/CHRNA5/CLCN7/GRIN2A/SCNN1G/SCNN1B/CACNG3/CNGB1/KCNJ12/KCNJ18/ASIC2/CACNB1/CACNA1G/CACNG5/CACNG1/KCNJ16/KCNJ2/PIEZO2/KCNG2/CACNA1A/ANO8/RYR1/GRIN2D/SLC17A7/CACNG7/CACNG8/TTYH1/JPH2/KCNB1/GRIK1/KCNE1/CLIC6/KCNJ6/CACNG2/CACNA1I/SHROOM2/CLCN4/GLRA2/IL1RAPL1/CACNA1F/CLCN5/GRIA3/GABRA3,212
GO_MF,GO:0005088,Ras guanyl-nucleotide exchange factor activity,159/8641,245/16377,7.18757517797009e-05,0.008409462958225,0.00752047339673923,ARHGEF19/ARHGEF10L/TRAPPC3/JAK1/VAV3/RAP1A/DENND2C/DENND4B/SHC1/ARHGEF11/SPTA1/RGL1/DENND1B/RAB3GAP2/ACTN2/TRAPPC12/ITSN2/RASGRP3/ARHGEF33/SOS1/SPTBN1/ARHGEF4/RAB3GAP1/ALS2/ERBB4/IRS1/NGEF/FARP2/IL5RA/FGD5/ARHGEF3/KALRN/ARHGEF26/ECT2/MCF2L2/PDGFRA/KIT/EREG/BTC/FGF5/RASGEF1B/ARHGEF38/EGF/CAMK2D/IL2/FGF2/RAPGEF2/TRIO/ARHGEF28/WDR41/RASGRF2/IL3/CSF2/NRG2/HBEGF/FGF1/CAMK2A/DOCK2/FGF18/RANBP9/FRS3/FYN/TRAPPC3L/ECT2L/PLEKHG1/TIAM2/RAPGEF5/CAMK2B/EGFR/HGF/AKAP9/MET/ARHGEF10/GFRA2/NEFL/NRG1/PREX2/ANGPT1/TRAPPC9/PTK2/DENND3/JAK2/TEK/C9orf72/SHC3/DENND1A/RALGPS1/SPTAN1/RAPGEF1/VAV2/NET1/RET/CAMK2G/DNMBP/ADRB1/GFRA1/FGFR2/DOCK1/ST5/DENND5A/SBF2/SERGEF/MADD/SPTBN2/ARHGEF17/NCAM1/ARHGEF12/GRIN2B/EPS8/DENND5B/FGD4/RAPGEF3/ERBB3/FRS2/RAB3IP/KITLG/PLEKHG7/FGD6/FGF9/SPATA13/KL/RCBTB2/FARP1/ARHGEF7/ARHGEF40/TRAPPC6B/SOS2/SPTB/PLEKHG3/RIN3/RASGRP1/FGF7/DENND4A/NRG4/RASGRF1/AKAP13/GRIN2A/PLEKHG4/ABR/ARHGEF15/GNA13/GRB2/TRAPPC8/PSPN/ARHGEF18/ANKRD27/GRIN2D/EPS8L1/GFRA4/RIN2/PREX1/TIAM1/ITSN1/TRAPPC10/BCR/CSF2RB/ARHGEF9/DOCK11/MCF2,159
