ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0034702,ion channel complex,74/2194,288/17281,1.33050380491511e-09,4.70887520891634e-07,4.3545621815008e-07,GABRD/CLCC1/KCNA2/KCNA3/NOS1AP/KCNT2/CNTN2/KCNH1/KCNK2/KCNG3/DPP10/SESTD1/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRA4/GABRB1/GRID2/GLRA3/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/KCNQ5/PKD1L1/AKAP9/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/KCNC1/KCNA4/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/SCN3B/SCNN1A/GRIN2B/ANO6/BEST3/KCNC2/NOS1/GABRB3/GABRA5/GABRG3/RYR3/SHISA9/CACNG3/DLG4/CACNA1G/CACNG5/KCNJ16/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,74
GO_CC,GO:1902495,transmembrane transporter complex,78/2194,312/17281,1.86976854295207e-09,4.70887520891634e-07,4.3545621815008e-07,GABRD/CLCC1/KCNA2/KCNA3/ATP1A1/NOS1AP/KCNT2/CNTN2/KCNH1/KCNK2/KCNG3/DPP10/SESTD1/ABCB6/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRA4/GABRB1/GRID2/GLRA3/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/KCNQ5/PLN/PKD1L1/AKAP9/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/CNGB3/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/KCNC1/KCNA4/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/SCN3B/SCNN1A/GRIN2B/ANO6/BEST3/KCNC2/NOS1/GABRB3/GABRA5/GABRG3/RYR3/SHISA9/CACNG3/DLG4/CACNA1G/CACNG5/KCNJ16/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,78
GO_CC,GO:0034703,cation channel complex,59/2194,211/17281,2.09283342618504e-09,4.70887520891634e-07,4.3545621815008e-07,KCNA2/KCNA3/NOS1AP/KCNT2/CNTN2/KCNH1/KCNK2/KCNG3/DPP10/SESTD1/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNIP4/PDE4D/GRIA1/KCNIP1/KCNQ5/PKD1L1/AKAP9/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/KCNC1/KCNA4/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/SCN3B/SCNN1A/GRIN2B/KCNC2/NOS1/RYR3/SHISA9/CACNG3/DLG4/CACNA1G/CACNG5/KCNJ16/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,59
GO_CC,GO:1990351,transporter complex,78/2194,320/17281,6.35086775508055e-09,9.00810358667877e-07,8.33030086066356e-07,GABRD/CLCC1/KCNA2/KCNA3/ATP1A1/NOS1AP/KCNT2/CNTN2/KCNH1/KCNK2/KCNG3/DPP10/SESTD1/ABCB6/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRA4/GABRB1/GRID2/GLRA3/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/KCNQ5/PLN/PKD1L1/AKAP9/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/CNGB3/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/KCNC1/KCNA4/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/SCN3B/SCNN1A/GRIN2B/ANO6/BEST3/KCNC2/NOS1/GABRB3/GABRA5/GABRG3/RYR3/SHISA9/CACNG3/DLG4/CACNA1G/CACNG5/KCNJ16/CACNA1A/SNAP25/GRIK1/TRPC5/GRIA3,78
GO_CC,GO:0098794,postsynapse,99/2194,441/17281,6.67266932346575e-09,9.00810358667877e-07,8.33030086066356e-07,GABRD/EPHB2/EPB41/DAB1/DNAJC6/CNN3/ATP1A1/DNM3/KCNH1/RAB4A/ACTN2/BCL11A/CTNNA2/MAP2/ITPR1/GRM7/BSN/GSK3B/KALRN/CLSTN2/NLGN1/KCTD8/GABRA4/GABRB1/GRID2/ANK2/GLRA3/GPM6A/DROSHA/MEF2C/SPOCK1/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/FYN/LAMA2/MAGI2/PPP1R9A/KCND2/DGKI/PTK2B/KCNU1/ANK1/LYN/ASAP1/MPDZ/APBA1/NTRK2/PTCH1/GABBR2/GRIN3A/LPAR1/ABL1/ITGB1/LRRTM3/KCNMA1/GRID1/CPEB3/SORCS3/KCNA4/LRRC4C/DLG2/GRM5/GRIA4/HTR3B/HTR3A/GRIK4/GRIN2B/DDN/KCNC2/ANKS1B/NOS1/DCLK1/FARP1/SLC8A3/GABRB3/GABRA5/GABRG3/CPEB1/SHISA9/CACNG3/GSG1L/DLG4/ASIC2/CACNG5/DLGAP1/EPB41L3/PLCB4/SNAP25/APP/GRIK1/TIAM1/SYN3/OPHN1/MAGEE1/GRIA3,99
GO_CC,GO:0034705,potassium channel complex,34/2194,97/17281,1.2669664161089e-08,1.42533721812251e-06,1.31808962237294e-06,KCNA2/KCNA3/NOS1AP/KCNT2/CNTN2/KCNH1/KCNK2/KCNG3/DPP10/KCNAB1/KCNMB2/KCNIP4/KCNIP1/KCNQ5/AKAP9/KCND2/CNTNAP2/DPP6/KCNU1/KCNB2/KCNV1/KCNQ3/KCNV2/KCNT1/KCNMA1/KCNC1/KCNA4/DLG2/GRIK4/KCNC2/DLG4/KCNJ16/SNAP25/GRIK1,34
GO_CC,GO:0008076,voltage-gated potassium channel complex,32/2194,90/17281,2.27430079429608e-08,2.19307576592836e-06,2.0280607082971e-06,KCNA2/KCNA3/NOS1AP/KCNT2/CNTN2/KCNH1/KCNK2/KCNG3/DPP10/KCNAB1/KCNMB2/KCNIP4/KCNIP1/KCNQ5/AKAP9/KCND2/CNTNAP2/DPP6/KCNU1/KCNB2/KCNV1/KCNQ3/KCNV2/KCNT1/KCNMA1/KCNC1/KCNA4/DLG2/KCNC2/DLG4/KCNJ16/SNAP25,32
GO_CC,GO:0033267,axon part,77/2194,341/17281,2.45651418867432e-07,2.07268384669396e-05,1.91672751826825e-05,PRKCZ/HNRNPR/DOCK7/KCNA2/NFASC/CNTN2/KCNH1/KCNK2/TRAK1/CCK/ERC2/ROBO2/BOC/RAB7A/KCNAB1/OPA1/RUFY3/PALLD/GPM6A/CRHBP/SPOCK1/PCDHGB1/GRIA1/TENM2/NRSN1/DST/MICAL1/TIAM2/AUTS2/PPP1R9A/NRCAM/FSCN3/EXOC4/DGKI/CNTNAP2/PTPRN2/SLC18A1/NEFL/PTK2B/NRG1/ANK1/KCNQ3/NTRK2/PTCH1/TSC1/CALCA/KCNC1/SLC1A2/DLG2/MAP3K12/RAB21/KCNC2/SYT1/EEA1/PCDH9/NDRG2/UNC13C/CDH8/CALB2/DLG4/HAP1/ITGA3/EPB41L3/CPLX4/LAMP5/SNAP25/GHRH/SLC32A1/AURKA/CXADR/APP/TIAM1/SYNJ1/DSCAM/SYNGR1/OPHN1/TRPC5,77
GO_CC,GO:0043235,receptor complex,80/2194,370/17281,9.37269491330928e-07,7.02952118498196e-05,6.50059424981567e-05,GABRD/EPHB2/TGFBR3/NOTCH2/PLXNA2/ALK/LRP1B/ACVR1/PLA2R1/ERBB4/GRM7/EPHA6/ALCAM/TRAT1/CD200R1/EPHB1/TRPC1/NLGN1/PEX5L/KCTD8/GABRA4/GABRB1/KIT/KDR/GRID2/MTTP/NR3C2/GRIA1/GABRB2/GABRA1/GABRG2/ROS1/ITGB8/MET/GPR37/PTPRN2/GFRA2/PTK2B/LYN/SDCBP/NTRK2/SYK/GABBR2/GRIN3A/TLR4/APBB1IP/ITGB1/ADRA2A/GFRA1/FGFR2/CD44/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/TNFRSF1A/GRIN2B/ITPR2/CAPRIN2/ERBB3/PLXNC1/FLT1/SLITRK5/GABRB3/GABRA5/GABRG3/SMAD3/NTRK3/IGF1R/SHISA9/CACNG3/DLG4/ITGA3/CACNG5/ITGB4/RNMT/APP/GRIK1/GRIA3,80
GO_CC,GO:0032279,asymmetric synapse,55/2194,227/17281,1.28621346281415e-06,8.6315619246082e-05,7.98209157316594e-05,EPB41/DAB1/DNAJC6/CNN3/ATP1A1/DNM3/KCNH1/BCL11A/CTNNA2/MAP2/ITPR1/GRM7/BSN/KALRN/CLSTN2/NLGN1/GRID2/DROSHA/SPOCK1/GRIA1/FYN/MAGI2/PPP1R9A/KCND2/DGKI/PTK2B/LYN/MPDZ/NTRK2/PTCH1/GRIN3A/GRID1/CPEB3/SORCS3/DLG2/GRM5/GRIA4/GRIK4/GRIN2B/ANKS1B/NOS1/DCLK1/CPEB1/SHISA9/CACNG3/GSG1L/DLG4/CACNG5/DLGAP1/EPB41L3/PLCB4/GRIK1/TIAM1/SYN3/GRIA3,55
