GO_CC_terms,_NPC_count_1;all_genes,_NPC_count_1;_NPC_count_HiC_all,_NPC_count_2;_NPC_count_1,_NPC_count_3;_NPC_count_1,_NPC_count_4;_NPC_count_1,_NPC_count_5;_NPC_count_1,_NPC_count_grthan5;_NPC_count_1
apical part of cell,NA,NA,NA,NA,0.0326864667155359,0.00895605294416568,NA
apical plasma membrane,NA,NA,NA,NA,NA,0.042632337042499,NA
asymmetric synapse,NA,NA,NA,NA,NA,0.00289237307340085,0.0199510133750089
basal part of cell,NA,NA,NA,NA,NA,NA,0.0246207524659628
basement membrane,NA,NA,NA,NA,NA,0.0215372330496107,NA
cation channel complex,NA,NA,NA,NA,NA,0.0075815357540584,0.0100060498777963
cell leading edge,NA,NA,NA,NA,NA,0.042632337042499,NA
cell-cell adherens junction,NA,NA,NA,NA,0.0191482816601168,0.0139290772471962,NA
cell-cell junction,NA,NA,NA,NA,NA,0.00485900882134985,0.0413425342563845
dendritic spine,NA,NA,NA,NA,NA,NA,0.0246207524659628
dystrophin-associated glycoprotein complex,NA,NA,NA,NA,NA,NA,0.0415363017104119
extracellular matrix,NA,NA,NA,NA,NA,NA,0.0246207524659628
extracellular matrix component,NA,NA,NA,NA,NA,0.0030443399623955,0.0199510133750089
GABA-A receptor complex,NA,NA,NA,NA,NA,0.042632337042499,NA
glycoprotein complex,NA,NA,NA,NA,NA,NA,0.0415363017104119
ion channel complex,NA,NA,NA,NA,NA,0.0018003197974364,0.0149254065961671
neuron spine,NA,NA,NA,NA,NA,NA,0.0251308855528534
neuron to neuron synapse,NA,NA,NA,NA,NA,0.0030443399623955,0.0230757395607724
postsynapse,NA,NA,NA,NA,NA,3.56276677507056e-06,9.14918852328787e-06
postsynaptic density,NA,NA,NA,NA,NA,0.0030443399623955,0.0246207524659628
postsynaptic membrane,NA,NA,NA,NA,NA,5.40618768468835e-05,0.000106617572357714
postsynaptic specialization,NA,NA,NA,NA,NA,0.00289237307340085,0.0272678092591735
potassium channel complex,NA,NA,NA,NA,NA,0.00781999593295377,0.0214687279305208
proteinaceous extracellular matrix,NA,NA,NA,NA,NA,0.00317207510260518,0.00520840759358806
receptor complex,NA,NA,NA,NA,NA,0.00664802062025359,0.0100060498777963
sarcolemma,NA,NA,NA,NA,0.0273288115465988,0.00854873811004124,0.0149254065961671
synaptic membrane,NA,NA,NA,NA,NA,5.40618768468835e-05,3.10664689218797e-05
transmembrane transporter complex,NA,NA,NA,NA,NA,0.00317207510260518,0.0336504310212186
transporter complex,NA,NA,NA,NA,NA,0.00485900882134985,NA
voltage-gated potassium channel complex,NA,NA,NA,NA,NA,0.00750074541348723,0.0192277473991624
