GO_MF_terms,_NPC_count_1;all_genes,_NPC_count_1;_NPC_count_HiC_all,_NPC_count_2;_NPC_count_1,_NPC_count_3;_NPC_count_1,_NPC_count_4;_NPC_count_1,_NPC_count_5;_NPC_count_1,_NPC_count_grthan5;_NPC_count_1
1-phosphatidylinositol binding,NA,NA,NA,NA,0.0169939403654424,NA,NA
gated channel activity,NA,NA,NA,NA,NA,0.0283797372106348,NA
GTPase activator activity,NA,NA,NA,NA,NA,0.010984279890557,NA
GTPase regulator activity,NA,NA,NA,NA,NA,0.0109255363716366,NA
inhibitory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,0.0269080636234018,NA
ion channel activity,NA,NA,NA,NA,NA,0.0349563961390394,NA
ion gated channel activity,NA,NA,NA,NA,NA,0.0269080636234018,NA
ligand-gated anion channel activity,NA,NA,NA,NA,NA,0.0305797285497984,NA
metal ion transmembrane transporter activity,NA,NA,NA,0.0211564771615767,NA,0.0343523841218264,NA
nucleoside-triphosphatase regulator activity,NA,NA,NA,NA,NA,0.0269080636234018,NA
odorant binding,NA,NA,NA,0.00812696265218838,0.0187226071060257,0.00946237069288581,0.00060675334737719
phosphatidylinositol bisphosphate binding,NA,NA,NA,NA,NA,0.044777444851045,NA
phosphatidylinositol-4 5-bisphosphate binding,NA,NA,NA,NA,NA,0.0283797372106348,NA
protein serine/threonine kinase activity,NA,NA,NA,NA,0.0213070702692515,NA,NA
transmembrane receptor protein phosphatase activity,NA,NA,NA,NA,NA,0.00946237069288581,NA
transmembrane receptor protein tyrosine phosphatase activity,NA,NA,NA,NA,NA,0.00946237069288581,NA
type I interferon receptor binding,NA,NA,NA,NA,0.0213070702692515,NA,NA
