ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0030900,forebrain development,221/7909,365/16587,4.10280668685934e-07,0.00252773919977404,0.00232348420792666,DRAXIN/EPHB2/KDM1A/ARID1A/POU3F1/STIL/DMRTA2/DAB1/DOCK7/GNG12/LHX8/CHRNB2/LMX1A/TBX19/TNR/ARPC5/UCHL5/ASPM/KIF14/CNTN2/SRGAP2/PROX1/ID2/GDF7/ALK/SRD5A2/SLC8A1/RTN4/OTX1/HTRA2/GLI2/RAB3GAP1/ZEB2/NR4A2/TBR1/SLC4A10/TTC21B/LRP2/DLX1/NEUROD1/COL3A1/PGAP1/SATB2/CREB1/ERBB4/ATIC/OXTR/WNT7A/RARB/TOP2B/EOMES/SCN5A/CX3CR1/CTNNB1/WNT5A/ROBO2/ROBO1/POU1F1/ARL13B/GSK3B/TMEM108/RYK/TRA2B/HES1/FBXO45/SLIT2/PPARGC1A/RBPJ/CCKAR/GSX2/EPHA5/UBA6/ANXA3/ATOH1/LEF1/PITX2/METTL14/FAT4/DCLK2/RAPGEF2/SLC6A3/SRD5A1/SEMA5A/FGF10/ISL1/PAPD4/CEP120/UQCRQ/CSF1R/TMEM14B/ID4/EFHC1/POU3F2/FYN/FABP7/AQP1/INHBA/GLI3/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/FEZF1/PLXNA4/PTN/CNTNAP2/EZH2/HTR5A/SHH/MCPH1/DLC1/PCM1/NEFL/NRG1/FUT10/FGFR1/TACC1/HOOK3/CHD7/CRH/EXT1/TRAPPC9/NFIB/GNAQ/NTRK2/AGTPBP1/TAL2/LPAR1/DAB2IP/LHX6/KIF5B/NRP1/CXCL12/PRKG1/DKK1/NEUROG3/NRG3/BMPR1A/PTEN/HHEX/CRTAC1/DPCD/FGFR2/TACC2/BNIP3/RRM1/KCNC1/PAX6/SLC1A2/RTN4RL2/DIXDC1/FEZ1/CDON/KIRREL3/ETS1/LRP6/KRAS/LRRK2/SLC38A2/AVPR1A/FRS2/KCNC2/APAF1/ASCL1/RFX4/TBX3/KDM2B/DCLK1/PCDH9/POU4F1/SLITRK5/DCT/NKX2-1/SSTR1/BMP4/HIF1A/SYNE2/SLC8A3/NUMB/GSC/BCL11B/CCDC85C/ALDH1A2/NR2F2/RPGRIP1L/GNAO1/CSNK2A2/PHLPP2/NF1/MYO1D/CNP/SSTR2/ADCYAP1/TWSG1/CDH2/RAX/SALL3/MBOAT7/CSNK2A1/BMP2/PLCB1/MKKS/BTBD3/XRN2/SSTR4/SLC32A1/C21orf91/APP/NF2/SUN2/ARX/NR0B1/OPHN1/ATRX/ATP7A/HPRT1/FGF13/SOX3,221
GO_BP,GO:0007411,axon guidance,152/7909,243/16587,1.89776210774887e-06,0.00414796117090772,0.00381278348516279,DRAXIN/TNFRSF8/EPHB2/DAB1/USP33/NRAS/NTRK1/SPTA1/LMX1A/TNR/LHX4/LHX9/NFASC/CNTN2/PLXNA2/ENAH/GDF7/DPYSL5/FEZ2/SOS1/NRXN1/SPTBN1/B3GNT2/DOK1/GLI2/CXCR4/KIF5C/TBR1/CHN1/BMPR2/NRP2/KLF7/CREB1/EPHA4/CHL1/CNTN4/LAMB2/SEMA3B/WNT5A/ROBO2/ROBO1/ALCAM/BOC/GAP43/PLXNA1/RYK/EPHB1/PIK3CB/SIAH2/PIK3CA/SLIT2/APBB2/EPHA5/ATOH1/BMPR1B/UNC5C/GAB1/POU4F2/SEMA5A/ISL1/ZSWIM6/PIK3R1/FOXD1/EFNA5/SEMA6A/KIF3A/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/EPHA7/FYN/LAMA2/EZR/ETV1/ISPD/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/FEZF1/PLXNA4/SHH/DOK2/DPYSL2/FZD3/UNC5D/MATN2/EXT1/PTK2/VLDLR/NFIB/SHC3/PRKCQ/KIF5B/NRP1/RET/CXCL12/EGR2/UNC5B/LGI1/SEMA4G/GFRA1/VAX1/OR10A4/BDNF/PAX6/GAB2/NCAM1/ROBO3/FEZ1/PTPRO/KRAS/FRS2/PLXNC1/NTN4/EFNB2/NKX2-1/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/NEO1/SIAH1/PRKCA/GRB2/PTPRM/RNF165/SMAD4/DCC/DOK6/NPHS1/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SH3KBP1/ARX/OPHN1,152
GO_BP,GO:0097485,neuron projection guidance,153/7909,245/16587,2.01978307299516e-06,0.00414796117090772,0.00381278348516279,DRAXIN/TNFRSF8/EPHB2/DAB1/USP33/NRAS/NTRK1/SPTA1/LMX1A/TNR/LHX4/LHX9/NFASC/CNTN2/PLXNA2/ENAH/GDF7/DPYSL5/FEZ2/SOS1/NRXN1/SPTBN1/B3GNT2/DOK1/GLI2/CXCR4/KIF5C/TBR1/CHN1/BMPR2/NRP2/KLF7/CREB1/EPHA4/CHL1/CNTN4/LAMB2/SEMA3B/WNT5A/ROBO2/ROBO1/ALCAM/BOC/GAP43/PLXNA1/RYK/EPHB1/PIK3CB/SIAH2/PIK3CA/SLIT2/APBB2/EPHA5/ATOH1/BMPR1B/UNC5C/GAB1/POU4F2/SEMA5A/ISL1/ZSWIM6/PIK3R1/FOXD1/EFNA5/SEMA6A/KIF3A/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/EPHA7/FYN/LAMA2/EZR/ETV1/ISPD/GLI3/GRB10/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/FEZF1/PLXNA4/SHH/DOK2/DPYSL2/FZD3/UNC5D/MATN2/EXT1/PTK2/VLDLR/NFIB/SHC3/PRKCQ/KIF5B/NRP1/RET/CXCL12/EGR2/UNC5B/LGI1/SEMA4G/GFRA1/VAX1/DPYSL4/OR10A4/BDNF/PAX6/GAB2/NCAM1/ROBO3/FEZ1/PTPRO/KRAS/FRS2/PLXNC1/NTN4/EFNB2/NKX2-1/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/NEO1/SIAH1/PRKCA/GRB2/PTPRM/RNF165/SMAD4/DCC/DOK6/NPHS1/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SH3KBP1/ARX/OPHN1,153
GO_BP,GO:0060537,muscle tissue development,229/7909,388/16587,3.7915165729457e-06,0.00583988340147961,0.00536798925327575,MTOR/PAX7/CDC42/ARID1A/HIVEP3/DMRTA2/NEXN/TGFBR3/S1PR1/COL11A1/BCL9/GJA5/IGSF8/CASQ1/MIR199A2/CACYBP/ATF3/PROX1/CENPF/KCNK2/TGFB2/HLX/EGLN1/ACTN2/RYR2/ZBTB18/HNRNPU/SOX11/ID2/OSR1/SLC8A1/MEIS1/BMP10/VAMP5/FHL2/CCNT2/ACVR1/XIRP2/LRP2/CHRNA1/TTN/COL3A1/MSTN/CFLAR/FZD7/CREB1/ERBB4/IHH/OBSL1/DNER/NR1D2/RARB/EOMES/TGFBR2/CTNNB1/KLHL40/WNT5A/FLNB/ADAMTS9/LMOD3/MYH15/POGLUT1/MYLK/HEG1/EPHB1/C3orf58/KCNAB1/TIPARP/SHOX2/TP63/DLG1/PPARGC1A/RBPJ/PHOX2B/SGCB/PDGFRA/PKD2/PDLIM5/PPP3CA/LEF1/PITX2/FGF2/SMAD1/SAP30/SORBS2/PRKAA1/ISL1/NLN/CCNB1/HMGCR/HOMER1/MEF2C/MEGF10/HAND1/SGCD/FOXC1/DSP/EDN1/JARID2/MAPK14/MED20/BMP5/COL19A1/BVES/POPDC3/ATG5/PLN/GJA1/HEY2/TCF21/MEOX2/HDAC9/TWIST1/TBX20/SEMA3C/IFRD1/FOXP2/CAV2/CAV1/WNT2/KEL/SHH/MYOM2/GATA4/SGCZ/FGF20/BIN3/NRG1/FGFR1/SOX17/CHD7/EYA1/MSC/ZFPM2/MIR873/MIR204/TGFBR1/ITGA8/NEBL/SVIL/ITGB1/DKK1/CDK1/EGR2/MYPN/BMPR1A/PTEN/ANKRD1/TLL2/VAX1/FGFR2/ARNTL/SOX6/MYOD1/CSRP3/WT1/MYBPC3/PAK1/TENM4/NOX4/C11orf88/CDON/YBX3/PKP2/ARID2/WNT10B/ERBB3/FRS2/LRRC10/MYF5/MYF6/DCN/IGF1/TBX5/TBX3/SGCG/RB1/KLF5/POU4F1/MIR19A/MIR19B1/MIR17HG/METTL21C/EFNB2/AKAP6/SAV1/BMP4/SIX1/SIX4/PROX2/GREM1/COPS2/ALDH1A2/TPM1/SMAD3/AKAP13/NR2F2/MEF2A/MKL2/MYOCD/NF1/HLF/TBX2/PRKAR1A/SOX9/MYOM1/NDUFV2/DSG2/FHOD3/SMAD4/BCL2/CTDP1/NPHS1/GPCPD1/BMP2/MYLK2/JPH2/EYA2/BMP7/CXADR/SIK1/CBY1/XK/TSC22D3/MIR19B2/MIR509-3/MIR509-2/MIR509-1/MTM1,229
GO_BP,GO:0072001,renal system development,167/7909,276/16587,1.08371827990982e-05,0.011631343696082,0.0106914682484766,CTNNBIP1/LIN28A/PCSK9/TACSTD2/NFIA/PBX1/CD34/PROX1/CENPF/TGFB2/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/WDPCP/BCL2L11/GLI2/ITGA6/STAT1/CFLAR/CXCR2/WNT6/EPHA4/COL4A4/COL4A3/RARB/ACVR2B/CTNNB1/LAMB2/HYAL2/WNT5A/ROBO2/NPHP3/AGTR1/WWTR1/MME/TIPARP/TP63/HES1/DLG1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/ADAMTS16/BASP1/NIPBL/FGF10/FOXD1/MEF2C/KLHL3/FGF1/FOXC1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/PODXL/AKR1B1/SHH/ANGPT2/FGFR1/SFRP1/SOX17/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/TGFBR1/ITGA8/NRP1/RET/ARID5B/DLG5/PLCE1/LZTS2/FGFR2/DCHS1/LGR4/WT1/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/AQP2/LGR5/CEP290/DCN/SMAD9/EFNB2/BMP4/SIX1/SIX4/ARG2/PGF/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/SMAD3/UMOD/RPGRIP1L/NUP93/MYOCD/NF1/WNK4/HOXB7/SOX9/JMJD6/GREB1L/SMAD2/SMAD4/BCL2/SERPINB7/NPHS1/BMP2/JAG1/SULF2/BMP7/ADAMTS1/MAGED1/GPC3,167
GO_BP,GO:0001655,urogenital system development,186/7909,312/16587,1.29257675805775e-05,0.011631343696082,0.0106914682484766,CTNNBIP1/EPHB2/LIN28A/PCSK9/TACSTD2/NFIA/PBX1/CD34/PROX1/CENPF/TGFB2/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/WDPCP/BCL2L11/GLI2/ITGA6/STAT1/CFLAR/CXCR2/WNT6/EPHA4/COL4A4/COL4A3/RARB/ACVR2B/CTNNB1/SMARCC1/LAMB2/HYAL2/WNT5A/ROBO2/EAF2/NPHP3/AGTR1/WWTR1/MME/TIPARP/TP63/HES1/DLG1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/ADAMTS16/SRD5A1/BASP1/PRLR/NIPBL/FGF10/FOXD1/MEF2C/KLHL3/FGF1/FOXC1/BMP6/TFAP2A/ID4/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/ESR1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/PODXL/AKR1B1/SHH/ANGPT2/FGFR1/SFRP1/SOX17/PLAG1/CYP7B1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/ANXA1/PCSK5/GCNT1/TGFBR1/TNC/ITGA8/NRP1/RET/ARID5B/DLG5/PTEN/PLCE1/LZTS2/FGFR2/DCHS1/LGR4/WT1/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/FKBP4/PTPRO/KCNJ8/LRRK2/AQP2/FRS2/LGR5/CEP290/DCN/SMAD9/EFNB2/FOXA1/BMP4/SIX1/SIX4/ARG2/PGF/TMED10/UBE3A/GREM1/FMN1/FBN1/CYP19A1/PYGO1/ALDH1A2/MYO1E/SMAD3/FEM1B/UMOD/RPGRIP1L/NUP93/MYOCD/NF1/WNK4/HOXB7/SOX9/JMJD6/GREB1L/SMAD2/SMAD4/BCL2/SERPINB5/SERPINB7/NPHS1/BMP2/JAG1/SULF2/BMP7/ADAMTS1/MAGED1/GPC3,186
GO_BP,GO:0001822,kidney development,158/7909,260/16587,1.3215290678879e-05,0.011631343696082,0.0106914682484766,CTNNBIP1/LIN28A/PCSK9/TACSTD2/PBX1/CD34/PROX1/CENPF/TGFB2/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/WDPCP/BCL2L11/GLI2/STAT1/CFLAR/CXCR2/WNT6/EPHA4/COL4A4/COL4A3/RARB/ACVR2B/CTNNB1/LAMB2/HYAL2/ROBO2/NPHP3/AGTR1/WWTR1/MME/TIPARP/HES1/DLG1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/ADAMTS16/BASP1/NIPBL/FGF10/FOXD1/MEF2C/KLHL3/FGF1/FOXC1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/EPHA7/SIM1/TCF21/AHI1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/PODXL/AKR1B1/SHH/ANGPT2/FGFR1/SFRP1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/TGFBR1/ITGA8/NRP1/RET/ARID5B/DLG5/PLCE1/LZTS2/FGFR2/DCHS1/LGR4/WT1/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/AQP2/CEP290/DCN/SMAD9/EFNB2/BMP4/SIX1/SIX4/ARG2/PGF/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/SMAD3/UMOD/RPGRIP1L/NUP93/NF1/WNK4/HOXB7/SOX9/JMJD6/GREB1L/SMAD2/SMAD4/BCL2/SERPINB7/NPHS1/BMP2/JAG1/SULF2/BMP7/ADAMTS1/MAGED1/GPC3,158
GO_BP,GO:0014706,striated muscle tissue development,217/7909,371/16587,1.55621278808561e-05,0.0119847837342443,0.0110163484209218,MTOR/PAX7/CDC42/ARID1A/HIVEP3/DMRTA2/NEXN/TGFBR3/S1PR1/COL11A1/BCL9/GJA5/IGSF8/CASQ1/MIR199A2/CACYBP/ATF3/PROX1/CENPF/KCNK2/TGFB2/HLX/EGLN1/ACTN2/RYR2/ZBTB18/HNRNPU/SOX11/ID2/SLC8A1/MEIS1/BMP10/VAMP5/FHL2/CCNT2/ACVR1/XIRP2/LRP2/CHRNA1/TTN/MSTN/CFLAR/FZD7/CREB1/ERBB4/OBSL1/DNER/NR1D2/RARB/EOMES/TGFBR2/CTNNB1/KLHL40/WNT5A/FLNB/ADAMTS9/LMOD3/MYH15/HEG1/EPHB1/C3orf58/KCNAB1/SHOX2/RBPJ/PHOX2B/SGCB/PDGFRA/PDLIM5/PPP3CA/LEF1/PITX2/FGF2/SMAD1/SAP30/SORBS2/PRKAA1/ISL1/NLN/CCNB1/HMGCR/HOMER1/MEF2C/MEGF10/HAND1/SGCD/FOXC1/DSP/EDN1/JARID2/MAPK14/MED20/BMP5/COL19A1/BVES/POPDC3/ATG5/PLN/GJA1/HEY2/TCF21/MEOX2/HDAC9/TWIST1/TBX20/SEMA3C/IFRD1/FOXP2/CAV2/CAV1/WNT2/KEL/SHH/MYOM2/GATA4/SGCZ/FGF20/BIN3/NRG1/FGFR1/SOX17/CHD7/EYA1/MSC/ZFPM2/MIR873/MIR204/TGFBR1/NEBL/SVIL/ITGB1/DKK1/CDK1/EGR2/MYPN/BMPR1A/PTEN/ANKRD1/TLL2/VAX1/FGFR2/ARNTL/SOX6/MYOD1/CSRP3/WT1/MYBPC3/PAK1/TENM4/NOX4/C11orf88/CDON/YBX3/PKP2/ARID2/WNT10B/ERBB3/FRS2/LRRC10/MYF5/MYF6/DCN/IGF1/TBX5/TBX3/SGCG/RB1/KLF5/POU4F1/MIR19A/MIR19B1/MIR17HG/METTL21C/EFNB2/AKAP6/SAV1/BMP4/SIX1/SIX4/PROX2/GREM1/COPS2/ALDH1A2/TPM1/SMAD3/AKAP13/NR2F2/MEF2A/MKL2/MYOCD/NF1/HLF/TBX2/PRKAR1A/MYOM1/NDUFV2/DSG2/FHOD3/SMAD4/BCL2/CTDP1/NPHS1/GPCPD1/BMP2/MYLK2/JPH2/EYA2/BMP7/CXADR/SIK1/CBY1/XK/TSC22D3/MIR19B2/MIR509-3/MIR509-2/MIR509-1/MTM1,217
GO_BP,GO:0061564,axon development,276/7909,485/16587,2.23037214182313e-05,0.0152681364064136,0.0140343884479631,DRAXIN/TNFRSF8/EPHB2/MACF1/PTPRF/DAB1/JUN/DOCK7/USP33/LPAR3/BARHL2/NTNG1/NRAS/CERS2/CHRNB2/NTRK1/SPTA1/LMX1A/TNN/TNR/LHX4/LHX9/CAMSAP2/FMOD/NFASC/CNTN2/PLXNA2/ENAH/TBCE/MTR/GDF7/RAB10/DPYSL5/FEZ2/SOS1/NRXN1/SPTBN1/RTN4/B3GNT2/DOK1/CTNNA2/GLI2/CXCR4/ZEB2/KIF5C/NR4A2/TBR1/CHN1/TRAK2/ALS2/BMPR2/RAPH1/NRP2/KLF7/CREB1/MAP2/FN1/EPHA4/CHL1/CNTN4/LRRN1/WNT7A/TOP2B/GOLGA4/TRAK1/CCK/LAMB2/SEMA3B/WNT5A/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/PLXNA1/RYK/EPHB1/PIK3CB/SIAH2/SHOX2/SLITRK3/PIK3CA/GP5/FBXO45/SLIT2/CCKAR/APBB2/PHOX2B/EPHA5/RUFY3/NKX6-1/SPP1/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/POU4F2/SEMA5A/ISL1/ZSWIM6/LRRC70/PIK3R1/MAP1B/FOXD1/EFNA5/WDR36/NREP/SEMA6A/KIF3A/FSTL4/CTNNA1/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/CNR1/EPHA7/POU3F2/FYN/LAMA2/UST/EZR/ETV1/ISPD/GLI3/ADCY1/GRB10/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/IFRD1/PTPRZ1/FEZF1/PLXNA4/BRAF/KEL/SHH/DOK2/NEFM/NEFL/DPYSL2/FZD3/NRG1/UNC5D/MATN2/EXT1/PTK2/VLDLR/JAK2/NFIB/C9orf72/LINGO2/NTRK2/SHC3/OGN/OMD/KLF4/TNC/TRIM32/ABL1/PRKCQ/KIF5B/ITGB1/NRP1/PARD3/RET/CXCL12/ANK3/EGR2/UNC5B/VCL/PTEN/LGI1/ZFYVE27/CRTAC1/SEMA4G/GFRA1/VAX1/INPP5F/FGFR2/OR10A4/BDNF/PAX6/LRRC4C/LRRC55/RTN4RL2/CNTF/PAK1/GAB2/PICALM/NCAM1/DSCAML1/ROBO3/FEZ1/JAM3/PTPRO/KRAS/FRS2/RAB21/EPYC/LUM/PLXNC1/NTN4/SSH1/ATP8A2/RNF6/DCLK1/POU4F1/SLITRK1/SLITRK6/SLITRK5/STK24/EFNB2/NKX2-1/LRFN5/ATL1/SPTB/SIPA1L1/NUMB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/NDN/SPG11/RAB11A/MAP2K1/NEO1/NTRK3/RGMA/SIAH1/CDH11/LLGL1/CNP/PRKCA/GRB2/PTPRM/CDH2/RNF165/SMAD4/DCC/BCL2/DOK6/NPHS1/FLRT3/PLCG1/PARD6B/DOK5/BMP7/CDH4/NCAM2/APP/TIAM1/DSCAM/ADARB1/SH3KBP1/ARX/XK/OPHN1/PAK3/TRPC5/FGF13/SLITRK4/SLITRK2,276
GO_BP,GO:0061458,reproductive system development,242/7909,421/16587,2.79829007139032e-05,0.0172402651298358,0.0158471585095578,ARID1A/GJB5/NASP/LHX8/MSH4/CYR61/CSDE1/RAB13/NUP210L/UBE2Q1/NTRK1/LHX4/PTGS2/ASPM/LHX9/KDM5B/IL10/VASH2/TGFB2/TLR5/EGLN1/ARID4B/OSR1/SDC1/GDF7/NCOA1/EIF2B4/SRD5A2/BIRC6/EPAS1/LHCGR/FSHR/BCL2L11/GLI2/ACVR2A/LRP2/BMPR2/FZD5/IDH1/PTPRN/INHA/SERPINE2/GHRL/PPARG/WNT7A/EOMES/CTNNB1/SMARCC1/WNT5A/TMF1/ROBO2/EAF2/GPR149/TIPARP/MIR16-2/GHSR/TNFSF10/DNAJC19/TP63/HES1/DLG1/SLIT2/RBPJ/WDR19/PDGFRA/KIT/AFP/EREG/SPP1/PKD2/BMPR1B/LEF1/PITX2/PLK4/SFRP2/APELA/HMGB2/TLR3/ZFP42/NDUFS6/SRD5A1/BASP1/PRLR/NIPBL/HMGCS1/FGF10/RHOBTB3/HSD17B4/GDF9/NEUROG1/CTNNA1/PCDH12/HAND1/SLIT3/FOXC1/BMP6/GCM2/ID4/MAPK14/HSP90AB1/BMP5/KLHL32/FOXO3/GJA1/HEY2/RSPO3/TCF21/CITED2/ESR1/MAP3K4/ITGB8/HOXA10/HOXA11/HOXA9/INHBA/GLI3/EGFR/SEMA3A/ABCB4/IMMP2L/WNT2/ANKRD7/LEP/CASP2/SHH/GATA4/STC1/TEX15/SFRP1/PLAG1/CHD7/TTPA/CYP7B1/SULF1/RDH10/HEY1/STK3/GRHL2/ZFPM2/LRRC6/ZFAT/PTK2/DMRT1/DMRTA1/FANCG/RNF38/ANXA1/ROR2/TGFBR1/TNC/AKR1C3/NCOA4/ARID5B/SIRT1/NODAL/PTEN/PRDX3/FGFR2/PLEKHA1/HTRA1/IGF2/RRM1/ADM/E2F8/LGR4/KIF18A/FSHB/WT1/FZD4/PGR/BIRC2/ATM/CBL/ST14/KDM5A/FKBP4/YBX3/LRP6/MGST1/PLEKHA5/CYP27B1/FRS2/E2F7/KITLG/DCN/TBX3/FBXW8/GJB2/CDX2/RXFP2/BRCA2/FNDC3A/MIR16-1/BCL2L2/NKX2-1/FOXA1/BMP4/ARID4A/SIX4/HIF1A/EIF2B2/SERPINA5/UBE3A/CYP19A1/MAP2K1/FEM1B/NR2F2/HSD17B2/FANCA/MYOCD/CCDC182/BRIP1/BPTF/SOX9/GRB2/ADCYAP1/SMAD4/BCL2/SERPINB5/SAFB2/INSR/ZNF568/SPINT2/TBC1D20/RAD21L1/MKKS/OVOL2/BCL2L1/EIF2S2/STK4/BMP7/SPO11/SYCP2/NRIP1/ADAMTS1/SOD1/NR0B1/NDP/ATRX/PLAC1/LDOC1/MAMLD1,242
