ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,157/4070,441/17295,4.96207071736847e-09,3.56276677507056e-06,3.32197576446984e-06,KCNAB2/CDC42/DAB1/PDE4B/LRRC7/CNN3/PALMD/DNM3/SRGAP2/KCNH1/DISC1/ACTN2/CHRM3/STRN/SOS1/SLC8A1/SPTBN1/BCL11A/ACTR2/LRRTM4/CTNNA2/LRRTM1/NCK2/PKP4/TANC1/CHRNA1/ZNF804A/ALS2/MAP2/EPHA4/DOCK10/ITPR1/GRM7/RAB5A/GABRR3/GSK3B/CLSTN2/P2RY1/NLGN1/DLG1/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/SEPT11/SNCA/GRID2/PDLIM5/PPP3CA/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/DROSHA/MEF2C/PJA2/KCNN2/GLRA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/GABRR1/EPHA7/GRIK2/FYN/GOPC/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/CTTNBP2/KCND2/CADPS2/DGKI/PSD3/KCNU1/CHRNB3/LYN/CALB1/BAALC/ASAP1/MPDZ/GRIN3A/ITGA8/ABI1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/ATAD1/PTEN/SORCS3/ADD3/RGS10/LIN7C/LRRC4C/NPAS4/DLG2/GRM5/MTMR2/GRIA4/HTR3A/ARHGAP32/IQSEC3/CACNA1C/PTPRO/EPS8/DNM1L/LRRK2/KCNC2/LIN7A/ATP2B1/ANKS1B/DCLK1/KCTD12/FARP1/GPHN/SIPA1L1/GABRA5/GABRG3/APBA2/CHRM5/SHC4/NEDD4/ABHD17C/VPS35/ARHGAP44/ASIC2/DLGAP1/EPB41L3/CDH2/NETO1/PLCB4/SNAP25/APP/GRIK1/TIAM1/SYN3/NLGN4X/IL1RAPL1/DMD/OPHN1/MAGEE1/GRIA3/FMR1,157
GO_CC,GO:0045211,postsynaptic membrane,91/4070,237/17295,1.90240479083798e-07,5.40618768468835e-05,5.04080833816419e-05,LRRC7/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SLC8A1/LRRTM4/LRRTM1/TANC1/CHRNA1/EPHA4/GRM7/GABRR3/CLSTN2/P2RY1/NLGN1/DLG1/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/CDH9/PJA2/GLRA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/GABRR1/EPHA7/GRIK2/GOPC/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/PSD3/KCNU1/CHRNB3/BAALC/MPDZ/GRIN3A/ABI1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/ATAD1/PTEN/LIN7C/LRRC4C/DLG2/GRM5/GRIA4/HTR3A/ARHGAP32/IQSEC3/KCNC2/LIN7A/ANKS1B/KCTD12/GPHN/SIPA1L1/GABRA5/GABRG3/CHRM5/SHC4/ABHD17C/DLGAP1/CDH2/NETO1/GRIK1/NLGN4X/IL1RAPL1/DMD/MAGEE1/GRIA3/FMR1,91
GO_CC,GO:0097060,synaptic membrane,112/4070,308/17295,2.25885279304527e-07,5.40618768468835e-05,5.04080833816419e-05,LRRC7/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SLC8A1/NRXN1/LRRTM4/LRRTM1/TANC1/CHRNA1/EPHA4/GRM7/ERC2/GABRR3/CLSTN2/P2RY1/NLGN1/DLG1/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/CPE/GLRA3/CDH9/IL31RA/PJA2/SNCAIP/GLRA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/RIMS1/GABRR1/EPHA7/GRIK2/GOPC/UTRN/GRM1/SYNE1/GRM3/AKAP9/KCND2/CADPS2/GRM8/DGKI/PSD3/KCNU1/CHRNB3/BAALC/RIMS2/MPDZ/UNC13B/GRIN3A/DENND1A/ITGA8/GAD2/ABI1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/ATAD1/PTEN/LIN7C/LRRC4C/DLG2/GRM5/MTMR2/GRIA4/HTR3A/ARHGAP32/IQSEC3/KCNC2/ZDHHC17/SYT1/LIN7A/ATP2B1/ANKS1B/KCTD12/GPHN/SIPA1L1/GABRA5/GABRG3/CHRM5/SHC4/UNC13C/ABHD17C/DLGAP1/CDH2/NETO1/SNAP25/GRIK1/NLGN4X/IL1RAPL1/DMD/CASK/MAGEE1/GRIA3/FMR1,112
GO_CC,GO:0034702,ion channel complex,100/4070,288/17295,1.00296367545204e-05,0.0018003197974364,0.00167864446733551,KCNAB2/PDE4B/LRRC8C/LRRC8D/OLFM3/NOS1AP/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/SESTD1/VWC2L/SCN11A/ABHD6/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GABRB2/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNQ5/GABRR1/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/KCNU1/CHRNB3/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNB2/KCNMA1/LRRC55/DLG2/GRIA4/HTR3A/KCNJ1/CACNA2D4/CACNA1C/ANO2/EPS8/KCNJ8/ABCC9/ANO6/BEST3/KCNMB4/KCNC2/MICU2/TRPC4/AKAP6/GABRA5/GABRG3/RYR3/SNAP25/ABHD12/GRIK1/CLDN17/GRIA3,100
GO_CC,GO:0032279,asymmetric synapse,81/4070,227/17295,2.23719504911811e-05,0.00289237307340085,0.00269689088796796,KCNAB2/DAB1/PDE4B/LRRC7/CNN3/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SOS1/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/ALS2/MAP2/EPHA4/ITPR1/GRM7/CLSTN2/P2RY1/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/PJA2/DTNBP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/LYN/BAALC/MPDZ/GRIN3A/ITGA8/ABI1/DLG5/GRID1/SORCS3/ADD3/LIN7C/DLG2/GRM5/MTMR2/GRIA4/ARHGAP32/CACNA1C/EPS8/LIN7A/ANKS1B/DCLK1/SIPA1L1/ABHD17C/VPS35/ARHGAP44/DLGAP1/EPB41L3/CDH2/NETO1/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/GRIA3/FMR1,81
GO_CC,GO:0099572,postsynaptic specialization,80/4070,224/17295,2.41702485242411e-05,0.00289237307340085,0.00269689088796796,KCNAB2/DAB1/PDE4B/LRRC7/CNN3/DNM3/SRGAP2/KCNH1/DISC1/STRN/SOS1/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/ALS2/MAP2/EPHA4/ITPR1/CLSTN2/P2RY1/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/PJA2/DTNBP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/LYN/BAALC/MPDZ/GRIN3A/ITGA8/ABI1/DLG5/GRID1/SORCS3/ADD3/LIN7C/DLG2/GRM5/MTMR2/GRIA4/ARHGAP32/CACNA1C/EPS8/LIN7A/ANKS1B/DCLK1/GPHN/SIPA1L1/ABHD17C/VPS35/ARHGAP44/DLGAP1/EPB41L3/CDH2/NETO1/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/GRIA3/FMR1,80
GO_CC,GO:0014069,postsynaptic density,79/4070,222/17295,3.13036463122253e-05,0.0030443399623955,0.00283858703428168,KCNAB2/DAB1/PDE4B/LRRC7/CNN3/DNM3/SRGAP2/KCNH1/DISC1/STRN/SOS1/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/ALS2/MAP2/EPHA4/ITPR1/CLSTN2/P2RY1/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/PJA2/DTNBP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/LYN/BAALC/MPDZ/GRIN3A/ITGA8/ABI1/DLG5/GRID1/SORCS3/ADD3/LIN7C/DLG2/GRM5/MTMR2/GRIA4/ARHGAP32/CACNA1C/EPS8/LIN7A/ANKS1B/DCLK1/SIPA1L1/ABHD17C/VPS35/ARHGAP44/DLGAP1/EPB41L3/CDH2/NETO1/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/GRIA3/FMR1,79
GO_CC,GO:0044420,extracellular matrix component,47/4070,116/17295,3.39747486505859e-05,0.0030443399623955,0.00283858703428168,COL11A1/TNR/LAMC2/HMCN1/USH2A/LTBP1/COL5A2/FN1/COL4A4/COL4A3/COL8A1/CCDC80/DLG1/AMTN/FRAS1/NPNT/FREM3/EGFLAM/EFNA5/FBN2/TINAG/DST/COL12A1/LAMA4/LAMA2/COL28A1/VWC2/COL1A2/LAMB1/LAMB4/PTPRZ1/PTN/MATN2/COL14A1/FREM1/MMRN2/SMC3/MFAP5/LUM/FREM2/NID2/FBN1/ANXA2/THSD4/LAMA1/ADAMTS1/CASK,47
GO_CC,GO:0098984,neuron to neuron synapse,81/4070,230/17295,3.81602502250132e-05,0.0030443399623955,0.00283858703428168,KCNAB2/DAB1/PDE4B/LRRC7/CNN3/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SOS1/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/PKP4/TANC1/ALS2/MAP2/EPHA4/ITPR1/GRM7/CLSTN2/P2RY1/NLGN1/DLG1/GRID2/PDLIM5/GRIA2/DROSHA/PJA2/DTNBP1/GRIK2/FYN/GOPC/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PSD3/LYN/BAALC/MPDZ/GRIN3A/ITGA8/ABI1/DLG5/GRID1/SORCS3/ADD3/LIN7C/DLG2/GRM5/MTMR2/GRIA4/ARHGAP32/CACNA1C/EPS8/LIN7A/ANKS1B/DCLK1/SIPA1L1/ABHD17C/VPS35/ARHGAP44/DLGAP1/EPB41L3/CDH2/NETO1/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/GRIA3/FMR1,81
GO_CC,GO:1902495,transmembrane transporter complex,104/4070,312/17295,4.69946584096085e-05,0.00317207510260518,0.00295768914419718,KCNAB2/PDE4B/LRRC8C/LRRC8D/OLFM3/NOS1AP/LRRC52/ATP1B1/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/SESTD1/VWC2L/ABCB6/SCN11A/ABHD6/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GABRB2/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNQ5/GABRR1/GRIK2/PLN/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/KCNU1/CHRNB3/KCNB2/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNB2/KCNMA1/LRRC55/DLG2/GRIA4/HTR3A/KCNJ1/CACNA2D4/CACNA1C/ANO2/EPS8/KCNJ8/ABCC9/ANO6/BEST3/KCNMB4/KCNC2/MICU2/TRPC4/AKAP6/GABRA5/GABRG3/RYR3/SNAP25/ABHD12/GRIK1/CLDN17/GRIA3,104
