ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0005001,transmembrane receptor protein tyrosine phosphatase activity,12/3898,16/16389,2.19620868292125e-05,0.00946237069288581,0.00875097595462028,PTPRC/PTPRG/PTPRK/PTPRZ1/PTPRN2/PTPRD/PTPRE/PTPN6/PTPRO/PTPRR/PTPRM/PTPRH,12
GO_MF,GO:0019198,transmembrane receptor protein phosphatase activity,12/3898,16/16389,2.19620868292125e-05,0.00946237069288581,0.00875097595462028,PTPRC/PTPRG/PTPRK/PTPRZ1/PTPRN2/PTPRD/PTPRE/PTPN6/PTPRO/PTPRR/PTPRM/PTPRH,12
GO_MF,GO:0005549,odorant binding,37/3898,83/16389,2.46202186284973e-05,0.00946237069288581,0.00875097595462028,OR14I1/OR5AC2/OR5H2/OR5K1/OR5D13/OR5D14/OR5L2/OR5L1/OR5D18/OR5D16/OR5I1/OR5W2/OR5F1/OR5AS1/OR8H2/OR8I2/OR8H3/OR8J3/OR5J2/OR8K5/OR8H1/OR8K3/OR8K1/OR8U8/OR8U1/OR8J1/OR5M8/OR5AP2/OR5AR1/OR9Q1/OR9I1/OR10Q1/OR10W1/OR5B2/OR5B3/OR5B21/OR5A1,37
GO_MF,GO:0030695,GTPase regulator activity,103/3898,304/16389,3.79029882797455e-05,0.0109255363716366,0.0101041387177322,SESN2/DEPDC1/SYDE2/VAV3/ARHGEF11/RGS4/RGS5/RABGAP1L/RASAL2/RGS8/RGS18/RGS21/RGS1/RGS13/RGS2/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/SIPA1L2/RGS7/CHML/RASGRP3/SOS1/ARHGAP25/TBC1D8/ARHGAP15/CHN1/AGFG1/AGAP1/TBC1D5/ARHGAP31/STXBP5L/RASA2/ECT2/CPEB2/SLIT2/TBC1D19/ARAP2/TBC1D1/ARHGAP24/FAM13A/RAP1GDS1/TBCK/ELMOD2/ARHGAP10/RAPGEF2/IQGAP2/RASA1/ARHGAP26/LARS/TBC1D7/SMAP1/RIMS1/GOPC/ARHGAP18/STXBP5/RGS17/DOCK4/WASL/DGKI/DLC1/PREX2/RGS22/ASAP1/ALDH1A1/GNAQ/RGS3/USP6NL/ARHGAP22/RGS10/DEPDC7/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/ARHGDIB/DNM1L/LRRK2/TBC1D15/RIC8B/GIT2/STARD13/TBC1D4/IPO5/ARHGAP5/SIPA1L1/RGS6/GNB5/MYO9A/ARHGAP17/ARHGAP44/TBC1D26/TBC1D28/NF1/SIPA1L3/PLCB1/RALGAPA2/RALGAPB/PREX1/TBC1D22A/OPHN1/OCRL,103
GO_MF,GO:0005096,GTPase activator activity,94/3898,274/16389,4.76334774091805e-05,0.010984279890557,0.0101584658137895,DEPDC1/SYDE2/VAV3/ARHGEF11/RGS4/RGS5/RABGAP1L/RASAL2/RGS8/RGS18/RGS21/RGS1/RGS13/RGS2/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/SIPA1L2/RGS7/CHML/RASGRP3/SOS1/ARHGAP25/TBC1D8/ARHGAP15/CHN1/AGFG1/AGAP1/TBC1D5/ARHGAP31/STXBP5L/RASA2/ECT2/TBC1D19/ARAP2/TBC1D1/ARHGAP24/FAM13A/RAP1GDS1/TBCK/ELMOD2/ARHGAP10/RAPGEF2/RASA1/ARHGAP26/LARS/TBC1D7/SMAP1/ARHGAP18/STXBP5/RGS17/DOCK4/DLC1/PREX2/RGS22/ASAP1/ALDH1A1/GNAQ/RGS3/USP6NL/ARHGAP22/RGS10/DEPDC7/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/ARHGDIB/DNM1L/LRRK2/TBC1D15/RIC8B/GIT2/STARD13/TBC1D4/ARHGAP5/SIPA1L1/RGS6/GNB5/MYO9A/ARHGAP17/ARHGAP44/TBC1D26/TBC1D28/NF1/SIPA1L3/PLCB1/RALGAPA2/RALGAPB/PREX1/TBC1D22A/OPHN1/OCRL,94
GO_MF,GO:0022839,ion gated channel activity,108/3898,332/16389,0.000159792302415855,0.0269080636234018,0.0248850764143936,KCNAB2/MCOLN2/CLCA2/CLCA1/CLCA4/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/ITGAV/ITPR1/KCNH8/SCN11A/ANO10/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/CNGA1/REST/PKD2/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/NMUR2/GABRB2/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/KCNQ5/GABRR1/GRIK2/OPRM1/CACNA2D1/CFTR/KCND2/CLCN1/KCNU1/VDAC3/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNB2/KCNMA1/GRID1/ANO5/ANO3/LRRC55/GRIA4/HTR3A/KCNJ1/CACNA2D4/CACNA1C/ANO2/KCNJ8/ITPR2/ANO6/KCNMB4/KCNC2/NALCN/FAM155A/KCNK10/GABRA5/GABRG3/RYR3/KCNJ12/KCNJ18/ASIC2/JPH2/GRIK1/IL1RAPL1/GRIA3,108
GO_MF,GO:0005237,inhibitory extracellular ligand-gated ion channel activity,11/3898,16/16389,0.000175561453566596,0.0269080636234018,0.0248850764143936,GABRG1/GABRA2/GABRA4/GLRB/GLRA3/GLRA1/GABRB2/GABRA1/GABRG2/GABRA5/GABRG3,11
GO_MF,GO:0060589,nucleoside-triphosphatase regulator activity,111/3898,344/16389,0.000186699487413022,0.0269080636234018,0.0248850764143936,SESN2/DEPDC1/SYDE2/VAV3/ARHGEF11/RGS4/RGS5/ATP1B1/RABGAP1L/RASAL2/RGS8/RGS18/RGS21/RGS1/RGS13/RGS2/SRGAP2C/SRGAP2B/SRGAP2/RAB3GAP2/SIPA1L2/RGS7/CHML/RASGRP3/SOS1/ARHGAP25/TBC1D8/ARHGAP15/CHN1/DNAJC10/AGFG1/AGAP1/TBC1D5/ARHGAP31/STXBP5L/RASA2/ECT2/CPEB2/SLIT2/TBC1D19/ARAP2/TBC1D1/ARHGAP24/FAM13A/RAP1GDS1/TBCK/ELMOD2/ARHGAP10/FNIP2/RAPGEF2/IQGAP2/RASA1/FNIP1/ARHGAP26/LARS/TBC1D7/SMAP1/RIMS1/GOPC/PLN/ARHGAP18/STXBP5/RGS17/DOCK4/WASL/DGKI/DLC1/PREX2/RGS22/ASAP1/ALDH1A1/GNAQ/RGS3/USP6NL/DNAJC1/ARHGAP22/RGS10/DNAJC24/DEPDC7/ARHGAP42/ELMOD1/ARHGEF12/ARHGAP32/ARHGDIB/DNM1L/LRRK2/TBC1D15/RIC8B/GIT2/STARD13/DNAJC15/TBC1D4/IPO5/ARHGAP5/SIPA1L1/RGS6/GNB5/MYO9A/ARHGAP17/ARHGAP44/TBC1D26/TBC1D28/NF1/SIPA1L3/PLCB1/RALGAPA2/RALGAPB/PREX1/TBC1D22A/OPHN1/OCRL,111
GO_MF,GO:0022836,gated channel activity,108/3898,335/16389,0.000235000296628223,0.0283797372106348,0.0262461074491012,KCNAB2/MCOLN2/CLCA2/CLCA1/CLCA4/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/CHRNA1/ITGAV/ITPR1/KCNH8/SCN11A/ANO10/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/CNGA1/REST/PKD2/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/NMUR2/GABRB2/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/KCNQ5/GABRR1/GRIK2/OPRM1/CACNA2D1/CFTR/KCND2/CLCN1/KCNU1/VDAC3/CHRNB3/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNB2/KCNMA1/GRID1/ANO5/ANO3/LRRC55/GRIA4/HTR3A/KCNJ1/CACNA2D4/CACNA1C/ANO2/KCNJ8/ITPR2/ANO6/KCNMB4/KCNC2/NALCN/FAM155A/KCNK10/GABRA5/GABRG3/RYR3/KCNJ12/KCNJ18/ASIC2/JPH2/GRIK1/IL1RAPL1/GRIA3,108
GO_MF,GO:0005546,phosphatidylinositol-4 5-bisphosphate binding,28/3898,63/16389,0.000246138223856329,0.0283797372106348,0.0262461074491012,MARK1/ACTN2/SESTD1/MYO1B/PLCD1/PFN2/EXOC1/SCIN/SDCBP/TTPA/GSDMC/ASAP1/PARD3/ANXA8/SYT9/RAG2/SYTL2/KCNJ1/PLCZ1/SYT10/TWF1/SYT1/RPH3A/AMER2/ANXA2/SYT5/PLCB1/JPH2,28
