ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0051965,positive regulation of synapse assembly,28/2386,62/16587,5.34191987795621e-09,2.49455749617523e-05,2.42265119471041e-05,NRXN1/LRRTM1/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/GRID2/EFNA5/TPBG/LRRN3/UBE2V2/PTPRD/LINGO2/NTRK2/LRRTM3/BDNF/VSTM5/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/CBLN2/FLRT3/ADNP/IL1RAPL1/SLITRK4,28
GO_BP,GO:0051963,regulation of synapse assembly,33/2386,82/16587,8.54154253098863e-09,2.49455749617523e-05,2.42265119471041e-05,NRXN1/LRRTM1/ROBO2/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/GRID2/PDLIM5/MEF2C/EFNA5/TPBG/EPHA7/PPP1R9A/LRRN3/UBE2V2/PTPRD/LINGO2/NTRK2/LRRTM3/BDNF/VSTM5/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/CBLN2/FLRT3/ADNP/IL1RAPL1/SLITRK4,33
GO_BP,GO:0007416,synapse assembly,47/2386,143/16587,1.67450244812835e-08,3.2602562665059e-05,3.16627848875918e-05,DNM3/NRXN1/LRRTM1/DNER/ROBO2/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/GRID2/PDLIM5/GPM6A/CDH9/MEF2C/EFNA5/TPBG/EPHA7/MAGI2/PCLO/PPP1R9A/NRCAM/LRRN3/NRG1/UBE2V2/PTPRD/LINGO2/NTRK2/LRRTM3/BDNF/VSTM5/KIRREL3/PCDH17/SLITRK1/SLITRK6/SLITRK5/FARP1/FLRT2/NTRK3/CDH2/CBLN2/FLRT3/ADNP/APP/NLGN4X/IL1RAPL1/SLITRK4,47
GO_BP,GO:0001764,neuron migration,43/2386,138/16587,3.64423835188525e-07,0.000532149905334044,0.000516810538902885,DAB1/ASTN1/ASPM/SRGAP2C/SRGAP2/COL3A1/SATB2/ERBB4/DNER/CHL1/TOP2B/SOX14/ATOH1/PITX2/NDNF/RAPGEF2/GPM6A/MEF2C/SEMA6A/DCDC2/GJA1/TWIST1/TBX20/AUTS2/SEMA3A/RELN/NRCAM/PCM1/NRG1/POMK/MATN2/LRP12/PLAA/NTRK2/PRKG1/NRG3/KIF20B/PAX6/KIRREL3/DCLK1/FLRT2/NTRK3/DCC,43
GO_BP,GO:0050808,synapse organization,74/2386,292/16587,4.66332962515199e-07,0.000544770166810255,0.000529067017893559,LMX1A/DNM3/TNR/NRXN1/ACTR2/CTNNA2/LRRTM1/TANC1/ZNF804A/DOCK10/DNER/PDZRN3/ROBO2/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/GRID2/PDLIM5/GLRB/GPM6A/CTNND2/CDH9/MEF2C/EFNA5/TPBG/EPHA7/UTRN/MAGI2/PCLO/SEMA3E/PPP1R9A/RELN/NRCAM/LRRN3/NRG1/FNTA/UBE2V2/SYBU/PTPRD/LINGO2/NTRK2/C1QL3/CACNB2/ANK3/LRRTM3/BDNF/GRM5/VSTM5/MTMR2/KIRREL3/CAPRIN2/LRRK2/PCDH17/SLITRK1/SLITRK6/SLITRK5/FARP1/FLRT2/UNC13C/NTRK3/IGF1R/SHISA6/CDH2/CBLN2/FLRT3/ADNP/APP/TIAM1/NLGN4X/FRMPD4/IL1RAPL1/SLITRK4,74
GO_BP,GO:0050803,regulation of synapse structure or activity,49/2386,169/16587,6.58157937779244e-07,0.000640716752428094,0.000622247916963569,DNM3/NRXN1/ACTR2/CTNNA2/LRRTM1/ZNF804A/ROBO2/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/GRID2/PDLIM5/MEF2C/EFNA5/TPBG/EPHA7/PPP1R9A/RELN/LRRN3/UBE2V2/SYBU/PTPRD/LINGO2/NTRK2/C1QL3/LRRTM3/SLC17A6/BDNF/VSTM5/CAPRIN2/LRRK2/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/DNM1P46/SHISA6/CDH2/CBLN2/FLRT3/ADNP/APP/TIAM1/FRMPD4/IL1RAPL1/SLITRK4,49
GO_BP,GO:0050807,regulation of synapse organization,45/2386,158/16587,3.14758397633744e-06,0.00262643400082671,0.00255072632308007,DNM3/NRXN1/ACTR2/CTNNA2/LRRTM1/ZNF804A/ROBO2/EPHB1/CLSTN2/SLITRK3/NLGN1/IL1RAP/GRID2/PDLIM5/MEF2C/EFNA5/TPBG/EPHA7/PPP1R9A/RELN/LRRN3/UBE2V2/PTPRD/LINGO2/NTRK2/C1QL3/LRRTM3/BDNF/VSTM5/CAPRIN2/LRRK2/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/SHISA6/CDH2/CBLN2/FLRT3/ADNP/TIAM1/FRMPD4/IL1RAPL1/SLITRK4,45
GO_BP,GO:0051962,positive regulation of nervous system development,104/2386,477/16587,6.13931745161352e-06,0.00448246915435932,0.00435326075615069,DAB1/LRRC7/NEGR1/LPAR3/RAP1A/BRINP3/ASPM/SRGAP2C/SOX11/NRXN1/RTN4/ACTR2/LRRTM1/ZEB2/NEUROD1/ZNF804A/VWC2L/FN1/XRCC5/GOLGA4/ROBO2/ROBO1/EPHA3/EPHB1/NCK1/CLSTN2/SHOX2/SLITRK3/SERPINI1/ECT2/NLGN1/BCL6/IL1RAP/SLIT2/RUFY3/GRID2/ATOH1/NDNF/RAPGEF2/VEGFC/TENM3/MEF2C/EFNA5/MAN2A1/SEMA6A/BMP6/RIMS1/TMEM30A/TPBG/UFL1/HDAC2/TMEM106B/VWC2/COBL/MAGI2/HGF/SEMA3A/PPP1R9A/RELN/NRCAM/LRRN3/PLXNA4/NRG1/UBE2V2/PLAG1/RIMS2/KDM4C/PTPRD/PLAA/LINGO2/NTRK2/BRINP1/LRRTM3/KIF20B/BDNF/PAX6/TENM4/FZD4/VSTM5/TRPC6/CAPRIN2/CNTN1/TWF1/RAB21/SYT1/ATP8A2/SLITRK1/SLITRK6/SLITRK5/DCT/PRKD1/PRKCH/HIF1A/FLRT2/NTRK3/MMD/TCF4/CBLN2/FLRT3/ADNP/APP/TIAM1/IL1RAPL1/SLITRK4,104
GO_BP,GO:0031290,retinal ganglion cell axon guidance,11/2386,20/16587,2.54499502912057e-05,0.0165170177389925,0.0160409101893927,ROBO2/ALCAM/EPHB1/SLIT2/BMPR1B/EFNA5/POU4F3/EPHA7/NRCAM/PTPRO/PTPRM,11
GO_BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,56/2386,233/16587,5.61234282976527e-05,0.032781694468659,0.0318367531680053,DAB1/TGFB2/NRXN1/REG3A/GYPC/ACVR1/TGFBR2/ROBO2/ROBO1/CADM2/ALCAM/CLSTN2/NLGN1/CLDN16/PCDH7/GRID2/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/TENM2/CLDN12/PTPRD/ITGB1/PCDH15/CDHR1/TENM4/FAT3/KIRREL3/PCDH17/PCDH20/PCDH9/CDH8/PTPRM/CDH2/DSC3/DSC2/DSG4/DSG1/DSG2/CDH7/CDH19/CD226/FLRT3/CDH26/CXADR/IL1RAPL1/PCDH19/TENM1,56
