GO_BP_terms,_Ov_count_1;all_genes,_Ov_count_1;_Ov_count_HiC_all,_Ov_count_2;_Ov_count_1,_Ov_count_3;_Ov_count_1,_Ov_count_4;_Ov_count_1,_Ov_count_5;_Ov_count_1,_Ov_count_grthan5;_Ov_count_1
actin filament-based movement,NA,NA,NA,NA,0.0429432021056378,NA,NA
action potential,NA,NA,NA,NA,0.0344505790277541,0.00694523582126066,0.0271987474835744
axon development,NA,NA,NA,NA,NA,7.08253394317302e-06,0.00078727325159544
axon guidance,NA,NA,NA,NA,NA,7.09576359913896e-06,0.00488977878905457
axonogenesis,NA,NA,NA,NA,NA,2.65997873648918e-06,0.000212124435986566
C-terminal protein amino acid modification,NA,NA,NA,NA,NA,NA,0.0237422400684145
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,NA,NA,NA,NA,NA,0.027128081962644,NA
cardiac conduction,NA,NA,NA,NA,NA,NA,0.0331432707240496
cardiac muscle cell action potential,NA,NA,NA,NA,0.0219493063855222,0.014952580594828,NA
cardiac muscle cell contraction,NA,NA,NA,NA,0.0215988160969041,0.00694523582126066,NA
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,NA,1.11729547559049e-05,5.94007336335671e-12,2.25662700184391e-09
cell-matrix adhesion,NA,NA,NA,NA,0.0120432164370236,NA,NA
cell-substrate adhesion,NA,NA,NA,NA,0.0063349119845513,NA,NA
cellular potassium ion transport,NA,NA,NA,NA,0.0072442297466081,0.00242972598824779,NA
chemical synaptic transmission  postsynaptic,NA,NA,NA,NA,NA,0.00034651501888056,0.000123421119728804
chloride transmembrane transport,NA,NA,NA,NA,NA,0.00274727933521591,0.0312406483035129
chloride transport,NA,NA,NA,NA,NA,0.00225340410546633,0.0289363712357628
cognition,NA,NA,NA,NA,NA,0.0147982714204839,NA
collateral sprouting,NA,NA,NA,NA,NA,NA,0.00786736671595418
dendrite development,NA,NA,NA,NA,0.00109246692147824,8.51672796867287e-05,0.000571181087374992
dendrite morphogenesis,NA,NA,NA,NA,0.0429432021056378,0.0193930035491825,0.0157013103581522
detection of chemical stimulus,NA,NA,NA,0.0471002914091485,0.000914369744455591,NA,NA
detection of chemical stimulus involved in sensory perception,NA,NA,NA,0.0471002914091485,0.000828931499399395,NA,NA
detection of chemical stimulus involved in sensory perception of smell,NA,NA,NA,NA,0.000828931499399395,NA,NA
detection of stimulus involved in sensory perception,NA,NA,NA,NA,0.000828931499399395,NA,NA
developmental cell growth,NA,NA,NA,NA,NA,0.00611984888071483,0.045367177488815
developmental growth involved in morphogenesis,NA,NA,NA,NA,NA,0.0072509607654755,0.0331919648345399
excitatory postsynaptic potential,NA,NA,NA,NA,NA,0.00943047347513278,0.00401745899066091
extracellular matrix organization,NA,NA,NA,NA,0.0403508209137209,NA,NA
forebrain development,NA,NA,NA,0.0471002914091485,0.0138010819762986,0.0230667498164988,NA
gamma-aminobutyric acid signaling pathway,NA,NA,NA,NA,1.98956199337977e-05,0.00225340410546633,0.000711715967154908
glutamate receptor signaling pathway,NA,NA,NA,NA,NA,0.000926522591768375,0.00244997834081035
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,NA,NA,NA,NA,NA,0.0010143209208812,0.0221363193852534
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,0.0471002914091485,1.11729547559049e-05,6.55482334128563e-08,1.87334468809301e-08
inorganic anion transmembrane transport,NA,NA,NA,NA,NA,0.014452255894297,0.0271987474835744
insulin secretion involved in cellular response to glucose stimulus,NA,NA,NA,NA,NA,0.00604514098880092,NA
ionotropic glutamate receptor signaling pathway,NA,NA,NA,NA,NA,0.00493692328185723,0.00125918276997009
kidney development,NA,NA,NA,0.0471002914091485,0.03345344105876,NA,NA
kidney epithelium development,NA,NA,NA,0.0471002914091485,NA,NA,NA
learning or memory,NA,NA,NA,NA,NA,0.0292661693829778,NA
locomotory behavior,NA,NA,NA,NA,NA,0.0109578557244035,NA
monovalent inorganic cation transport,NA,NA,NA,NA,0.0215988160969041,0.00596275686405476,NA
multicellular organismal signaling,NA,NA,NA,NA,NA,0.0350877601339306,0.000972838059393639
negative chemotaxis,NA,NA,NA,NA,NA,0.00416137612363524,0.0157013103581522
negative regulation of dendrite development,NA,NA,NA,NA,NA,NA,0.0486414478545232
neuron cell-cell adhesion,NA,NA,NA,NA,NA,NA,0.0013166162647898
neuron migration,NA,NA,NA,NA,0.000914369744455591,2.40899620889543e-05,0.000173614144667769
neuron projection guidance,NA,NA,NA,NA,NA,5.9630743113673e-06,0.0055203225085625
neuron recognition,NA,NA,NA,NA,NA,0.0010143209208812,0.00114554645222374
neurotransmitter secretion,NA,NA,NA,NA,NA,0.0350877601339306,NA
neurotransmitter transport,NA,NA,NA,NA,NA,0.0260609577637447,NA
ossification,NA,NA,NA,NA,0.0358638348242856,NA,NA
peptidyl-tyrosine dephosphorylation,NA,NA,NA,NA,NA,0.0350877601339306,NA
