ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,227/6861,441/17294,2.49856659929235e-07,0.000104749142344809,9.55099257967914e-05,KCNAB2/EPHB2/EPB41/LRP8/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/PALMD/ATP1A1/ATP1A2/DNM3/SRGAP2/KCNH1/CNIH3/DISC1/ACTN2/CHRM3/STRN/SOS1/SLC8A1/SPTBN1/RTN4/BCL11A/ACTR2/ADD2/LRRTM4/CTNNA2/LRRTM1/NCK2/PKP4/TANC1/ZNF804A/MAP2/EPHA4/DOCK10/ITPR1/GRM7/RAB5A/GABRR3/GAP43/GSK3B/KALRN/TMEM108/CLSTN2/NLGN1/FXR1/FBXO45/DLG1/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/SEPT11/SNCA/GRID2/PDLIM5/PPP3CA/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/DROSHA/MAP1B/F2R/HOMER1/MEF2C/PJA2/KCNN2/SPOCK1/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/GABRP/CPEB4/PRR7/DTNBP1/CAP2/GABBR1/SYNGAP1/LRFN2/GABRR1/GABRR2/EPHA7/GRIK2/FYN/GOPC/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/PRKAR2B/CTTNBP2/KCND2/CADPS2/CHRM2/DGKI/DLGAP2/PSD3/PTK2B/KCNU1/ANK1/LYN/CALB1/BAALC/ASAP1/PTK2/MPDZ/APBA1/ABHD17B/NTRK2/GABBR2/GRIN3A/LPAR1/ITGA8/ABI1/ITGB1/ANK3/LRRTM3/COL13A1/KCNMA1/GRID1/PTEN/CPEB3/SORCS3/ADD3/KCNA4/LRRC4C/P2RX3/SHANK2/DLG2/GRM5/MTMR2/GRIA4/HTR3B/HTR3A/GRIK4/ARHGAP32/CACNA1C/GRIN2B/PTPRO/EPS8/SSPN/DNM1L/LRRK2/DDN/KCNC2/LIN7A/ATP2B1/ANKS1B/PPP1CC/NOS1/DCLK1/FARP1/GPHN/SLC8A3/SIPA1L1/CYFIP1/GABRB3/GABRA5/GABRG3/APBA2/CHRM5/NEDD4/ADAM10/CHRNA5/GRIN2A/SHISA9/CACNG3/GSG1L/FUS/NETO2/MINK1/ARHGAP44/SEZ6/ASIC2/MAPT/NSF/CACNG5/KCNJ2/DLGAP1/EPB41L3/MIB1/CDH2/NETO1/PRKCG/PRNP/PLCB4/SNAP25/SYNDIG1/NTSR1/APP/GRIK1/TIAM1/SYN3/NLGN4X/FRMPD4/GLRA2/CNKSR2/IL1RAPL1/DMD/GRIPAP1/OPHN1/MAGEE1/DRP2/GLRA4/GRIA3/FMR1/GABRE/GABRA3/GABRQ/MECP2,227
GO_CC,GO:1902710,GABA receptor complex,19/6861,20/17294,2.88963151296025e-07,0.000104749142344809,9.55099257967914e-05,GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRP/GABRR1/GABRR2/GABBR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,19
GO_CC,GO:1902711,GABA-A receptor complex,18/6861,19/17294,6.94168348045915e-07,0.000167757350777763,0.000152960604411521,GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRP/GABRR1/GABRR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,18
GO_CC,GO:0042383,sarcolemma,76/6861,127/17294,3.23990252587369e-06,0.000587232332814607,0.000535436522697021,VCAM1/KCND3/ATP1A1/ATP1A2/NOS1AP/CACNA1S/RYR2/ACP1/SNTG2/SLC8A1/PPP3R1/KCNJ3/SCN2A/SCN1A/COL6A3/CAV3/STAC/SCN5A/CACNA1D/SLMAP/DLG1/SGCB/STBD1/PPP3CA/ANK2/CAMK2D/SLC27A6/MYOT/SGCD/DTNBP1/FLOT1/MLIP/BVES/LAMA2/UTRN/OPRM1/EZR/AQP1/CACNA2D1/SRI/SGCE/CAV2/CAV1/CLCN1/SGCZ/ADRA1A/ANK1/SNTB1/ANXA1/CACNB2/ITGB1/ANK3/PPP3CB/VCL/ABCC8/RDX/CACNA1C/FGF6/KCNJ8/ABCC9/SSPN/NOS1/SGCG/AKAP6/SLC8A3/RYR3/ANXA2/CIB2/CIB1/TRIM72/SGCA/KCNJ2/CDH2/DTNA/RTN2/DMD,76
GO_CC,GO:0034702,ion channel complex,150/6861,288/17294,1.15437875596688e-05,0.00167384919615198,0.00152621022894148,KCNAB2/CATSPER4/KCNQ4/PDE4B/LRRC8C/LRRC8D/OLFM3/KCNA10/KCNA2/KCNA3/KCND3/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/VWC2L/SCN5A/SCN10A/SCN11A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/CATSPER3/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/GABRP/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNA1B/CACNB2/KCNMA1/PKD2L1/ABCC8/KCNC1/KCNA4/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/BEST3/KCNMB4/KCNC2/NOS1/MICU2/TRPC4/AKAP6/GABRB3/GABRA5/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SHISA9/SCNN1G/CACNG3/CACNG5/KCNJ2/KCNN4/SNAP25/ABHD12/GRIK1/CLDN17/KCNJ6/SMDT1/GLRA2/KCND1/GLRA4/TRPC5/GRIA3/GABRE/GABRA3/GABRQ,150
GO_CC,GO:0043235,receptor complex,186/6861,370/17294,1.92411805707863e-05,0.00232497598563668,0.00211990550850067,EPHB2/IFNLR1/LRP8/ROR1/LEPR/IL23R/TGFBR3/OLFM3/NOTCH2/DDR2/CD247/CR1L/PLXNA2/TRAF5/CNIH3/ALK/ABCG5/ABCG8/LRP1B/ACVR2A/ACVR1C/ACVR1/PLA2R1/ITGB6/LRP2/ITGA6/ITGA4/ITGAV/CALCRL/NRP2/ERBB4/VWC2L/EPHA4/IRS1/RAMP1/GRM7/TGFBR2/ITGA9/ACVR2B/VIPR1/EPHA3/EPHA6/GABRR3/IMPG2/ALCAM/TRAT1/CD200R1/ITGB5/PLXND1/TF/RYK/EPHB1/TRPC1/GPR160/NLGN1/PEX5L/DLG1/TLR1/KCTD8/GABRG1/GABRA2/GABRA4/GABRB1/PDGFRA/KIT/KDR/EPHA5/ABCG2/GRID2/BMPR1B/MTTP/NPNT/EGF/NR3C2/TLR2/GRIA2/LIFR/OSMR/DAB2/GHR/ITGA1/ITGA2/IL6ST/KCTD16/ADRB2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/GABRP/HFE/GABBR1/GFRAL/GABRR1/GABRR2/EPHA7/GPR63/GRIK2/ROS1/GRM1/STXBP5/ITGB8/TRIL/ADCYAP1R1/VWC2/EGFR/CD36/CALCR/LMTK2/MET/GPR37/PLXNA4/PTPRN2/PTK2B/LYN/SDCBP/TEK/NTRK2/SYK/ROR2/GABBR2/TGFBR1/GRIN3A/TLR4/ITGA8/APBB1IP/ITGB1/NRP1/BMPR1A/SORBS1/PKD2L1/GFRA1/CD44/P2RX3/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/OLR1/KLRC1/LRP6/GRIN2B/EPS8/ITPR2/CAPRIN2/VDR/ITGB7/ERBB3/PTPRB/PLXNC1/NT5DC3/FLT1/SLITRK5/RNF31/TSHR/GABRB3/GABRA5/GABRG3/B2M/SMAD3/ITGA11/CHRNA5/NTRK3/IGF1R/GRIN2A/SHISA9/CACNG3/ITGAM/RFFL/ITGB3/SKAP1/CACNG5/RNMT/BMP2/ABHD12/APP/GRIK1/TLR7/GRIA3/GPR101/GABRE/GABRA3/GABRQ,186
GO_CC,GO:0005578,proteinaceous extracellular matrix,183/6861,365/17294,2.72392147121691e-05,0.00254909109771559,0.00232425293555773,PODN/CYR61/COL24A1/TGFBR3/COL11A1/DPT/TNN/TNR/LAMC1/LAMC2/HMCN1/LAD1/LAMB3/USH2A/NID1/ZP4/PXDN/MATN3/LTBP1/EFEMP1/IL1RL1/ITGA6/COL5A2/FN1/COL4A4/COL4A3/COL6A3/CHL1/LRRN1/WNT7A/CRTAP/ADAMTS9/COL8A1/ABI3BP/IMPG2/ZPLD1/COL6A5/COL6A6/SLITRK3/DLG1/SLIT2/AMTN/AMBN/ENAM/ADAMTS3/FRAS1/HPSE/DSPP/DMP1/MEPE/NPNT/NDNF/FREM3/SPOCK3/ADAMTS16/ADAMTS12/EGFLAM/ADAMTS6/VCAN/HAPLN1/EFNA5/LOX/FBN2/ADAMTS19/TGFBI/SPOCK1/FGF1/SPARC/SLIT3/GPLD1/LRFN2/CRISP3/TINAG/COL21A1/DST/COL19A1/COL9A1/COL12A1/IMPG1/LAMA4/LAMA2/SERAC1/SMOC2/THBS2/COL28A1/VWC2/TFPI2/COL1A2/RELN/LAMB1/LAMB4/LRRN3/WNT2/PTPRZ1/PTN/SHH/BMP1/SFRP1/CPA6/SBSPON/MMP16/MATN2/CTHRC1/TNFRSF11B/NOV/COL14A1/FREM1/ADAMTSL1/LINGO2/MAMDC2/ASPN/ECM2/TNC/RBP3/SPOCK2/SFTPA1/SLIT1/CRTAC1/HPSE2/COL17A1/SMC3/TECTB/VWA2/SPON1/NAV2/HSD17B12/MMP20/MMP8/MMP10/MMP1/MMP3/MMP12/MMP13/VWF/ADAMTS20/WNT10B/WNT1/EPYC/LUM/DCN/NTN4/FREM2/SLITRK1/SLITRK6/SLITRK5/GPC5/GPC6/COL4A2/ANG/COCH/LRFN5/NID2/SMOC1/LTBP2/FLRT2/SERPINA1/FBN1/GLDN/ANXA2/THSD4/ADAMTSL3/ACAN/HAPLN3/ZP2/MMP2/GLG1/ADAMTS18/WNT3/COL1A1/LAMA1/LAMA3/CCBE1/FLRT3/CST3/ADAMTS5/AMELX/CASK/COL4A6/COL4A5/GPC4/GPC3/SLITRK4/SLITRK2,183
GO_CC,GO:0034703,cation channel complex,113/6861,211/17294,2.81279017678961e-05,0.00254909109771559,0.00232425293555773,KCNAB2/CATSPER4/KCNQ4/PDE4B/OLFM3/KCNA10/KCNA2/KCNA3/KCND3/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/VWC2L/SCN5A/SCN10A/SCN11A/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/CAMK2D/GRIA2/HCN1/PDE4D/CATSPER3/GRIA1/KCNIP1/KCNMB1/KCNQ5/GRIK2/TRDN/PKD1L1/VWC2/CACNA2D1/AKAP9/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNA1B/CACNB2/KCNMA1/PKD2L1/ABCC8/KCNC1/KCNA4/DLG2/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/GRIN2B/EPS8/KCNJ8/ABCC9/KCNMB4/KCNC2/NOS1/MICU2/TRPC4/AKAP6/RYR3/HCN4/GRIN2A/SHISA9/SCNN1G/CACNG3/CACNG5/KCNJ2/KCNN4/SNAP25/ABHD12/GRIK1/KCNJ6/SMDT1/KCND1/TRPC5/GRIA3,113
GO_CC,GO:0030175,filopodium,56/6861,93/17294,4.79029551027381e-05,0.00321551686228801,0.00293189777062341,DNALI1/VCAM1/ENAH/ACTN2/ANTXR1/ERMN/CD302/ITGA6/ITGAV/MYO1B/ABI2/RAPH1/EPHA4/GAP43/ACPP/EPHB1/NLGN1/RUFY3/GPM6A/FAT1/MYO10/IQGAP2/TENM2/DEF6/UTRN/TIAM2/EZR/OSBPL3/FZD9/PPP1R9A/FSCN3/FZD3/B4GALT1/MYO3A/ABI1/ITGB1/ACTA2/RDX/FGD4/TWF1/KITLG/SPATA13/LCP1/FARP1/CYFIP1/MYO5A/CIB1/ITGB3/CXADR/APP/NF2/DMD/MSN/FGF13/FMR1/MTM1,56
GO_CC,GO:1902495,transmembrane transporter complex,158/6861,312/17294,4.85881134837628e-05,0.00321551686228801,0.00293189777062341,KCNAB2/CATSPER4/KCNQ4/PDE4B/LRRC8C/LRRC8D/OLFM3/KCNA10/KCNA2/KCNA3/KCND3/ATP1A1/ATP1A2/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/ABCG5/ABCG8/CNGA3/DPP10/CACNB4/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/SESTD1/VWC2L/SCN5A/SCN10A/SCN11A/CACNA1D/GABRR3/ATP1B3/KCNAB1/NLGN1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/CATSPER3/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/GABRP/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/TRDN/STXBP5/PKD1L1/VWC2/CACNA2D1/AKAP9/CFTR/KCND2/CLCN1/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/CACNA1B/CACNB2/KCNMA1/PKD2L1/ABCC8/KCNC1/KCNA4/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/BEST3/KCNMB4/KCNC2/NOS1/MICU2/ATP12A/TRPC4/AKAP6/GABRB3/GABRA5/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SHISA9/SCNN1G/CACNG3/CACNG5/KCNJ2/KCNN4/SNAP25/ABHD12/GRIK1/CLDN17/KCNJ6/SMDT1/GLRA2/KCND1/GLRA4/TRPC5/GRIA3/GABRE/GABRA3/GABRQ,158
