ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0005549,odorant binding,58/6512,83/16386,2.48455076499843e-08,2.90443984428316e-05,2.69116077598251e-05,OR14A16/OR11L1/OR14C36/OR14I1/OR5H2/OR5K3/OR5K1/OR14J1/OR13A1/OR5P3/OR5D13/OR5D14/OR5L2/OR5L1/OR5D18/OR5I1/OR5W2/OR5F1/OR5AS1/OR8H2/OR8I2/OR8H3/OR8J3/OR5J2/OR8K5/OR8H1/OR8K3/OR8K1/OR8U8/OR8U1/OR8J1/OR5R1/OR5M9/OR5M3/OR5M8/OR5M11/OR5M10/OR5M1/OR9G4/OR9Q1/OR9I1/OR9Q2/OR10Q1/OR10W1/OR5B17/OR5AN1/OR8D4/OR8G1/OR8G5/OR8D2/OR8D1/OR8B2/OR8B3/OR8B8/OR8B4/OR8B12/OR8A1/OR9K2,58
GO_MF,GO:0005237,inhibitory extracellular ligand-gated ion channel activity,16/6512,16/16386,3.82855788627496e-07,0.000165457015375594,0.000153307162056176,GABRG1/GABRA2/GABRA4/GLRB/GLRA3/GLRA1/GABRB2/GABRA6/GABRA1/GABRG2/GABRA5/GABRG3/GLRA2/GLRA4/GABRE/GABRA3,16
GO_MF,GO:0004984,olfactory receptor activity,197/6512,378/16386,5.69047088103427e-07,0.000165457015375594,0.000153307162056176,OR10K2/OR10T2/OR6P1/OR10X1/OR10Z1/OR6K2/OR6K3/OR10J3/OR10J5/OR2C3/OR2G2/OR2G3/OR13G1/OR1C1/OR14A16/OR11L1/OR2W3/OR2L13/OR2T8/OR2L8/OR2L5/OR2L3/OR2L2/OR2M5/OR2M2/OR2M3/OR14C36/OR2M7/OR2T6/OR2T4/OR2T3/OR2T2/OR2T11/OR14I1/OR5H2/OR5K3/OR5K1/OR2B2/OR2B6/OR2J2/OR14J1/OR12D3/OR5V1/OR2H1/OR10C1/OR9A2/OR6V1/OR2F1/OR6B1/OR2A25/OR2A12/OR2A2/OR2A14/OR13F1/OR13C3/OR13C4/OR13C8/OR13C5/OR13C2/OR13C9/OR13D1/OR1Q1/OR1B1/OR1L4/OR1L6/OR13A1/OR52M1/OR52I1/OR52I2/OR51E2/OR51F1/OR51G2/OR51G1/OR51A7/OR52E2/OR52J3/OR52A5/OR51B4/OR51B2/OR51B5/OR51M1/OR51I1/OR51Q1/OR51I2/OR52D1/OR52B6/OR56B1/OR56A4/OR52L1/OR56A1/OR56B4/OR2AG2/OR2AG1/OR6A2/OR10A5/OR10A4/OR2D2/OR10A2/OR5P3/OR10A6/OR10A3/OR4S1/OR4C3/OR4C45/OR4C13/OR4C12/OR4A5/OR4A16/OR4C16/OR4C15/OR4C11/OR4P4/OR4C6/OR4S2/OR5D13/OR5D14/OR5L2/OR5L1/OR5D18/OR5I1/OR5W2/OR5F1/OR5AS1/OR8H2/OR8I2/OR8H3/OR8J3/OR5J2/OR8K5/OR5T3/OR5T2/OR8H1/OR5T1/OR8K3/OR8K1/OR8U8/OR8U1/OR8J1/OR5R1/OR5M9/OR5M3/OR5M8/OR5M11/OR5M10/OR5M1/OR9G4/OR9Q1/OR6Q1/OR9I1/OR9Q2/OR10Q1/OR1S2/OR1S1/OR10W1/OR5B17/OR5AN1/OR2AT4/OR6X1/OR8D4/OR6T1/OR4D5/OR10S1/OR10G9/OR10G8/OR10G7/OR10G4/OR8G1/OR8G5/OR8D2/OR8D1/OR8B2/OR8B3/OR8B8/OR8B4/OR8B12/OR8A1/OR9K2/OR6C74/OR6C6/OR6C1/OR6C65/OR6C4/OR2AP1/OR4Q3/OR4M1/OR4N2/OR4K2/OR4K5/OR4K1/OR4K15/OR4K13/OR4K14/OR4K17/OR4N5/OR10G2/OR4E2/OR13H1,197
GO_MF,GO:0004890,GABA-A receptor activity,18/6512,19/16386,7.1485750396534e-07,0.000165457015375594,0.000153307162056176,GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRP/GABRR1/GABRR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,18
GO_MF,GO:0099095,ligand-gated anion channel activity,18/6512,19/16386,7.1485750396534e-07,0.000165457015375594,0.000153307162056176,GABRG1/GABRA2/GABRA4/GABRB1/GLRB/GLRA3/GLRA1/GABRA6/GABRA1/GABRG2/CFTR/GABRB3/GABRA5/GABRG3/GLRA2/GLRA4/GABRE/GABRA3,18
GO_MF,GO:0016917,GABA receptor activity,20/6512,22/16386,8.49223346666863e-07,0.000165457015375594,0.000153307162056176,GABRR3/GABRG1/GABRA2/GABRA4/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRP/GABBR1/GABRR1/GABRR2/GABBR2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3/GABRQ,20
GO_MF,GO:0022836,gated channel activity,172/6512,335/16386,9.26415252484823e-06,0.00154711347164965,0.00143350570647652,KCNAB2/CATSPER4/KCNQ4/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/KCNJ9/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNK12/CNGA3/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/KCNE4/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/CNGA1/REST/TMEM150C/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/VDAC1/CATSPER3/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/GABRP/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/NCALD/KCNV1/KCNQ3/KCNK9/KCNV2/TRPM3/TMC1/GRIN3A/TMEM38B/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/ABCC8/KCNC1/ANO5/ANO3/KCNA4/P2RX3/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ITPR2/ANO6/KCNMB4/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SCNN1G/CACNG3/ASIC2/CACNG5/KCNJ2/PIEZO2/KCNN4/TMC2/JPH2/GRIK1/KCNJ6/KCNJ15/CLCN4/GLRA2/IL1RAPL1/CYBB/KCND1/CLCN5/GLRA4/GRIA3/GABRE/GABRA3/GABRQ,172
GO_MF,GO:0005216,ion channel activity,208/6512,416/16386,1.12557729648929e-05,0.00164474982449497,0.00152397241853615,KCNAB2/CATSPER4/KCNQ4/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/LRRC8B/LRRC8C/LRRC8D/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/KCNJ9/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNK12/CNGA3/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/SLC40A1/KCNE4/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNMB3/DLG1/KCNIP4/STIM2/GABRG1/GABRA2/GABRA4/GABRB1/CNGA1/REST/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/VDAC1/CATSPER3/TRPC7/PKD2L2/SLC26A2/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/GABRP/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/SLC26A5/SLC26A4/SLC26A3/CFTR/KCND2/TRPV5/CLCN1/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/SLC26A7/KCNS2/NCALD/KCNV1/KCNQ3/KCNK9/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/DENND5A/ABCC8/KCNC1/ANO5/ANO3/KCNA4/P2RX3/PANX1/TRPC6/GRIA4/CUL5/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/ANO6/BEST3/KCNMB4/KCNC2/ANO4/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/SLC24A5/TRPM7/NOX5/HCN4/CHRNA5/GRIN2A/SCNN1G/CACNG3/ASIC2/CACNG5/KCNJ2/PIEZO2/LOXHD1/KCNN4/TMC2/SLC24A3/JPH2/GRIK1/CLDN17/KCNJ6/KCNJ15/CLCN4/GLRA2/IL1RAPL1/KCND1/CLCN5/GLRA4/TRPC5/GRIA3/GABRE/GABRA3/GABRQ,208
GO_MF,GO:0022839,ion gated channel activity,170/6512,332/16386,1.27294244996792e-05,0.00165341080445833,0.00153199740469823,KCNAB2/CATSPER4/KCNQ4/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/KCNJ9/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNF1/KCNS3/KCNG3/KCNK12/CNGA3/CACNB4/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/KCNE4/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/DLG1/KCNIP4/GABRG1/GABRA2/GABRA4/GABRB1/CNGA1/REST/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/VDAC1/CATSPER3/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/GABRP/CLIC5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/AQP1/CACNA2D1/CFTR/KCND2/CLCN1/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/KCNS2/NCALD/KCNV1/KCNQ3/KCNK9/KCNV2/TRPM3/TMC1/GRIN3A/TMEM38B/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/ABCC8/KCNC1/ANO5/ANO3/KCNA4/P2RX3/GRIA4/HTR3B/HTR3A/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ITPR2/ANO6/KCNMB4/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SCNN1G/CACNG3/ASIC2/CACNG5/KCNJ2/KCNN4/TMC2/JPH2/GRIK1/KCNJ6/KCNJ15/CLCN4/GLRA2/IL1RAPL1/CYBB/KCND1/CLCN5/GLRA4/GRIA3/GABRE/GABRA3/GABRQ,170
GO_MF,GO:0022851,GABA-gated chloride ion channel activity,12/6512,12/16386,1.54256240565674e-05,0.00180325545221273,0.00167083864781135,GABRG1/GABRA2/GABRA4/GABRB1/GABRA6/GABRA1/GABRG2/GABRB3/GABRA5/GABRG3/GABRE/GABRA3,12
