ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,84/2482,233/16587,1.01539715612935e-15,5.94007336335671e-12,5.766387007703e-12,DAB1/VCAM1/IGSF9/SELP/SELL/SELE/NRXN1/REG3A/TGFBR2/ROBO2/ROBO1/CADM2/ALCAM/ATP2C1/CLDN18/NLGN1/CLDN1/CLDN16/PCDH7/GRID2/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/TENM2/SDK1/UNC5D/CDH17/PTPRD/PCDH15/CDH23/CDHR1/TENM4/FAT3/CADM1/DSCAML1/KIRREL3/PCDH17/PCDH9/MAP2K5/UMOD/CDH8/CDH13/SDK2/PTPRM/CDH2/DSC3/DSG1/DSG4/DSG2/CDH7/CDH19/CD226/MBP/FLRT3/PTPRT/CXADR/CLDN8/CLDN14/DSCAM/IL1RAPL1/TENM1,84
GO_BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,56/2482,152/16587,2.24096524488398e-11,6.55482334128563e-08,6.36316184007845e-08,IGSF9/ROBO2/ROBO1/CADM2/PCDH7/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/SDK1/CDH17/PCDH15/CDH23/CDHR1/FAT3/CADM1/DSCAML1/KIRREL3/PCDH17/PCDH9/CDH8/CDH13/SDK2/PTPRM/CDH2/DSC3/DSG1/DSG4/DSG2/CDH7/CDH19/CD226/PTPRT/DSCAM,56
GO_BP,GO:0007409,axonogenesis,115/2482,447/16587,1.36409165973804e-09,2.65997873648918e-06,2.58220158045149e-06,DAB1/DOCK7/LPAR3/NTNG1/NRAS/NGF/SPTA1/LMX1A/TNN/TNR/CNTN2/PLXNA2/NRXN1/CTNNA2/KIF5C/NR4A2/TBR1/RAPH1/MAP2/CHL1/CNTN4/TOP2B/GOLGA4/ROBO2/ROBO1/ALCAM/GAP43/SEMA5B/RYK/EPHB1/SLITRK3/SLIT2/EPHA5/RUFY3/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/EFNA5/SEMA6A/FSTL4/POU4F3/SLIT3/RANBP9/EPHA7/FYN/LAMA2/UST/ETV1/ISPD/COBL/AUTS2/SEMA3E/DLX5/RELN/NRCAM/PTPRZ1/PLXNA4/KEL/NRG1/UNC5D/EXT1/LINGO2/NTRK2/SHC3/PRKCQ/NRP1/PARD3/ANK3/SLIT1/GFRA1/FGFR2/BDNF/LRRC4C/PAK1/NCAM1/DSCAML1/PTPRO/KRAS/FRS2/RAB21/KERA/LUM/NTN4/SSH1/EFNB2/NKX2-1/LRFN5/SPTB/NRXN3/FLRT2/BCL11B/NEO1/NTRK3/NDEL1/PRKCA/PTPRM/CDH2/DCC/DOK6/FLRT3/DOK5/BMP7/APP/DSCAM/CDKL5/SH3KBP1/ARX/USP9X/TRPC5/FGF13/SLITRK4/SLITRK2,115
GO_BP,GO:0042391,regulation of membrane potential,111/2482,431/16587,2.47893035080062e-09,3.6254356380459e-06,3.51942874804456e-06,RIMS3/KCND3/ATP1A1/NOS1AP/CACNA1E/KCNT2/KCNH1/KCNK2/KCNK1/RYR2/SLC8A1/NRXN1/KCNJ3/KCNH7/SCN3A/SCN1A/SCN9A/SCN7A/CHRNA1/SUMO1/PID1/KCNH8/GPD1L/SCN10A/SCN11A/GABRR3/TMEM108/NLGN1/KCNMB2/FGF12/GABRA2/GABRA4/GABRB1/CNGA1/GRID2/PPP3CA/ANK2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/MEF2C/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/GABRP/EDN1/RIMS1/GABRR2/GRIK2/TRDN/OPRM1/ABCB5/CACNA2D1/SRI/RELN/SLC26A4/NRCAM/CAV1/CFTR/KCND2/PTN/DGKI/PTK2B/CNGB3/SLC26A7/RIMS2/KCNQ3/KCNK9/GRIN3A/CACNB2/ANK3/CTNNA3/KCNMA1/GRID1/GRM5/GRIA4/GRIN2B/LRRK2/DCN/SSH1/NALCN/FGF14/KCNH5/GABRB3/GABRA5/GABRG3/GJD2/GRIN2A/ASIC2/KCNJ2/PIEZO2/DSG2/NEDD4L/NETO1/CXADR/APP/GRIK1/NLGN4X/GLRA2/DMD/TRPC5/GRIA3/FHL1/FGF13/FMR1/CNGA2/GABRA3,111
GO_BP,GO:0097485,neuron projection guidance,72/2482,245/16587,5.09664471057035e-09,5.9630743113673e-06,5.78871541337411e-06,DAB1/NRAS/SPTA1/LMX1A/TNR/CNTN2/PLXNA2/NRXN1/KIF5C/TBR1/CHL1/CNTN4/ROBO2/ROBO1/ALCAM/GAP43/SEMA5B/RYK/EPHB1/SLIT2/EPHA5/BMPR1B/UNC5C/GAB1/SEMA5A/ZSWIM6/EFNA5/SEMA6A/POU4F3/SLIT3/RANBP9/EPHA7/FYN/LAMA2/ETV1/ISPD/SEMA3E/DLX5/RELN/NRCAM/PLXNA4/UNC5D/EXT1/SHC3/PRKCQ/NRP1/SLIT1/GFRA1/BDNF/NCAM1/PTPRO/KRAS/FRS2/NTN4/EFNB2/NKX2-1/SPTB/NRXN3/FLRT2/BCL11B/NEO1/PRKCA/PTPRM/DCC/DOK6/FLRT3/DOK5/BMP7/APP/DSCAM/SH3KBP1/ARX,72
GO_BP,GO:0061564,axon development,120/2482,485/16587,7.26413737761336e-09,7.08253394317302e-06,6.87544230740773e-06,DAB1/DOCK7/LPAR3/NTNG1/NRAS/NGF/SPTA1/LMX1A/TNN/TNR/CNTN2/PLXNA2/NRXN1/CTNNA2/KIF5C/NR4A2/TBR1/RAPH1/MAP2/CHL1/CNTN4/TOP2B/GOLGA4/ROBO2/ROBO1/EPHA3/ALCAM/GAP43/SEMA5B/RYK/EPHB1/SLITRK3/SLIT2/EPHA5/RUFY3/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/EFNA5/NREP/SEMA6A/FSTL4/POU4F3/SLIT3/RANBP9/EPHA7/FYN/LAMA2/UST/ETV1/ISPD/COBL/AUTS2/SEMA3E/DLX5/RELN/NRCAM/PTPRZ1/PLXNA4/KEL/NEFM/NRG1/UNC5D/EXT1/JAK2/LINGO2/NTRK2/SHC3/PRKCQ/NRP1/PARD3/ANK3/SLIT1/GFRA1/FGFR2/BDNF/LRRC4C/PAK1/NCAM1/DSCAML1/PTPRO/KRAS/FRS2/RAB21/KERA/LUM/NTN4/SSH1/EFNB2/NKX2-1/LRFN5/SPTB/NRXN3/FLRT2/BCL11B/NEO1/NTRK3/NDEL1/PRKCA/PTPRM/CDH2/DCC/DOK6/FLRT3/DOK5/BMP7/NCAM2/APP/DSCAM/CDKL5/SH3KBP1/ARX/USP9X/TRPC5/FGF13/SLITRK4/SLITRK2,120
GO_BP,GO:0007411,axon guidance,71/2482,243/16587,8.490657298115e-09,7.09576359913896e-06,6.88828513132788e-06,DAB1/NRAS/SPTA1/LMX1A/TNR/CNTN2/PLXNA2/NRXN1/KIF5C/TBR1/CHL1/CNTN4/ROBO2/ROBO1/ALCAM/GAP43/RYK/EPHB1/SLIT2/EPHA5/BMPR1B/UNC5C/GAB1/SEMA5A/ZSWIM6/EFNA5/SEMA6A/POU4F3/SLIT3/RANBP9/EPHA7/FYN/LAMA2/ETV1/ISPD/SEMA3E/DLX5/RELN/NRCAM/PLXNA4/UNC5D/EXT1/SHC3/PRKCQ/NRP1/SLIT1/GFRA1/BDNF/NCAM1/PTPRO/KRAS/FRS2/NTN4/EFNB2/NKX2-1/SPTB/NRXN3/FLRT2/BCL11B/NEO1/PRKCA/PTPRM/DCC/DOK6/FLRT3/DOK5/BMP7/APP/DSCAM/SH3KBP1/ARX,71
GO_BP,GO:0010975,regulation of neuron projection development,110/2482,436/16587,9.97650987841308e-09,7.29532284858957e-06,7.08200931500508e-06,CDC20/DAB1/LRRC7/NEGR1/LPAR3/NGF/PRRX1/DNM3/TNR/SYT2/CNTN2/PLXNA2/BCL11A/ACTR2/MAP4K4/TBR1/ZNF804A/HECW2/MAP2/GOLGA4/ULK4/PTPRG/ROBO2/ROBO1/EPHA3/KALRN/SERPINI1/TNIK/NLGN1/IL1RAP/OPA1/SLIT2/RUFY3/PAQR3/GRID2/PDLIM5/PPP3CA/NDNF/TENM3/SEMA5A/ZSWIM6/MEF2C/EFNA5/FSTL4/SPOCK1/KIAA0319/BMP5/RIMS1/EPHA7/FYN/UST/SDK1/TMEM106B/HECW1/COBL/MAGI2/HGF/SEMA3E/FZD1/RELN/NRCAM/PLXNA4/PTN/KEL/PTK2B/NRG1/STMN2/RIMS2/CSMD3/ASAP1/KANK1/PTPRD/NTRK2/SLC39A12/NRP1/ZNF365/ANKRD1/CPEB3/MOB2/BDNF/LRRC4C/PAK1/PTPRO/CAPRIN2/LRRK2/CNTN1/TWF1/GRIP1/RAB21/SYT1/SSH1/FBXW8/RAP2A/EFNB2/NTRK3/SYT17/NDEL1/CDH2/RIT2/DCC/NEDD4L/SNAP25/BMP7/CHODL/DSCAM/CDKL5/IL1RAPL1/TRPC5/FGF13/FMR1,110
GO_BP,GO:0007605,sensory perception of sound,47/2482,139/16587,2.14206718923693e-08,1.392343673004e-05,1.35163186969979e-05,ROR1/COL11A1/USH2A/FBXO11/LRP2/MYO3B/PAX3/COL4A3/OTOS/GRM7/THRB/LRIG1/CCDC50/GRXCR1/KIT/SLC1A3/HEXB/ALDH7A1/POU4F3/GABRB2/DCDC2/MYO6/EYA4/SLC26A4/SNAI2/CHD7/EYA1/TMC1/MYO3A/PCDH15/CDH23/TUB/OTOG/NAV2/CNTN5/OTOGL/SRRM4/GJB6/GJB2/GABRB3/GABRA5/ASIC2/LOXHD1/MBP/OTOR/TBL1X/NDP,47
GO_BP,GO:0050808,synapse organization,80/2482,292/16587,2.4184958727764e-08,1.4148200855742e-05,1.37345107722407e-05,CDC20/NFIA/IGSF9/LMX1A/DNM3/TNR/CNTN2/NRXN1/ACTR2/CTNNA2/CHRNA1/ZNF804A/DOCK10/DNER/PDZRN3/ROBO2/KALRN/TMEM108/RYK/EPHB1/SLITRK3/NLGN1/IL1RAP/OPA1/GRID2/PDLIM5/GLRB/GPM6A/CTNND2/CDH9/MEF2C/EFNA5/EPHA7/FYN/UTRN/SDK1/MAGI2/PCLO/SEMA3E/FZD1/RELN/NRCAM/PTN/NRG1/SYBU/PTPRD/LINGO2/NTRK2/C1QL3/CACNB2/ANK3/ZNF365/LRRTM3/SLIT1/BDNF/GRM5/KIRREL3/GRIN2B/CAPRIN2/LRRK2/SSH1/PCDH17/FLRT2/UNC13C/NTRK3/IGF1R/ASIC2/SDK2/CDH2/FLRT3/APP/DSCAM/NLGN4X/FRMPD4/IL1RAPL1/DRP2/COL4A5/SLITRK4/SLITRK2/FMR1,80
