ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KEGG,hsa05033,Nicotine addiction,20/1151,40/7678,1.91317025776048e-07,6.12214482483355e-05,5.57840169894373e-05,2554/2555/2556/2557/2558/2560/2561/2562/2566/2567/2568/2570/200959/2890/2891/2892/2893/2903/2904/116443,20
KEGG,hsa05032,Morphine addiction,31/1151,89/7678,2.43043107325157e-06,0.000358951185958117,0.000327070652994732,108/114/2554/2555/2556/2557/2558/2560/2561/2562/2566/2567/2568/2570/200959/2791/54331/2792/3760/4988/50940/5136/5137/5139/5142/5144/5150/8622/5567/5578/5579,31
KEGG,hsa04724,Glutamatergic synapse,36/1151,112/7678,3.36516736835735e-06,0.000358951185958117,0.000327070652994732,108/114/9229/2791/54331/2792/2890/2891/2892/2893/2897/2898/2903/2904/116443/2911/2913/2915/2917/2918/3708/3709/3760/5321/23236/5332/5337/5530/5534/5535/5567/5578/5579/6506/6507/7220,36
KEGG,hsa04360,Axon guidance,49/1151,178/7678,9.41032952763078e-06,0.000638380140029492,0.000581681903908452,3983/22885/655/658/817/1630/1946/1948/2042/2044/285220/2045/2047/2534/3845/57689/4233/8440/4756/4893/8829/59277/22854/5058/56288/5362/91584/5530/5534/5535/5578/5894/5921/6091/6092/6259/9723/9037/54437/57556/80031/6585/9353/6586/54434/7220/7224/8633/137970,49
KEGG,hsa04080,Neuroactive ligand-receptor interaction,80/1151,337/7678,9.97468968796081e-06,0.000638380140029492,0.000581681903908452,140/153/185/1129/1131/1134/1392/1511/57105/1906/1910/2554/2555/2556/2557/2558/2560/2561/2562/2566/2567/2568/2570/200959/2641/2690/2741/2742/8001/2743/2890/2891/2892/2893/2894/2895/2897/2898/2903/2904/116443/2911/2913/2915/2917/2918/3062/59340/3350/3354/3358/3360/10022/3827/3953/23566/4829/10874/56923/2831/10886/5540/4986/4988/56288/5340/5644/5645/5729/5733/5741/6019/59350/122042/134864/9287/6870/7068/7201/7253,80
KEGG,hsa04730,Long-term depression,21/1151,57/7678,3.90800965739308e-05,0.00206320513607575,0.00187995994306902,1392/2890/2891/2892/2895/2911/2977/3480/3708/3709/3845/4842/4893/5321/23236/5332/5578/5579/5592/5593/5894,21
KEGG,hsa04720,Long-term potentiation,23/1151,66/7678,4.73991068351493e-05,0.00206320513607575,0.00187995994306902,114/817/814/2890/2891/2903/2904/2911/2915/3708/3709/3845/4893/23236/5332/5530/5534/5535/5567/5578/5579/5894/5908,23
KEGG,hsa04726,Serotonergic synapse,33/1151,111/7678,5.15801284018938e-05,0.00206320513607575,0.00187995994306902,351/1562/1559/1573/260293/1644/2560/2561/2562/2791/54331/2792/3350/3354/3358/3360/3708/3709/3751/3760/3845/4129/4893/5321/23236/5332/5567/5578/5579/5894/6570/121278/7220,33
KEGG,hsa04924,Renin secretion,22/1151,67/7678,0.00018776108843869,0.00667594981115342,0.00608302005818913,153/185/358/1179/9635/22802/1906/2977/3708/3709/3759/3778/5136/5137/5139/23236/5332/5530/5534/5535/5567/5593,22
KEGG,hsa04713,Circadian entrainment,27/1151,95/7678,0.000537355625523049,0.0171953800167376,0.015668158765251,55811/108/114/817/2791/54331/2792/2890/2891/2892/2893/2903/2904/2977/3708/3760/4842/9722/23236/5332/5567/5578/5579/5592/5593/6262/6263,27
KEGG,hsa04514,Cell adhesion molecules (CAMs),35/1151,138/7678,0.00091977665614423,0.0267571390878322,0.0243806826556892,214/23705/10666/1000/9076/23562/10686/51208/9073/1272/6900/26047/1493/2734/152404/3676/8516/57689/4684/4685/257194/4756/22871/57502/4897/9378/9369/22854/80380/5788/5797/6401/6402/6403/7412,35
KEGG,hsa04723,Retrograde endocannabinoid signaling,35/1151,139/7678,0.00105658248486072,0.0281755329296193,0.0256731007286334,108/114/2554/2555/2556/2557/2558/2560/2561/2562/2566/2567/2568/2570/200959/2791/54331/2792/2890/2891/2892/2893/2911/2915/3708/3709/3760/5602/4729/23236/5332/5567/5578/5579/22999,35
KEGG,hsa04540,Gap junction,24/1151,85/7678,0.00118560483601124,0.0289608196422399,0.0263886415819094,108/114/153/1950/57369/2911/2915/2977/3358/3708/3709/3845/5607/4893/56034/23236/5332/5567/5578/5579/5592/5593/5894/7280,24
KEGG,hsa04926,Relaxin signaling pathway,32/1151,125/7678,0.001267035859348,0.0289608196422399,0.0263886415819094,108/114/1278/1285/1286/1287/9586/1906/1910/2791/54331/2792/10022/3845/5602/4312/4322/4313/4790/4842/4893/23236/5332/5567/5578/5894/6019/59350/122042/53358/7048/7424,32
KEGG,hsa04072,Phospholipase D signaling pathway,35/1151,142/7678,0.00157940289612458,0.0336939284506578,0.0307013755948428,108/114/56895/185/1607/1608/160851/9162/139189/26052/1950/2534/2549/2911/2913/2915/2917/2918/3815/4254/3845/23566/4893/56034/23533/8395/5321/23236/5332/5337/5578/2185/5894/11069/53358,35
