ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,44/914,233/16587,4.89400781141597e-13,2.25662700184391e-09,2.19406097566533e-09,NRXN1/ROBO1/CADM2/ALCAM/NLGN1/CLDN1/PCDH7/GRID2/FAT4/CDH12/CDH10/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/TENM2/UNC5D/PTPRD/PCDH15/TENM4/FAT3/CADM1/KIRREL3/PCDH9/CDH8/DSC3/DSG4/CDH7/CDH19/FLRT3/PTPRT/TENM1,44
GO_BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,33/914,152/16587,8.12554625067452e-12,1.87334468809301e-08,1.82140534113804e-08,ROBO1/CADM2/PCDH7/FAT4/CDH12/CDH10/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDH15/FAT3/CADM1/KIRREL3/PCDH9/CDH8/DSC3/DSG4/CDH7/CDH19/PTPRT,33
GO_BP,GO:0042391,regulation of membrane potential,59/914,431/16587,8.47755212643979e-11,1.3029997618338e-07,1.26687349145639e-07,CACNA1E/KCNT2/RYR2/SLC8A1/NRXN1/KCNJ3/KCNH7/SCN2A/SCN9A/KCNH8/CACNA1D/FAM19A4/GABRR3/NLGN1/KCNMB2/FGF12/GABRB1/GRID2/PPP3CA/PPA2/GLRB/GRIA2/GLRA3/HCN1/KCNN2/GABRB2/GABRA6/GABRA1/GABRG2/RIMS1/GABRR2/GRIK2/TRDN/HEBP2/ABCB5/RELN/NRCAM/CFTR/KCND2/RIMS2/GNAQ/GRIN3A/CACNB2/ANK3/CTNNA3/GRID1/GRIA4/GRIN2B/DCN/CUX2/FGF14/GABRB3/GABRG3/GJD2/ASIC2/APP/KCNE1/TRPC5/GRIA3,59
GO_BP,GO:0051965,positive regulation of synapse assembly,17/914,62/16587,2.42567723287392e-08,2.75667821163703e-05,2.68024803464532e-05,NRXN1/EPHB1/NLGN1/GRID2/EFNA5/LRRN3/PTPRD/LINGO2/BDNF/CUX2/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/ASIC2/FLRT3,17
GO_BP,GO:0060078,regulation of postsynaptic membrane potential,25/914,129/16587,3.14609597535675e-08,2.75667821163703e-05,2.68024803464532e-05,SLC8A1/NRXN1/NLGN1/GRID2/PPP3CA/GLRB/GRIA2/GLRA3/GABRA6/GABRA1/GABRG2/RIMS1/GRIK2/RELN/RIMS2/GRIN3A/GRID1/GRIA4/GRIN2B/CUX2/FGF14/GABRB3/GABRG3/APP/GRIA3,25
GO_BP,GO:0007605,sensory perception of sound,26/914,139/16587,3.5870894100677e-08,2.75667821163703e-05,2.68024803464532e-05,USH2A/LRP2/PAX3/COL4A3/GRM7/CACNA1D/LRIG1/GRXCR1/KIT/ALDH7A1/POU4F3/GABRB2/DCDC2/MYO6/EYA1/PCDH15/OTOG/CNTN5/OTOGL/SLITRK6/GABRB3/ASIC2/LOXHD1/OTOR/KCNE1/TBL1X,26
GO_BP,GO:0051963,regulation of synapse assembly,19/914,82/16587,7.28813027364118e-08,4.80079552739421e-05,4.66769125344929e-05,NRXN1/EPHB1/NLGN1/GRID2/PDLIM5/EFNA5/EPHA7/LRRN3/PTPRD/LINGO2/BDNF/CUX2/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/ASIC2/FLRT3,19
GO_BP,GO:0099565,chemical synaptic transmission  postsynaptic,23/914,124/16587,2.55997266387749e-07,0.000123421119728804,0.00011999921216427,NRXN1/NLGN1/GRID2/PPP3CA/GLRB/GRIA2/GLRA3/GABRA6/GABRA1/GABRG2/RIMS1/GRIK2/RELN/RIMS2/GRIN3A/GRID1/GRIA4/GRIN2B/CUX2/GABRB3/GABRG3/APP/GRIA3,23
GO_BP,GO:0007416,synapse assembly,25/914,143/16587,2.56171672125434e-07,0.000123421119728804,0.00011999921216427,NRXN1/EPHB1/NLGN1/GRID2/PDLIM5/GPM6A/EFNA5/EPHA7/MAGI2/NRCAM/LRRN3/NRG1/PTPRD/LINGO2/BDNF/KIRREL3/CUX2/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/ASIC2/FLRT3/APP,25
GO_BP,GO:0050808,synapse organization,39/914,292/16587,2.67666709453055e-07,0.000123421119728804,0.00011999921216427,LMX1A/TNR/NRXN1/ACTR2/CTNNA2/PDZRN3/EPHB1/NLGN1/GRID2/PDLIM5/GLRB/GPM6A/EFNA5/EPHA7/MAGI2/RELN/NRCAM/LRRN3/NRG1/PTPRD/LINGO2/C1QL3/CACNB2/ANK3/ZNF365/BDNF/KIRREL3/GRIN2B/CUX2/SLITRK1/SLITRK6/SLITRK5/FLRT2/NTRK3/IGF1R/ASIC2/FLRT3/APP/FRMPD4,39
GO_BP,GO:0050954,sensory perception of mechanical stimulus,26/914,154/16587,3.02226189607177e-07,0.000126687723661699,0.000123175247993968,USH2A/LRP2/PAX3/COL4A3/GRM7/CACNA1D/LRIG1/GRXCR1/KIT/ALDH7A1/POU4F3/GABRB2/DCDC2/MYO6/EYA1/PCDH15/OTOG/CNTN5/OTOGL/SLITRK6/GABRB3/ASIC2/LOXHD1/OTOR/KCNE1/TBL1X,26
GO_BP,GO:0031290,retinal ganglion cell axon guidance,9/914,20/16587,4.36026443466151e-07,0.000167543160901869,0.000162897949361609,ALCAM/EPHB1/SLIT2/BMPR1B/EFNA5/POU4F3/EPHA7/NRCAM/PTPRO,9
