ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,65/954,441/17294,3.32319840431614e-13,1.77458794790482e-10,1.6126257519892e-10,PDE4B/SRGAP2/CHRM3/SLC8A1/ACTR2/LRRTM4/CTNNA2/ITPR1/GRM7/GABRR3/GAP43/NLGN1/KCTD8/GABRB1/GRID2/PDLIM5/PPP3CA/GLRB/GRIA2/GLRA3/GPM6A/KCNN2/SPOCK1/KCTD16/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/DTNBP1/GABRR2/EPHA7/GRIK2/MAGI2/GRM3/CTTNBP2/KCND2/BAALC/ASAP1/MPDZ/GRIN3A/ANK3/GRID1/SORCS3/LRRC4C/DLG2/GRIA4/ARHGAP32/GRIN2B/PTPRO/EPS8/ATP2B1/ANKS1B/DCLK1/GABRB3/GABRG3/ASIC2/DLGAP1/EPB41L3/PLCB4/SNAP25/APP/FRMPD4/CNKSR2/GRIA3,65
GO_CC,GO:0097060,synaptic membrane,51/954,308/17294,1.49806832082282e-12,3.99984241659694e-10,3.63478682052275e-10,SRGAP2/CHRM3/SLC8A1/NRXN1/LRRTM4/GRM7/GABRR3/NLGN1/KCTD8/GABRB1/GRID2/PDLIM5/GLRB/GRIA2/GLRA3/SNCAIP/KCTD16/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/DTNBP1/RIMS1/GABRR2/EPHA7/GRIK2/GRM3/KCND2/GRM8/BAALC/RIMS2/MPDZ/GRIN3A/GAD2/ANK3/GRID1/LRRC4C/DLG2/GRIA4/ARHGAP32/GRIN2B/ATP2B1/ANKS1B/GABRB3/GABRG3/DLGAP1/SNAP25/FLRT3/CNKSR2/GRIA3,51
GO_CC,GO:0045211,postsynaptic membrane,42/954,237/17294,1.53795200689302e-11,2.57521961875509e-09,2.34018577616026e-09,SRGAP2/CHRM3/SLC8A1/LRRTM4/GRM7/GABRR3/NLGN1/KCTD8/GABRB1/GRID2/PDLIM5/GLRB/GRIA2/GLRA3/KCTD16/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/DTNBP1/GABRR2/EPHA7/GRIK2/GRM3/KCND2/BAALC/MPDZ/GRIN3A/ANK3/GRID1/LRRC4C/DLG2/GRIA4/ARHGAP32/GRIN2B/ANKS1B/GABRB3/GABRG3/DLGAP1/CNKSR2/GRIA3,42
GO_CC,GO:0034702,ion channel complex,47/954,288/17294,1.92900345974164e-11,2.57521961875509e-09,2.34018577616026e-09,PDE4B/OLFM3/CACNA1E/KCNT2/RYR2/DPP10/KCNJ3/SCN2A/SCN9A/CACNA1D/GABRR3/NLGN1/KCNMB2/KCNIP4/GABRB1/GRID2/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/TRDN/CFTR/KCND2/CNTNAP2/DPP6/KCNB2/GRIN3A/CACNB2/MICU1/DLG2/GRIA4/GRIN2B/EPS8/BEST3/GABRB3/GABRG3/SNAP25/KCNE1/TRPC5/GRIA3,47
GO_CC,GO:1902495,transmembrane transporter complex,47/954,312/17294,3.19737068354942e-10,3.41479189003078e-08,3.10313238971849e-08,PDE4B/OLFM3/CACNA1E/KCNT2/RYR2/DPP10/KCNJ3/SCN2A/SCN9A/CACNA1D/GABRR3/NLGN1/KCNMB2/KCNIP4/GABRB1/GRID2/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/TRDN/CFTR/KCND2/CNTNAP2/DPP6/KCNB2/GRIN3A/CACNB2/MICU1/DLG2/GRIA4/GRIN2B/EPS8/BEST3/GABRB3/GABRG3/SNAP25/KCNE1/TRPC5/GRIA3,47
GO_CC,GO:1990351,transporter complex,47/954,320/17294,7.55956193117888e-10,6.7280101187492e-08,6.11396149170783e-08,PDE4B/OLFM3/CACNA1E/KCNT2/RYR2/DPP10/KCNJ3/SCN2A/SCN9A/CACNA1D/GABRR3/NLGN1/KCNMB2/KCNIP4/GABRB1/GRID2/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/TRDN/CFTR/KCND2/CNTNAP2/DPP6/KCNB2/GRIN3A/CACNB2/MICU1/DLG2/GRIA4/GRIN2B/EPS8/BEST3/GABRB3/GABRG3/SNAP25/KCNE1/TRPC5/GRIA3,47
GO_CC,GO:0043235,receptor complex,48/954,370/17294,3.01567782127154e-08,2.16095369280004e-06,1.96372886335663e-06,LEPR/OLFM3/NOTCH2/LRP1B/LRP2/ERBB4/GRM7/EPHA6/GABRR3/ALCAM/TRAT1/EPHB1/NLGN1/KCTD8/GABRB1/KIT/EPHA5/GRID2/BMPR1B/MTTP/GRIA2/MTNR1A/GHR/KCTD16/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/EPHA7/GRIK2/LMTK2/MET/GRIN3A/DLG2/GRIA4/GRIN2B/EPS8/ITPR2/PTPRB/SLITRK5/TSHR/GABRB3/GABRG3/NTRK3/IGF1R/APP/GRIA3,48
GO_CC,GO:0032279,asymmetric synapse,35/954,227/17294,3.23738380943826e-08,2.16095369280004e-06,1.96372886335663e-06,PDE4B/SRGAP2/CHRM3/ACTR2/CTNNA2/ITPR1/GRM7/GAP43/NLGN1/GRID2/PDLIM5/GRIA2/SPOCK1/DTNBP1/GRIK2/MAGI2/GRM3/KCND2/BAALC/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRIA4/ARHGAP32/GRIN2B/EPS8/ANKS1B/DCLK1/DLGAP1/EPB41L3/PLCB4/CNKSR2/GRIA3,35
GO_CC,GO:0098984,neuron to neuron synapse,35/954,230/17294,4.54018446711538e-08,2.69384278382179e-06,2.44798250215227e-06,PDE4B/SRGAP2/CHRM3/ACTR2/CTNNA2/ITPR1/GRM7/GAP43/NLGN1/GRID2/PDLIM5/GRIA2/SPOCK1/DTNBP1/GRIK2/MAGI2/GRM3/KCND2/BAALC/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRIA4/ARHGAP32/GRIN2B/EPS8/ANKS1B/DCLK1/DLGAP1/EPB41L3/PLCB4/CNKSR2/GRIA3,35
GO_CC,GO:0034703,cation channel complex,33/954,211/17294,5.62216218141879e-08,3.00223460487763e-06,2.72822817435164e-06,PDE4B/OLFM3/CACNA1E/KCNT2/RYR2/DPP10/KCNJ3/SCN2A/SCN9A/CACNA1D/NLGN1/KCNMB2/KCNIP4/GRIA2/HCN1/PDE4D/GRIK2/TRDN/KCND2/CNTNAP2/DPP6/KCNB2/GRIN3A/CACNB2/MICU1/DLG2/GRIA4/GRIN2B/EPS8/SNAP25/KCNE1/TRPC5/GRIA3,33
GO_CC,GO:0014069,postsynaptic density,33/954,222/17294,1.92563901281831e-07,9.34810211677253e-06,8.4949242575047e-06,PDE4B/SRGAP2/ACTR2/CTNNA2/ITPR1/GAP43/NLGN1/GRID2/PDLIM5/GRIA2/SPOCK1/DTNBP1/GRIK2/MAGI2/GRM3/KCND2/BAALC/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRIA4/ARHGAP32/GRIN2B/EPS8/ANKS1B/DCLK1/DLGAP1/EPB41L3/PLCB4/CNKSR2/GRIA3,33
GO_CC,GO:0099572,postsynaptic specialization,33/954,224/17294,2.38366245566226e-07,1.04680976771733e-05,9.51270062916789e-06,PDE4B/SRGAP2/ACTR2/CTNNA2/ITPR1/GAP43/NLGN1/GRID2/PDLIM5/GRIA2/SPOCK1/DTNBP1/GRIK2/MAGI2/GRM3/KCND2/BAALC/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRIA4/ARHGAP32/GRIN2B/EPS8/ANKS1B/DCLK1/DLGAP1/EPB41L3/PLCB4/CNKSR2/GRIA3,33
