ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0015276,ligand-gated ion channel activity,31/887,146/16386,4.06574591805777e-11,1.20975069512858e-08,1.08392449500869e-08,RYR2/KCNJ3/ITPR1/GABRR3/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/HCN1/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/JPH1/NCALD/GRIN3A/GRID1/GRIA4/GRIN2B/ITPR2/GABRB3/GABRG3/KCNJ12/KCNJ18/ASIC2/GRIA3,31
GO_MF,GO:0022834,ligand-gated channel activity,31/887,146/16386,4.06574591805777e-11,1.20975069512858e-08,1.08392449500869e-08,RYR2/KCNJ3/ITPR1/GABRR3/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/HCN1/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/JPH1/NCALD/GRIN3A/GRID1/GRIA4/GRIN2B/ITPR2/GABRB3/GABRG3/KCNJ12/KCNJ18/ASIC2/GRIA3,31
GO_MF,GO:0022839,ion gated channel activity,50/887,332/16386,4.32053819688778e-11,1.20975069512858e-08,1.08392449500869e-08,CACNA1E/KCNT2/RYR2/KCNJ3/KCNH7/SCN2A/SCN9A/ITPR1/KCNH8/CACNA1D/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/HCN1/KCNN2/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/KCND2/KCNB2/JPH1/NCALD/TRPM3/GRIN3A/CACNB2/GRID1/ANO5/ANO3/GRIA4/GRIN2B/ITPR2/FAM155A/GABRB3/GABRG3/KCNJ12/KCNJ18/ASIC2/KCNE1/CLCN4/GRIA3,50
GO_MF,GO:0022836,gated channel activity,50/887,335/16386,6.01261185602321e-11,1.26264848976487e-08,1.1313203886991e-08,CACNA1E/KCNT2/RYR2/KCNJ3/KCNH7/SCN2A/SCN9A/ITPR1/KCNH8/CACNA1D/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/HCN1/KCNN2/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/KCND2/KCNB2/JPH1/NCALD/TRPM3/GRIN3A/CACNB2/GRID1/ANO5/ANO3/GRIA4/GRIN2B/ITPR2/FAM155A/GABRB3/GABRG3/KCNJ12/KCNJ18/ASIC2/KCNE1/CLCN4/GRIA3,50
GO_MF,GO:0005216,ion channel activity,55/887,416/16386,7.16937364567512e-10,1.20445477247342e-07,1.07917940140162e-07,CACNA1E/KCNT2/RYR2/KCNJ3/KCNH7/SCN2A/SCN9A/ITPR1/KCNH8/CACNA1D/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/GPM6A/HCN1/KCNN2/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/KCND2/KCNB2/JPH1/NCALD/SLC24A2/TRPM3/GRIN3A/CACNB2/GRID1/ANO5/ANO3/GRIA4/GRIN2B/ITPR2/BEST3/FAM155A/GABRB3/GABRG3/KCNJ12/KCNJ18/ASIC2/LOXHD1/KCNE1/CLCN4/TRPC5/GRIA3,55
GO_MF,GO:0022838,substrate-specific channel activity,55/887,429/16386,2.23024500803776e-09,3.12234301125287e-07,2.79758803639824e-07,CACNA1E/KCNT2/RYR2/KCNJ3/KCNH7/SCN2A/SCN9A/ITPR1/KCNH8/CACNA1D/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/GPM6A/HCN1/KCNN2/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/KCND2/KCNB2/JPH1/NCALD/SLC24A2/TRPM3/GRIN3A/CACNB2/GRID1/ANO5/ANO3/GRIA4/GRIN2B/ITPR2/BEST3/FAM155A/GABRB3/GABRG3/KCNJ12/KCNJ18/ASIC2/LOXHD1/KCNE1/CLCN4/TRPC5/GRIA3,55
GO_MF,GO:0015267,channel activity,56/887,455/16386,7.07035479148755e-09,8.03422001503574e-07,7.19858058991298e-07,CACNA1E/KCNT2/RYR2/KCNJ3/KCNH7/SCN2A/SCN9A/ITPR1/KCNH8/CACNA1D/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/GPM6A/HCN1/KCNN2/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/KCND2/KCNB2/JPH1/NCALD/SLC24A2/TRPM3/GRIN3A/CACNB2/GRID1/ANO5/ANO3/GRIA4/GRIN2B/ITPR2/BEST3/FAM155A/GABRB3/GABRG3/GJD2/KCNJ12/KCNJ18/ASIC2/LOXHD1/KCNE1/CLCN4/TRPC5/GRIA3,56
GO_MF,GO:0022803,passive transmembrane transporter activity,56/887,456/16386,7.65163810955785e-09,8.03422001503574e-07,7.19858058991298e-07,CACNA1E/KCNT2/RYR2/KCNJ3/KCNH7/SCN2A/SCN9A/ITPR1/KCNH8/CACNA1D/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/GPM6A/HCN1/KCNN2/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/CFTR/KCND2/KCNB2/JPH1/NCALD/SLC24A2/TRPM3/GRIN3A/CACNB2/GRID1/ANO5/ANO3/GRIA4/GRIN2B/ITPR2/BEST3/FAM155A/GABRB3/GABRG3/GJD2/KCNJ12/KCNJ18/ASIC2/LOXHD1/KCNE1/CLCN4/TRPC5/GRIA3,56
GO_MF,GO:0005230,extracellular ligand-gated ion channel activity,19/887,75/16386,1.14626168751338e-08,1.06984424167915e-06,9.58569715288965e-07,GABRR3/GABRB1/GRID2/GLRB/GRIA2/GLRA3/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GRIK2/GRIN3A/GRID1/GRIA4/GRIN2B/GABRB3/GABRG3/GRIA3,19
GO_MF,GO:0008066,glutamate receptor activity,11/887,27/16386,6.44238671498615e-08,5.41160484058837e-06,4.84874368548958e-06,GRM7/GRID2/GRIA2/GRIK2/GRM3/GRM8/GRIN3A/GRID1/GRIA4/GRIN2B/GRIA3,11
GO_MF,GO:0004890,GABA-A receptor activity,9/887,19/16386,2.16563556222378e-07,1.3913894196501e-05,1.24667097124038e-05,GABRR3/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GABRB3/GABRG3,9
GO_MF,GO:0099095,ligand-gated anion channel activity,9/887,19/16386,2.16563556222378e-07,1.3913894196501e-05,1.24667097124038e-05,GABRB1/GLRB/GLRA3/GABRA6/GABRA1/GABRG2/CFTR/GABRB3/GABRG3,9
GO_MF,GO:0022824,transmitter-gated ion channel activity,15/887,57/16386,2.3189823660835e-07,1.3913894196501e-05,1.24667097124038e-05,GABRB1/GRID2/GRIA2/GLRA3/GABRA6/GABRA1/GABRG2/GRIK2/GRIN3A/GRID1/GRIA4/GRIN2B/GABRB3/GABRG3/GRIA3,15
GO_MF,GO:0022835,transmitter-gated channel activity,15/887,57/16386,2.3189823660835e-07,1.3913894196501e-05,1.24667097124038e-05,GABRB1/GRID2/GRIA2/GLRA3/GABRA6/GABRA1/GABRG2/GRIK2/GRIN3A/GRID1/GRIA4/GRIN2B/GABRB3/GABRG3/GRIA3,15
GO_MF,GO:0016917,GABA receptor activity,9/887,22/16386,1.00613149148885e-06,5.63433635233756e-05,5.04830888711949e-05,GABRR3/GABRB1/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/GABRB3/GABRG3,9
GO_MF,GO:0004970,ionotropic glutamate receptor activity,8/887,19/16386,3.1637385585262e-06,0.000156325905244824,0.000140066443922367,GRID2/GRIA2/GRIK2/GRIN3A/GRID1/GRIA4/GRIN2B/GRIA3,8
GO_MF,GO:0005234,extracellularly glutamate-gated ion channel activity,8/887,19/16386,3.1637385585262e-06,0.000156325905244824,0.000140066443922367,GRID2/GRIA2/GRIK2/GRIN3A/GRID1/GRIA4/GRIN2B/GRIA3,8
GO_MF,GO:0005254,chloride channel activity,16/887,82/16386,6.83277347333196e-06,0.000318862762088825,0.000285697838212418,GABRR3/GABRB1/GLRB/GLRA3/GABRB2/GABRA6/GABRA1/GABRG2/GABRR2/CFTR/ANO5/ANO3/BEST3/GABRB3/GABRG3/CLCN4,16
