ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KEGG,hsa05033,Nicotine addiction,14/428,40/7678,1.38353448013698e-08,4.01224999239725e-06,3.43699091907714e-06,2554/2559/2560/2561/2562/2566/2567/2570/200959/2891/2892/2893/2904/116443,14
KEGG,hsa04723,Retrograde endocannabinoid signaling,25/428,139/7678,1.48249128095716e-07,1.6350494372927e-05,1.40062311143766e-05,108/114/776/2554/2559/2560/2561/2562/2566/2567/2570/200959/2776/2891/2892/2893/3708/3709/3760/5599/23236/5332/5567/5579/22999,25
KEGG,hsa04724,Glutamatergic synapse,22/428,112/7678,1.69143045237176e-07,1.6350494372927e-05,1.40062311143766e-05,108/114/776/9229/2776/2891/2892/2893/2898/2904/116443/2913/2917/2918/3708/3709/3760/23236/5332/5530/5567/5579,22
KEGG,hsa04713,Circadian entrainment,19/428,95/7678,8.8800520486519e-07,6.43803773527263e-05,5.51497969337329e-05,108/114/776/2776/2891/2892/2893/2904/2977/3708/3760/4543/23236/5332/5567/5579/5592/5593/6262,19
KEGG,hsa04970,Salivary secretion,18/428,89/7678,1.45368044219607e-06,8.43134656473718e-05,7.22249651280571e-05,108/114/147/490/952/1131/2776/2977/3708/3709/23236/5332/5542/653247/5567/5579/5592/5593,18
KEGG,hsa05032,Morphine addiction,17/428,89/7678,6.46971954204697e-06,0.000312703111198937,0.000267869089811067,108/114/2554/2559/2560/2561/2562/2566/2567/2570/200959/3760/50940/5142/5144/5567/5579,17
KEGG,hsa04730,Long-term depression,13/428,57/7678,1.07663647510051e-05,0.00044603511111307,0.000382084523494317,2776/2891/2892/2895/2977/3480/3708/3709/23236/5332/5579/5592/5593,13
KEGG,hsa04080,Neuroactive ligand-receptor interaction,38/428,337/7678,2.20540121589344e-05,0.000799457940761371,0.000684835114409015,147/796/1131/2554/2559/2560/2561/2562/2566/2567/2570/200959/2690/8001/2743/2891/2892/2893/2894/2895/2898/2904/116443/2913/2917/2918/3062/3953/23566/4160/4543/10886/5540/56288/5340/5733/59350/7253,38
KEGG,hsa04720,Long-term potentiation,13/428,66/7678,5.67847205667231e-05,0.00182972988492774,0.00156739111739727,114/814/2776/2891/2904/3708/3709/23236/5332/5530/5567/5579/27330,13
KEGG,hsa04921,Oxytocin signaling pathway,21/428,151/7678,8.81351412724128e-05,0.00255591909689997,0.00218946245687257,108/114/776/783/814/952/2776/2977/3708/3709/3768/100134444/3760/4773/23236/5332/4659/5530/5567/5579/6262,21
KEGG,hsa04727,GABAergic synapse,15/428,89/7678,0.000103288124994743,0.00272305056804323,0.0023326313395942,108/114/776/2554/2559/2560/2561/2562/2566/2567/2570/200959/2572/5567/5579,15
KEGG,hsa04726,Serotonergic synapse,17/428,111/7678,0.000125017772521707,0.00302126283594125,0.00258808722062481,351/776/2560/2561/2562/2776/3708/3709/3751/3760/3781/4129/23236/5332/5567/5579/121278,17
KEGG,hsa04020,Calcium signaling pathway,24/428,194/7678,0.000184273440579775,0.00411071521293344,0.00352133862160541,108/114/147/490/776/777/814/952/1131/2066/2776/3708/3709/23236/5332/5530/5567/5579/5733/6262/83447/6546/6786/10345,24
KEGG,hsa04540,Gap junction,14/428,85/7678,0.000224908768296449,0.00465882448614073,0.00399086235473398,108/114/57369/2776/2977/3708/3709/56034/23236/5332/5567/5579/5592/5593,14
KEGG,hsa04911,Insulin secretion,14/428,86/7678,0.000255269210106103,0.00484286176762599,0.00414851316573406,108/114/776/1131/2776/10242/3781/23236/5332/5567/5579/9699/6262/6616,14
KEGG,hsa04728,Dopaminergic synapse,18/428,129/7678,0.000267192373386262,0.00484286176762599,0.00414851316573406,776/2776/2891/2892/2893/2904/3708/3709/3760/3800/4129/5599/23236/5332/5521/5530/5567/5579,18
KEGG,hsa04972,Pancreatic secretion,15/428,102/7678,0.00048512755526773,0.00827570535456716,0.00708917046707024,108/114/490/952/1080/1131/2776/3708/3709/23236/5332/5579/5874/6262/8671,15
KEGG,hsa04929,GnRH secretion,11/428,63/7678,0.000628717221476995,0.0101293330126849,0.00867703299816204,776/2776/348980/3708/3709/3760/3781/23236/5332/5579/7224,11
KEGG,hsa04022,cGMP-PKG signaling pathway,20/428,163/7678,0.000696112148040832,0.0106248696279916,0.00910152171399647,108/114/147/490/776/2776/2977/3708/3709/10242/4773/8654/23236/5332/4659/5530/5592/5593/83447/6546,20
KEGG,hsa04918,Thyroid hormone synthesis,12/428,75/7678,0.000817392275718519,0.0118521879979185,0.0101528724773458,108/114/2776/3708/3709/4036/23236/5332/5567/5579/7038/7253,12
KEGG,hsa04360,Axon guidance,21/428,178/7678,0.00086774772539702,0.0119831828745303,0.0102650858743708,658/1630/1946/2044/285220/2045/2047/57689/4233/4756/4773/22854/56288/5530/6091/9037/57556/9353/23380/7224/137970,21
KEGG,hsa04270,Vascular smooth muscle contraction,17/428,133/7678,0.00109060811292422,0.0143761978521829,0.0123150007009625,108/114/147/776/796/800/2776/2977/3708/3709/10242/23236/5332/4659/5567/5579/5592,17
KEGG,hsa04725,Cholinergic synapse,15/428,112/7678,0.00131001052729141,0.0165175240397613,0.0141493127890514,108/114/776/814/1131/2776/3708/3709/3768/100134444/3760/23236/5332/5567/5579,15
KEGG,hsa05031,Amphetamine addiction,11/428,69/7678,0.00137788360634506,0.0166494269100028,0.0142623039955015,776/814/2891/2892/2893/2904/116443/4129/5530/5567/5579,11
KEGG,hsa04928,Parathyroid hormone synthesis  secretion and action,14/428,106/7678,0.00214822431510965,0.0240014190321431,0.0205601992435055,108/114/11214/2776/3708/3709/4325/5142/5144/23236/5332/5567/5579/860,14
KEGG,hsa04015,Rap1 signaling pathway,22/428,204/7678,0.00215185136150249,0.0240014190321431,0.0205601992435055,108/114/1946/2247/2250/2776/2904/3480/3815/4254/23566/9863/5606/4233/56288/56034/23236/5332/5579/23683/9771/10451,22
KEGG,hsa04750,Inflammatory mediator regulation of TRP channels,13/428,98/7678,0.0029402389799583,0.0304524751495681,0.02608633079963,108/114/40/51802/2776/3708/3709/5606/5599/23236/5332/5567/5579,13
KEGG,hsa04925,Aldosterone synthesis and secretion,13/428,98/7678,0.0029402389799583,0.0304524751495681,0.02608633079963,108/114/490/776/814/2776/3708/3709/23236/5332/5567/5579/23683,13
KEGG,hsa04971,Gastric acid secretion,11/428,76/7678,0.00304823409835565,0.0304823409835565,0.0261119145993442,108/114/1080/1131/2776/3708/3709/23236/5332/5567/5579,11
