GO_MF_terms,_PM_count_1;all_genes,_PM_count_1;_PM_count_HiC_all,_PM_count_2;_PM_count_1,_PM_count_3;_PM_count_1,_PM_count_4;_PM_count_1,_PM_count_5;_PM_count_1,_PM_count_grthan5;_PM_count_1
3' 5'-cyclic-AMP phosphodiesterase activity,NA,NA,NA,NA,0.0223066023107064,0.0156349353210009,NA
anion channel activity,NA,NA,NA,NA,NA,0.0311596418037243,NA
calcium activated cation channel activity,NA,NA,NA,NA,NA,0.0196200507222782,NA
calcium-activated potassium channel activity,NA,NA,NA,NA,NA,0.0465481905978796,NA
calcium-dependent phospholipid binding,NA,NA,NA,NA,NA,0.0465481905978796,NA
calmodulin binding,NA,NA,NA,NA,0.0145765866257605,NA,NA
cation channel activity,NA,NA,NA,NA,0.0117365124157664,0.00434347261415067,NA
cell adhesion mediator activity,NA,NA,NA,NA,0.0278841589063878,NA,NA
cell adhesion molecule binding,NA,NA,NA,NA,0.0475134642659328,NA,NA
channel activity,NA,NA,NA,NA,0.0264689430289153,0.000134791536378466,0.00527468901275899
chloride channel activity,NA,NA,NA,NA,NA,0.0311596418037243,NA
chloride transmembrane transporter activity,NA,NA,NA,NA,NA,0.0465481905978796,NA
excitatory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,NA,0.0294308112645307
extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,NA,0.0242987824820604
extracellularly glutamate-gated ion channel activity,NA,NA,NA,NA,NA,0.0156349353210009,0.00226969347419611
gated channel activity,NA,NA,NA,NA,0.0117365124157664,1.8476644759932e-05,0.00191572412560306
glutamate receptor activity,NA,NA,NA,NA,0.0138778800802727,7.39647690619159e-05,0.00226969347419611
inhibitory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,0.032605085795359,NA,NA
intracellular calcium activated chloride channel activity,NA,NA,NA,NA,NA,0.0465481905978796,NA
intracellular chloride channel activity,NA,NA,NA,NA,NA,0.0465481905978796,NA
ion channel activity,NA,NA,NA,NA,0.00889313979103566,7.39647690619159e-05,0.00453571895108965
ion gated channel activity,NA,NA,NA,NA,0.0138778800802727,1.8476644759932e-05,0.00191572412560306
ionotropic glutamate receptor activity,NA,NA,NA,NA,0.0239792703350467,0.0031269831472956,0.00226969347419611
ligand-gated anion channel activity,NA,NA,NA,NA,0.0239792703350467,0.0465481905978796,NA
ligand-gated channel activity,NA,NA,NA,NA,NA,0.0311596418037243,0.00919612796867468
ligand-gated ion channel activity,NA,NA,NA,NA,NA,0.0311596418037243,0.00919612796867468
MAP kinase kinase kinase activity,NA,NA,NA,NA,0.030264789614306,NA,NA
metal ion transmembrane transporter activity,NA,NA,NA,NA,0.00308149474517615,0.0490974167912875,NA
metalloendopeptidase activity,NA,NA,NA,NA,NA,0.0156349353210009,NA
metallopeptidase activity,NA,NA,NA,NA,NA,0.0156349353210009,NA
mRNA 3'-UTR binding,NA,NA,NA,NA,0.0223066023107064,NA,NA
neurotransmitter receptor activity,NA,NA,NA,NA,NA,NA,0.0298995393834719
outward rectifier potassium channel activity,NA,NA,NA,NA,0.0145765866257605,NA,NA
passive transmembrane transporter activity,NA,NA,NA,NA,0.0239792703350467,8.60284135389742e-05,0.00527468901275899
PDZ domain binding,NA,NA,NA,NA,0.0402925841805247,NA,NA
peptide hormone binding,NA,NA,NA,NA,0.0432085132440996,NA,NA
phosphatase activity,NA,NA,NA,0.00368014933335902,NA,NA,NA
phosphatidylinositol binding,NA,NA,NA,NA,0.0145765866257605,NA,NA
phospholipid binding,NA,NA,NA,NA,0.0320215869926793,NA,NA
phosphoric ester hydrolase activity,NA,NA,NA,0.00678111087812185,0.0343381853369982,NA,NA
polypeptide N-acetylgalactosaminyltransferase activity,NA,NA,NA,NA,NA,0.0465481905978796,NA
postsynaptic neurotransmitter receptor activity,NA,NA,NA,NA,NA,NA,0.0488587867158345
potassium channel activity,NA,NA,NA,NA,0.0313169693987211,NA,NA
potassium ion transmembrane transporter activity,NA,NA,NA,NA,0.032605085795359,NA,NA
protein serine/threonine kinase activity,NA,NA,NA,NA,0.000760694025933314,NA,NA
protein tyrosine phosphatase activity,NA,NA,NA,NA,0.0461889143131963,NA,NA
Ras guanyl-nucleotide exchange factor activity,NA,NA,NA,NA,0.0223066023107064,NA,NA
Rho GTPase binding,NA,NA,NA,NA,0.0223066023107064,NA,NA
Rho guanyl-nucleotide exchange factor activity,NA,NA,NA,NA,0.0278841589063878,NA,NA
signal transducer  downstream of receptor  with serine/threonine kinase activity,NA,NA,NA,NA,0.0350354922368242,NA,NA
SNARE binding,NA,NA,NA,NA,NA,0.0490974167912875,NA
substrate-specific channel activity,NA,NA,NA,NA,0.0117365124157664,7.39647690619159e-05,0.00525017949101649
syntaxin binding,NA,NA,NA,NA,NA,0.0311596418037243,NA
transmembrane receptor protein kinase activity,NA,NA,NA,NA,0.0145765866257605,NA,NA
transmembrane receptor protein phosphatase activity,NA,NA,NA,NA,0.032605085795359,NA,0.0476415579404538
transmembrane receptor protein tyrosine kinase activity,NA,NA,NA,NA,0.0457282976801865,NA,NA
transmembrane receptor protein tyrosine phosphatase activity,NA,NA,NA,NA,0.032605085795359,NA,0.0476415579404538
transmitter-gated channel activity,NA,NA,NA,NA,NA,0.0156349353210009,0.00496756060250487
transmitter-gated ion channel activity,NA,NA,NA,NA,NA,0.0156349353210009,0.00496756060250487
tubulin binding,NA,NA,NA,0.0157417167976141,NA,NA,NA
voltage-gated cation channel activity,NA,NA,NA,NA,0.0399954956837463,NA,NA
voltage-gated channel activity,NA,NA,NA,NA,0.0399954956837463,NA,NA
voltage-gated ion channel activity,NA,NA,NA,NA,0.0399954956837463,NA,NA
