KEGG_terms,_PM_count_1;all_genes,_PM_count_1;_PM_count_HiC_all,_PM_count_2;_PM_count_1,_PM_count_3;_PM_count_1,_PM_count_4;_PM_count_1,_PM_count_5;_PM_count_1,_PM_count_grthan5;_PM_count_1
Amphetamine addiction,NA,NA,NA,NA,0.038273392328253,NA,NA
Arrhythmogenic right ventricular cardiomyopathy (ARVC),NA,NA,NA,NA,0.0317019177481132,0.0270601389121678,NA
Axon guidance,NA,NA,NA,NA,NA,0.0168889372643151,NA
Butanoate metabolism,NA,NA,NA,NA,0.0372141490814582,NA,NA
Calcium signaling pathway,NA,NA,NA,NA,0.0043985262851985,NA,NA
cAMP signaling pathway,NA,NA,NA,NA,0.00753122820010915,0.0320992294557415,NA
cGMP-PKG signaling pathway,NA,NA,NA,NA,0.0236653186869474,NA,NA
Circadian entrainment,NA,NA,NA,NA,NA,0.0128785189476047,NA
Dilated cardiomyopathy (DCM),NA,NA,NA,NA,0.0360330194734097,NA,NA
Dopaminergic synapse,NA,NA,NA,NA,0.038273392328253,NA,NA
ECM-receptor interaction,NA,NA,NA,NA,NA,0.0227876012920872,NA
Gap junction,NA,NA,NA,NA,NA,0.0168889372643151,NA
Glutamatergic synapse,NA,NA,NA,NA,0.00753122820010915,0.0119306886886149,NA
GnRH signaling pathway,NA,NA,NA,NA,0.0477387460172051,NA,NA
Insulin secretion,NA,NA,NA,NA,NA,0.00563855048335807,NA
Long-term depression,NA,NA,NA,NA,NA,0.0270601389121678,NA
Long-term potentiation,NA,NA,NA,NA,NA,0.0304980537297745,NA
Melanogenesis,NA,NA,NA,NA,NA,0.0119306886886149,NA
Morphine addiction,NA,NA,NA,NA,0.0317019177481132,0.036485726491579,NA
Non-small cell lung cancer,NA,NA,NA,NA,NA,0.0304980537297745,NA
Other types of O-glycan biosynthesis,NA,NA,NA,NA,NA,0.0455195414629273,NA
Oxytocin signaling pathway,NA,NA,NA,NA,0.0441902615220033,NA,NA
Pancreatic secretion,NA,NA,NA,NA,NA,0.00563855048335807,NA
Phospholipase D signaling pathway,NA,NA,NA,NA,NA,0.0285587608206183,NA
Proteoglycans in cancer,NA,NA,NA,NA,0.00753122820010915,NA,NA
Renin secretion,NA,NA,NA,NA,4.39349118561461e-05,0.00563855048335807,NA
Salivary secretion,NA,NA,NA,NA,0.0207568119403437,0.036485726491579,NA
