ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0099568,cytoplasmic region,209/5735,443/17287,4.29282554196088e-10,3.10800569237967e-07,2.70673947329954e-07,KIF1B/CDC42/EPB41/GRIK3/CAP1/RIMS3/WDR78/WLS/FNBP1L/GPSM2/SPAG17/SPRR4/SPTA1/UHMK1/SELE/KIFAP3/HMCN1/CENPF/PSEN2/RHOU/ARV1/EXOC8/FMN2/FAM110C/DCDC2C/WDR35/RAB10/DRC1/SPAST/PLEKHH2/SPTBN1/WDPCP/ACTR2/DNAH6/RALB/GLI2/CLASP1/GYPC/RND3/ERMN/CYTIP/CD302/BBS5/GAD1/WIPF1/DNAH7/PARD3B/SPAG16/NCL/ATG16L1/TRAF3IP1/GRM7/ATG7/CLASP2/MOBP/MYRIP/CTNNB1/TRAK1/FLNB/ARL6/IFT57/PHLDB2/MAATS1/TMEM108/BFSP2/KCNAB1/CCDC39/FXR1/OPA1/MED28/EXOC1/SHROOM3/PKD2/BBS7/FGA/FGB/DNAH5/MYO10/RAI14/AP3B1/FER/SEPT8/NDFIP1/SPINK5/EXOC2/BLOC1S5/NEDD9/DTNBP1/CAP2/DCDC2/HFE/DNAH8/CLIC5/EFHC1/DST/RIMS1/MYO6/GRIK2/RSPH4A/SAMD3/EPB41L2/UTRN/AKAP12/OPRM1/IPCEF1/CNKSR3/EZR/SCIN/DNAH11/WIPF3/SEPT7/GLI3/GNAI1/GNAT3/PCLO/PPP1R9A/CAV1/CAPZA2/CTTNBP2/WASL/MKLN1/EXOC4/AKR1B1/CALD1/DLC1/NEFL/PTK2B/AP3M2/RP1/ASPH/RIMS2/SYBU/DNAI1/UNC13B/FRMPD1/GSN/FNBP1/AK8/TSC1/INPP5E/SPAG6/PARD3/RHOBTB1/RTKN2/AP3M1/EXOC6/ACTR1A/ADD3/FGFR2/STIM1/INSC/TRAF6/AMBRA1/NUMA1/DYNC2H1/RDX/ARHGAP32/EPS8/CAPZA3/GYS2/C2CD5/ITPR2/LRRK2/BIN2/BLOC1S1/RAB21/RIC8B/PXN/TRPC4/ARHGEF7/RPGRIP1/STXBP6/ARF6/FERMT2/EXOC5/HIF1A/RHOJ/PSEN1/SPATA7/ZC3H14/SPTBN5/UNC13C/NEDD4/MYZAP/POLR2M/ANXA2/CIB2/AKAP13/RPGRIP1L/HYDIN/DYNLRB2/GAS8/DNAH9/MAP2K4/NOS2/KRT19/HAP1/SEPT4/DNAI2/SPIRE1/CDH2/PIK3C3/MYO5B/DSTN/BFSP1/ABHD12/PARD6B/CTSZ/MICAL3,209
GO_CC,GO:0005938,cell cortex,139/5735,284/17287,2.18680645947968e-08,7.91623938331645e-06,6.89419510120174e-06,CDC42/EPB41/CAP1/RIMS3/FNBP1L/GPSM2/SPRR4/SPTA1/SELE/HMCN1/PSEN2/RHOU/ARV1/EXOC8/FMN2/FAM110C/DCDC2C/RAB10/PLEKHH2/SPTBN1/WDPCP/ACTR2/RALB/CLASP1/GYPC/RND3/ERMN/CYTIP/CD302/GAD1/WIPF1/PARD3B/NCL/GRM7/CLASP2/MOBP/MYRIP/CTNNB1/FLNB/PHLDB2/BFSP2/MED28/EXOC1/SHROOM3/PKD2/FGA/FGB/MYO10/RAI14/FER/SEPT8/NDFIP1/SPINK5/EXOC2/NEDD9/CAP2/DCDC2/HFE/CLIC5/DST/RIMS1/MYO6/SAMD3/EPB41L2/UTRN/AKAP12/IPCEF1/CNKSR3/EZR/SCIN/WIPF3/SEPT7/GNAI1/PCLO/PPP1R9A/CAV1/CAPZA2/CTTNBP2/WASL/MKLN1/EXOC4/CALD1/DLC1/PTK2B/ASPH/RIMS2/UNC13B/FRMPD1/GSN/FNBP1/TSC1/PARD3/RHOBTB1/RTKN2/EXOC6/ACTR1A/ADD3/FGFR2/STIM1/INSC/TRAF6/NUMA1/RDX/ARHGAP32/EPS8/CAPZA3/GYS2/C2CD5/ITPR2/BIN2/RIC8B/PXN/TRPC4/ARHGEF7/STXBP6/ARF6/FERMT2/EXOC5/RHOJ/PSEN1/SPTBN5/UNC13C/NEDD4/MYZAP/POLR2M/ANXA2/CIB2/AKAP13/NOS2/KRT19/SEPT4/SPIRE1/CDH2/MYO5B/DSTN/BFSP1/PARD6B/CTSZ/MICAL3,139
GO_CC,GO:0034703,cation channel complex,108/5735,211/17287,4.29887133444717e-08,1.03746094871325e-05,9.03517168187317e-06,GRIK3/PDE4B/OLFM3/KCNA10/KCNA2/KCNA3/KCND3/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/CALM2/DPP10/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/VWC2L/SCN5A/SACM1L/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/CAMK2D/GRIA2/HCN1/PDE4D/GRIA1/KCNIP1/KCNMB1/KCNQ5/GRIK2/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNQ3/GRIN3A/KCNT1/CACNB2/MICU1/MCU/KCNMA1/ABCC8/KCNC1/KCNA4/LRRC55/DLG2/GRIA4/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/GRIN2B/EPS8/KCNJ8/ABCC9/CACNB3/SCN8A/KCNC2/NOS1/MICU2/TRPC4/AKAP6/CATSPERB/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/SHISA6/CACNG1/KCNJ16/KCNJ2/CACNA1A/KCNN4/SHANK1/FKBP1A/SNAP25/ABHD12/GRIK1/KCNE1/CACNG2/CACNA1I/KCND1/GRIA3,108
GO_CC,GO:0031252,cell leading edge,168/5735,369/17287,4.20751249496093e-07,6.33728678439903e-05,5.51909680700061e-05,CDC42/WLS/SSX2IP/PKN2/KCNA2/SCYL3/SRGAP2/KCNH1/USH2A/CDC42BPA/ARF1/ACTA1/EXOC8/SH3YL1/ITGB1BP1/ADAM17/PLEKHH2/SPTBN1/CCDC88A/ACTR2/PLEK/AAK1/DYSF/CTNNA2/ARHGEF4/DPP4/KLHL41/WIPF1/NCKAP1/ITGAV/ALS2/RAPH1/ABI2/FGD5/RAB5A/CLASP2/CTNNB1/FRMD4B/ROBO2/PHLDB2/ARHGAP31/MYLK/PLXND1/CLRN1/ARHGEF26/PRKCI/LDB2/APBB2/GABRG1/GABRA2/PTPN13/PKD2/TACR3/KLHL2/PALLD/SORBS2/FAT1/MYO10/IQGAP2/RASA1/FER/APC/MCC/SNX2/DIAPH1/SPRY4/DPYSL3/GRIA1/GABRA6/GABRA1/GABRG2/NEDD9/DST/MYO6/WASF1/PTPRK/OPRM1/TIAM2/SNX9/EZR/AMPH/CDK6/SGCE/PPP1R9A/WASL/MKLN1/CNTNAP2/DLC1/PSD3/PTK2B/NRG1/SNTG1/STMN2/MTSS1/DOCK8/KANK1/TLN1/BSPRY/GSN/TSC1/INPP5E/ITGA8/VIM/ITGB1/CTNNA3/IFIT5/LDB1/SLK/ABLIM1/PLEKHA1/SWAP70/KCNC1/KIF18A/PTPRJ/CTNND1/STX3/AMOTL1/RDX/LAYN/PTPRO/EPS8/C2CD5/FGD4/TWF1/DDN/ITGA5/RAB3IP/KCNC2/KITLG/ATP2B1/FGD6/TESC/PXN/SPATA13/WASF3/LCP1/ARHGEF7/AJUBA/ARF6/FERMT2/ACTN1/GABRA5/GABRG3/ANXA2/TLN2/TPM1/SNX1/PSTPIP1/CIB1/IQGAP1/SHISA9/SHISA6/ARHGAP44/MYO1D/BCAS3/EPB41L3/PTPRM/ROCK1/CDH2/FERMT1/LAMP5/SNX5/SAMSN1/APP/TIAM1/ITSN1/ATF4/PACSIN2,168
GO_CC,GO:0034702,ion channel complex,136/5735,288/17287,4.37657927099381e-07,6.33728678439903e-05,5.51909680700061e-05,GRIK3/PDE4B/LRRC8C/LRRC8D/OLFM3/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/CALM2/DPP10/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/VWC2L/SCN5A/SACM1L/SLC26A6/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/CLIC5/KCNQ5/GRIK2/TRDN/TTYH3/VWC2/CACNA2D1/CFTR/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNQ3/GRIN3A/KCNT1/CACNB2/MICU1/MCU/KCNMA1/ABCC8/KCNC1/KCNA4/LRRC55/DLG2/GRIA4/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/CACNB3/SCN8A/BEST3/KCNC2/NOS1/MICU2/TRPC4/AKAP6/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/CHRNB1/SHISA6/CACNG1/KCNJ16/KCNJ2/CACNA1A/KCNN4/SHANK1/FKBP1A/SNAP25/ABHD12/GRIK1/KCNE1/CLIC6/CACNG2/CACNA1I/GLRA2/KCND1/GRIA3,136
GO_CC,GO:1902495,transmembrane transporter complex,145/5735,312/17287,5.98868580734674e-07,7.15433197393057e-05,6.23065549925038e-05,GRIK3/PDE4B/LRRC8C/LRRC8D/OLFM3/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/ATP1A1/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/ABCG5/ABCG8/CALM2/CNGA3/DPP10/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/VWC2L/ABCB6/SCN5A/SACM1L/SLC26A6/CACNA1D/GABRR3/ATP1B3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/CLIC5/KCNQ5/GRIK2/PLN/TRDN/TTYH3/VWC2/CACNA2D1/CFTR/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/CNGB3/KCNQ3/GRIN3A/KCNT1/CACNB2/MICU1/MCU/KCNMA1/ABCC8/KCNC1/KCNA4/LRRC55/DLG2/GRIA4/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/CACNB3/SCN8A/BEST3/KCNC2/NOS1/MICU2/ATP12A/TRPC4/AKAP6/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/CHRNB1/SHISA6/CACNG1/KCNJ16/KCNJ2/CACNA1A/KCNN4/SHANK1/FKBP1A/SNAP25/ABHD12/GRIK1/KCNE1/CLIC6/CACNG2/CACNA1I/GLRA2/KCND1/GRIA3,145
GO_CC,GO:0042383,sarcolemma,69/5735,127/17287,6.91717179799917e-07,7.15433197393057e-05,6.23065549925038e-05,KCND3/ATP1A1/CASQ1/NOS1AP/CACNA1S/ATP2B4/RYR2/SNTG2/SLC8A1/PPP3R1/DYSF/KCNJ3/SCN2A/SCN1A/CAV3/STAC/SCN5A/CACNA1D/POPDC2/SGCB/STBD1/PPP3CA/ANK2/CAMK2D/SLC27A6/MYOT/SGCD/DTNBP1/MLIP/BVES/LAMA2/UTRN/OPRM1/EZR/AQP1/CACNA2D1/SGCE/CAV2/CAV1/SGCZ/ADRA1A/SNTB1/PGM5/ANXA1/CACNB2/ITGB1/ANK3/VCL/ABCC8/RDX/CACNA1C/KCNJ8/ABCC9/SSPN/SLC38A2/CACNB3/NOS1/AKAP6/SLC8A3/RYR3/ANXA2/CIB2/CIB1/SYNM/KRT19/KCNJ2/CDH2/DTNA/DMD,69
GO_CC,GO:1990351,transporter complex,147/5735,320/17287,1.16033307899715e-06,0.000105010143649242,9.14525676735913e-05,GRIK3/PDE4B/LRRC8C/LRRC8D/OLFM3/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/ATP1A1/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNG3/ABCG5/ABCG8/CALM2/CNGA3/DPP10/KCNJ3/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/VWC2L/ABCB6/SCN5A/SACM1L/SLC26A6/CACNA1D/GABRR3/ATP1B3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/CLIC5/KCNQ5/GRIK2/PLN/TRDN/TTYH3/VWC2/CACNA2D1/CFTR/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/CNGB3/KCNQ3/GRIN3A/KCNT1/CACNB2/MICU1/MCU/KCNMA1/ABCC8/KCNC1/KCNA4/LRRC55/TIMM10/DLG2/GRIA4/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/ANO6/CACNB3/SCN8A/BEST3/KCNC2/NOS1/MICU2/ATP12A/TRPC4/AKAP6/TIMM9/CATSPERB/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/SHISA9/CACNG3/PKD1L3/CHRNB1/SHISA6/CACNG1/KCNJ16/KCNJ2/CACNA1A/KCNN4/SHANK1/FKBP1A/SNAP25/ABHD12/GRIK1/KCNE1/CLIC6/CACNG2/CACNA1I/GLRA2/KCND1/GRIA3,147
GO_CC,GO:0098794,postsynapse,191/5735,441/17287,4.45695985941968e-06,0.000358537659802205,0.000312247831086829,CDC42/EPB41/GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/CNN3/PALMD/ATP1A1/DNM3/SRGAP2/KCNH1/CNIH3/ARF1/DISC1/CHRM3/STRN/SOS1/SLC8A1/SPTBN1/BCL11A/ACTR2/LRRTM4/CTNNA2/NCK2/PKP4/TANC1/ZNF804A/MOB4/ALS2/MAP2/DOCK10/ITPR1/GRM7/ATP2B2/RAB5A/GABRR3/GAP43/GSK3B/KALRN/TMEM108/CLSTN2/NLGN1/FXR1/KCTD8/GABRG1/GABRA2/GABRB1/GRID2/PDLIM5/PPP3CA/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH9/DROSHA/F2R/MEF2C/PJA2/KCNN2/SPOCK1/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/CPEB4/DTNBP1/CAP2/EPHA7/GRIK2/FYN/LAMA2/UTRN/SYNE1/OPRM1/MAGI2/PCLO/GRM3/PPP1R9A/PRKAR2B/CTTNBP2/KCND2/CADPS2/CHRM2/DGKI/PSD3/PTK2B/KCNU1/LYN/BAALC/ASAP1/MPDZ/APBA1/NTRK2/PTCH1/GABBR2/GRIN3A/MUSK/STXBP1/ITGA8/ITGB1/ANK3/LRRTM3/COL13A1/KCNMA1/DLG5/GRID1/ATAD1/PTEN/SORCS3/ADD3/LIN7C/KCNA4/LRRC4C/CTNND1/STX3/DLG2/PICALM/GRM5/MTMR2/GRIA4/CRYAB/GRIK4/ARHGAP32/IGSF9B/CACNA1C/GRIN2B/PTPRO/EPS8/SSPN/LRRK2/DDN/NPFF/KCNC2/ATP2B1/ANKS1B/NOS1/DCLK1/FARP1/GPHN/SLC8A3/SIPA1L1/GABRB3/GABRA5/GABRG3/CHRM5/SHC4/NEDD4/RAB11A/NPTN/HOMER2/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/CHRNB1/SHISA6/ARHGAP44/SEZ6/ASIC2/NSF/KCNJ2/DLGAP1/EPB41L3/CDH2/NETO1/SHANK1/PLCB4/SNAP25/SYNDIG1/ZMYND8/APP/GRIK1/TIAM1/SYN3/CACNG2/FRMPD4/GLRA2/IL1RAPL1/DMD/GRIPAP1/GRIA3,191
GO_CC,GO:0005913,cell-cell adherens junction,55/5735,100/17287,5.52933892209744e-06,0.000400324137959855,0.000348639369930144,SSX2IP/CNN3/CRB1/RAB10/CTNNA2/GYPC/MPP4/PARD3B/OXTR/CTNNB1/CADM2/CD200/PDLIM5/CDH18/CDH12/CDH10/CDH9/APC/FAT2/DSP/LYN/NDRG1/PGM5/ANXA1/PARD3/CTNNA3/VCL/DLG5/SORBS1/NRAP/PLEKHA7/CTNND1/RDX/CADM1/TRIM29/FRS2/CDH24/STXBP6/ACTN1/TMOD3/ANXA2/CDH11/CDH13/PTPRM/CDH2/DSC2/SMAD7/CDH20/CDH19/CD226/CADM4/CDH22/CDH26/CXADR/CDC42EP1,55
