ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0004674,protein serine/threonine kinase activity,212/5476,482/16378,6.54079128059599e-07,0.000760694025933314,0.000702962936577738,CDC42/EPHA10/MAST2/PRKAA2/ROR1/TNNI3K/PRKACB/PKN2/CDC7/TGFBR3/HIPK1/NTRK1/INSRR/UHMK1/DDR2/NEK7/NUAK2/CAMK1G/RPS6KC1/MARK1/CDC42BPA/AKT3/ROCK2/ALK/LTBP1/EIF2AK2/PRKD3/MAP4K3/PRKCE/VRK2/PELI1/AAK1/MAP4K4/MAP3K2/ACVR2A/ACVR1/STK39/MYO3B/TLK1/TTN/STK17B/CDK15/ERBB4/STK36/STK16/CAMK1/IRAK2/RAF1/NEK10/TGFBR2/DCLK3/ACVR2B/ULK4/MAPKAPK3/PRKCD/EPHA6/GSK3B/MYLK/KALRN/NEK11/EPHB1/ATR/PRKCI/TNIK/EPHB3/STK32B/KIT/KDR/EPHA5/BMP2K/PRKG2/MAPK10/BMPR1B/ALPK1/CAMK2D/DCLK2/TRIO/PRKAA1/NIM1K/MAST4/CAMK4/CSNK1G3/STK32A/FGFR4/PRPF4B/RIOK1/MAK/SRPK1/MAPK14/STK38/CCND3/ICK/TTK/MAP3K7/EPHA7/CDK19/ROS1/SGK1/MAP3K5/MAP3K4/RPS6KA2/EIF2AK1/SOSTDC1/STK31/CDK13/EGFR/CDK14/CDK6/LMTK2/SRPK2/PIK3CG/MET/BRAF/PRKAG2/PTK2B/PBK/MOS/C8orf44-SGK3/PSKH2/CPNE3/RIPK2/STK3/PRKACG/TRPM6/NTRK2/DAPK1/ROR2/WNK2/TGFBR1/MUSK/PRKCQ/CAMK1D/MYO3A/MAPK8/PRKG1/CDK1/CHUK/SLK/GRK5/FGFR2/STK33/HIPK3/MARK2/ATM/SIK2/WNK1/STK38L/LRRK2/IRAK4/PRKAG1/MAP3K12/ERBB3/CDK4/TBK1/HMGA2/IRAK3/CDK17/NUAK1/KSR2/CIT/CDK8/FLT1/DCLK1/CSNK1A1L/NEK3/PRKD1/MAP4K5/PELI2/MNAT1/PRKCH/MAP3K9/ADCK1/RPS6KA5/VRK1/CCNK/EIF2AK4/BUB1B/TTBK2/CCNB2/MAP2K5/ALPK3/AKAP13/NTRK3/IGF1R/SMG1/EEF2K/ERN2/PLK1/PRKCB/PHKB/MAP2K4/NLK/MAP3K14/ERN1/MAP2K6/ROCK1/MAPK4/ALPK2/LTBP4/VRK3/BRSK1/AURKC/TOP1/SGK2/STK4/TP53RK/MAP3K7CL/HUNK/DYRK1A/LIMK2/CASK/TAF1,212
GO_MF,GO:0046873,metal ion transmembrane transporter activity,196/5476,452/16378,5.29921710262451e-06,0.00308149474517615,0.00284763192725243,NIPAL3/GRIK3/MCOLN2/MCOLN3/SLC30A7/KCNA10/KCNA2/KCNA3/KCND3/ATP1A1/KCNJ10/LRRC52/TMCO1/SLC9C2/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/SLC30A6/SLC8A1/KCNG3/SLC4A5/CNGA3/SLC9A2/SLC20A1/TMEM37/KCNJ3/SLC4A10/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ABCB11/ITGAV/SLC40A1/SLC39A10/TRPM8/ITPR1/ATP2B2/SLC6A1/SLC6A6/KCNH8/SLC4A7/SCN5A/SLC6A20/CACNA1D/CACNA2D3/SLC9C1/ATP2C1/TF/ATP1B3/TRPC1/SLC9A9/KCNAB1/KCNMB2/KCNMB3/ATP13A5/ATP13A4/KCNIP4/STIM2/CNGA1/NIPAL1/REST/SLC4A4/SLC10A6/PKD2/SLC39A8/SLC9B1/TRPC3/ASIC5/GPM6A/SLC1A3/HCN1/SLC30A5/KCNN2/TRPC7/PKD2L2/KCNIP1/KCNMB1/SLC17A1/SLC17A3/SLC17A2/KCNQ5/GRIK2/OPRM1/AQP1/CACNA2D1/KCND2/SLC13A1/SLC13A4/TRPV5/TUSC3/SLC39A14/SLC25A37/KCNU1/TRPA1/KCNB2/JPH1/SLC10A5/CNGB3/NIPAL2/SLC30A8/KCNQ3/SLC1A1/SLC24A2/TRPM3/TMC1/TRPM6/SLC28A3/GRIN3A/TMEM38B/SLC31A2/KCNT1/SLC39A12/CACNB2/MCU/KCNMA1/SLC25A28/KCNK18/CNGA4/DENND5A/ABCC8/KCNC1/ZDHHC13/SLC6A5/SLC5A12/KCNA4/LRRC55/TRPC6/CUL5/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/GRIN2B/KCNJ8/ABCC9/ITPR2/CACNB3/SCN8A/KCNC2/CAPS2/ZDHHC17/SLC6A15/ATP2B1/ATP12A/MTMR6/TRPC4/NALCN/SLC10A2/FAM155A/KCNH5/SLC39A9/SLC8A3/PSEN1/KCNK10/RYR3/SLC30A4/SLC12A1/SLC24A1/HCN4/GRIN2A/CACNG3/SLC5A11/PKD1L3/ASIC2/CACNG1/KCNJ16/KCNJ2/SLC39A11/LOXHD1/CACNA1A/KCNN4/SLC6A16/SLC23A2/SLC24A3/JPH2/SLC12A5/SLC13A3/SLC9A8/GRIK1/SLC5A3/KCNE1/CACNG2/CACNA1I/IL1RAPL1/SLC9A7/KCND1,196
GO_MF,GO:0005216,ion channel activity,179/5476,416/16378,2.29401714300146e-05,0.00889313979103566,0.00821821580001575,GRIK3/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/LRRC8B/LRRC8C/LRRC8D/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/CNGA3/TMEM37/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SLC26A6/CACNA1D/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/GABRG1/GABRA2/GABRB1/CNGA1/REST/PKD2/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/TRPC7/PKD2L2/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/SLC26A8/CLIC5/KCNQ5/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/TRPV5/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/SLC26A7/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNB2/MCU/KCNMA1/GRID1/KCNK18/CNGA4/DENND5A/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/TRPC6/GRIA4/CUL5/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/ANO6/CACNB3/SCN8A/BEST3/KCNC2/ANO4/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/PKD1L3/CHRNB1/ASIC2/CACNG1/KCNJ16/KCNJ2/PIEZO2/LOXHD1/CACNA1A/KCNN4/SLC24A3/JPH2/GRIK1/KCNE1/CLIC6/CACNG2/CACNA1I/GLRA2/IL1RAPL1/KCND1/CLCN5/GRIA3,179
GO_MF,GO:0022838,substrate-specific channel activity,182/5476,429/16378,5.18066371024468e-05,0.0117365124157664,0.0108457973267842,GRIK3/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/LRRC8B/LRRC8C/LRRC8D/CLCC1/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/CNGA3/TMEM37/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SLC26A6/CACNA1D/CACNA2D3/GABRR3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/GABRG1/GABRA2/GABRB1/CNGA1/REST/PKD2/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/TRPC7/PKD2L2/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/SLC26A8/CLIC5/KCNQ5/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/TRPV5/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/SLC26A7/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNB2/MCU/KCNMA1/GRID1/KCNK18/CNGA4/DENND5A/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/TRPC6/GRIA4/CUL5/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/ANO6/CACNB3/SCN8A/BEST3/KCNC2/ANO4/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/AQP9/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/AQP8/PKD1L3/CHRNB1/ASIC2/CACNG1/KCNJ16/KCNJ2/PIEZO2/AQP4/LOXHD1/CACNA1A/KCNN4/SLC24A3/JPH2/GRIK1/KCNE1/CLIC6/CACNG2/CACNA1I/GLRA2/IL1RAPL1/KCND1/CLCN5/GRIA3,182
GO_MF,GO:0022836,gated channel activity,146/5476,335/16378,5.97394032530211e-05,0.0117365124157664,0.0108457973267842,GRIK3/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/CNGA3/TMEM37/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/ITPR1/KCNH8/SCN5A/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/REST/TMEM150C/PKD2/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/CLIC5/KCNQ5/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/NCALD/KCNQ3/TRPM3/TMC1/GRIN3A/TMEM38B/KCNT1/CACNB2/KCNMA1/GRID1/KCNK18/CNGA4/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/GRIA4/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/KCNJ8/ITPR2/ANO6/CACNB3/SCN8A/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/CACNG3/CHRNB1/ASIC2/CACNG1/KCNJ16/KCNJ2/PIEZO2/CACNA1A/KCNN4/JPH2/GRIK1/KCNE1/CLIC6/CACNG2/CACNA1I/GLRA2/IL1RAPL1/KCND1/CLCN5/GRIA3,146
GO_MF,GO:0005261,cation channel activity,136/5476,309/16378,6.05495051544269e-05,0.0117365124157664,0.0108457973267842,GRIK3/MCOLN2/MCOLN3/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/LRRC52/TMCO1/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/CNGA3/TMEM37/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/CACNA1D/CACNA2D3/TRPC1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/STIM2/CNGA1/REST/PKD2/TRPC3/ASIC5/GRIA2/GPM6A/HCN1/KCNN2/TRPC7/PKD2L2/GRIA1/KCNIP1/KCNMB1/KCNQ5/GRIK2/OPRM1/AQP1/CACNA2D1/KCND2/TRPV5/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/KCNQ3/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNB2/MCU/KCNMA1/KCNK18/CNGA4/DENND5A/ABCC8/KCNC1/KCNA4/LRRC55/TRPC6/GRIA4/CUL5/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/GRIN2B/KCNJ8/ABCC9/ITPR2/ANO6/CACNB3/SCN8A/KCNC2/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/KCNK10/RYR3/SLC24A1/NOX5/HCN4/GRIN2A/CACNG3/PKD1L3/CHRNB1/ASIC2/CACNG1/KCNJ16/KCNJ2/PIEZO2/LOXHD1/CACNA1A/KCNN4/SLC24A3/JPH2/GRIK1/KCNE1/CACNG2/CACNA1I/IL1RAPL1/KCND1/GRIA3,136
GO_MF,GO:0022839,ion gated channel activity,144/5476,332/16378,8.82179848346948e-05,0.0138778800802727,0.012824650913661,GRIK3/MCOLN2/MCOLN3/CLCA2/CLCA1/CLCA4/KCNA10/KCNA2/KCNA3/KCND3/KCNJ10/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNG3/CNGA3/TMEM37/KCNJ3/KCNH7/SCN3A/SCN2A/SCN1A/SCN9A/SCN7A/ITGAV/ITPR1/KCNH8/SCN5A/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/REST/PKD2/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNIP1/KCNMB1/SLC17A3/CLIC5/KCNQ5/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/CFTR/KCND2/PTK2B/KCNU1/TRPA1/KCNB2/JPH1/CNGB3/NCALD/KCNQ3/TRPM3/TMC1/GRIN3A/TMEM38B/KCNT1/CACNB2/KCNMA1/GRID1/KCNK18/CNGA4/ABCC8/KCNC1/ANO5/ANO3/KCNA4/LRRC55/GRIA4/SCN4B/SCN2B/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/KCNJ8/ITPR2/ANO6/CACNB3/SCN8A/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/KCNK10/GABRB3/GABRA5/GABRG3/RYR3/HCN4/GRIN2A/CACNG3/CHRNB1/ASIC2/CACNG1/KCNJ16/KCNJ2/CACNA1A/KCNN4/JPH2/GRIK1/KCNE1/CLIC6/CACNG2/CACNA1I/GLRA2/IL1RAPL1/KCND1/CLCN5/GRIA3,144
GO_MF,GO:0008066,glutamate receptor activity,19/5476,27/16378,9.54626316785738e-05,0.0138778800802727,0.012824650913661,GRIK3/GRM7/GRID2/GRIA2/GRIA1/GRM4/GRIK2/GRM3/GRM8/PTK2B/GRIN3A/GRID1/GRM5/GRIA4/GRIK4/GRIN2B/GRIN2A/GRIK1/GRIA3,19
GO_MF,GO:0015271,outward rectifier potassium channel activity,13/5476,16/16378,0.000119296124891844,0.0145765866257605,0.0134703307642679,KCNA2/KCNA3/KCND3/KCNT2/KCNK2/REST/PKD2/KCND2/KCNU1/KCNT1/KCNMA1/KCNK18/KCND1,13
GO_MF,GO:0019199,transmembrane receptor protein kinase activity,43/5476,80/16378,0.000140728587651052,0.0145765866257605,0.0134703307642679,EPHA10/ROR1/TGFBR3/NTRK1/INSRR/DDR2/ALK/LTBP1/EFEMP1/ACVR2A/ACVR1/NRP2/ERBB4/TGFBR2/ACVR2B/EPHA6/EPHB1/EPHB3/KIT/KDR/EPHA5/BMPR1B/FGFR4/TRIM27/EPHA7/ROS1/IGF2R/SOSTDC1/EGFR/LMTK2/MET/PDGFRL/NTRK2/ROR2/TGFBR1/MUSK/NRP1/FGFR2/ERBB3/FLT1/NTRK3/IGF1R/LTBP4,43
