ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0010975,regulation of neuron projection development,33/523,436/16576,3.36547622326149e-06,0.010570949125032,0.0103956322249643,LRRC7/NEGR1/TNR/SRGAP2C/KIDINS220/FN1/GOLGA4/PTPRG/ROBO2/ROBO1/NCK1/NLGN1/OPA1/PAQR3/GRID2/FSTL4/SPOCK1/MAGI2/RELN/PLXNA4/PTN/NRG1/PTPRD/ABL1/SEMA4G/LRRC4C/CNTN1/GRIP1/SYT1/FBXW8/EEF2K/SNAP25/CHODL,33
GO_BP,GO:0050808,synapse organization,25/523,291/16576,6.07032140622277e-06,0.010570949125032,0.0103956322249643,TNR/PDZRN3/ROBO2/TMEM108/EPHB1/NLGN1/OPA1/GRID2/GPM6A/CTNND2/MAGI2/PCLO/RELN/PTN/NRG1/PTPRD/ABL1/CACNB2/ANK3/LRRTM3/GRM5/GRIN2B/EEF2K/FLRT3/SYNDIG1,25
GO_BP,GO:0007411,axon guidance,22/523,243/16576,9.57357048320615e-06,0.010570949125032,0.0103956322249643,TNR/SPTBN1/CNTN4/ROBO2/ROBO1/ALCAM/BOC/EPHB1/APBB2/UNC5C/CYFIP2/DLX5/RELN/PLXNA4/EXT1/SHC3/SPTAN1/SEMA4G/FRS2/NRXN3/DOK6/FLRT3,22
GO_BP,GO:0097485,neuron projection guidance,22/523,245/16576,1.09035060598577e-05,0.010570949125032,0.0103956322249643,TNR/SPTBN1/CNTN4/ROBO2/ROBO1/ALCAM/BOC/EPHB1/APBB2/UNC5C/CYFIP2/DLX5/RELN/PLXNA4/EXT1/SHC3/SPTAN1/SEMA4G/FRS2/NRXN3/DOK6/FLRT3,22
GO_BP,GO:0031346,positive regulation of cell projection organization,26/523,336/16576,2.52777101968236e-05,0.0196053920286564,0.0192802408511773,LRRC7/NEGR1/KIDINS220/FN1/GOLGA4/ROBO2/ROBO1/NCK1/NLGN1/OPA1/GPM6A/TENM2/AUTS2/MAGI2/RELN/PLXNA4/PTN/NRG1/PTPRD/CNTN1/GRIP1/SYT1/FBXW8/CCP110/EEF2K/ATMIN,26
GO_BP,GO:0010976,positive regulation of neuron projection development,21/523,249/16576,4.3784069208997e-05,0.0282991033987484,0.0278297689024905,LRRC7/NEGR1/KIDINS220/FN1/GOLGA4/ROBO2/ROBO1/NCK1/NLGN1/OPA1/MAGI2/RELN/PLXNA4/PTN/NRG1/PTPRD/CNTN1/GRIP1/SYT1/FBXW8/EEF2K,21
GO_BP,GO:0060078,regulation of postsynaptic membrane potential,14/523,129/16576,5.71634657156487e-05,0.0316685600064694,0.031143343802676,TMEM108/NLGN1/GRID2/GLRA3/GRIA1/RELN/GRIN3A/GRM5/GRIA4/GRIN2B/GABRB3/GABRG3/HCRT/GRIK1,14
GO_BP,GO:0007409,axonogenesis,30/523,447/16576,8.9170947333857e-05,0.0432256167200872,0.0425087292356005,TNR/SPTBN1/FN1/CNTN4/GOLGA4/ROBO2/ROBO1/ALCAM/BOC/EPHB1/APBB2/UNC5C/FSTL4/CYFIP2/AUTS2/DLX5/RELN/PLXNA4/NRG1/EXT1/SHC3/SPTAN1/ABL1/ANK3/SEMA4G/LRRC4C/FRS2/NRXN3/DOK6/FLRT3,30
GO_BP,GO:0030900,forebrain development,26/523,365/16576,0.000100805247356405,0.0434358610275708,0.0427154866868134,LHX8/TNR/SRGAP2C/SRGAP2/COL3A1/ATIC/ROBO2/ROBO1/TMEM108/DLX5/RELN/FOXP2/PLXNA4/PTN/CNTNAP2/NRG1/CHD7/EXT1/PRKG1/AVPR1A/FRS2/APAF1/PCDH9/DCT/GNAO1/PLCB1,26
GO_BP,GO:0051962,positive regulation of nervous system development,31/523,476/16576,0.000118171740996511,0.0454117045554186,0.0446585612780005,LRRC7/NEGR1/BRINP3/SRGAP2C/KIDINS220/FN1/GOLGA4/ROBO2/ROBO1/EPHB1/NCK1/NLGN1/BCL6/OPA1/GRID2/MAGI2/RELN/PLXNA4/PTN/NRG1/PTPRD/LRRTM3/CNTN1/GRIP1/SYT1/FBXW8/DCT/PRKCH/EEF2K/FLRT3/SYNDIG1,31
GO_BP,GO:0035235,ionotropic glutamate receptor signaling pathway,6/523,26/16576,0.00012881092060588,0.0454117045554186,0.0446585612780005,GRID2/GRIA1/GRIN3A/GRIA4/GRIN2B/GRIK1,6
GO_BP,GO:0099565,chemical synaptic transmission  postsynaptic,13/523,124/16576,0.00014864028346312,0.048035584939165,0.0472389251742881,TMEM108/NLGN1/GRID2/GLRA3/GRIA1/RELN/GRIN3A/GRIA4/GRIN2B/GABRB3/GABRG3/HCRT/GRIK1,13
