ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0097060,synaptic membrane,31/533,308/17287,7.70056102484977e-09,3.5730603155303e-06,3.32340002125095e-06,LRRC7/SRGAP2/ERC2/TMEM108/NLGN1/GRID2/GLRA3/SNCAIP/KCTD16/GRIA1/TENM2/CADPS2/GABBR2/GRIN3A/ANK3/LRRTM3/LRRC4C/DLG2/GRM5/GRIA4/GRIN2B/SYT1/ANKS1B/GABRB3/GABRG3/SHC4/DLGAP1/SNAP25/FLRT3/SYNDIG1/GRIK1,31
GO_CC,GO:0045211,postsynaptic membrane,26/533,237/17287,2.19369282015759e-08,5.0893673427656e-06,4.73375819086637e-06,LRRC7/SRGAP2/TMEM108/NLGN1/GRID2/GLRA3/KCTD16/GRIA1/TENM2/CADPS2/GABBR2/GRIN3A/ANK3/LRRTM3/LRRC4C/DLG2/GRM5/GRIA4/GRIN2B/ANKS1B/GABRB3/GABRG3/SHC4/DLGAP1/SYNDIG1/GRIK1,26
GO_CC,GO:0098794,postsynapse,37/533,441/17287,3.72399919217747e-08,5.75978541723448e-06,5.35733217120267e-06,PDE4B/LRRC7/SRGAP2/SPTBN1/TMEM108/NLGN1/GRID2/GLRA3/GPM6A/SPOCK1/KCTD16/GRIA1/TENM2/MAGI2/PCLO/CTTNBP2/CADPS2/GABBR2/GRIN3A/ABL1/ANK3/LRRTM3/LRRC4C/DLG2/GRM5/GRIA4/GRIN2B/ANKS1B/GABRB3/GABRG3/SHC4/EEF2K/HCRT/DLGAP1/SNAP25/SYNDIG1/GRIK1,37
GO_CC,GO:0043235,receptor complex,30/533,370/17287,1.51285983560806e-06,0.000175491740930535,0.000163229613841922,OLFM3/NOTCH2/CD8B/LRP1B/CALCRL/TGFBR2/ALCAM/EPHB1/NLGN1/PEX5L/GRID2/NR3C2/DAB2/KCTD16/GRIA1/GPR63/ITGB8/CALCR/PLXNA4/GABBR2/GRIN3A/DLG2/GRIA4/GRIN2B/PTPRB/TSHR/GABRB3/GABRG3/ITGA11/GRIK1,30
GO_CC,GO:0014069,postsynaptic density,21/533,222/17287,5.49408908120118e-06,0.000488824341513226,0.000454668738703318,PDE4B/LRRC7/SRGAP2/SPTBN1/TMEM108/NLGN1/GRID2/SPOCK1/GRIA1/MAGI2/PCLO/GRIN3A/DLG2/GRM5/GRIA4/GRIN2B/ANKS1B/EEF2K/DLGAP1/SYNDIG1/GRIK1,21
GO_CC,GO:0099572,postsynaptic specialization,21/533,224/17287,6.3210044161193e-06,0.000488824341513226,0.000454668738703318,PDE4B/LRRC7/SRGAP2/SPTBN1/TMEM108/NLGN1/GRID2/SPOCK1/GRIA1/MAGI2/PCLO/GRIN3A/DLG2/GRM5/GRIA4/GRIN2B/ANKS1B/EEF2K/DLGAP1/SYNDIG1/GRIK1,21
GO_CC,GO:0032279,asymmetric synapse,21/533,227/17287,7.77380800430599e-06,0.000490925338179101,0.000456622932516859,PDE4B/LRRC7/SRGAP2/SPTBN1/TMEM108/NLGN1/GRID2/SPOCK1/GRIA1/MAGI2/PCLO/GRIN3A/DLG2/GRM5/GRIA4/GRIN2B/ANKS1B/EEF2K/DLGAP1/SYNDIG1/GRIK1,21
GO_CC,GO:0098802,plasma membrane receptor complex,18/533,177/17287,9.46233909540512e-06,0.000490925338179101,0.000456622932516859,OLFM3/CD8B/CALCRL/TGFBR2/ALCAM/NLGN1/GRID2/DAB2/GRIA1/ITGB8/CALCR/GABBR2/GRIN3A/DLG2/GRIA4/GRIN2B/ITGA11/GRIK1,18
GO_CC,GO:0098984,neuron to neuron synapse,21/533,230/17287,9.52225871468083e-06,0.000490925338179101,0.000456622932516859,PDE4B/LRRC7/SRGAP2/SPTBN1/TMEM108/NLGN1/GRID2/SPOCK1/GRIA1/MAGI2/PCLO/GRIN3A/DLG2/GRM5/GRIA4/GRIN2B/ANKS1B/EEF2K/DLGAP1/SYNDIG1/GRIK1,21
GO_CC,GO:0044420,extracellular matrix component,14/533,116/17287,1.33879006893605e-05,0.00056972826559133,0.000529919666271427,TNR/USH2A/COL3A1/COL5A2/FN1/FRAS1/FREM3/EGFLAM/FBN2/COL28A1/PTN/FREM2/THSD4/ADAMTS1,14
GO_CC,GO:0008328,ionotropic glutamate receptor complex,9/533,48/17287,1.35064890549669e-05,0.00056972826559133,0.000529919666271427,OLFM3/NLGN1/GRID2/GRIA1/GRIN3A/DLG2/GRIA4/GRIN2B/GRIK1,9
GO_CC,GO:0098878,neurotransmitter receptor complex,9/533,50/17287,1.91017972107884e-05,0.000738602825483818,0.000686994461089758,OLFM3/NLGN1/GRID2/GRIA1/GRIN3A/DLG2/GRIA4/GRIN2B/GRIK1,9
GO_CC,GO:0098839,postsynaptic density membrane,7/533,32/17287,4.38345079682751e-05,0.00156455474594459,0.00145523467748929,GRID2/GRIA1/DLG2/GRM5/GRIA4/GRIN2B/GRIK1,7
GO_CC,GO:0099634,postsynaptic specialization membrane,7/533,34/17287,6.64159231851104e-05,0.00220121345413509,0.00204740815833799,GRID2/GRIA1/DLG2/GRM5/GRIA4/GRIN2B/GRIK1,7
GO_CC,GO:0034702,ion channel complex,22/533,288/17287,9.13302535067832e-05,0.00282514917514316,0.00262774764475657,PDE4B/OLFM3/KCNT2/SCN10A/NLGN1/KCNMB2/KCNIP4/GRID2/GLRA3/GRIA1/CNTNAP2/KCNB2/GRIN3A/CACNB2/DLG2/GRIA4/GRIN2B/GABRB3/GABRG3/KCNH4/SNAP25/GRIK1,22
GO_CC,GO:0034703,cation channel complex,18/533,211/17287,9.8782812269342e-05,0.00286470155581092,0.00266453638358094,PDE4B/OLFM3/KCNT2/SCN10A/NLGN1/KCNMB2/KCNIP4/GRIA1/CNTNAP2/KCNB2/GRIN3A/CACNB2/DLG2/GRIA4/GRIN2B/KCNH4/SNAP25/GRIK1,18
GO_CC,GO:0005578,proteinaceous extracellular matrix,25/533,366/17287,0.000184867143247876,0.0050457855568832,0.00469322159328973,TNR/USH2A/COL3A1/COL5A2/FN1/ZPLD1/COL6A5/FRAS1/FREM3/EGFLAM/FBN2/ADAMTS19/SPOCK1/COL28A1/RELN/WNT2/PTN/ADAMTSL1/ADAMTS20/FREM2/GPC5/GPC6/THSD4/FLRT3/ADAMTS1,25
GO_CC,GO:0032589,neuron projection membrane,8/533,54/17287,0.000231257356937617,0.00596130075661413,0.00554476703768555,USH2A/SPTBN1/ROBO2/GRIA1/SGCE/CNTNAP2/NRG1/GABRG3,8
