ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0022839,ion gated channel activity,27/504,332/16378,4.54030493789752e-06,0.00191572412560306,0.00182167486512454,CLCA2/KCNT2/SCN10A/CACNA2D3/KCNMB2/KCNIP4/GRID2/ASIC5/GLRA3/NMUR2/GRIA1/KCNB2/NCALD/TRPM3/GRIN3A/CACNB2/KCNK18/ANO3/GRIA4/GRIN2B/NALCN/GABRB3/GABRG3/KCNJ12/KCNJ18/KCNH4/GRIK1,27
GO_MF,GO:0022836,gated channel activity,27/504,335/16378,5.36617402129708e-06,0.00191572412560306,0.00182167486512454,CLCA2/KCNT2/SCN10A/CACNA2D3/KCNMB2/KCNIP4/GRID2/ASIC5/GLRA3/NMUR2/GRIA1/KCNB2/NCALD/TRPM3/GRIN3A/CACNB2/KCNK18/ANO3/GRIA4/GRIN2B/NALCN/GABRB3/GABRG3/KCNJ12/KCNJ18/KCNH4/GRIK1,27
GO_MF,GO:0008066,glutamate receptor activity,7/504,27/16378,1.30326213161276e-05,0.00226969347419611,0.00215826668267211,GRID2/GRIA1/GRIN3A/GRM5/GRIA4/GRIN2B/GRIK1,7
GO_MF,GO:0004970,ionotropic glutamate receptor activity,6/504,19/16378,1.58942120041745e-05,0.00226969347419611,0.00215826668267211,GRID2/GRIA1/GRIN3A/GRIA4/GRIN2B/GRIK1,6
GO_MF,GO:0005234,extracellularly glutamate-gated ion channel activity,6/504,19/16378,1.58942120041745e-05,0.00226969347419611,0.00215826668267211,GRID2/GRIA1/GRIN3A/GRIA4/GRIN2B/GRIK1,6
GO_MF,GO:0005216,ion channel activity,29/504,416/16378,3.81152853032744e-05,0.00453571895108965,0.00431304544221263,CLCA2/KCNT2/SCN10A/CACNA2D3/KCNMB2/KCNIP4/GRID2/ASIC5/GLRA3/GPM6A/NMUR2/GRIA1/KCNB2/SLC26A7/NCALD/TRPM3/GRIN3A/CACNB2/KCNK18/ANO3/GRIA4/GRIN2B/NALCN/GABRB3/GABRG3/KCNJ12/KCNJ18/KCNH4/GRIK1,29
GO_MF,GO:0022824,transmitter-gated ion channel activity,9/504,57/16378,5.56589423249845e-05,0.00496756060250487,0.00472368655258092,GRID2/GLRA3/GRIA1/GRIN3A/GRIA4/GRIN2B/GABRB3/GABRG3/GRIK1,9
GO_MF,GO:0022835,transmitter-gated channel activity,9/504,57/16378,5.56589423249845e-05,0.00496756060250487,0.00472368655258092,GRID2/GLRA3/GRIA1/GRIN3A/GRIA4/GRIN2B/GABRB3/GABRG3/GRIK1,9
GO_MF,GO:0022838,substrate-specific channel activity,29/504,429/16378,6.61787330800397e-05,0.00525017949101649,0.00499243074112581,CLCA2/KCNT2/SCN10A/CACNA2D3/KCNMB2/KCNIP4/GRID2/ASIC5/GLRA3/GPM6A/NMUR2/GRIA1/KCNB2/SLC26A7/NCALD/TRPM3/GRIN3A/CACNB2/KCNK18/ANO3/GRIA4/GRIN2B/NALCN/GABRB3/GABRG3/KCNJ12/KCNJ18/KCNH4/GRIK1,29
GO_MF,GO:0015267,channel activity,30/504,455/16378,7.8118321458202e-05,0.00527468901275899,0.00501573700903663,CLCA2/KCNT2/SCN10A/CACNA2D3/KCNMB2/KCNIP4/GRID2/ASIC5/GLRA3/GPM6A/NMUR2/GRIA1/STEAP1/KCNB2/SLC26A7/NCALD/TRPM3/GRIN3A/CACNB2/KCNK18/ANO3/GRIA4/GRIN2B/NALCN/GABRB3/GABRG3/KCNJ12/KCNJ18/KCNH4/GRIK1,30
