GO_BP_terms,_Pa_count_1;all_genes,_Pa_count_1;_Pa_count_HiC_all,_Pa_count_2;_Pa_count_1,_Pa_count_3;_Pa_count_1,_Pa_count_4;_Pa_count_1,_Pa_count_5;_Pa_count_1,_Pa_count_grthan5;_Pa_count_1
action potential,NA,NA,NA,NA,0.00514214709816019,0.0196512890603447,NA
adherens junction organization,NA,NA,NA,NA,NA,0.0196380023308612,NA
adult behavior,NA,NA,NA,NA,NA,0.0265955655435674,NA
aminoglycan biosynthetic process,NA,NA,NA,NA,NA,0.0493958390135345,NA
aminoglycan metabolic process,NA,NA,NA,NA,NA,0.0370292292801726,NA
appendage development,NA,NA,NA,NA,NA,0.0136698991337348,NA
appendage morphogenesis,NA,NA,NA,NA,NA,0.00495112016286093,NA
axon development,NA,NA,NA,0.0282003961815999,0.000326406129271573,2.06734089490414e-09,4.81027430282175e-07
axon guidance,NA,NA,NA,NA,0.00588232803720495,2.28634371681223e-06,3.61914454064967e-06
axonogenesis,NA,NA,NA,0.0401324677394823,0.000326406129271573,5.73016449992977e-09,4.81027430282175e-07
body morphogenesis,NA,NA,NA,NA,NA,0.0258817673495038,NA
calcium ion transport,NA,NA,NA,NA,NA,0.00790847375853806,NA
camera-type eye development,NA,NA,NA,NA,NA,0.0370292292801726,NA
canonical Wnt signaling pathway,NA,NA,NA,NA,NA,8.41748759257584e-05,NA
cardiac chamber development,NA,NA,NA,NA,0.0350419475151575,0.00589645013241614,NA
cardiac chamber morphogenesis,NA,NA,NA,NA,NA,0.0108308236001637,NA
cardiac conduction,NA,NA,NA,NA,0.0447266472411211,0.0140766751017702,NA
cardiac septum development,NA,NA,NA,NA,NA,0.0381512376133256,NA
cardiac septum morphogenesis,NA,NA,NA,NA,NA,0.0491787487549139,NA
cardiac ventricle development,NA,NA,NA,NA,NA,0.0249985406028908,NA
cardiac ventricle morphogenesis,NA,NA,NA,NA,NA,0.0159450825693175,NA
cartilage development,NA,NA,NA,NA,0.00228445103613835,NA,NA
cell fate commitment,NA,NA,NA,NA,NA,0.00750302072319978,NA
cell fate determination,NA,NA,NA,NA,NA,0.0397954953486326,NA
cell growth,NA,NA,NA,NA,NA,0.0248368744517955,NA
cell junction assembly,NA,NA,NA,NA,NA,0.0370292292801726,NA
cell junction organization,NA,NA,NA,NA,NA,0.00385547546261529,NA
cell-cell junction organization,NA,NA,NA,NA,NA,0.00288631066138979,NA
cell-cell signaling by wnt,NA,NA,NA,NA,0.0146991237000124,4.29784766574283e-06,0.049652667245775
cell-matrix adhesion,NA,NA,NA,NA,NA,0.0334402621166692,NA
cell-substrate adhesion,NA,NA,NA,NA,NA,0.00448016270528587,NA
cellular potassium ion transport,NA,NA,NA,NA,0.00115102257289701,0.00268165853224373,NA
central nervous system neuron differentiation,NA,NA,NA,NA,NA,0.0187767023083299,0.02659145793063
cerebellum development,NA,NA,NA,NA,NA,0.0243020198036389,NA
cerebral cortex cell migration,NA,NA,NA,NA,NA,NA,0.02659145793063
cerebral cortex development,NA,NA,NA,NA,NA,0.0142393695157192,NA
cerebral cortex radial glia guided migration,NA,NA,NA,NA,NA,NA,0.0327040796717128
chondrocyte differentiation,NA,NA,NA,NA,0.031207262116163,0.0334612561769794,NA
cognition,NA,NA,NA,NA,NA,0.0055761601388117,NA
connective tissue development,NA,NA,NA,NA,0.0010724186445812,NA,NA
cyclic nucleotide metabolic process,NA,NA,NA,NA,NA,0.0353413257931246,NA
dendrite development,NA,NA,NA,NA,NA,4.29784766574283e-06,0.00940489184584485
dendrite morphogenesis,NA,NA,NA,NA,NA,0.00424878070962631,NA
dendritic spine development,NA,NA,NA,NA,NA,0.000187152697386344,NA
dendritic spine morphogenesis,NA,NA,NA,NA,NA,0.0078526479757079,NA
dendritic spine organization,NA,NA,NA,NA,NA,0.0142393695157192,NA
dephosphorylation,NA,NA,NA,NA,0.00213870446760969,0.0145562440639097,NA
developmental cell growth,NA,NA,NA,NA,NA,0.00702854644245054,NA
developmental growth involved in morphogenesis,NA,NA,NA,NA,0.0292647810534584,0.00180832258854488,0.0425229579306694
divalent inorganic cation transport,NA,NA,NA,NA,NA,0.0105534692532089,NA
divalent metal ion transport,NA,NA,NA,NA,NA,0.015333368319457,NA
ear development,NA,NA,NA,NA,0.00314600220020068,0.00589645013241614,NA
embryonic appendage morphogenesis,NA,NA,NA,NA,NA,0.0138355735402801,NA
embryonic limb morphogenesis,NA,NA,NA,NA,NA,0.0138355735402801,NA
embryonic placenta morphogenesis,NA,NA,NA,NA,NA,0.0254232413108417,NA
endocardial cushion formation,NA,NA,NA,NA,NA,0.0279836264596091,NA
ephrin receptor signaling pathway,NA,NA,NA,NA,NA,0.0478810758786148,NA
epithelial tube morphogenesis,NA,NA,NA,NA,NA,0.00945835812925237,NA
eye development,NA,NA,NA,NA,0.0350419475151575,0.0189411594240657,NA
face development,NA,NA,NA,NA,NA,0.0370292292801726,NA
face morphogenesis,NA,NA,NA,NA,NA,0.00884952736804548,NA
forebrain cell migration,NA,NA,NA,NA,NA,NA,0.0176888436325012
forebrain development,NA,NA,NA,0.0113669468664375,0.0179371639905553,0.000250182607452245,NA
forebrain neuron differentiation,NA,NA,NA,NA,NA,NA,0.0441412167513622
gamma-aminobutyric acid signaling pathway,NA,NA,NA,NA,0.0408276982550805,0.00589645013241614,NA
gland development,NA,NA,NA,NA,0.00228445103613835,0.00646868158378984,NA
glomerulus development,NA,NA,NA,NA,NA,0.00719452202062647,NA
glutamate receptor signaling pathway,NA,NA,NA,NA,NA,1.32574170822226e-05,0.00269369061264188
glycosaminoglycan biosynthetic process,NA,NA,NA,NA,NA,0.0209908995021592,NA
glycosaminoglycan metabolic process,NA,NA,NA,NA,NA,0.0195607455705621,NA
head morphogenesis,NA,NA,NA,NA,NA,0.0168993138695149,NA
